CE11	EGYDAYS_20050221.1227-CE1
EM20	EGYDAYS_20050221.1227-E1-2
EM21	EGYDAYS_20050221.1227-E22-3
EM22	EGYDAYS_20050221.1227-E2-4
EM23	EGYDAYS_20050221.1227-E3-5
EM24	EGYDAYS_20050221.1227-E22-6
EM25	EGYDAYS_20050221.1227-E15-7
EM26	EGYDAYS_20050221.1227-E15-8
EM27	EGYDAYS_20050221.1227-E20-9
EM28	EGYDAYS_20050221.1227-E22-10
EM29	EGYDAYS_20050221.1227-E4-11
EM30	EGYDAYS_20050221.1227-E4-12
EM31	EGYDAYS_20050221.1227-E4-13
EM32	EGYDAYS_20050221.1227-E4-14
EM33	EGYDAYS_20050221.1227-E5-15
EM34	EGYDAYS_20050221.1227-E18-16
EM35	EGYDAYS_20050221.1227-E18-17
EM36	EGYDAYS_20050221.1227-E18-18
EM37	EGYDAYS_20050221.1227-E18-19
EM38	EGYDAYS_20050221.1227-E18-20
EM40	EGYDAYS_20050221.1227-E6-21
EM41	EGYDAYS_20050221.1227-E7-22
EM42	EGYDAYS_20050221.1227-E8-23
EM43	EGYDAYS_20050221.1227-E7-24
EM44	EGYDAYS_20050221.1227-E7-25
EM46	EGYDAYS_20050221.1227-E9-26
EM47	EGYDAYS_20050221.1227-E20-27
EM48	EGYDAYS_20050221.1227-E20-28
EM49	EGYDAYS_20050221.1227-E20-29
EM50	EGYDAYS_20050221.1227-E20-30
EM51	EGYDAYS_20050221.1227-E20-31
EM52	EGYDAYS_20050221.1227-E10-32
EM53	EGYDAYS_20050221.1227-E11-33
EM55	EGYDAYS_20050221.1227-E18-34
EM56	EGYDAYS_20050221.1227-E12-35
EM57	EGYDAYS_20050221.1227-E12-36
EM58	EGYDAYS_20050221.1227-E13-37
EM59	EGYDAYS_20050221.1227-E14-38
EM60	EGYDAYS_20050221.1227-E17-39
EM61	EGYDAYS_20050221.1227-E13-40
EM62	EGYDAYS_20050221.1227-E13-41
EM63	EGYDAYS_20050221.1227-E20-42
EM68	EGYDAYS_20050221.1227-E22-43
EM64	EGYDAYS_20050221.1227-E22-44
EM65	EGYDAYS_20050221.1227-E18-45
EM66	EGYDAYS_20050221.1227-E18-46
EM67	EGYDAYS_20050221.1227-E18-47
EM2	EGYDAYS_20050221.1227-E15-48
EM3	EGYDAYS_20050221.1227-E16-49
EM4	EGYDAYS_20050221.1227-E17-50
EM5	EGYDAYS_20050221.1227-E18-51
EM6	EGYDAYS_20050221.1227-E18-52
EM7	EGYDAYS_20050221.1227-E18-53
EM8	EGYDAYS_20050221.1227-E18-54
EM9	EGYDAYS_20050221.1227-E19-55
EM10	EGYDAYS_20050221.1227-E15-56
EM11	EGYDAYS_20050221.1227-E20-57
EM12	EGYDAYS_20050221.1227-E15-58
EM13	EGYDAYS_20050221.1227-E21-59
EM14	EGYDAYS_20050221.1227-E22-60
EM15	EGYDAYS_20050221.1227-E22-61
EM16	EGYDAYS_20050221.1227-E23-62
EM17	EGYDAYS_20050221.1227-E24-63
EM18	EGYDAYS_20050221.1227-E25-64
EM19	EGYDAYS_20050221.1227-E25-65
R2	EGYDAYS_20050221.1227-R1
R3	EGYDAYS_20050221.1227-R2
R4	EGYDAYS_20050221.1227-R3
R5	EGYDAYS_20050221.1227-R4
R6	EGYDAYS_20050221.1227-R5
R8	EGYDAYS_20050221.1227-R6
R9	EGYDAYS_20050221.1227-R7
R10	EGYDAYS_20050221.1227-R8
RM12	EGYDAYS_20050221.1227-R8-1
RM2	EGYDAYS_20050221.1227-R1-1
RM3	EGYDAYS_20050221.1227-R2-1
RM4	EGYDAYS_20050221.1227-R8-2
RM5	EGYDAYS_20050221.1227-R4-1
RM7	EGYDAYS_20050221.1227-R5-1
RM9	EGYDAYS_20050221.1227-R6-1
RM10	EGYDAYS_20050221.1227-R7-1
Q3	EGYDAYS_20050221.1227-T1
Q1	EGYDAYS_20050221.1227-T2
Q2	EGYDAYS_20050221.1227-T3
