CE20	CNN_LE_20030504.1200.01-CE1
CE54	CNN_LE_20030504.1200.01-CE44
CE55	CNN_LE_20030504.1200.01-CE45
CE11	CNN_LE_20030504.1200.01-CE46
CE56	CNN_LE_20030504.1200.01-CE47
CE3	CNN_LE_20030504.1200.01-CE48
CE5	CNN_LE_20030504.1200.01-CE49
CE13	CNN_LE_20030504.1200.01-CE50
CE49	CNN_LE_20030504.1200.01-CE51
CE15	CNN_LE_20030504.1200.01-CE52
CE16	CNN_LE_20030504.1200.01-CE53
CE17	CNN_LE_20030504.1200.01-CE54
CE18	CNN_LE_20030504.1200.01-CE55
CE19	CNN_LE_20030504.1200.01-CE56
E14	CNN_LE_20030504.1200.01-E1
E15	CNN_LE_20030504.1200.01-E2
E16	CNN_LE_20030504.1200.01-E3
E17	CNN_LE_20030504.1200.01-E4
E18	CNN_LE_20030504.1200.01-E5
E19	CNN_LE_20030504.1200.01-E6
E20	CNN_LE_20030504.1200.01-E7
E21	CNN_LE_20030504.1200.01-E8
E23	CNN_LE_20030504.1200.01-E9
E69	CNN_LE_20030504.1200.01-E10
E25	CNN_LE_20030504.1200.01-E11
E26	CNN_LE_20030504.1200.01-E12
E27	CNN_LE_20030504.1200.01-E13
E1	CNN_LE_20030504.1200.01-E14
E51	CNN_LE_20030504.1200.01-E15
E30	CNN_LE_20030504.1200.01-E16
E31	CNN_LE_20030504.1200.01-E17
E32	CNN_LE_20030504.1200.01-E18
E33	CNN_LE_20030504.1200.01-E19
E52	CNN_LE_20030504.1200.01-E20
E35	CNN_LE_20030504.1200.01-E21
E37	CNN_LE_20030504.1200.01-E22
E39	CNN_LE_20030504.1200.01-E23
E41	CNN_LE_20030504.1200.01-E24
E43	CNN_LE_20030504.1200.01-E25
E44	CNN_LE_20030504.1200.01-E26
E45	CNN_LE_20030504.1200.01-E27
E46	CNN_LE_20030504.1200.01-E28
E53	CNN_LE_20030504.1200.01-E29
E47	CNN_LE_20030504.1200.01-E30
E49	CNN_LE_20030504.1200.01-E31
E54	CNN_LE_20030504.1200.01-E32
E56	CNN_LE_20030504.1200.01-E33
E57	CNN_LE_20030504.1200.01-E34
E58	CNN_LE_20030504.1200.01-E35
E94	CNN_LE_20030504.1200.01-E36
E59	CNN_LE_20030504.1200.01-E37
E60	CNN_LE_20030504.1200.01-E38
E61	CNN_LE_20030504.1200.01-E39
E62	CNN_LE_20030504.1200.01-E40
E63	CNN_LE_20030504.1200.01-E41
E65	CNN_LE_20030504.1200.01-E42
E66	CNN_LE_20030504.1200.01-E43
E68	CNN_LE_20030504.1200.01-E44
E70	CNN_LE_20030504.1200.01-E45
E72	CNN_LE_20030504.1200.01-E46
E73	CNN_LE_20030504.1200.01-E47
E74	CNN_LE_20030504.1200.01-E48
E2	CNN_LE_20030504.1200.01-E49
E95	CNN_LE_20030504.1200.01-E50
E75	CNN_LE_20030504.1200.01-E51
E96	CNN_LE_20030504.1200.01-E52
E79	CNN_LE_20030504.1200.01-E53
E81	CNN_LE_20030504.1200.01-E54
E82	CNN_LE_20030504.1200.01-E55
E83	CNN_LE_20030504.1200.01-E56
E84	CNN_LE_20030504.1200.01-E57
E85	CNN_LE_20030504.1200.01-E58
E87	CNN_LE_20030504.1200.01-E59
E89	CNN_LE_20030504.1200.01-E60
E90	CNN_LE_20030504.1200.01-E61
E3	CNN_LE_20030504.1200.01-E62
E4	CNN_LE_20030504.1200.01-E63
E91	CNN_LE_20030504.1200.01-E64
E8	CNN_LE_20030504.1200.01-E65
E9	CNN_LE_20030504.1200.01-E66
E10	CNN_LE_20030504.1200.01-E67
E11	CNN_LE_20030504.1200.01-E68
E12	CNN_LE_20030504.1200.01-E69
E13	CNN_LE_20030504.1200.01-E70
EM133	CNN_LE_20030504.1200.01-E64-1
EM17	CNN_LE_20030504.1200.01-E62-2
EM18	CNN_LE_20030504.1200.01-E62-3
EM19	CNN_LE_20030504.1200.01-E69-4
EM20	CNN_LE_20030504.1200.01-E2-5
EM21	CNN_LE_20030504.1200.01-E62-6
EM23	CNN_LE_20030504.1200.01-E69-7
EM24	CNN_LE_20030504.1200.01-E62-8
EM25	CNN_LE_20030504.1200.01-E4-9
EM26	CNN_LE_20030504.1200.01-E69-10
EM27	CNN_LE_20030504.1200.01-E5-11
EM28	CNN_LE_20030504.1200.01-E3-12
EM29	CNN_LE_20030504.1200.01-E62-13
EM30	CNN_LE_20030504.1200.01-E65-14
EM31	CNN_LE_20030504.1200.01-E65-15
EM32	CNN_LE_20030504.1200.01-E62-16
EM33	CNN_LE_20030504.1200.01-E65-17
EM168	CNN_LE_20030504.1200.01-E62-18
EM34	CNN_LE_20030504.1200.01-E62-19
EM35	CNN_LE_20030504.1200.01-E65-20
EM36	CNN_LE_20030504.1200.01-E62-21
EM37	CNN_LE_20030504.1200.01-E69-22
EM38	CNN_LE_20030504.1200.01-E6-23
EM39	CNN_LE_20030504.1200.01-E65-24
EM40	CNN_LE_20030504.1200.01-E65-25
EM169	CNN_LE_20030504.1200.01-E62-26
EM41	CNN_LE_20030504.1200.01-E65-27
EM42	CNN_LE_20030504.1200.01-E62-28
EM43	CNN_LE_20030504.1200.01-E65-29
EM44	CNN_LE_20030504.1200.01-E65-30
EM170	CNN_LE_20030504.1200.01-E62-31
EM45	CNN_LE_20030504.1200.01-E69-32
EM46	CNN_LE_20030504.1200.01-E70-33
EM47	CNN_LE_20030504.1200.01-E62-34
EM48	CNN_LE_20030504.1200.01-E7-35
EM49	CNN_LE_20030504.1200.01-E7-36
EM50	CNN_LE_20030504.1200.01-E8-37
EM98	CNN_LE_20030504.1200.01-E34-38
EM99	CNN_LE_20030504.1200.01-E14-39
EM127	CNN_LE_20030504.1200.01-E10-40
EM52	CNN_LE_20030504.1200.01-E11-41
EM53	CNN_LE_20030504.1200.01-E12-42
EM100	CNN_LE_20030504.1200.01-E15-43
EM55	CNN_LE_20030504.1200.01-E13-44
EM54	CNN_LE_20030504.1200.01-E7-45
EM56	CNN_LE_20030504.1200.01-E7-46
EM139	CNN_LE_20030504.1200.01-E64-47
EM57	CNN_LE_20030504.1200.01-E62-48
EM58	CNN_LE_20030504.1200.01-E69-49
EM59	CNN_LE_20030504.1200.01-E62-50
EM9	CNN_LE_20030504.1200.01-E65-51
EM171	CNN_LE_20030504.1200.01-E62-52
EM60	CNN_LE_20030504.1200.01-E14-53
EM91	CNN_LE_20030504.1200.01-E30-54
EM61	CNN_LE_20030504.1200.01-E62-55
EM63	CNN_LE_20030504.1200.01-E62-56
EM62	CNN_LE_20030504.1200.01-E69-57
EM101	CNN_LE_20030504.1200.01-E20-58
EM64	CNN_LE_20030504.1200.01-E16-59
EM65	CNN_LE_20030504.1200.01-E5-60
EM66	CNN_LE_20030504.1200.01-E17-61
EM67	CNN_LE_20030504.1200.01-E18-62
EM68	CNN_LE_20030504.1200.01-E19-63
EM102	CNN_LE_20030504.1200.01-E29-64
EM69	CNN_LE_20030504.1200.01-E21-65
EM74	CNN_LE_20030504.1200.01-E3-66
EM70	CNN_LE_20030504.1200.01-E22-67
EM172	CNN_LE_20030504.1200.01-E62-68
EM71	CNN_LE_20030504.1200.01-E23-69
EM72	CNN_LE_20030504.1200.01-E24-70
EM173	CNN_LE_20030504.1200.01-E62-71
EM73	CNN_LE_20030504.1200.01-E25-72
EM75	CNN_LE_20030504.1200.01-E7-73
EM76	CNN_LE_20030504.1200.01-E7-74
EM77	CNN_LE_20030504.1200.01-E69-75
EM78	CNN_LE_20030504.1200.01-E62-76
EM79	CNN_LE_20030504.1200.01-E26-77
EM80	CNN_LE_20030504.1200.01-E27-78
EM81	CNN_LE_20030504.1200.01-E28-79
EM174	CNN_LE_20030504.1200.01-E62-80
EM83	CNN_LE_20030504.1200.01-E27-81
EM84	CNN_LE_20030504.1200.01-E27-82
EM85	CNN_LE_20030504.1200.01-E30-83
EM86	CNN_LE_20030504.1200.01-E11-84
EM87	CNN_LE_20030504.1200.01-E11-85
EM88	CNN_LE_20030504.1200.01-E12-86
EM89	CNN_LE_20030504.1200.01-E27-87
EM90	CNN_LE_20030504.1200.01-E27-88
EM5	CNN_LE_20030504.1200.01-E36-89
EM92	CNN_LE_20030504.1200.01-E31-90
EM93	CNN_LE_20030504.1200.01-E69-91
EM1	CNN_LE_20030504.1200.01-E49-92
EM94	CNN_LE_20030504.1200.01-E62-93
EM95	CNN_LE_20030504.1200.01-E14-94
EM96	CNN_LE_20030504.1200.01-E14-95
EM97	CNN_LE_20030504.1200.01-E62-96
EM128	CNN_LE_20030504.1200.01-E34-97
EM103	CNN_LE_20030504.1200.01-E32-98
EM104	CNN_LE_20030504.1200.01-E33-99
EM175	CNN_LE_20030504.1200.01-E14-100
EM105	CNN_LE_20030504.1200.01-E62-101
EM106	CNN_LE_20030504.1200.01-E34-102
EM107	CNN_LE_20030504.1200.01-E34-103
EM108	CNN_LE_20030504.1200.01-E32-104
EM109	CNN_LE_20030504.1200.01-E29-105
EM110	CNN_LE_20030504.1200.01-E35-106
EM152	CNN_LE_20030504.1200.01-E50-107
EM111	CNN_LE_20030504.1200.01-E34-108
EM112	CNN_LE_20030504.1200.01-E34-109
EM113	CNN_LE_20030504.1200.01-E37-110
EM114	CNN_LE_20030504.1200.01-E38-111
EM115	CNN_LE_20030504.1200.01-E34-112
EM116	CNN_LE_20030504.1200.01-E39-113
EM117	CNN_LE_20030504.1200.01-E40-114
EM118	CNN_LE_20030504.1200.01-E39-115
EM119	CNN_LE_20030504.1200.01-E41-116
EM120	CNN_LE_20030504.1200.01-E9-117
EM121	CNN_LE_20030504.1200.01-E9-118
EM122	CNN_LE_20030504.1200.01-E42-119
EM123	CNN_LE_20030504.1200.01-E43-120
EM124	CNN_LE_20030504.1200.01-E44-121
EM129	CNN_LE_20030504.1200.01-E34-122
EM125	CNN_LE_20030504.1200.01-E43-123
EM130	CNN_LE_20030504.1200.01-E9-124
EM131	CNN_LE_20030504.1200.01-E45-125
EM132	CNN_LE_20030504.1200.01-E9-126
EM134	CNN_LE_20030504.1200.01-E46-127
EM176	CNN_LE_20030504.1200.01-E14-128
EM135	CNN_LE_20030504.1200.01-E47-129
EM136	CNN_LE_20030504.1200.01-E48-130
EM138	CNN_LE_20030504.1200.01-E48-131
EM140	CNN_LE_20030504.1200.01-E9-132
EM141	CNN_LE_20030504.1200.01-E34-133
EM142	CNN_LE_20030504.1200.01-E34-134
EM143	CNN_LE_20030504.1200.01-E9-135
EM144	CNN_LE_20030504.1200.01-E62-136
EM145	CNN_LE_20030504.1200.01-E62-137
EM146	CNN_LE_20030504.1200.01-E9-138
EM147	CNN_LE_20030504.1200.01-E51-139
EM148	CNN_LE_20030504.1200.01-E51-140
EM149	CNN_LE_20030504.1200.01-E51-141
EM153	CNN_LE_20030504.1200.01-E50-142
EM22	CNN_LE_20030504.1200.01-E52-143
EM151	CNN_LE_20030504.1200.01-E62-144
EM137	CNN_LE_20030504.1200.01-E48-145
EM154	CNN_LE_20030504.1200.01-E62-146
EM155	CNN_LE_20030504.1200.01-E53-147
EM156	CNN_LE_20030504.1200.01-E54-148
EM177	CNN_LE_20030504.1200.01-E14-149
EM157	CNN_LE_20030504.1200.01-E55-150
EM158	CNN_LE_20030504.1200.01-E56-151
EM159	CNN_LE_20030504.1200.01-E57-152
EM160	CNN_LE_20030504.1200.01-E58-153
EM162	CNN_LE_20030504.1200.01-E59-154
EM178	CNN_LE_20030504.1200.01-E14-155
EM161	CNN_LE_20030504.1200.01-E53-156
EM163	CNN_LE_20030504.1200.01-E53-157
EM164	CNN_LE_20030504.1200.01-E53-158
EM165	CNN_LE_20030504.1200.01-E53-159
EM166	CNN_LE_20030504.1200.01-E62-160
EM167	CNN_LE_20030504.1200.01-E4-161
EM150	CNN_LE_20030504.1200.01-E60-162
EM2	CNN_LE_20030504.1200.01-E14-163
EM51	CNN_LE_20030504.1200.01-E61-164
EM179	CNN_LE_20030504.1200.01-E14-165
EM180	CNN_LE_20030504.1200.01-E14-166
EM181	CNN_LE_20030504.1200.01-E14-167
EM182	CNN_LE_20030504.1200.01-E14-168
EM126	CNN_LE_20030504.1200.01-E34-169
EM3	CNN_LE_20030504.1200.01-E62-170
EM4	CNN_LE_20030504.1200.01-E62-171
EM6	CNN_LE_20030504.1200.01-E63-172
EM7	CNN_LE_20030504.1200.01-E14-173
EM8	CNN_LE_20030504.1200.01-E62-174
EM10	CNN_LE_20030504.1200.01-E66-175
EM11	CNN_LE_20030504.1200.01-E67-176
EM12	CNN_LE_20030504.1200.01-E68-177
EM13	CNN_LE_20030504.1200.01-E62-178
EM14	CNN_LE_20030504.1200.01-E69-179
EM15	CNN_LE_20030504.1200.01-E70-180
EM16	CNN_LE_20030504.1200.01-E1-181
R2	CNN_LE_20030504.1200.01-R1
R1	CNN_LE_20030504.1200.01-R2
R4	CNN_LE_20030504.1200.01-R3
R3	CNN_LE_20030504.1200.01-R4
R5	CNN_LE_20030504.1200.01-R5
R6	CNN_LE_20030504.1200.01-R6
R15	CNN_LE_20030504.1200.01-R7
R7	CNN_LE_20030504.1200.01-R8
R8	CNN_LE_20030504.1200.01-R9
R9	CNN_LE_20030504.1200.01-R10
R10	CNN_LE_20030504.1200.01-R11
R11	CNN_LE_20030504.1200.01-R12
R12	CNN_LE_20030504.1200.01-R13
R13	CNN_LE_20030504.1200.01-R14
R14	CNN_LE_20030504.1200.01-R15
R18	CNN_LE_20030504.1200.01-R16
R19	CNN_LE_20030504.1200.01-R17
R16	CNN_LE_20030504.1200.01-R18
R17	CNN_LE_20030504.1200.01-R19
RM2	CNN_LE_20030504.1200.01-R1-1
RM4	CNN_LE_20030504.1200.01-R1-2
RM1	CNN_LE_20030504.1200.01-R2-1
RM15	CNN_LE_20030504.1200.01-R7-1
RM3	CNN_LE_20030504.1200.01-R4-1
RM5	CNN_LE_20030504.1200.01-R5-1
RM6	CNN_LE_20030504.1200.01-R6-1
RM7	CNN_LE_20030504.1200.01-R8-1
RM8	CNN_LE_20030504.1200.01-R7-2
RM9	CNN_LE_20030504.1200.01-R10-1
RM10	CNN_LE_20030504.1200.01-R11-1
RM11	CNN_LE_20030504.1200.01-R12-1
RM12	CNN_LE_20030504.1200.01-R13-1
RM13	CNN_LE_20030504.1200.01-R14-1
RM14	CNN_LE_20030504.1200.01-R15-1
RM18	CNN_LE_20030504.1200.01-R16-1
RM19	CNN_LE_20030504.1200.01-R17-1
RM16	CNN_LE_20030504.1200.01-R18-1
RM17	CNN_LE_20030504.1200.01-R19-1
V7	CNN_LE_20030504.1200.01-EV1
V8	CNN_LE_20030504.1200.01-EV2
V9	CNN_LE_20030504.1200.01-EV3
V4	CNN_LE_20030504.1200.01-EV4
V1	CNN_LE_20030504.1200.01-EV5
V2	CNN_LE_20030504.1200.01-EV6
V3	CNN_LE_20030504.1200.01-EV7
V5	CNN_LE_20030504.1200.01-EV8
V6	CNN_LE_20030504.1200.01-EV9
V10	CNN_LE_20030504.1200.01-EV10
VM10	CNN_LE_20030504.1200.01-EV1-1
VM13	CNN_LE_20030504.1200.01-EV5-1
VM14	CNN_LE_20030504.1200.01-EV2-1
VM15	CNN_LE_20030504.1200.01-EV3-1
VM5	CNN_LE_20030504.1200.01-EV4-1
VM1	CNN_LE_20030504.1200.01-EV5-2
VM2	CNN_LE_20030504.1200.01-EV5-3
VM3	CNN_LE_20030504.1200.01-EV6-1
VM4	CNN_LE_20030504.1200.01-EV7-1
VM16	CNN_LE_20030504.1200.01-EV10-1
VM6	CNN_LE_20030504.1200.01-EV8-1
VM7	CNN_LE_20030504.1200.01-EV8-2
VM8	CNN_LE_20030504.1200.01-EV8-3
VM9	CNN_LE_20030504.1200.01-EV9-1
VM11	CNN_LE_20030504.1200.01-EV5-4
VM12	CNN_LE_20030504.1200.01-EV4-2
Q1	CNN_LE_20030504.1200.01-T1
Q13	CNN_LE_20030504.1200.01-T2
Q12	CNN_LE_20030504.1200.01-V1
Q2	CNN_LE_20030504.1200.01-T3
Q3	CNN_LE_20030504.1200.01-T4
Q4	CNN_LE_20030504.1200.01-T5
Q5	CNN_LE_20030504.1200.01-T6
Q6	CNN_LE_20030504.1200.01-T7
Q7	CNN_LE_20030504.1200.01-T8
Q8	CNN_LE_20030504.1200.01-T9
Q9	CNN_LE_20030504.1200.01-T10
Q10	CNN_LE_20030504.1200.01-T11
Q11	CNN_LE_20030504.1200.01-T12
QM12	CNN_LE_20030504.1200.01-V1-1
