CE11	CNN_LE_20030504.1200.01-CE1
CE8	CNN_LE_20030504.1200.01-CE54
CE9	CNN_LE_20030504.1200.01-CE55
CE10	CNN_LE_20030504.1200.01-CE56
E14	CNN_LE_20030504.1200.01-E1
E15	CNN_LE_20030504.1200.01-E2
E16	CNN_LE_20030504.1200.01-E3
E17	CNN_LE_20030504.1200.01-E4
E18	CNN_LE_20030504.1200.01-E5
E19	CNN_LE_20030504.1200.01-E6
E20	CNN_LE_20030504.1200.01-E7
E21	CNN_LE_20030504.1200.01-E8
E50	CNN_LE_20030504.1200.01-E9
E23	CNN_LE_20030504.1200.01-E10
E69	CNN_LE_20030504.1200.01-E11
E25	CNN_LE_20030504.1200.01-E12
E26	CNN_LE_20030504.1200.01-E13
E27	CNN_LE_20030504.1200.01-E14
E1	CNN_LE_20030504.1200.01-E15
E51	CNN_LE_20030504.1200.01-E16
E30	CNN_LE_20030504.1200.01-E17
E31	CNN_LE_20030504.1200.01-E18
E32	CNN_LE_20030504.1200.01-E19
E33	CNN_LE_20030504.1200.01-E20
E52	CNN_LE_20030504.1200.01-E21
E35	CNN_LE_20030504.1200.01-E22
E37	CNN_LE_20030504.1200.01-E23
E39	CNN_LE_20030504.1200.01-E24
E41	CNN_LE_20030504.1200.01-E25
E43	CNN_LE_20030504.1200.01-E26
E44	CNN_LE_20030504.1200.01-E27
E45	CNN_LE_20030504.1200.01-E28
E46	CNN_LE_20030504.1200.01-E29
E53	CNN_LE_20030504.1200.01-E30
E47	CNN_LE_20030504.1200.01-E31
E49	CNN_LE_20030504.1200.01-E32
E54	CNN_LE_20030504.1200.01-E33
E56	CNN_LE_20030504.1200.01-E34
E57	CNN_LE_20030504.1200.01-E35
E58	CNN_LE_20030504.1200.01-E36
E59	CNN_LE_20030504.1200.01-E37
E60	CNN_LE_20030504.1200.01-E38
E61	CNN_LE_20030504.1200.01-E39
E62	CNN_LE_20030504.1200.01-E40
E63	CNN_LE_20030504.1200.01-E41
E65	CNN_LE_20030504.1200.01-E42
E66	CNN_LE_20030504.1200.01-E43
E68	CNN_LE_20030504.1200.01-E44
E70	CNN_LE_20030504.1200.01-E45
E72	CNN_LE_20030504.1200.01-E46
E73	CNN_LE_20030504.1200.01-E47
E74	CNN_LE_20030504.1200.01-E48
E2	CNN_LE_20030504.1200.01-E49
E75	CNN_LE_20030504.1200.01-E50
E77	CNN_LE_20030504.1200.01-E51
E78	CNN_LE_20030504.1200.01-E52
E79	CNN_LE_20030504.1200.01-E53
E81	CNN_LE_20030504.1200.01-E54
E82	CNN_LE_20030504.1200.01-E55
E83	CNN_LE_20030504.1200.01-E56
E84	CNN_LE_20030504.1200.01-E57
E85	CNN_LE_20030504.1200.01-E58
E87	CNN_LE_20030504.1200.01-E59
E89	CNN_LE_20030504.1200.01-E60
E90	CNN_LE_20030504.1200.01-E61
E3	CNN_LE_20030504.1200.01-E62
E4	CNN_LE_20030504.1200.01-E63
E6	CNN_LE_20030504.1200.01-E64
E7	CNN_LE_20030504.1200.01-E65
E8	CNN_LE_20030504.1200.01-E66
E9	CNN_LE_20030504.1200.01-E67
E10	CNN_LE_20030504.1200.01-E68
E11	CNN_LE_20030504.1200.01-E69
E12	CNN_LE_20030504.1200.01-E70
E13	CNN_LE_20030504.1200.01-E71
EM1	CNN_LE_20030504.1200.01-E15-1
EM19	CNN_LE_20030504.1200.01-E62-2
EM20	CNN_LE_20030504.1200.01-E62-3
EM21	CNN_LE_20030504.1200.01-E62-4
EM22	CNN_LE_20030504.1200.01-E70-5
EM23	CNN_LE_20030504.1200.01-E2-6
EM24	CNN_LE_20030504.1200.01-E62-7
EM25	CNN_LE_20030504.1200.01-E3-8
EM26	CNN_LE_20030504.1200.01-E70-9
EM27	CNN_LE_20030504.1200.01-E62-10
EM28	CNN_LE_20030504.1200.01-E4-11
EM29	CNN_LE_20030504.1200.01-E70-12
EM30	CNN_LE_20030504.1200.01-E5-13
EM31	CNN_LE_20030504.1200.01-E3-14
EM32	CNN_LE_20030504.1200.01-E15-15
EM33	CNN_LE_20030504.1200.01-E62-16
EM34	CNN_LE_20030504.1200.01-E66-17
EM35	CNN_LE_20030504.1200.01-E66-18
EM36	CNN_LE_20030504.1200.01-E62-19
EM37	CNN_LE_20030504.1200.01-E66-20
EM38	CNN_LE_20030504.1200.01-E62-21
EM39	CNN_LE_20030504.1200.01-E62-22
EM40	CNN_LE_20030504.1200.01-E66-23
EM41	CNN_LE_20030504.1200.01-E62-24
EM42	CNN_LE_20030504.1200.01-E70-25
EM43	CNN_LE_20030504.1200.01-E6-26
EM44	CNN_LE_20030504.1200.01-E66-27
EM45	CNN_LE_20030504.1200.01-E66-28
EM112	CNN_LE_20030504.1200.01-E9-29
EM47	CNN_LE_20030504.1200.01-E66-30
EM48	CNN_LE_20030504.1200.01-E62-31
EM49	CNN_LE_20030504.1200.01-E66-32
EM50	CNN_LE_20030504.1200.01-E66-33
EM51	CNN_LE_20030504.1200.01-E15-34
EM52	CNN_LE_20030504.1200.01-E70-35
EM53	CNN_LE_20030504.1200.01-E71-36
EM54	CNN_LE_20030504.1200.01-E62-37
EM55	CNN_LE_20030504.1200.01-E7-38
EM56	CNN_LE_20030504.1200.01-E7-39
EM57	CNN_LE_20030504.1200.01-E8-40
EM113	CNN_LE_20030504.1200.01-E15-41
EM146	CNN_LE_20030504.1200.01-E11-42
EM59	CNN_LE_20030504.1200.01-E12-43
EM60	CNN_LE_20030504.1200.01-E13-44
EM114	CNN_LE_20030504.1200.01-E16-45
EM62	CNN_LE_20030504.1200.01-E14-46
EM63	CNN_LE_20030504.1200.01-E7-47
EM64	CNN_LE_20030504.1200.01-E7-48
EM65	CNN_LE_20030504.1200.01-E62-49
EM66	CNN_LE_20030504.1200.01-E62-50
EM67	CNN_LE_20030504.1200.01-E70-51
EM68	CNN_LE_20030504.1200.01-E62-52
EM69	CNN_LE_20030504.1200.01-E15-53
EM70	CNN_LE_20030504.1200.01-E15-54
EM71	CNN_LE_20030504.1200.01-E62-55
EM72	CNN_LE_20030504.1200.01-E62-56
EM73	CNN_LE_20030504.1200.01-E62-57
EM75	CNN_LE_20030504.1200.01-E70-58
EM117	CNN_LE_20030504.1200.01-E21-59
EM76	CNN_LE_20030504.1200.01-E17-60
EM77	CNN_LE_20030504.1200.01-E5-61
EM78	CNN_LE_20030504.1200.01-E18-62
EM79	CNN_LE_20030504.1200.01-E19-63
EM80	CNN_LE_20030504.1200.01-E20-64
EM118	CNN_LE_20030504.1200.01-E30-65
EM82	CNN_LE_20030504.1200.01-E22-66
EM83	CNN_LE_20030504.1200.01-E3-67
EM84	CNN_LE_20030504.1200.01-E23-68
EM85	CNN_LE_20030504.1200.01-E24-69
EM86	CNN_LE_20030504.1200.01-E25-70
EM87	CNN_LE_20030504.1200.01-E26-71
EM88	CNN_LE_20030504.1200.01-E7-72
EM89	CNN_LE_20030504.1200.01-E7-73
EM90	CNN_LE_20030504.1200.01-E70-74
EM91	CNN_LE_20030504.1200.01-E62-75
EM92	CNN_LE_20030504.1200.01-E27-76
EM93	CNN_LE_20030504.1200.01-E28-77
EM94	CNN_LE_20030504.1200.01-E29-78
EM96	CNN_LE_20030504.1200.01-E28-79
EM97	CNN_LE_20030504.1200.01-E28-80
EM98	CNN_LE_20030504.1200.01-E31-81
EM99	CNN_LE_20030504.1200.01-E12-82
EM100	CNN_LE_20030504.1200.01-E12-83
EM101	CNN_LE_20030504.1200.01-E13-84
EM102	CNN_LE_20030504.1200.01-E28-85
EM103	CNN_LE_20030504.1200.01-E28-86
EM104	CNN_LE_20030504.1200.01-E7-87
EM105	CNN_LE_20030504.1200.01-E32-88
EM106	CNN_LE_20030504.1200.01-E70-89
EM2	CNN_LE_20030504.1200.01-E49-90
EM107	CNN_LE_20030504.1200.01-E62-91
EM108	CNN_LE_20030504.1200.01-E15-92
EM109	CNN_LE_20030504.1200.01-E15-93
EM110	CNN_LE_20030504.1200.01-E15-94
EM111	CNN_LE_20030504.1200.01-E62-95
EM147	CNN_LE_20030504.1200.01-E35-96
EM120	CNN_LE_20030504.1200.01-E33-97
EM121	CNN_LE_20030504.1200.01-E34-98
EM122	CNN_LE_20030504.1200.01-E62-99
EM123	CNN_LE_20030504.1200.01-E35-100
EM124	CNN_LE_20030504.1200.01-E35-101
EM125	CNN_LE_20030504.1200.01-E33-102
EM126	CNN_LE_20030504.1200.01-E30-103
EM127	CNN_LE_20030504.1200.01-E36-104
EM128	CNN_LE_20030504.1200.01-E62-105
EM129	CNN_LE_20030504.1200.01-E35-106
EM130	CNN_LE_20030504.1200.01-E35-107
EM131	CNN_LE_20030504.1200.01-E37-108
EM132	CNN_LE_20030504.1200.01-E38-109
EM133	CNN_LE_20030504.1200.01-E35-110
EM134	CNN_LE_20030504.1200.01-E39-111
EM135	CNN_LE_20030504.1200.01-E40-112
EM136	CNN_LE_20030504.1200.01-E39-113
EM137	CNN_LE_20030504.1200.01-E41-114
EM138	CNN_LE_20030504.1200.01-E10-115
EM139	CNN_LE_20030504.1200.01-E10-116
EM141	CNN_LE_20030504.1200.01-E42-117
EM142	CNN_LE_20030504.1200.01-E43-118
EM143	CNN_LE_20030504.1200.01-E44-119
EM148	CNN_LE_20030504.1200.01-E35-120
EM144	CNN_LE_20030504.1200.01-E43-121
EM149	CNN_LE_20030504.1200.01-E10-122
EM150	CNN_LE_20030504.1200.01-E45-123
EM151	CNN_LE_20030504.1200.01-E10-124
EM152	CNN_LE_20030504.1200.01-E46-125
EM153	CNN_LE_20030504.1200.01-E47-126
EM154	CNN_LE_20030504.1200.01-E48-127
EM155	CNN_LE_20030504.1200.01-E48-128
EM156	CNN_LE_20030504.1200.01-E10-129
EM157	CNN_LE_20030504.1200.01-E35-130
EM158	CNN_LE_20030504.1200.01-E35-131
EM159	CNN_LE_20030504.1200.01-E10-132
EM160	CNN_LE_20030504.1200.01-E62-133
EM161	CNN_LE_20030504.1200.01-E62-134
EM162	CNN_LE_20030504.1200.01-E10-135
EM163	CNN_LE_20030504.1200.01-E15-136
EM164	CNN_LE_20030504.1200.01-E50-137
EM165	CNN_LE_20030504.1200.01-E50-138
EM166	CNN_LE_20030504.1200.01-E50-139
EM168	CNN_LE_20030504.1200.01-E62-140
EM169	CNN_LE_20030504.1200.01-E15-141
EM170	CNN_LE_20030504.1200.01-E62-142
EM171	CNN_LE_20030504.1200.01-E62-143
EM173	CNN_LE_20030504.1200.01-E51-144
EM172	CNN_LE_20030504.1200.01-E52-145
EM174	CNN_LE_20030504.1200.01-E62-146
EM175	CNN_LE_20030504.1200.01-E53-147
EM176	CNN_LE_20030504.1200.01-E54-148
EM177	CNN_LE_20030504.1200.01-E55-149
EM178	CNN_LE_20030504.1200.01-E56-150
EM180	CNN_LE_20030504.1200.01-E57-151
EM181	CNN_LE_20030504.1200.01-E58-152
EM183	CNN_LE_20030504.1200.01-E59-153
EM182	CNN_LE_20030504.1200.01-E53-154
EM184	CNN_LE_20030504.1200.01-E53-155
EM185	CNN_LE_20030504.1200.01-E53-156
EM187	CNN_LE_20030504.1200.01-E53-157
EM188	CNN_LE_20030504.1200.01-E62-158
EM189	CNN_LE_20030504.1200.01-E4-159
EM167	CNN_LE_20030504.1200.01-E60-160
EM3	CNN_LE_20030504.1200.01-E15-161
EM191	CNN_LE_20030504.1200.01-E61-162
EM145	CNN_LE_20030504.1200.01-E35-163
EM4	CNN_LE_20030504.1200.01-E62-164
EM5	CNN_LE_20030504.1200.01-E62-165
EM6	CNN_LE_20030504.1200.01-E63-166
EM7	CNN_LE_20030504.1200.01-E64-167
EM8	CNN_LE_20030504.1200.01-E15-168
EM9	CNN_LE_20030504.1200.01-E15-169
EM10	CNN_LE_20030504.1200.01-E62-170
EM11	CNN_LE_20030504.1200.01-E65-171
EM12	CNN_LE_20030504.1200.01-E67-172
EM13	CNN_LE_20030504.1200.01-E68-173
EM14	CNN_LE_20030504.1200.01-E69-174
EM15	CNN_LE_20030504.1200.01-E62-175
EM16	CNN_LE_20030504.1200.01-E70-176
EM17	CNN_LE_20030504.1200.01-E71-177
EM18	CNN_LE_20030504.1200.01-E1-178
R1	CNN_LE_20030504.1200.01-R1
R2	CNN_LE_20030504.1200.01-R2
R3	CNN_LE_20030504.1200.01-R3
R4	CNN_LE_20030504.1200.01-R4
R5	CNN_LE_20030504.1200.01-R5
R6	CNN_LE_20030504.1200.01-R6
R7	CNN_LE_20030504.1200.01-R7
R8	CNN_LE_20030504.1200.01-R8
R9	CNN_LE_20030504.1200.01-R9
R10	CNN_LE_20030504.1200.01-R10
R11	CNN_LE_20030504.1200.01-R11
R12	CNN_LE_20030504.1200.01-R12
R13	CNN_LE_20030504.1200.01-R13
R14	CNN_LE_20030504.1200.01-R14
R15	CNN_LE_20030504.1200.01-R15
R16	CNN_LE_20030504.1200.01-R16
RM1	CNN_LE_20030504.1200.01-R1-1
RM2	CNN_LE_20030504.1200.01-R2-1
RM3	CNN_LE_20030504.1200.01-R3-1
RM4	CNN_LE_20030504.1200.01-R4-1
RM5	CNN_LE_20030504.1200.01-R5-1
RM6	CNN_LE_20030504.1200.01-R6-1
RM8	CNN_LE_20030504.1200.01-R7-1
RM9	CNN_LE_20030504.1200.01-R8-1
RM10	CNN_LE_20030504.1200.01-R9-1
RM11	CNN_LE_20030504.1200.01-R10-1
RM12	CNN_LE_20030504.1200.01-R11-1
RM13	CNN_LE_20030504.1200.01-R12-1
RM15	CNN_LE_20030504.1200.01-R13-1
RM16	CNN_LE_20030504.1200.01-R14-1
RM17	CNN_LE_20030504.1200.01-R15-1
RM18	CNN_LE_20030504.1200.01-R16-1
V9	CNN_LE_20030504.1200.01-EV1
V10	CNN_LE_20030504.1200.01-EV2
V11	CNN_LE_20030504.1200.01-EV3
V1	CNN_LE_20030504.1200.01-EV4
V2	CNN_LE_20030504.1200.01-EV5
V3	CNN_LE_20030504.1200.01-EV6
V4	CNN_LE_20030504.1200.01-EV7
V6	CNN_LE_20030504.1200.01-EV8
V7	CNN_LE_20030504.1200.01-EV9
VM12	CNN_LE_20030504.1200.01-EV1-1
VM13	CNN_LE_20030504.1200.01-EV4-1
VM14	CNN_LE_20030504.1200.01-EV2-1
VM15	CNN_LE_20030504.1200.01-EV3-1
VM1	CNN_LE_20030504.1200.01-EV4-2
VM2	CNN_LE_20030504.1200.01-EV4-3
VM3	CNN_LE_20030504.1200.01-EV5-1
VM4	CNN_LE_20030504.1200.01-EV6-1
VM5	CNN_LE_20030504.1200.01-EV7-1
VM6	CNN_LE_20030504.1200.01-EV7-2
VM7	CNN_LE_20030504.1200.01-EV8-1
VM8	CNN_LE_20030504.1200.01-EV8-2
VM9	CNN_LE_20030504.1200.01-EV8-3
VM10	CNN_LE_20030504.1200.01-EV9-1
Q1	CNN_LE_20030504.1200.01-T1
Q12	CNN_LE_20030504.1200.01-V1
Q2	CNN_LE_20030504.1200.01-T2
Q3	CNN_LE_20030504.1200.01-T3
Q4	CNN_LE_20030504.1200.01-T4
Q5	CNN_LE_20030504.1200.01-T5
Q6	CNN_LE_20030504.1200.01-T6
Q7	CNN_LE_20030504.1200.01-T7
Q8	CNN_LE_20030504.1200.01-T8
Q9	CNN_LE_20030504.1200.01-T9
Q10	CNN_LE_20030504.1200.01-T10
Q11	CNN_LE_20030504.1200.01-T11
QM12	CNN_LE_20030504.1200.01-V1-1
