CE17	TTRACY_20050223.1049-CE1
EM83	TTRACY_20050223.1049-E12-57
EM84	TTRACY_20050223.1049-E18-58
EM85	TTRACY_20050223.1049-E12-59
EM86	TTRACY_20050223.1049-E19-60
EM87	TTRACY_20050223.1049-E20-61
EM88	TTRACY_20050223.1049-E12-62
EM89	TTRACY_20050223.1049-E12-63
EM90	TTRACY_20050223.1049-E21-64
EM91	TTRACY_20050223.1049-E19-65
EM92	TTRACY_20050223.1049-E12-66
EM93	TTRACY_20050223.1049-E22-67
EM108	TTRACY_20050223.1049-E12-68
EM94	TTRACY_20050223.1049-E12-69
EM95	TTRACY_20050223.1049-E12-70
EM96	TTRACY_20050223.1049-E12-71
EM97	TTRACY_20050223.1049-E23-72
EM24	TTRACY_20050223.1049-E28-73
EM98	TTRACY_20050223.1049-E24-74
EM99	TTRACY_20050223.1049-E5-75
EM100	TTRACY_20050223.1049-E16-76
EM101	TTRACY_20050223.1049-E12-77
EM102	TTRACY_20050223.1049-E25-78
EM103	TTRACY_20050223.1049-E12-79
EM104	TTRACY_20050223.1049-E12-80
EM105	TTRACY_20050223.1049-E12-81
EM106	TTRACY_20050223.1049-E26-82
EM107	TTRACY_20050223.1049-E12-83
EM20	TTRACY_20050223.1049-E27-84
EM1	TTRACY_20050223.1049-E12-85
EM8	TTRACY_20050223.1049-E12-86
EM35	TTRACY_20050223.1049-E21-87
EM37	TTRACY_20050223.1049-E34-88
EM41	TTRACY_20050223.1049-E34-89
EM17	TTRACY_20050223.1049-E6-90
EM2	TTRACY_20050223.1049-E29-91
EM3	TTRACY_20050223.1049-E12-92
EM4	TTRACY_20050223.1049-E30-93
EM5	TTRACY_20050223.1049-E31-94
EM6	TTRACY_20050223.1049-E32-95
EM7	TTRACY_20050223.1049-E12-96
EM9	TTRACY_20050223.1049-E30-97
EM10	TTRACY_20050223.1049-E33-98
EM11	TTRACY_20050223.1049-E34-99
EM12	TTRACY_20050223.1049-E34-100
EM13	TTRACY_20050223.1049-E30-101
EM14	TTRACY_20050223.1049-E12-102
EM15	TTRACY_20050223.1049-E34-103
EM16	TTRACY_20050223.1049-E34-104
EM18	TTRACY_20050223.1049-E12-105
EM19	TTRACY_20050223.1049-E12-106
EM21	TTRACY_20050223.1049-E35-107
EM22	TTRACY_20050223.1049-E12-108
R6	TTRACY_20050223.1049-R1
R8	TTRACY_20050223.1049-R2
R1	TTRACY_20050223.1049-R3
R4	TTRACY_20050223.1049-R4
R3	TTRACY_20050223.1049-R5
R5	TTRACY_20050223.1049-R6
R7	TTRACY_20050223.1049-R7
R10	TTRACY_20050223.1049-R8
R11	TTRACY_20050223.1049-R9
R12	TTRACY_20050223.1049-R10
R2	TTRACY_20050223.1049-R11
RM6	TTRACY_20050223.1049-R7-1
RM8	TTRACY_20050223.1049-R2-1
RM1	TTRACY_20050223.1049-R3-1
RM4	TTRACY_20050223.1049-R4-1
RM3	TTRACY_20050223.1049-R5-1
RM5	TTRACY_20050223.1049-R6-1
RM10	TTRACY_20050223.1049-R8-1
RM11	TTRACY_20050223.1049-R9-1
RM12	TTRACY_20050223.1049-R10-1
RM2	TTRACY_20050223.1049-R11-1
RM7	TTRACY_20050223.1049-R1-1
V4	TTRACY_20050223.1049-EV1
V1	TTRACY_20050223.1049-EV2
V2	TTRACY_20050223.1049-EV3
V3	TTRACY_20050223.1049-EV4
VM4	TTRACY_20050223.1049-EV1-1
VM1	TTRACY_20050223.1049-EV2-1
VM2	TTRACY_20050223.1049-EV3-1
VM3	TTRACY_20050223.1049-EV4-1
Q15	TTRACY_20050223.1049-T1
Q1	TTRACY_20050223.1049-T2
Q2	TTRACY_20050223.1049-T3
Q3	TTRACY_20050223.1049-T4
Q5	TTRACY_20050223.1049-T5
Q6	TTRACY_20050223.1049-T6
Q7	TTRACY_20050223.1049-T7
Q8	TTRACY_20050223.1049-T8
Q9	TTRACY_20050223.1049-T9
Q11	TTRACY_20050223.1049-T10
Q12	TTRACY_20050223.1049-T11
Q13	TTRACY_20050223.1049-T12
Q14	TTRACY_20050223.1049-T13
Q16	TTRACY_20050223.1049-T14
Q17	TTRACY_20050223.1049-T15
Q20	TTRACY_20050223.1049-T16
Q21	TTRACY_20050223.1049-T17
Q22	TTRACY_20050223.1049-T18
Q23	TTRACY_20050223.1049-T19
Q4	TTRACY_20050223.1049-T20
Q10	TTRACY_20050223.1049-T21
Q24	TTRACY_20050223.1049-T22
Q25	TTRACY_20050223.1049-T23
Q26	TTRACY_20050223.1049-T24
