CE8	misc.taxes_20050218.1250-CE1
EM20	misc.taxes_20050218.1250-E18-78
EM22	misc.taxes_20050218.1250-E21-79
EM23	misc.taxes_20050218.1250-E1-80
R1	misc.taxes_20050218.1250-R1
R2	misc.taxes_20050218.1250-R2
R3	misc.taxes_20050218.1250-R3
R4	misc.taxes_20050218.1250-R4
R2	misc.taxes_20050218.1250-R5
R1	misc.taxes_20050218.1250-R6
R1	misc.taxes_20050218.1250-R7
R1	misc.taxes_20050218.1250-R8
R1	misc.taxes_20050218.1250-R9
RM1	misc.taxes_20050218.1250-R1-1
RM2	misc.taxes_20050218.1250-R2-1
RM3	misc.taxes_20050218.1250-R2-2
RM4	misc.taxes_20050218.1250-R3-1
RM5	misc.taxes_20050218.1250-R4-1
RM6	misc.taxes_20050218.1250-R1-2
RM7	misc.taxes_20050218.1250-R7-1
RM8	misc.taxes_20050218.1250-R1-3
RM9	misc.taxes_20050218.1250-R1-4
V1	misc.taxes_20050218.1250-EV1
V2	misc.taxes_20050218.1250-EV2
VM1	misc.taxes_20050218.1250-EV1-1
VM2	misc.taxes_20050218.1250-EV2-1
VM3	misc.taxes_20050218.1250-EV1-2
VM4	misc.taxes_20050218.1250-EV2-2
VM5	misc.taxes_20050218.1250-EV2-3
VM6	misc.taxes_20050218.1250-EV2-4
VM7	misc.taxes_20050218.1250-EV1-3
VM8	misc.taxes_20050218.1250-EV1-4
VM9	misc.taxes_20050218.1250-EV1-5
VM10	misc.taxes_20050218.1250-EV2-5
VM11	misc.taxes_20050218.1250-EV1-6
VM12	misc.taxes_20050218.1250-EV1-7
VM13	misc.taxes_20050218.1250-EV2-6
VM14	misc.taxes_20050218.1250-EV1-8
VM15	misc.taxes_20050218.1250-EV1-9
VM16	misc.taxes_20050218.1250-EV2-7
Q7	misc.taxes_20050218.1250-T1
Q8	misc.taxes_20050218.1250-T2
Q2	misc.taxes_20050218.1250-T3
Q9	misc.taxes_20050218.1250-T4
Q1	misc.taxes_20050218.1250-T5
Q11	misc.taxes_20050218.1250-T6
Q12	misc.taxes_20050218.1250-V1
Q13	misc.taxes_20050218.1250-T7
Q14	misc.taxes_20050218.1250-T8
Q15	misc.taxes_20050218.1250-T9
Q16	misc.taxes_20050218.1250-T10
Q17	misc.taxes_20050218.1250-T11
Q18	misc.taxes_20050218.1250-T12
Q19	misc.taxes_20050218.1250-T13
Q20	misc.taxes_20050218.1250-T14
Q3	misc.taxes_20050218.1250-T15
Q4	misc.taxes_20050218.1250-T16
Q5	misc.taxes_20050218.1250-T17
Q6	misc.taxes_20050218.1250-V2
QM12	misc.taxes_20050218.1250-V1-1
QM6	misc.taxes_20050218.1250-V2-1
