CE4	talk.politics.misc_20050216.1337-CE1
E33	talk.politics.misc_20050216.1337-E21
E34	talk.politics.misc_20050216.1337-E22
E35	talk.politics.misc_20050216.1337-E23
E36	talk.politics.misc_20050216.1337-E24
E37	talk.politics.misc_20050216.1337-E25
E38	talk.politics.misc_20050216.1337-E26
E39	talk.politics.misc_20050216.1337-E27
E40	talk.politics.misc_20050216.1337-E28
E43	talk.politics.misc_20050216.1337-E29
E44	talk.politics.misc_20050216.1337-E30
E45	talk.politics.misc_20050216.1337-E31
E47	talk.politics.misc_20050216.1337-E32
E48	talk.politics.misc_20050216.1337-E33
E50	talk.politics.misc_20050216.1337-E34
E52	talk.politics.misc_20050216.1337-E35
E54	talk.politics.misc_20050216.1337-E36
EM3	talk.politics.misc_20050216.1337-E1-1
EM4	talk.politics.misc_20050216.1337-E2-2
EM13	talk.politics.misc_20050216.1337-E3-3
EM14	talk.politics.misc_20050216.1337-E4-4
EM15	talk.politics.misc_20050216.1337-E5-5
EM16	talk.politics.misc_20050216.1337-E6-6
EM17	talk.politics.misc_20050216.1337-E7-7
EM19	talk.politics.misc_20050216.1337-E9-8
EM20	talk.politics.misc_20050216.1337-E10-9
EM21	talk.politics.misc_20050216.1337-E11-10
EM22	talk.politics.misc_20050216.1337-E12-11
EM23	talk.politics.misc_20050216.1337-E13-12
EM24	talk.politics.misc_20050216.1337-E14-13
EM25	talk.politics.misc_20050216.1337-E15-14
EM26	talk.politics.misc_20050216.1337-E16-15
EM27	talk.politics.misc_20050216.1337-E2-16
EM29	talk.politics.misc_20050216.1337-E8-17
EM30	talk.politics.misc_20050216.1337-E8-18
EM31	talk.politics.misc_20050216.1337-E17-19
EM32	talk.politics.misc_20050216.1337-E13-20
EM34	talk.politics.misc_20050216.1337-E18-21
EM35	talk.politics.misc_20050216.1337-E19-22
EM37	talk.politics.misc_20050216.1337-E2-23
EM38	talk.politics.misc_20050216.1337-E2-24
EM39	talk.politics.misc_20050216.1337-E20-25
EM40	talk.politics.misc_20050216.1337-E21-26
EM41	talk.politics.misc_20050216.1337-E20-27
EM42	talk.politics.misc_20050216.1337-E22-28
EM43	talk.politics.misc_20050216.1337-E23-29
EM44	talk.politics.misc_20050216.1337-E23-30
EM45	talk.politics.misc_20050216.1337-E24-31
EM46	talk.politics.misc_20050216.1337-E25-32
EM47	talk.politics.misc_20050216.1337-E25-33
EM48	talk.politics.misc_20050216.1337-E26-34
EM49	talk.politics.misc_20050216.1337-E27-35
EM50	talk.politics.misc_20050216.1337-E26-36
EM51	talk.politics.misc_20050216.1337-E28-37
EM52	talk.politics.misc_20050216.1337-E28-38
EM55	talk.politics.misc_20050216.1337-E1-39
EM57	talk.politics.misc_20050216.1337-E8-40
EM18	talk.politics.misc_20050216.1337-E29-41
EM58	talk.politics.misc_20050216.1337-E30-42
EM28	talk.politics.misc_20050216.1337-E31-43
EM54	talk.politics.misc_20050216.1337-E32-44
EM53	talk.politics.misc_20050216.1337-E33-45
EM56	talk.politics.misc_20050216.1337-E34-46
EM36	talk.politics.misc_20050216.1337-E35-47
EM5	talk.politics.misc_20050216.1337-E36-48
R1	talk.politics.misc_20050216.1337-R1
R2	talk.politics.misc_20050216.1337-R2
R3	talk.politics.misc_20050216.1337-R3
R4	talk.politics.misc_20050216.1337-R4
R5	talk.politics.misc_20050216.1337-R5
R6	talk.politics.misc_20050216.1337-R6
R7	talk.politics.misc_20050216.1337-R7
R9	talk.politics.misc_20050216.1337-R8
R10	talk.politics.misc_20050216.1337-R9
RM1	talk.politics.misc_20050216.1337-R1-1
RM3	talk.politics.misc_20050216.1337-R2-1
RM4	talk.politics.misc_20050216.1337-R3-1
RM5	talk.politics.misc_20050216.1337-R4-1
RM6	talk.politics.misc_20050216.1337-R5-1
RM7	talk.politics.misc_20050216.1337-R6-1
RM8	talk.politics.misc_20050216.1337-R7-1
RM10	talk.politics.misc_20050216.1337-R8-1
RM11	talk.politics.misc_20050216.1337-R9-1
V1	talk.politics.misc_20050216.1337-EV1
VM1	talk.politics.misc_20050216.1337-EV1-1
Q1	talk.politics.misc_20050216.1337-T1
Q2	talk.politics.misc_20050216.1337-T2
Q3	talk.politics.misc_20050216.1337-T3
Q6	talk.politics.misc_20050216.1337-T4
Q9	talk.politics.misc_20050216.1337-T5
Q12	talk.politics.misc_20050216.1337-T6
Q15	talk.politics.misc_20050216.1337-T7
Q18	talk.politics.misc_20050216.1337-T8
Q23	talk.politics.misc_20050216.1337-T9
