CE14	uk.gay-lesbian-bi_20050127.0311-CE1
E27	uk.gay-lesbian-bi_20050127.0311-E13
E28	uk.gay-lesbian-bi_20050127.0311-E14
E29	uk.gay-lesbian-bi_20050127.0311-E15
E30	uk.gay-lesbian-bi_20050127.0311-E16
E31	uk.gay-lesbian-bi_20050127.0311-E17
E32	uk.gay-lesbian-bi_20050127.0311-E18
E33	uk.gay-lesbian-bi_20050127.0311-E19
E34	uk.gay-lesbian-bi_20050127.0311-E20
E35	uk.gay-lesbian-bi_20050127.0311-E21
E36	uk.gay-lesbian-bi_20050127.0311-E22
E37	uk.gay-lesbian-bi_20050127.0311-E23
E38	uk.gay-lesbian-bi_20050127.0311-E24
E39	uk.gay-lesbian-bi_20050127.0311-E25
E1	uk.gay-lesbian-bi_20050127.0311-E26
E40	uk.gay-lesbian-bi_20050127.0311-E27
E41	uk.gay-lesbian-bi_20050127.0311-E28
E42	uk.gay-lesbian-bi_20050127.0311-E29
E43	uk.gay-lesbian-bi_20050127.0311-E30
E44	uk.gay-lesbian-bi_20050127.0311-E31
E45	uk.gay-lesbian-bi_20050127.0311-E32
E46	uk.gay-lesbian-bi_20050127.0311-E33
E47	uk.gay-lesbian-bi_20050127.0311-E34
E48	uk.gay-lesbian-bi_20050127.0311-E35
E49	uk.gay-lesbian-bi_20050127.0311-E36
E50	uk.gay-lesbian-bi_20050127.0311-E37
E51	uk.gay-lesbian-bi_20050127.0311-E38
E52	uk.gay-lesbian-bi_20050127.0311-E39
E55	uk.gay-lesbian-bi_20050127.0311-E40
E56	uk.gay-lesbian-bi_20050127.0311-E41
E57	uk.gay-lesbian-bi_20050127.0311-E42
E58	uk.gay-lesbian-bi_20050127.0311-E43
E59	uk.gay-lesbian-bi_20050127.0311-E44
E60	uk.gay-lesbian-bi_20050127.0311-E45
E61	uk.gay-lesbian-bi_20050127.0311-E46
E62	uk.gay-lesbian-bi_20050127.0311-E47
E63	uk.gay-lesbian-bi_20050127.0311-E48
E64	uk.gay-lesbian-bi_20050127.0311-E49
E65	uk.gay-lesbian-bi_20050127.0311-E50
E66	uk.gay-lesbian-bi_20050127.0311-E51
E67	uk.gay-lesbian-bi_20050127.0311-E52
E68	uk.gay-lesbian-bi_20050127.0311-E53
E69	uk.gay-lesbian-bi_20050127.0311-E54
E70	uk.gay-lesbian-bi_20050127.0311-E55
E71	uk.gay-lesbian-bi_20050127.0311-E56
E72	uk.gay-lesbian-bi_20050127.0311-E57
E73	uk.gay-lesbian-bi_20050127.0311-E58
E74	uk.gay-lesbian-bi_20050127.0311-E59
E75	uk.gay-lesbian-bi_20050127.0311-E60
E76	uk.gay-lesbian-bi_20050127.0311-E61
E77	uk.gay-lesbian-bi_20050127.0311-E62
E78	uk.gay-lesbian-bi_20050127.0311-E63
E79	uk.gay-lesbian-bi_20050127.0311-E64
E80	uk.gay-lesbian-bi_20050127.0311-E65
E2	uk.gay-lesbian-bi_20050127.0311-E66
E81	uk.gay-lesbian-bi_20050127.0311-E67
E3	uk.gay-lesbian-bi_20050127.0311-E68
E4	uk.gay-lesbian-bi_20050127.0311-E69
E6	uk.gay-lesbian-bi_20050127.0311-E70
E7	uk.gay-lesbian-bi_20050127.0311-E71
E8	uk.gay-lesbian-bi_20050127.0311-E72
E10	uk.gay-lesbian-bi_20050127.0311-E73
E13	uk.gay-lesbian-bi_20050127.0311-E74
E14	uk.gay-lesbian-bi_20050127.0311-E75
EM1	uk.gay-lesbian-bi_20050127.0311-E26-1
EM19	uk.gay-lesbian-bi_20050127.0311-E1-2
EM20	uk.gay-lesbian-bi_20050127.0311-E2-3
EM22	uk.gay-lesbian-bi_20050127.0311-E3-4
EM24	uk.gay-lesbian-bi_20050127.0311-E4-5
EM25	uk.gay-lesbian-bi_20050127.0311-E5-6
EM26	uk.gay-lesbian-bi_20050127.0311-E6-7
EM27	uk.gay-lesbian-bi_20050127.0311-E7-8
EM29	uk.gay-lesbian-bi_20050127.0311-E8-9
EM30	uk.gay-lesbian-bi_20050127.0311-E9-10
EM31	uk.gay-lesbian-bi_20050127.0311-E9-11
EM32	uk.gay-lesbian-bi_20050127.0311-E26-12
EM33	uk.gay-lesbian-bi_20050127.0311-E10-13
EM34	uk.gay-lesbian-bi_20050127.0311-E11-14
EM35	uk.gay-lesbian-bi_20050127.0311-E12-15
EM36	uk.gay-lesbian-bi_20050127.0311-E13-16
EM37	uk.gay-lesbian-bi_20050127.0311-E14-17
EM38	uk.gay-lesbian-bi_20050127.0311-E15-18
EM39	uk.gay-lesbian-bi_20050127.0311-E16-19
EM42	uk.gay-lesbian-bi_20050127.0311-E17-20
EM43	uk.gay-lesbian-bi_20050127.0311-E18-21
EM44	uk.gay-lesbian-bi_20050127.0311-E18-22
EM45	uk.gay-lesbian-bi_20050127.0311-E19-23
EM46	uk.gay-lesbian-bi_20050127.0311-E20-24
EM47	uk.gay-lesbian-bi_20050127.0311-E21-25
EM48	uk.gay-lesbian-bi_20050127.0311-E23-26
EM50	uk.gay-lesbian-bi_20050127.0311-E22-27
EM51	uk.gay-lesbian-bi_20050127.0311-E24-28
EM52	uk.gay-lesbian-bi_20050127.0311-E24-29
EM53	uk.gay-lesbian-bi_20050127.0311-E24-30
EM54	uk.gay-lesbian-bi_20050127.0311-E68-31
EM55	uk.gay-lesbian-bi_20050127.0311-E25-32
EM56	uk.gay-lesbian-bi_20050127.0311-E27-33
EM57	uk.gay-lesbian-bi_20050127.0311-E24-34
EM58	uk.gay-lesbian-bi_20050127.0311-E28-35
EM59	uk.gay-lesbian-bi_20050127.0311-E29-36
EM61	uk.gay-lesbian-bi_20050127.0311-E30-37
EM62	uk.gay-lesbian-bi_20050127.0311-E31-38
EM63	uk.gay-lesbian-bi_20050127.0311-E32-39
EM64	uk.gay-lesbian-bi_20050127.0311-E33-40
EM65	uk.gay-lesbian-bi_20050127.0311-E33-41
EM66	uk.gay-lesbian-bi_20050127.0311-E33-42
EM67	uk.gay-lesbian-bi_20050127.0311-E31-43
EM68	uk.gay-lesbian-bi_20050127.0311-E34-44
EM69	uk.gay-lesbian-bi_20050127.0311-E35-45
EM70	uk.gay-lesbian-bi_20050127.0311-E36-46
EM71	uk.gay-lesbian-bi_20050127.0311-E37-47
EM72	uk.gay-lesbian-bi_20050127.0311-E38-48
EM73	uk.gay-lesbian-bi_20050127.0311-E39-49
EM75	uk.gay-lesbian-bi_20050127.0311-E40-50
EM76	uk.gay-lesbian-bi_20050127.0311-E41-51
EM77	uk.gay-lesbian-bi_20050127.0311-E42-52
EM78	uk.gay-lesbian-bi_20050127.0311-E43-53
EM79	uk.gay-lesbian-bi_20050127.0311-E19-54
EM80	uk.gay-lesbian-bi_20050127.0311-E45-55
EM81	uk.gay-lesbian-bi_20050127.0311-E26-56
EM82	uk.gay-lesbian-bi_20050127.0311-E26-57
EM83	uk.gay-lesbian-bi_20050127.0311-E22-58
EM84	uk.gay-lesbian-bi_20050127.0311-E22-59
EM85	uk.gay-lesbian-bi_20050127.0311-E46-60
EM86	uk.gay-lesbian-bi_20050127.0311-E44-61
EM87	uk.gay-lesbian-bi_20050127.0311-E19-62
EM88	uk.gay-lesbian-bi_20050127.0311-E19-63
EM89	uk.gay-lesbian-bi_20050127.0311-E47-64
EM90	uk.gay-lesbian-bi_20050127.0311-E48-65
EM91	uk.gay-lesbian-bi_20050127.0311-E49-66
EM92	uk.gay-lesbian-bi_20050127.0311-E50-67
EM2	uk.gay-lesbian-bi_20050127.0311-E66-68
EM93	uk.gay-lesbian-bi_20050127.0311-E51-69
EM94	uk.gay-lesbian-bi_20050127.0311-E42-70
EM95	uk.gay-lesbian-bi_20050127.0311-E13-71
EM96	uk.gay-lesbian-bi_20050127.0311-E14-72
EM97	uk.gay-lesbian-bi_20050127.0311-E52-73
EM98	uk.gay-lesbian-bi_20050127.0311-E53-74
EM99	uk.gay-lesbian-bi_20050127.0311-E19-75
EM100	uk.gay-lesbian-bi_20050127.0311-E54-76
EM101	uk.gay-lesbian-bi_20050127.0311-E19-77
EM102	uk.gay-lesbian-bi_20050127.0311-E54-78
EM103	uk.gay-lesbian-bi_20050127.0311-E49-79
EM104	uk.gay-lesbian-bi_20050127.0311-E49-80
EM105	uk.gay-lesbian-bi_20050127.0311-E55-81
EM106	uk.gay-lesbian-bi_20050127.0311-E11-82
EM107	uk.gay-lesbian-bi_20050127.0311-E56-83
EM108	uk.gay-lesbian-bi_20050127.0311-E57-84
EM109	uk.gay-lesbian-bi_20050127.0311-E58-85
EM110	uk.gay-lesbian-bi_20050127.0311-E59-86
EM111	uk.gay-lesbian-bi_20050127.0311-E59-87
EM112	uk.gay-lesbian-bi_20050127.0311-E60-88
EM113	uk.gay-lesbian-bi_20050127.0311-E60-89
EM114	uk.gay-lesbian-bi_20050127.0311-E61-90
EM115	uk.gay-lesbian-bi_20050127.0311-E62-91
EM116	uk.gay-lesbian-bi_20050127.0311-E63-92
EM117	uk.gay-lesbian-bi_20050127.0311-E60-93
EM118	uk.gay-lesbian-bi_20050127.0311-E64-94
EM119	uk.gay-lesbian-bi_20050127.0311-E65-95
EM120	uk.gay-lesbian-bi_20050127.0311-E8-96
EM121	uk.gay-lesbian-bi_20050127.0311-E67-97
EM122	uk.gay-lesbian-bi_20050127.0311-E22-98
EM123	uk.gay-lesbian-bi_20050127.0311-E22-99
EM125	uk.gay-lesbian-bi_20050127.0311-E22-100
EM3	uk.gay-lesbian-bi_20050127.0311-E68-101
EM4	uk.gay-lesbian-bi_20050127.0311-E69-102
EM7	uk.gay-lesbian-bi_20050127.0311-E70-103
EM8	uk.gay-lesbian-bi_20050127.0311-E71-104
EM9	uk.gay-lesbian-bi_20050127.0311-E68-105
EM10	uk.gay-lesbian-bi_20050127.0311-E72-106
EM12	uk.gay-lesbian-bi_20050127.0311-E73-107
EM14	uk.gay-lesbian-bi_20050127.0311-E73-108
EM17	uk.gay-lesbian-bi_20050127.0311-E74-109
EM18	uk.gay-lesbian-bi_20050127.0311-E75-110
R9	uk.gay-lesbian-bi_20050127.0311-R1
R1	uk.gay-lesbian-bi_20050127.0311-R2
R2	uk.gay-lesbian-bi_20050127.0311-R3
R3	uk.gay-lesbian-bi_20050127.0311-R4
R5	uk.gay-lesbian-bi_20050127.0311-R5
R6	uk.gay-lesbian-bi_20050127.0311-R6
R7	uk.gay-lesbian-bi_20050127.0311-R7
R8	uk.gay-lesbian-bi_20050127.0311-R8
R9	uk.gay-lesbian-bi_20050127.0311-R9
R11	uk.gay-lesbian-bi_20050127.0311-R10
R12	uk.gay-lesbian-bi_20050127.0311-R11
RM1	uk.gay-lesbian-bi_20050127.0311-R2-1
RM2	uk.gay-lesbian-bi_20050127.0311-R3-1
RM3	uk.gay-lesbian-bi_20050127.0311-R4-1
RM5	uk.gay-lesbian-bi_20050127.0311-R5-1
RM6	uk.gay-lesbian-bi_20050127.0311-R6-1
RM7	uk.gay-lesbian-bi_20050127.0311-R7-1
RM8	uk.gay-lesbian-bi_20050127.0311-R8-1
RM10	uk.gay-lesbian-bi_20050127.0311-R9-1
RM11	uk.gay-lesbian-bi_20050127.0311-R9-2
RM12	uk.gay-lesbian-bi_20050127.0311-R10-1
RM13	uk.gay-lesbian-bi_20050127.0311-R11-1
V2	uk.gay-lesbian-bi_20050127.0311-EV1
V3	uk.gay-lesbian-bi_20050127.0311-EV2
V4	uk.gay-lesbian-bi_20050127.0311-EV3
V5	uk.gay-lesbian-bi_20050127.0311-EV4
V6	uk.gay-lesbian-bi_20050127.0311-EV5
V8	uk.gay-lesbian-bi_20050127.0311-EV6
V9	uk.gay-lesbian-bi_20050127.0311-EV7
V10	uk.gay-lesbian-bi_20050127.0311-EV8
V12	uk.gay-lesbian-bi_20050127.0311-EV9
V13	uk.gay-lesbian-bi_20050127.0311-EV10
V14	uk.gay-lesbian-bi_20050127.0311-EV11
V15	uk.gay-lesbian-bi_20050127.0311-EV12
V16	uk.gay-lesbian-bi_20050127.0311-EV13
V17	uk.gay-lesbian-bi_20050127.0311-EV14
V18	uk.gay-lesbian-bi_20050127.0311-EV15
VM2	uk.gay-lesbian-bi_20050127.0311-EV1-1
VM3	uk.gay-lesbian-bi_20050127.0311-EV2-1
VM4	uk.gay-lesbian-bi_20050127.0311-EV3-1
VM5	uk.gay-lesbian-bi_20050127.0311-EV4-1
VM6	uk.gay-lesbian-bi_20050127.0311-EV5-1
VM9	uk.gay-lesbian-bi_20050127.0311-EV6-1
VM10	uk.gay-lesbian-bi_20050127.0311-EV7-1
VM11	uk.gay-lesbian-bi_20050127.0311-EV8-1
VM12	uk.gay-lesbian-bi_20050127.0311-EV5-2
VM13	uk.gay-lesbian-bi_20050127.0311-EV4-2
VM14	uk.gay-lesbian-bi_20050127.0311-EV9-1
VM15	uk.gay-lesbian-bi_20050127.0311-EV10-1
VM16	uk.gay-lesbian-bi_20050127.0311-EV5-3
VM17	uk.gay-lesbian-bi_20050127.0311-EV11-1
VM18	uk.gay-lesbian-bi_20050127.0311-EV12-1
VM19	uk.gay-lesbian-bi_20050127.0311-EV13-1
VM20	uk.gay-lesbian-bi_20050127.0311-EV14-1
VM21	uk.gay-lesbian-bi_20050127.0311-EV15-1
Q1	uk.gay-lesbian-bi_20050127.0311-T1
Q2	uk.gay-lesbian-bi_20050127.0311-T2
Q3	uk.gay-lesbian-bi_20050127.0311-T3
Q4	uk.gay-lesbian-bi_20050127.0311-T4
Q5	uk.gay-lesbian-bi_20050127.0311-T5
Q6	uk.gay-lesbian-bi_20050127.0311-T6
Q7	uk.gay-lesbian-bi_20050127.0311-T7
Q8	uk.gay-lesbian-bi_20050127.0311-T8
Q9	uk.gay-lesbian-bi_20050127.0311-T9
Q10	uk.gay-lesbian-bi_20050127.0311-T10
Q11	uk.gay-lesbian-bi_20050127.0311-T11
Q12	uk.gay-lesbian-bi_20050127.0311-T12
Q13	uk.gay-lesbian-bi_20050127.0311-T13
Q16	uk.gay-lesbian-bi_20050127.0311-T14
Q17	uk.gay-lesbian-bi_20050127.0311-T15
Q18	uk.gay-lesbian-bi_20050127.0311-T16
Q19	uk.gay-lesbian-bi_20050127.0311-T17
Q20	uk.gay-lesbian-bi_20050127.0311-T18
Q21	uk.gay-lesbian-bi_20050127.0311-T19
Q23	uk.gay-lesbian-bi_20050127.0311-V1
Q24	uk.gay-lesbian-bi_20050127.0311-V2
QM23	uk.gay-lesbian-bi_20050127.0311-V1-1
QM24	uk.gay-lesbian-bi_20050127.0311-V2-1
