CE9	alt.religion.mormon_20050103.0854-CE1
E27	alt.religion.mormon_20050103.0854-E18
E29	alt.religion.mormon_20050103.0854-E19
E30	alt.religion.mormon_20050103.0854-E20
E1	alt.religion.mormon_20050103.0854-E21
E31	alt.religion.mormon_20050103.0854-E22
E32	alt.religion.mormon_20050103.0854-E23
E33	alt.religion.mormon_20050103.0854-E24
E34	alt.religion.mormon_20050103.0854-E25
E35	alt.religion.mormon_20050103.0854-E26
E36	alt.religion.mormon_20050103.0854-E27
E37	alt.religion.mormon_20050103.0854-E28
E38	alt.religion.mormon_20050103.0854-E29
E39	alt.religion.mormon_20050103.0854-E30
E40	alt.religion.mormon_20050103.0854-E31
E41	alt.religion.mormon_20050103.0854-E32
E42	alt.religion.mormon_20050103.0854-E33
E43	alt.religion.mormon_20050103.0854-E34
E44	alt.religion.mormon_20050103.0854-E35
E45	alt.religion.mormon_20050103.0854-E36
E46	alt.religion.mormon_20050103.0854-E37
E47	alt.religion.mormon_20050103.0854-E38
E48	alt.religion.mormon_20050103.0854-E39
E49	alt.religion.mormon_20050103.0854-E40
E50	alt.religion.mormon_20050103.0854-E41
E51	alt.religion.mormon_20050103.0854-E42
E52	alt.religion.mormon_20050103.0854-E43
E53	alt.religion.mormon_20050103.0854-E44
E2	alt.religion.mormon_20050103.0854-E45
E54	alt.religion.mormon_20050103.0854-E46
E3	alt.religion.mormon_20050103.0854-E47
E4	alt.religion.mormon_20050103.0854-E48
E5	alt.religion.mormon_20050103.0854-E49
E6	alt.religion.mormon_20050103.0854-E50
E7	alt.religion.mormon_20050103.0854-E51
E8	alt.religion.mormon_20050103.0854-E52
EM1	alt.religion.mormon_20050103.0854-E21-1
EM23	alt.religion.mormon_20050103.0854-E51-2
EM24	alt.religion.mormon_20050103.0854-E51-3
EM25	alt.religion.mormon_20050103.0854-E47-4
EM26	alt.religion.mormon_20050103.0854-E1-5
EM27	alt.religion.mormon_20050103.0854-E51-6
EM28	alt.religion.mormon_20050103.0854-E51-7
EM29	alt.religion.mormon_20050103.0854-E48-8
EM30	alt.religion.mormon_20050103.0854-E2-9
EM31	alt.religion.mormon_20050103.0854-E47-10
EM32	alt.religion.mormon_20050103.0854-E47-11
EM33	alt.religion.mormon_20050103.0854-E3-12
EM34	alt.religion.mormon_20050103.0854-E5-13
EM35	alt.religion.mormon_20050103.0854-E6-14
EM36	alt.religion.mormon_20050103.0854-E7-15
EM37	alt.religion.mormon_20050103.0854-E3-16
EM38	alt.religion.mormon_20050103.0854-E48-17
EM39	alt.religion.mormon_20050103.0854-E48-18
EM40	alt.religion.mormon_20050103.0854-E8-19
EM41	alt.religion.mormon_20050103.0854-E48-20
EM42	alt.religion.mormon_20050103.0854-E9-21
EM43	alt.religion.mormon_20050103.0854-E9-22
EM44	alt.religion.mormon_20050103.0854-E47-23
EM45	alt.religion.mormon_20050103.0854-E47-24
EM46	alt.religion.mormon_20050103.0854-E10-25
EM47	alt.religion.mormon_20050103.0854-E11-26
EM48	alt.religion.mormon_20050103.0854-E11-27
EM49	alt.religion.mormon_20050103.0854-E12-28
EM50	alt.religion.mormon_20050103.0854-E47-29
EM51	alt.religion.mormon_20050103.0854-E13-30
EM52	alt.religion.mormon_20050103.0854-E4-31
EM53	alt.religion.mormon_20050103.0854-E14-32
EM54	alt.religion.mormon_20050103.0854-E15-33
EM55	alt.religion.mormon_20050103.0854-E16-34
EM56	alt.religion.mormon_20050103.0854-E17-35
EM57	alt.religion.mormon_20050103.0854-E18-36
EM58	alt.religion.mormon_20050103.0854-E49-37
EM59	alt.religion.mormon_20050103.0854-E13-38
EM61	alt.religion.mormon_20050103.0854-E19-39
EM62	alt.religion.mormon_20050103.0854-E19-40
EM63	alt.religion.mormon_20050103.0854-E20-41
EM64	alt.religion.mormon_20050103.0854-E20-42
EM65	alt.religion.mormon_20050103.0854-E19-43
EM66	alt.religion.mormon_20050103.0854-E19-44
EM67	alt.religion.mormon_20050103.0854-E22-45
EM68	alt.religion.mormon_20050103.0854-E19-46
EM69	alt.religion.mormon_20050103.0854-E23-47
EM70	alt.religion.mormon_20050103.0854-E23-48
EM71	alt.religion.mormon_20050103.0854-E19-49
EM72	alt.religion.mormon_20050103.0854-E23-50
EM73	alt.religion.mormon_20050103.0854-E23-51
EM74	alt.religion.mormon_20050103.0854-E19-52
EM75	alt.religion.mormon_20050103.0854-E49-53
EM76	alt.religion.mormon_20050103.0854-E19-54
EM77	alt.religion.mormon_20050103.0854-E24-55
EM78	alt.religion.mormon_20050103.0854-E25-56
EM79	alt.religion.mormon_20050103.0854-E19-57
EM80	alt.religion.mormon_20050103.0854-E23-58
EM81	alt.religion.mormon_20050103.0854-E26-59
EM82	alt.religion.mormon_20050103.0854-E26-60
EM83	alt.religion.mormon_20050103.0854-E27-61
EM84	alt.religion.mormon_20050103.0854-E13-62
EM85	alt.religion.mormon_20050103.0854-E13-63
EM86	alt.religion.mormon_20050103.0854-E13-64
EM87	alt.religion.mormon_20050103.0854-E28-65
EM88	alt.religion.mormon_20050103.0854-E29-66
EM89	alt.religion.mormon_20050103.0854-E28-67
EM90	alt.religion.mormon_20050103.0854-E28-68
EM91	alt.religion.mormon_20050103.0854-E30-69
EM92	alt.religion.mormon_20050103.0854-E31-70
EM93	alt.religion.mormon_20050103.0854-E32-71
EM94	alt.religion.mormon_20050103.0854-E32-72
EM95	alt.religion.mormon_20050103.0854-E33-73
EM96	alt.religion.mormon_20050103.0854-E32-74
EM97	alt.religion.mormon_20050103.0854-E34-75
EM98	alt.religion.mormon_20050103.0854-E35-76
EM99	alt.religion.mormon_20050103.0854-E36-77
EM100	alt.religion.mormon_20050103.0854-E37-78
EM101	alt.religion.mormon_20050103.0854-E38-79
EM102	alt.religion.mormon_20050103.0854-E39-80
EM103	alt.religion.mormon_20050103.0854-E34-81
EM104	alt.religion.mormon_20050103.0854-E32-82
EM105	alt.religion.mormon_20050103.0854-E34-83
EM106	alt.religion.mormon_20050103.0854-E34-84
EM107	alt.religion.mormon_20050103.0854-E34-85
EM2	alt.religion.mormon_20050103.0854-E45-86
EM108	alt.religion.mormon_20050103.0854-E32-87
EM109	alt.religion.mormon_20050103.0854-E32-88
EM110	alt.religion.mormon_20050103.0854-E40-89
EM111	alt.religion.mormon_20050103.0854-E32-90
EM112	alt.religion.mormon_20050103.0854-E34-91
EM113	alt.religion.mormon_20050103.0854-E41-92
EM115	alt.religion.mormon_20050103.0854-E37-93
EM116	alt.religion.mormon_20050103.0854-E34-94
EM117	alt.religion.mormon_20050103.0854-E4-95
EM118	alt.religion.mormon_20050103.0854-E32-96
EM119	alt.religion.mormon_20050103.0854-E32-97
EM120	alt.religion.mormon_20050103.0854-E34-98
EM121	alt.religion.mormon_20050103.0854-E34-99
EM122	alt.religion.mormon_20050103.0854-E13-100
EM123	alt.religion.mormon_20050103.0854-E42-101
EM124	alt.religion.mormon_20050103.0854-E42-102
EM125	alt.religion.mormon_20050103.0854-E13-103
EM126	alt.religion.mormon_20050103.0854-E13-104
EM127	alt.religion.mormon_20050103.0854-E13-105
EM128	alt.religion.mormon_20050103.0854-E43-106
EM129	alt.religion.mormon_20050103.0854-E43-107
EM131	alt.religion.mormon_20050103.0854-E44-108
EM130	alt.religion.mormon_20050103.0854-E13-109
EM132	alt.religion.mormon_20050103.0854-E4-110
EM133	alt.religion.mormon_20050103.0854-E43-111
EM134	alt.religion.mormon_20050103.0854-E44-112
EM135	alt.religion.mormon_20050103.0854-E49-113
EM136	alt.religion.mormon_20050103.0854-E43-114
EM137	alt.religion.mormon_20050103.0854-E46-115
EM3	alt.religion.mormon_20050103.0854-E47-116
EM4	alt.religion.mormon_20050103.0854-E21-117
EM5	alt.religion.mormon_20050103.0854-E48-118
EM6	alt.religion.mormon_20050103.0854-E21-119
EM7	alt.religion.mormon_20050103.0854-E21-120
EM8	alt.religion.mormon_20050103.0854-E21-121
EM9	alt.religion.mormon_20050103.0854-E21-122
EM10	alt.religion.mormon_20050103.0854-E21-123
EM11	alt.religion.mormon_20050103.0854-E48-124
EM12	alt.religion.mormon_20050103.0854-E49-125
EM13	alt.religion.mormon_20050103.0854-E47-126
EM14	alt.religion.mormon_20050103.0854-E47-127
EM15	alt.religion.mormon_20050103.0854-E50-128
EM16	alt.religion.mormon_20050103.0854-E21-129
EM17	alt.religion.mormon_20050103.0854-E50-130
EM18	alt.religion.mormon_20050103.0854-E48-131
EM19	alt.religion.mormon_20050103.0854-E48-132
EM20	alt.religion.mormon_20050103.0854-E51-133
EM21	alt.religion.mormon_20050103.0854-E52-134
EM22	alt.religion.mormon_20050103.0854-E47-135
R1	alt.religion.mormon_20050103.0854-R1
R2	alt.religion.mormon_20050103.0854-R2
R3	alt.religion.mormon_20050103.0854-R3
R4	alt.religion.mormon_20050103.0854-R4
R5	alt.religion.mormon_20050103.0854-R5
R6	alt.religion.mormon_20050103.0854-R6
R7	alt.religion.mormon_20050103.0854-R7
R8	alt.religion.mormon_20050103.0854-R8
R9	alt.religion.mormon_20050103.0854-R9
R10	alt.religion.mormon_20050103.0854-R10
R11	alt.religion.mormon_20050103.0854-R11
R12	alt.religion.mormon_20050103.0854-R12
R13	alt.religion.mormon_20050103.0854-R13
R14	alt.religion.mormon_20050103.0854-R14
R15	alt.religion.mormon_20050103.0854-R15
R16	alt.religion.mormon_20050103.0854-R16
R17	alt.religion.mormon_20050103.0854-R17
R18	alt.religion.mormon_20050103.0854-R18
RM1	alt.religion.mormon_20050103.0854-R1-1
RM2	alt.religion.mormon_20050103.0854-R2-1
RM3	alt.religion.mormon_20050103.0854-R2-2
RM4	alt.religion.mormon_20050103.0854-R4-1
RM5	alt.religion.mormon_20050103.0854-R5-1
RM6	alt.religion.mormon_20050103.0854-R6-1
RM7	alt.religion.mormon_20050103.0854-R7-1
RM8	alt.religion.mormon_20050103.0854-R8-1
RM9	alt.religion.mormon_20050103.0854-R9-1
RM10	alt.religion.mormon_20050103.0854-R10-1
RM11	alt.religion.mormon_20050103.0854-R11-1
RM12	alt.religion.mormon_20050103.0854-R12-1
RM13	alt.religion.mormon_20050103.0854-R13-1
RM14	alt.religion.mormon_20050103.0854-R14-1
RM15	alt.religion.mormon_20050103.0854-R15-1
RM16	alt.religion.mormon_20050103.0854-R16-1
RM17	alt.religion.mormon_20050103.0854-R17-1
RM18	alt.religion.mormon_20050103.0854-R18-1
V1	alt.religion.mormon_20050103.0854-EV1
V2	alt.religion.mormon_20050103.0854-EV2
V3	alt.religion.mormon_20050103.0854-EV3
V4	alt.religion.mormon_20050103.0854-EV4
V5	alt.religion.mormon_20050103.0854-EV5
V6	alt.religion.mormon_20050103.0854-EV6
V7	alt.religion.mormon_20050103.0854-EV7
V8	alt.religion.mormon_20050103.0854-EV8
V9	alt.religion.mormon_20050103.0854-EV9
VM1	alt.religion.mormon_20050103.0854-EV1-1
VM2	alt.religion.mormon_20050103.0854-EV2-1
VM3	alt.religion.mormon_20050103.0854-EV1-2
VM4	alt.religion.mormon_20050103.0854-EV3-1
VM5	alt.religion.mormon_20050103.0854-EV3-2
VM6	alt.religion.mormon_20050103.0854-EV4-1
VM7	alt.religion.mormon_20050103.0854-EV5-1
VM8	alt.religion.mormon_20050103.0854-EV6-1
VM9	alt.religion.mormon_20050103.0854-EV7-1
VM10	alt.religion.mormon_20050103.0854-EV7-2
VM11	alt.religion.mormon_20050103.0854-EV7-3
VM12	alt.religion.mormon_20050103.0854-EV8-1
VM13	alt.religion.mormon_20050103.0854-EV9-1
Q1	alt.religion.mormon_20050103.0854-T1
Q2	alt.religion.mormon_20050103.0854-T2
Q3	alt.religion.mormon_20050103.0854-T3
Q4	alt.religion.mormon_20050103.0854-T4
Q5	alt.religion.mormon_20050103.0854-T5
Q6	alt.religion.mormon_20050103.0854-T6
Q7	alt.religion.mormon_20050103.0854-T7
Q8	alt.religion.mormon_20050103.0854-T8
Q9	alt.religion.mormon_20050103.0854-T9
Q10	alt.religion.mormon_20050103.0854-T10
Q11	alt.religion.mormon_20050103.0854-T11
