CE12	alt.gossip.celebrities_20050218.0826-CE1
EM11	alt.gossip.celebrities_20050218.0826-E31-119
EM12	alt.gossip.celebrities_20050218.0826-E32-120
EM13	alt.gossip.celebrities_20050218.0826-E33-121
EM14	alt.gossip.celebrities_20050218.0826-E33-122
EM15	alt.gossip.celebrities_20050218.0826-E34-123
EM16	alt.gossip.celebrities_20050218.0826-E35-124
EM18	alt.gossip.celebrities_20050218.0826-E35-125
R1	alt.gossip.celebrities_20050218.0826-R1
R2	alt.gossip.celebrities_20050218.0826-R2
R3	alt.gossip.celebrities_20050218.0826-R3
R4	alt.gossip.celebrities_20050218.0826-R4
R5	alt.gossip.celebrities_20050218.0826-R5
R6	alt.gossip.celebrities_20050218.0826-R6
R7	alt.gossip.celebrities_20050218.0826-R7
R8	alt.gossip.celebrities_20050218.0826-R8
R9	alt.gossip.celebrities_20050218.0826-R9
R10	alt.gossip.celebrities_20050218.0826-R10
R12	alt.gossip.celebrities_20050218.0826-R11
R12	alt.gossip.celebrities_20050218.0826-R12
RM1	alt.gossip.celebrities_20050218.0826-R1-1
RM2	alt.gossip.celebrities_20050218.0826-R2-1
RM3	alt.gossip.celebrities_20050218.0826-R3-1
RM4	alt.gossip.celebrities_20050218.0826-R4-1
RM5	alt.gossip.celebrities_20050218.0826-R5-1
RM6	alt.gossip.celebrities_20050218.0826-R3-2
RM7	alt.gossip.celebrities_20050218.0826-R4-2
RM8	alt.gossip.celebrities_20050218.0826-R8-1
RM9	alt.gossip.celebrities_20050218.0826-R1-2
RM10	alt.gossip.celebrities_20050218.0826-R3-3
RM11	alt.gossip.celebrities_20050218.0826-R1-3
RM12	alt.gossip.celebrities_20050218.0826-R1-4
V1	alt.gossip.celebrities_20050218.0826-EV1
VM1	alt.gossip.celebrities_20050218.0826-EV1-1
VM2	alt.gossip.celebrities_20050218.0826-EV1-2
VM3	alt.gossip.celebrities_20050218.0826-EV1-3
VM4	alt.gossip.celebrities_20050218.0826-EV1-4
Q1	alt.gossip.celebrities_20050218.0826-T1
Q2	alt.gossip.celebrities_20050218.0826-T2
Q3	alt.gossip.celebrities_20050218.0826-T3
Q4	alt.gossip.celebrities_20050218.0826-T4
Q5	alt.gossip.celebrities_20050218.0826-T5
Q6	alt.gossip.celebrities_20050218.0826-T6
Q7	alt.gossip.celebrities_20050218.0826-T7
Q8	alt.gossip.celebrities_20050218.0826-T8
Q9	alt.gossip.celebrities_20050218.0826-T9
Q10	alt.gossip.celebrities_20050218.0826-T10
Q11	alt.gossip.celebrities_20050218.0826-T11
Q12	alt.gossip.celebrities_20050218.0826-T12
Q13	alt.gossip.celebrities_20050218.0826-T13
Q14	alt.gossip.celebrities_20050218.0826-T14
