CE11	rec.travel.europe_20050101.1800-CE1
E29	rec.travel.europe_20050101.1800-E16
E30	rec.travel.europe_20050101.1800-E17
E31	rec.travel.europe_20050101.1800-E18
E32	rec.travel.europe_20050101.1800-E19
E33	rec.travel.europe_20050101.1800-E20
E34	rec.travel.europe_20050101.1800-E21
E35	rec.travel.europe_20050101.1800-E22
E36	rec.travel.europe_20050101.1800-E23
E37	rec.travel.europe_20050101.1800-E24
E38	rec.travel.europe_20050101.1800-E25
E39	rec.travel.europe_20050101.1800-E26
E40	rec.travel.europe_20050101.1800-E27
E41	rec.travel.europe_20050101.1800-E28
E42	rec.travel.europe_20050101.1800-E29
E43	rec.travel.europe_20050101.1800-E30
E44	rec.travel.europe_20050101.1800-E31
E45	rec.travel.europe_20050101.1800-E32
E47	rec.travel.europe_20050101.1800-E33
E48	rec.travel.europe_20050101.1800-E34
E49	rec.travel.europe_20050101.1800-E35
E50	rec.travel.europe_20050101.1800-E36
E51	rec.travel.europe_20050101.1800-E37
E52	rec.travel.europe_20050101.1800-E38
E53	rec.travel.europe_20050101.1800-E39
E54	rec.travel.europe_20050101.1800-E40
E55	rec.travel.europe_20050101.1800-E41
E56	rec.travel.europe_20050101.1800-E42
E57	rec.travel.europe_20050101.1800-E43
E58	rec.travel.europe_20050101.1800-E44
E2	rec.travel.europe_20050101.1800-E45
E59	rec.travel.europe_20050101.1800-E46
E60	rec.travel.europe_20050101.1800-E47
E61	rec.travel.europe_20050101.1800-E48
E63	rec.travel.europe_20050101.1800-E49
E64	rec.travel.europe_20050101.1800-E50
E65	rec.travel.europe_20050101.1800-E51
E66	rec.travel.europe_20050101.1800-E52
E67	rec.travel.europe_20050101.1800-E53
E68	rec.travel.europe_20050101.1800-E54
E69	rec.travel.europe_20050101.1800-E55
E70	rec.travel.europe_20050101.1800-E56
E71	rec.travel.europe_20050101.1800-E57
E72	rec.travel.europe_20050101.1800-E58
E73	rec.travel.europe_20050101.1800-E59
E74	rec.travel.europe_20050101.1800-E60
E75	rec.travel.europe_20050101.1800-E61
E76	rec.travel.europe_20050101.1800-E62
E78	rec.travel.europe_20050101.1800-E63
E79	rec.travel.europe_20050101.1800-E64
E80	rec.travel.europe_20050101.1800-E65
E81	rec.travel.europe_20050101.1800-E66
E82	rec.travel.europe_20050101.1800-E67
E83	rec.travel.europe_20050101.1800-E68
E84	rec.travel.europe_20050101.1800-E69
E85	rec.travel.europe_20050101.1800-E70
E86	rec.travel.europe_20050101.1800-E71
E87	rec.travel.europe_20050101.1800-E72
E89	rec.travel.europe_20050101.1800-E73
E90	rec.travel.europe_20050101.1800-E74
E92	rec.travel.europe_20050101.1800-E75
E93	rec.travel.europe_20050101.1800-E76
E95	rec.travel.europe_20050101.1800-E77
E96	rec.travel.europe_20050101.1800-E78
E97	rec.travel.europe_20050101.1800-E79
E98	rec.travel.europe_20050101.1800-E80
E100	rec.travel.europe_20050101.1800-E81
E3	rec.travel.europe_20050101.1800-E82
E103	rec.travel.europe_20050101.1800-E83
E104	rec.travel.europe_20050101.1800-E84
E4	rec.travel.europe_20050101.1800-E85
E5	rec.travel.europe_20050101.1800-E86
E6	rec.travel.europe_20050101.1800-E87
E7	rec.travel.europe_20050101.1800-E88
E9	rec.travel.europe_20050101.1800-E89
E10	rec.travel.europe_20050101.1800-E90
E11	rec.travel.europe_20050101.1800-E91
EM1	rec.travel.europe_20050101.1800-E4-1
EM21	rec.travel.europe_20050101.1800-E1-2
EM22	rec.travel.europe_20050101.1800-E45-3
EM23	rec.travel.europe_20050101.1800-E45-4
EM24	rec.travel.europe_20050101.1800-E85-5
EM25	rec.travel.europe_20050101.1800-E2-6
EM26	rec.travel.europe_20050101.1800-E45-7
EM27	rec.travel.europe_20050101.1800-E45-8
EM28	rec.travel.europe_20050101.1800-E45-9
EM29	rec.travel.europe_20050101.1800-E45-10
EM30	rec.travel.europe_20050101.1800-E45-11
EM31	rec.travel.europe_20050101.1800-E45-12
EM32	rec.travel.europe_20050101.1800-E87-13
EM33	rec.travel.europe_20050101.1800-E86-14
EM34	rec.travel.europe_20050101.1800-E45-15
EM35	rec.travel.europe_20050101.1800-E45-16
EM36	rec.travel.europe_20050101.1800-E45-17
EM37	rec.travel.europe_20050101.1800-E45-18
EM38	rec.travel.europe_20050101.1800-E45-19
EM39	rec.travel.europe_20050101.1800-E45-20
EM40	rec.travel.europe_20050101.1800-E45-21
EM41	rec.travel.europe_20050101.1800-E86-22
EM42	rec.travel.europe_20050101.1800-E45-23
EM43	rec.travel.europe_20050101.1800-E86-24
EM44	rec.travel.europe_20050101.1800-E87-25
EM46	rec.travel.europe_20050101.1800-E86-26
EM47	rec.travel.europe_20050101.1800-E45-27
EM48	rec.travel.europe_20050101.1800-E45-28
EM49	rec.travel.europe_20050101.1800-E45-29
EM50	rec.travel.europe_20050101.1800-E45-30
EM51	rec.travel.europe_20050101.1800-E45-31
EM52	rec.travel.europe_20050101.1800-E45-32
EM53	rec.travel.europe_20050101.1800-E86-33
EM54	rec.travel.europe_20050101.1800-E45-34
EM55	rec.travel.europe_20050101.1800-E45-35
EM56	rec.travel.europe_20050101.1800-E45-36
EM57	rec.travel.europe_20050101.1800-E86-37
EM58	rec.travel.europe_20050101.1800-E45-38
EM59	rec.travel.europe_20050101.1800-E45-39
EM60	rec.travel.europe_20050101.1800-E45-40
EM61	rec.travel.europe_20050101.1800-E86-41
EM62	rec.travel.europe_20050101.1800-E45-42
EM63	rec.travel.europe_20050101.1800-E45-43
EM64	rec.travel.europe_20050101.1800-E86-44
EM65	rec.travel.europe_20050101.1800-E45-45
EM66	rec.travel.europe_20050101.1800-E45-46
EM67	rec.travel.europe_20050101.1800-E45-47
EM68	rec.travel.europe_20050101.1800-E45-48
EM69	rec.travel.europe_20050101.1800-E87-49
EM70	rec.travel.europe_20050101.1800-E86-50
EM71	rec.travel.europe_20050101.1800-E86-51
EM72	rec.travel.europe_20050101.1800-E45-52
EM73	rec.travel.europe_20050101.1800-E45-53
EM74	rec.travel.europe_20050101.1800-E45-54
EM75	rec.travel.europe_20050101.1800-E45-55
EM76	rec.travel.europe_20050101.1800-E45-56
EM77	rec.travel.europe_20050101.1800-E45-57
EM79	rec.travel.europe_20050101.1800-E45-58
EM80	rec.travel.europe_20050101.1800-E87-59
EM81	rec.travel.europe_20050101.1800-E86-60
EM82	rec.travel.europe_20050101.1800-E45-61
EM83	rec.travel.europe_20050101.1800-E45-62
EM84	rec.travel.europe_20050101.1800-E45-63
EM85	rec.travel.europe_20050101.1800-E45-64
EM86	rec.travel.europe_20050101.1800-E86-65
EM87	rec.travel.europe_20050101.1800-E86-66
EM88	rec.travel.europe_20050101.1800-E86-67
EM89	rec.travel.europe_20050101.1800-E45-68
EM90	rec.travel.europe_20050101.1800-E45-69
EM91	rec.travel.europe_20050101.1800-E86-70
EM92	rec.travel.europe_20050101.1800-E86-71
EM93	rec.travel.europe_20050101.1800-E86-72
EM94	rec.travel.europe_20050101.1800-E86-73
EM95	rec.travel.europe_20050101.1800-E86-74
EM96	rec.travel.europe_20050101.1800-E5-75
EM97	rec.travel.europe_20050101.1800-E6-76
EM98	rec.travel.europe_20050101.1800-E7-77
EM235	rec.travel.europe_20050101.1800-E83-78
EM100	rec.travel.europe_20050101.1800-E8-79
EM101	rec.travel.europe_20050101.1800-E9-80
EM102	rec.travel.europe_20050101.1800-E10-81
EM103	rec.travel.europe_20050101.1800-E11-82
EM104	rec.travel.europe_20050101.1800-E12-83
EM105	rec.travel.europe_20050101.1800-E13-84
EM106	rec.travel.europe_20050101.1800-E2-85
EM108	rec.travel.europe_20050101.1800-E14-86
EM109	rec.travel.europe_20050101.1800-E15-87
EM113	rec.travel.europe_20050101.1800-E16-88
EM116	rec.travel.europe_20050101.1800-E16-89
EM117	rec.travel.europe_20050101.1800-E16-90
EM118	rec.travel.europe_20050101.1800-E17-91
EM119	rec.travel.europe_20050101.1800-E18-92
EM120	rec.travel.europe_20050101.1800-E16-93
EM121	rec.travel.europe_20050101.1800-E18-94
EM122	rec.travel.europe_20050101.1800-E18-95
EM123	rec.travel.europe_20050101.1800-E16-96
EM124	rec.travel.europe_20050101.1800-E19-97
EM2	rec.travel.europe_20050101.1800-E45-98
EM125	rec.travel.europe_20050101.1800-E20-99
EM126	rec.travel.europe_20050101.1800-E21-100
EM127	rec.travel.europe_20050101.1800-E22-101
EM128	rec.travel.europe_20050101.1800-E23-102
EM129	rec.travel.europe_20050101.1800-E24-103
EM130	rec.travel.europe_20050101.1800-E25-104
EM131	rec.travel.europe_20050101.1800-E22-105
EM132	rec.travel.europe_20050101.1800-E26-106
EM133	rec.travel.europe_20050101.1800-E27-107
EM134	rec.travel.europe_20050101.1800-E28-108
EM135	rec.travel.europe_20050101.1800-E23-109
EM137	rec.travel.europe_20050101.1800-E29-110
EM138	rec.travel.europe_20050101.1800-E15-111
EM140	rec.travel.europe_20050101.1800-E26-112
EM141	rec.travel.europe_20050101.1800-E30-113
EM142	rec.travel.europe_20050101.1800-E23-114
EM143	rec.travel.europe_20050101.1800-E31-115
EM144	rec.travel.europe_20050101.1800-E32-116
EM145	rec.travel.europe_20050101.1800-E32-117
EM146	rec.travel.europe_20050101.1800-E33-118
EM147	rec.travel.europe_20050101.1800-E34-119
EM148	rec.travel.europe_20050101.1800-E35-120
EM149	rec.travel.europe_20050101.1800-E5-121
EM150	rec.travel.europe_20050101.1800-E23-122
EM151	rec.travel.europe_20050101.1800-E36-123
EM152	rec.travel.europe_20050101.1800-E37-124
EM153	rec.travel.europe_20050101.1800-E36-125
EM154	rec.travel.europe_20050101.1800-E38-126
EM155	rec.travel.europe_20050101.1800-E85-127
EM156	rec.travel.europe_20050101.1800-E39-128
EM157	rec.travel.europe_20050101.1800-E40-129
EM158	rec.travel.europe_20050101.1800-E41-130
EM159	rec.travel.europe_20050101.1800-E42-131
EM160	rec.travel.europe_20050101.1800-E43-132
EM161	rec.travel.europe_20050101.1800-E44-133
EM162	rec.travel.europe_20050101.1800-E46-134
EM163	rec.travel.europe_20050101.1800-E44-135
EM164	rec.travel.europe_20050101.1800-E44-136
EM165	rec.travel.europe_20050101.1800-E47-137
EM166	rec.travel.europe_20050101.1800-E48-138
EM167	rec.travel.europe_20050101.1800-E49-139
EM168	rec.travel.europe_20050101.1800-E50-140
EM170	rec.travel.europe_20050101.1800-E35-141
EM171	rec.travel.europe_20050101.1800-E51-142
EM172	rec.travel.europe_20050101.1800-E52-143
EM173	rec.travel.europe_20050101.1800-E53-144
EM174	rec.travel.europe_20050101.1800-E41-145
EM175	rec.travel.europe_20050101.1800-E54-146
EM176	rec.travel.europe_20050101.1800-E55-147
EM177	rec.travel.europe_20050101.1800-E55-148
EM178	rec.travel.europe_20050101.1800-E56-149
EM180	rec.travel.europe_20050101.1800-E52-150
EM181	rec.travel.europe_20050101.1800-E52-151
EM182	rec.travel.europe_20050101.1800-E52-152
EM183	rec.travel.europe_20050101.1800-E57-153
EM184	rec.travel.europe_20050101.1800-E58-154
EM185	rec.travel.europe_20050101.1800-E59-155
EM186	rec.travel.europe_20050101.1800-E52-156
EM187	rec.travel.europe_20050101.1800-E60-157
EM188	rec.travel.europe_20050101.1800-E61-158
EM189	rec.travel.europe_20050101.1800-E5-159
EM190	rec.travel.europe_20050101.1800-E88-160
EM191	rec.travel.europe_20050101.1800-E62-161
EM193	rec.travel.europe_20050101.1800-E63-162
EM194	rec.travel.europe_20050101.1800-E62-163
EM195	rec.travel.europe_20050101.1800-E62-164
EM196	rec.travel.europe_20050101.1800-E64-165
EM197	rec.travel.europe_20050101.1800-E64-166
EM198	rec.travel.europe_20050101.1800-E65-167
EM199	rec.travel.europe_20050101.1800-E88-168
EM200	rec.travel.europe_20050101.1800-E2-169
EM201	rec.travel.europe_20050101.1800-E66-170
EM202	rec.travel.europe_20050101.1800-E88-171
EM203	rec.travel.europe_20050101.1800-E2-172
EM3	rec.travel.europe_20050101.1800-E82-173
EM204	rec.travel.europe_20050101.1800-E62-174
EM205	rec.travel.europe_20050101.1800-E67-175
EM206	rec.travel.europe_20050101.1800-E68-176
EM207	rec.travel.europe_20050101.1800-E69-177
EM208	rec.travel.europe_20050101.1800-E70-178
EM209	rec.travel.europe_20050101.1800-E71-179
EM210	rec.travel.europe_20050101.1800-E72-180
EM212	rec.travel.europe_20050101.1800-E69-181
EM213	rec.travel.europe_20050101.1800-E73-182
EM214	rec.travel.europe_20050101.1800-E74-183
EM215	rec.travel.europe_20050101.1800-E73-184
EM216	rec.travel.europe_20050101.1800-E73-185
EM217	rec.travel.europe_20050101.1800-E75-186
EM218	rec.travel.europe_20050101.1800-E76-187
EM219	rec.travel.europe_20050101.1800-E77-188
EM220	rec.travel.europe_20050101.1800-E78-189
EM222	rec.travel.europe_20050101.1800-E71-190
EM223	rec.travel.europe_20050101.1800-E71-191
EM224	rec.travel.europe_20050101.1800-E71-192
EM225	rec.travel.europe_20050101.1800-E79-193
EM227	rec.travel.europe_20050101.1800-E80-194
EM228	rec.travel.europe_20050101.1800-E74-195
EM229	rec.travel.europe_20050101.1800-E81-196
EM231	rec.travel.europe_20050101.1800-E74-197
EM233	rec.travel.europe_20050101.1800-E84-198
EM4	rec.travel.europe_20050101.1800-E45-199
EM230	rec.travel.europe_20050101.1800-E3-200
EM6	rec.travel.europe_20050101.1800-E85-201
EM7	rec.travel.europe_20050101.1800-E86-202
EM8	rec.travel.europe_20050101.1800-E86-203
EM9	rec.travel.europe_20050101.1800-E86-204
EM10	rec.travel.europe_20050101.1800-E86-205
EM11	rec.travel.europe_20050101.1800-E87-206
EM12	rec.travel.europe_20050101.1800-E45-207
EM13	rec.travel.europe_20050101.1800-E88-208
EM14	rec.travel.europe_20050101.1800-E88-209
EM15	rec.travel.europe_20050101.1800-E86-210
EM16	rec.travel.europe_20050101.1800-E89-211
EM17	rec.travel.europe_20050101.1800-E90-212
EM18	rec.travel.europe_20050101.1800-E91-213
EM19	rec.travel.europe_20050101.1800-E86-214
EM20	rec.travel.europe_20050101.1800-E86-215
R12	rec.travel.europe_20050101.1800-R1
R13	rec.travel.europe_20050101.1800-R2
R1	rec.travel.europe_20050101.1800-R3
R2	rec.travel.europe_20050101.1800-R4
R3	rec.travel.europe_20050101.1800-R5
R4	rec.travel.europe_20050101.1800-R6
R5	rec.travel.europe_20050101.1800-R7
R6	rec.travel.europe_20050101.1800-R8
R8	rec.travel.europe_20050101.1800-R9
R9	rec.travel.europe_20050101.1800-R10
R14	rec.travel.europe_20050101.1800-R11
R10	rec.travel.europe_20050101.1800-R12
R15	rec.travel.europe_20050101.1800-R13
R11	rec.travel.europe_20050101.1800-R14
R16	rec.travel.europe_20050101.1800-R15
R17	rec.travel.europe_20050101.1800-R16
R18	rec.travel.europe_20050101.1800-R17
R19	rec.travel.europe_20050101.1800-R18
R20	rec.travel.europe_20050101.1800-R19
R21	rec.travel.europe_20050101.1800-R20
R22	rec.travel.europe_20050101.1800-R21
R23	rec.travel.europe_20050101.1800-R22
R24	rec.travel.europe_20050101.1800-R23
R25	rec.travel.europe_20050101.1800-R24
R26	rec.travel.europe_20050101.1800-R25
R27	rec.travel.europe_20050101.1800-R26
R28	rec.travel.europe_20050101.1800-R27
R29	rec.travel.europe_20050101.1800-R28
R30	rec.travel.europe_20050101.1800-R29
R31	rec.travel.europe_20050101.1800-R30
R32	rec.travel.europe_20050101.1800-R31
RM12	rec.travel.europe_20050101.1800-R1-1
RM13	rec.travel.europe_20050101.1800-R2-1
RM1	rec.travel.europe_20050101.1800-R3-1
RM2	rec.travel.europe_20050101.1800-R1-2
RM3	rec.travel.europe_20050101.1800-R2-2
RM4	rec.travel.europe_20050101.1800-R6-1
RM5	rec.travel.europe_20050101.1800-R7-1
RM6	rec.travel.europe_20050101.1800-R8-1
RM15	rec.travel.europe_20050101.1800-R11-1
RM8	rec.travel.europe_20050101.1800-R9-1
RM9	rec.travel.europe_20050101.1800-R10-1
RM11	rec.travel.europe_20050101.1800-R12-1
RM16	rec.travel.europe_20050101.1800-R2-3
RM17	rec.travel.europe_20050101.1800-R15-1
RM18	rec.travel.europe_20050101.1800-R16-1
RM19	rec.travel.europe_20050101.1800-R17-1
RM20	rec.travel.europe_20050101.1800-R18-1
RM21	rec.travel.europe_20050101.1800-R19-1
RM22	rec.travel.europe_20050101.1800-R20-1
RM23	rec.travel.europe_20050101.1800-R21-1
RM24	rec.travel.europe_20050101.1800-R22-1
RM25	rec.travel.europe_20050101.1800-R2-4
RM26	rec.travel.europe_20050101.1800-R24-1
RM28	rec.travel.europe_20050101.1800-R2-5
RM29	rec.travel.europe_20050101.1800-R26-1
RM30	rec.travel.europe_20050101.1800-R27-1
RM31	rec.travel.europe_20050101.1800-R28-1
RM32	rec.travel.europe_20050101.1800-R29-1
RM33	rec.travel.europe_20050101.1800-R30-1
RM34	rec.travel.europe_20050101.1800-R31-1
V1	rec.travel.europe_20050101.1800-EV1
V2	rec.travel.europe_20050101.1800-EV2
V3	rec.travel.europe_20050101.1800-EV3
V4	rec.travel.europe_20050101.1800-EV4
V5	rec.travel.europe_20050101.1800-EV5
V6	rec.travel.europe_20050101.1800-EV6
V7	rec.travel.europe_20050101.1800-EV7
V8	rec.travel.europe_20050101.1800-EV8
V9	rec.travel.europe_20050101.1800-EV9
VM1	rec.travel.europe_20050101.1800-EV1-1
VM2	rec.travel.europe_20050101.1800-EV2-1
VM3	rec.travel.europe_20050101.1800-EV3-1
VM5	rec.travel.europe_20050101.1800-EV4-1
VM8	rec.travel.europe_20050101.1800-EV5-1
VM9	rec.travel.europe_20050101.1800-EV6-1
VM10	rec.travel.europe_20050101.1800-EV7-1
VM11	rec.travel.europe_20050101.1800-EV8-1
VM12	rec.travel.europe_20050101.1800-EV9-1
Q7	rec.travel.europe_20050101.1800-V1
Q8	rec.travel.europe_20050101.1800-V2
Q9	rec.travel.europe_20050101.1800-V3
Q10	rec.travel.europe_20050101.1800-T1
Q11	rec.travel.europe_20050101.1800-T2
Q12	rec.travel.europe_20050101.1800-T3
Q13	rec.travel.europe_20050101.1800-T4
Q14	rec.travel.europe_20050101.1800-T5
Q16	rec.travel.europe_20050101.1800-V4
Q17	rec.travel.europe_20050101.1800-V5
Q18	rec.travel.europe_20050101.1800-V6
Q1	rec.travel.europe_20050101.1800-T6
Q2	rec.travel.europe_20050101.1800-T7
Q3	rec.travel.europe_20050101.1800-T8
Q4	rec.travel.europe_20050101.1800-T9
Q5	rec.travel.europe_20050101.1800-T10
Q6	rec.travel.europe_20050101.1800-V7
Q19	rec.travel.europe_20050101.1800-T11
Q21	rec.travel.europe_20050101.1800-T12
Q22	rec.travel.europe_20050101.1800-T13
Q23	rec.travel.europe_20050101.1800-T14
Q24	rec.travel.europe_20050101.1800-T15
Q25	rec.travel.europe_20050101.1800-T16
Q26	rec.travel.europe_20050101.1800-T17
Q27	rec.travel.europe_20050101.1800-T18
Q28	rec.travel.europe_20050101.1800-T19
Q29	rec.travel.europe_20050101.1800-T20
Q30	rec.travel.europe_20050101.1800-V8
Q31	rec.travel.europe_20050101.1800-V9
Q32	rec.travel.europe_20050101.1800-T21
Q33	rec.travel.europe_20050101.1800-V10
Q34	rec.travel.europe_20050101.1800-T22
Q35	rec.travel.europe_20050101.1800-V11
Q36	rec.travel.europe_20050101.1800-V12
Q37	rec.travel.europe_20050101.1800-T23
QM7	rec.travel.europe_20050101.1800-V1-1
QM8	rec.travel.europe_20050101.1800-V2-1
QM9	rec.travel.europe_20050101.1800-V3-1
QM16	rec.travel.europe_20050101.1800-V4-1
QM17	rec.travel.europe_20050101.1800-V5-1
QM18	rec.travel.europe_20050101.1800-V6-1
QM6	rec.travel.europe_20050101.1800-V7-1
QM30	rec.travel.europe_20050101.1800-V8-1
QM31	rec.travel.europe_20050101.1800-V9-1
QM33	rec.travel.europe_20050101.1800-V10-1
QM35	rec.travel.europe_20050101.1800-V11-1
QM36	rec.travel.europe_20050101.1800-V12-1
