CE17	alt.politics_20050124.0640-CE1
E50	alt.politics_20050124.0640-E23
E51	alt.politics_20050124.0640-E24
E52	alt.politics_20050124.0640-E25
E53	alt.politics_20050124.0640-E26
E54	alt.politics_20050124.0640-E27
E56	alt.politics_20050124.0640-E28
E57	alt.politics_20050124.0640-E29
E58	alt.politics_20050124.0640-E30
E59	alt.politics_20050124.0640-E31
E60	alt.politics_20050124.0640-E32
E61	alt.politics_20050124.0640-E33
E62	alt.politics_20050124.0640-E34
E63	alt.politics_20050124.0640-E35
E64	alt.politics_20050124.0640-E36
E70	alt.politics_20050124.0640-E37
E3	alt.politics_20050124.0640-E38
E22	alt.politics_20050124.0640-E39
E5	alt.politics_20050124.0640-E40
E23	alt.politics_20050124.0640-E41
E11	alt.politics_20050124.0640-E42
E12	alt.politics_20050124.0640-E43
E13	alt.politics_20050124.0640-E44
E15	alt.politics_20050124.0640-E45
E26	alt.politics_20050124.0640-E46
E17	alt.politics_20050124.0640-E47
E18	alt.politics_20050124.0640-E48
E19	alt.politics_20050124.0640-E49
EM1	alt.politics_20050124.0640-E22-1
EM17	alt.politics_20050124.0640-E1-2
EM18	alt.politics_20050124.0640-E2-3
EM19	alt.politics_20050124.0640-E48-4
EM20	alt.politics_20050124.0640-E43-5
EM26	alt.politics_20050124.0640-E3-6
EM28	alt.politics_20050124.0640-E4-7
EM29	alt.politics_20050124.0640-E5-8
EM30	alt.politics_20050124.0640-E6-9
EM31	alt.politics_20050124.0640-E7-10
EM32	alt.politics_20050124.0640-E3-11
EM33	alt.politics_20050124.0640-E3-12
EM34	alt.politics_20050124.0640-E3-13
EM35	alt.politics_20050124.0640-E3-14
EM36	alt.politics_20050124.0640-E8-15
EM39	alt.politics_20050124.0640-E9-16
EM40	alt.politics_20050124.0640-E10-17
EM42	alt.politics_20050124.0640-E11-18
EM43	alt.politics_20050124.0640-E12-19
EM44	alt.politics_20050124.0640-E13-20
EM45	alt.politics_20050124.0640-E14-21
EM46	alt.politics_20050124.0640-E15-22
EM47	alt.politics_20050124.0640-E16-23
EM48	alt.politics_20050124.0640-E8-24
EM50	alt.politics_20050124.0640-E8-25
EM51	alt.politics_20050124.0640-E17-26
EM52	alt.politics_20050124.0640-E18-27
EM53	alt.politics_20050124.0640-E8-28
EM55	alt.politics_20050124.0640-E19-29
EM56	alt.politics_20050124.0640-E43-30
EM57	alt.politics_20050124.0640-E16-31
EM58	alt.politics_20050124.0640-E20-32
EM59	alt.politics_20050124.0640-E21-33
EM60	alt.politics_20050124.0640-E23-34
EM61	alt.politics_20050124.0640-E24-35
EM62	alt.politics_20050124.0640-E20-36
EM63	alt.politics_20050124.0640-E25-37
EM64	alt.politics_20050124.0640-E25-38
EM65	alt.politics_20050124.0640-E26-39
EM66	alt.politics_20050124.0640-E27-40
EM68	alt.politics_20050124.0640-E28-41
EM70	alt.politics_20050124.0640-E27-42
EM71	alt.politics_20050124.0640-E29-43
EM72	alt.politics_20050124.0640-E30-44
EM73	alt.politics_20050124.0640-E31-45
EM74	alt.politics_20050124.0640-E32-46
EM75	alt.politics_20050124.0640-E33-47
EM76	alt.politics_20050124.0640-E27-48
EM77	alt.politics_20050124.0640-E34-49
EM78	alt.politics_20050124.0640-E27-50
EM79	alt.politics_20050124.0640-E34-51
EM80	alt.politics_20050124.0640-E35-52
EM81	alt.politics_20050124.0640-E36-53
EM2	alt.politics_20050124.0640-E38-54
EM82	alt.politics_20050124.0640-E36-55
EM83	alt.politics_20050124.0640-E36-56
EM91	alt.politics_20050124.0640-E37-57
EM21	alt.politics_20050124.0640-E39-58
EM4	alt.politics_20050124.0640-E40-59
EM22	alt.politics_20050124.0640-E41-60
EM7	alt.politics_20050124.0640-E42-61
EM8	alt.politics_20050124.0640-E44-62
EM25	alt.politics_20050124.0640-E46-63
EM10	alt.politics_20050124.0640-E45-64
EM11	alt.politics_20050124.0640-E22-65
EM13	alt.politics_20050124.0640-E47-66
EM14	alt.politics_20050124.0640-E48-67
EM15	alt.politics_20050124.0640-E49-68
EM16	alt.politics_20050124.0640-E40-69
R1	alt.politics_20050124.0640-R1
R4	alt.politics_20050124.0640-R2
R5	alt.politics_20050124.0640-R3
R6	alt.politics_20050124.0640-R4
R7	alt.politics_20050124.0640-R5
R9	alt.politics_20050124.0640-R6
R11	alt.politics_20050124.0640-R7
R12	alt.politics_20050124.0640-R8
R1	alt.politics_20050124.0640-R9
RM1	alt.politics_20050124.0640-R1-1
RM4	alt.politics_20050124.0640-R2-1
RM5	alt.politics_20050124.0640-R3-1
RM6	alt.politics_20050124.0640-R4-1
RM7	alt.politics_20050124.0640-R5-1
RM9	alt.politics_20050124.0640-R6-1
RM11	alt.politics_20050124.0640-R7-1
RM12	alt.politics_20050124.0640-R8-1
RM15	alt.politics_20050124.0640-R9-1
V1	alt.politics_20050124.0640-EV1
V2	alt.politics_20050124.0640-EV2
VM1	alt.politics_20050124.0640-EV1-1
VM2	alt.politics_20050124.0640-EV2-1
Q1	alt.politics_20050124.0640-T1
Q2	alt.politics_20050124.0640-T2
Q3	alt.politics_20050124.0640-T3
