CE10	rec.music.phish_20050217.1804-CE1
E11	rec.music.phish_20050217.1804-E60
EM1	rec.music.phish_20050217.1804-E14-1
EM21	rec.music.phish_20050217.1804-E60-2
EM22	rec.music.phish_20050217.1804-E60-3
EM23	rec.music.phish_20050217.1804-E54-4
EM24	rec.music.phish_20050217.1804-E54-5
EM25	rec.music.phish_20050217.1804-E2-6
EM26	rec.music.phish_20050217.1804-E3-7
EM27	rec.music.phish_20050217.1804-E46-8
EM28	rec.music.phish_20050217.1804-E4-9
EM29	rec.music.phish_20050217.1804-E5-10
EM30	rec.music.phish_20050217.1804-E5-11
EM31	rec.music.phish_20050217.1804-E5-12
EM32	rec.music.phish_20050217.1804-E60-13
EM33	rec.music.phish_20050217.1804-E46-14
EM34	rec.music.phish_20050217.1804-E46-15
EM35	rec.music.phish_20050217.1804-E6-16
EM36	rec.music.phish_20050217.1804-E7-17
EM37	rec.music.phish_20050217.1804-E8-18
EM38	rec.music.phish_20050217.1804-E46-19
EM39	rec.music.phish_20050217.1804-E9-20
EM40	rec.music.phish_20050217.1804-E60-21
EM41	rec.music.phish_20050217.1804-E58-22
EM42	rec.music.phish_20050217.1804-E60-23
EM43	rec.music.phish_20050217.1804-E5-24
EM44	rec.music.phish_20050217.1804-E5-25
EM45	rec.music.phish_20050217.1804-E46-26
EM46	rec.music.phish_20050217.1804-E60-27
EM47	rec.music.phish_20050217.1804-E54-28
EM48	rec.music.phish_20050217.1804-E54-29
EM49	rec.music.phish_20050217.1804-E54-30
EM50	rec.music.phish_20050217.1804-E10-31
EM51	rec.music.phish_20050217.1804-E10-32
EM52	rec.music.phish_20050217.1804-E11-33
EM53	rec.music.phish_20050217.1804-E8-34
EM54	rec.music.phish_20050217.1804-E10-35
EM55	rec.music.phish_20050217.1804-E54-36
EM56	rec.music.phish_20050217.1804-E54-37
EM57	rec.music.phish_20050217.1804-E54-38
EM58	rec.music.phish_20050217.1804-E10-39
EM59	rec.music.phish_20050217.1804-E54-40
EM61	rec.music.phish_20050217.1804-E58-41
EM62	rec.music.phish_20050217.1804-E46-42
EM63	rec.music.phish_20050217.1804-E54-43
EM64	rec.music.phish_20050217.1804-E58-44
EM65	rec.music.phish_20050217.1804-E13-45
EM66	rec.music.phish_20050217.1804-E58-46
EM67	rec.music.phish_20050217.1804-E58-47
EM68	rec.music.phish_20050217.1804-E58-48
EM69	rec.music.phish_20050217.1804-E54-49
EM70	rec.music.phish_20050217.1804-E54-50
EM71	rec.music.phish_20050217.1804-E15-51
EM72	rec.music.phish_20050217.1804-E8-52
EM73	rec.music.phish_20050217.1804-E54-53
EM74	rec.music.phish_20050217.1804-E16-54
EM75	rec.music.phish_20050217.1804-E17-55
EM76	rec.music.phish_20050217.1804-E54-56
EM77	rec.music.phish_20050217.1804-E18-57
EM78	rec.music.phish_20050217.1804-E54-58
EM79	rec.music.phish_20050217.1804-E46-59
EM80	rec.music.phish_20050217.1804-E46-60
EM81	rec.music.phish_20050217.1804-E19-61
EM82	rec.music.phish_20050217.1804-E46-62
EM83	rec.music.phish_20050217.1804-E20-63
EM84	rec.music.phish_20050217.1804-E21-64
EM85	rec.music.phish_20050217.1804-E22-65
EM86	rec.music.phish_20050217.1804-E22-66
EM87	rec.music.phish_20050217.1804-E23-67
EM88	rec.music.phish_20050217.1804-E21-68
EM89	rec.music.phish_20050217.1804-E22-69
EM90	rec.music.phish_20050217.1804-E22-70
EM91	rec.music.phish_20050217.1804-E22-71
EM92	rec.music.phish_20050217.1804-E46-72
EM93	rec.music.phish_20050217.1804-E46-73
EM94	rec.music.phish_20050217.1804-E46-74
EM95	rec.music.phish_20050217.1804-E46-75
EM96	rec.music.phish_20050217.1804-E46-76
EM97	rec.music.phish_20050217.1804-E24-77
EM98	rec.music.phish_20050217.1804-E25-78
EM99	rec.music.phish_20050217.1804-E46-79
EM100	rec.music.phish_20050217.1804-E26-80
EM102	rec.music.phish_20050217.1804-E26-81
EM103	rec.music.phish_20050217.1804-E27-82
EM104	rec.music.phish_20050217.1804-E28-83
EM105	rec.music.phish_20050217.1804-E27-84
EM106	rec.music.phish_20050217.1804-E26-85
EM107	rec.music.phish_20050217.1804-E29-86
EM108	rec.music.phish_20050217.1804-E54-87
EM109	rec.music.phish_20050217.1804-E58-88
EM110	rec.music.phish_20050217.1804-E13-89
EM111	rec.music.phish_20050217.1804-E54-90
EM112	rec.music.phish_20050217.1804-E30-91
EM113	rec.music.phish_20050217.1804-E31-92
EM2	rec.music.phish_20050217.1804-E53-93
EM114	rec.music.phish_20050217.1804-E46-94
EM115	rec.music.phish_20050217.1804-E54-95
EM116	rec.music.phish_20050217.1804-E46-96
EM118	rec.music.phish_20050217.1804-E32-97
EM119	rec.music.phish_20050217.1804-E32-98
EM120	rec.music.phish_20050217.1804-E32-99
EM121	rec.music.phish_20050217.1804-E46-100
EM122	rec.music.phish_20050217.1804-E33-101
EM123	rec.music.phish_20050217.1804-E46-102
EM124	rec.music.phish_20050217.1804-E46-103
EM125	rec.music.phish_20050217.1804-E8-104
EM126	rec.music.phish_20050217.1804-E32-105
EM127	rec.music.phish_20050217.1804-E46-106
EM128	rec.music.phish_20050217.1804-E34-107
EM129	rec.music.phish_20050217.1804-E35-108
EM130	rec.music.phish_20050217.1804-E60-109
EM131	rec.music.phish_20050217.1804-E54-110
EM132	rec.music.phish_20050217.1804-E46-111
EM133	rec.music.phish_20050217.1804-E36-112
EM134	rec.music.phish_20050217.1804-E37-113
EM135	rec.music.phish_20050217.1804-E35-114
EM136	rec.music.phish_20050217.1804-E35-115
EM137	rec.music.phish_20050217.1804-E35-116
EM138	rec.music.phish_20050217.1804-E38-117
EM139	rec.music.phish_20050217.1804-E39-118
EM140	rec.music.phish_20050217.1804-E40-119
EM141	rec.music.phish_20050217.1804-E41-120
EM142	rec.music.phish_20050217.1804-E35-121
EM143	rec.music.phish_20050217.1804-E60-122
EM144	rec.music.phish_20050217.1804-E46-123
EM145	rec.music.phish_20050217.1804-E60-124
EM146	rec.music.phish_20050217.1804-E32-125
EM147	rec.music.phish_20050217.1804-E20-126
EM148	rec.music.phish_20050217.1804-E42-127
EM149	rec.music.phish_20050217.1804-E54-128
EM150	rec.music.phish_20050217.1804-E43-129
EM151	rec.music.phish_20050217.1804-E46-130
EM152	rec.music.phish_20050217.1804-E32-131
EM153	rec.music.phish_20050217.1804-E43-132
EM154	rec.music.phish_20050217.1804-E44-133
EM155	rec.music.phish_20050217.1804-E46-134
EM156	rec.music.phish_20050217.1804-E45-135
EM157	rec.music.phish_20050217.1804-E32-136
EM158	rec.music.phish_20050217.1804-E46-137
EM159	rec.music.phish_20050217.1804-E7-138
EM160	rec.music.phish_20050217.1804-E58-139
EM161	rec.music.phish_20050217.1804-E13-140
EM162	rec.music.phish_20050217.1804-E58-141
EM163	rec.music.phish_20050217.1804-E48-142
EM164	rec.music.phish_20050217.1804-E49-143
EM165	rec.music.phish_20050217.1804-E13-144
EM166	rec.music.phish_20050217.1804-E13-145
EM167	rec.music.phish_20050217.1804-E54-146
EM168	rec.music.phish_20050217.1804-E13-147
EM169	rec.music.phish_20050217.1804-E13-148
EM170	rec.music.phish_20050217.1804-E13-149
EM171	rec.music.phish_20050217.1804-E50-150
EM172	rec.music.phish_20050217.1804-E54-151
EM173	rec.music.phish_20050217.1804-E46-152
EM174	rec.music.phish_20050217.1804-E47-153
EM175	rec.music.phish_20050217.1804-E51-154
EM176	rec.music.phish_20050217.1804-E35-155
EM177	rec.music.phish_20050217.1804-E35-156
EM178	rec.music.phish_20050217.1804-E52-157
EM179	rec.music.phish_20050217.1804-E46-158
EM180	rec.music.phish_20050217.1804-E46-159
EM181	rec.music.phish_20050217.1804-E35-160
EM182	rec.music.phish_20050217.1804-E32-161
EM183	rec.music.phish_20050217.1804-E46-162
EM184	rec.music.phish_20050217.1804-E46-163
EM185	rec.music.phish_20050217.1804-E46-164
EM60	rec.music.phish_20050217.1804-E12-165
EM4	rec.music.phish_20050217.1804-E46-166
EM5	rec.music.phish_20050217.1804-E54-167
EM6	rec.music.phish_20050217.1804-E54-168
EM7	rec.music.phish_20050217.1804-E55-169
EM8	rec.music.phish_20050217.1804-E56-170
EM9	rec.music.phish_20050217.1804-E56-171
EM10	rec.music.phish_20050217.1804-E46-172
EM11	rec.music.phish_20050217.1804-E46-173
EM12	rec.music.phish_20050217.1804-E46-174
EM13	rec.music.phish_20050217.1804-E54-175
EM14	rec.music.phish_20050217.1804-E46-176
EM15	rec.music.phish_20050217.1804-E54-177
EM16	rec.music.phish_20050217.1804-E57-178
EM17	rec.music.phish_20050217.1804-E58-179
EM18	rec.music.phish_20050217.1804-E59-180
EM19	rec.music.phish_20050217.1804-E60-181
EM20	rec.music.phish_20050217.1804-E1-182
R1	rec.music.phish_20050217.1804-R1
R2	rec.music.phish_20050217.1804-R2
R3	rec.music.phish_20050217.1804-R3
R4	rec.music.phish_20050217.1804-R4
R5	rec.music.phish_20050217.1804-R5
R6	rec.music.phish_20050217.1804-R6
R7	rec.music.phish_20050217.1804-R7
R8	rec.music.phish_20050217.1804-R8
R9	rec.music.phish_20050217.1804-R9
R10	rec.music.phish_20050217.1804-R10
R11	rec.music.phish_20050217.1804-R11
R12	rec.music.phish_20050217.1804-R12
R13	rec.music.phish_20050217.1804-R13
R14	rec.music.phish_20050217.1804-R14
RM1	rec.music.phish_20050217.1804-R1-1
RM2	rec.music.phish_20050217.1804-R2-1
RM3	rec.music.phish_20050217.1804-R3-1
RM4	rec.music.phish_20050217.1804-R4-1
RM5	rec.music.phish_20050217.1804-R5-1
RM6	rec.music.phish_20050217.1804-R6-1
RM7	rec.music.phish_20050217.1804-R7-1
RM8	rec.music.phish_20050217.1804-R8-1
RM9	rec.music.phish_20050217.1804-R9-1
RM10	rec.music.phish_20050217.1804-R10-1
RM11	rec.music.phish_20050217.1804-R11-1
RM12	rec.music.phish_20050217.1804-R12-1
RM13	rec.music.phish_20050217.1804-R13-1
RM14	rec.music.phish_20050217.1804-R14-1
V1	rec.music.phish_20050217.1804-EV1
V2	rec.music.phish_20050217.1804-EV2
V3	rec.music.phish_20050217.1804-EV3
V4	rec.music.phish_20050217.1804-EV4
V5	rec.music.phish_20050217.1804-EV5
V6	rec.music.phish_20050217.1804-EV6
VM1	rec.music.phish_20050217.1804-EV1-1
VM2	rec.music.phish_20050217.1804-EV2-1
VM3	rec.music.phish_20050217.1804-EV3-1
VM4	rec.music.phish_20050217.1804-EV4-1
VM5	rec.music.phish_20050217.1804-EV5-1
VM6	rec.music.phish_20050217.1804-EV6-1
VM7	rec.music.phish_20050217.1804-EV6-2
Q1	rec.music.phish_20050217.1804-T1
Q2	rec.music.phish_20050217.1804-T2
Q3	rec.music.phish_20050217.1804-T3
Q4	rec.music.phish_20050217.1804-T4
Q5	rec.music.phish_20050217.1804-T5
Q6	rec.music.phish_20050217.1804-T6
Q7	rec.music.phish_20050217.1804-T7
Q8	rec.music.phish_20050217.1804-T8
Q9	rec.music.phish_20050217.1804-T9
Q10	rec.music.phish_20050217.1804-T10
Q11	rec.music.phish_20050217.1804-T11
Q12	rec.music.phish_20050217.1804-T12
Q13	rec.music.phish_20050217.1804-T13
Q14	rec.music.phish_20050217.1804-T14
Q15	rec.music.phish_20050217.1804-T15
