CE13	soc.culture.jewish_20050130.2105-CE1
EM35	soc.culture.jewish_20050130.2105-E21-16
EM36	soc.culture.jewish_20050130.2105-E12-17
EM37	soc.culture.jewish_20050130.2105-E14-18
EM38	soc.culture.jewish_20050130.2105-E15-19
EM39	soc.culture.jewish_20050130.2105-E12-20
EM40	soc.culture.jewish_20050130.2105-E12-21
EM41	soc.culture.jewish_20050130.2105-E21-22
EM42	soc.culture.jewish_20050130.2105-E21-23
EM44	soc.culture.jewish_20050130.2105-E16-24
EM45	soc.culture.jewish_20050130.2105-E35-25
EM46	soc.culture.jewish_20050130.2105-E32-26
EM48	soc.culture.jewish_20050130.2105-E17-27
EM49	soc.culture.jewish_20050130.2105-E18-28
EM50	soc.culture.jewish_20050130.2105-E19-29
EM51	soc.culture.jewish_20050130.2105-E20-30
EM52	soc.culture.jewish_20050130.2105-E22-31
EM53	soc.culture.jewish_20050130.2105-E23-32
EM54	soc.culture.jewish_20050130.2105-E24-33
EM55	soc.culture.jewish_20050130.2105-E21-34
EM56	soc.culture.jewish_20050130.2105-E25-35
EM57	soc.culture.jewish_20050130.2105-E26-36
EM58	soc.culture.jewish_20050130.2105-E21-37
EM59	soc.culture.jewish_20050130.2105-E29-38
EM60	soc.culture.jewish_20050130.2105-E27-39
EM61	soc.culture.jewish_20050130.2105-E10-40
EM19	soc.culture.jewish_20050130.2105-E38-41
EM63	soc.culture.jewish_20050130.2105-E39-42
EM64	soc.culture.jewish_20050130.2105-E39-43
EM65	soc.culture.jewish_20050130.2105-E37-44
EM2	soc.culture.jewish_20050130.2105-E28-45
EM3	soc.culture.jewish_20050130.2105-E29-46
EM4	soc.culture.jewish_20050130.2105-E30-47
EM5	soc.culture.jewish_20050130.2105-E31-48
EM6	soc.culture.jewish_20050130.2105-E33-49
EM7	soc.culture.jewish_20050130.2105-E34-50
EM8	soc.culture.jewish_20050130.2105-E35-51
EM9	soc.culture.jewish_20050130.2105-E36-52
EM10	soc.culture.jewish_20050130.2105-E37-53
EM11	soc.culture.jewish_20050130.2105-E38-54
EM12	soc.culture.jewish_20050130.2105-E39-55
EM13	soc.culture.jewish_20050130.2105-E40-56
EM14	soc.culture.jewish_20050130.2105-E21-57
EM15	soc.culture.jewish_20050130.2105-E21-58
EM16	soc.culture.jewish_20050130.2105-E1-59
R2	soc.culture.jewish_20050130.2105-R1
R4	soc.culture.jewish_20050130.2105-R2
R5	soc.culture.jewish_20050130.2105-R3
R6	soc.culture.jewish_20050130.2105-R4
R7	soc.culture.jewish_20050130.2105-R5
R8	soc.culture.jewish_20050130.2105-R6
R9	soc.culture.jewish_20050130.2105-R7
R11	soc.culture.jewish_20050130.2105-R8
R12	soc.culture.jewish_20050130.2105-R9
R13	soc.culture.jewish_20050130.2105-R10
R14	soc.culture.jewish_20050130.2105-R11
RM2	soc.culture.jewish_20050130.2105-R1-1
RM5	soc.culture.jewish_20050130.2105-R2-1
RM6	soc.culture.jewish_20050130.2105-R3-1
RM7	soc.culture.jewish_20050130.2105-R4-1
RM8	soc.culture.jewish_20050130.2105-R5-1
RM9	soc.culture.jewish_20050130.2105-R6-1
RM10	soc.culture.jewish_20050130.2105-R7-1
RM12	soc.culture.jewish_20050130.2105-R8-1
RM13	soc.culture.jewish_20050130.2105-R9-1
RM14	soc.culture.jewish_20050130.2105-R10-1
RM15	soc.culture.jewish_20050130.2105-R11-1
V1	soc.culture.jewish_20050130.2105-EV1
V2	soc.culture.jewish_20050130.2105-EV2
V3	soc.culture.jewish_20050130.2105-EV3
V4	soc.culture.jewish_20050130.2105-EV4
V5	soc.culture.jewish_20050130.2105-EV5
V6	soc.culture.jewish_20050130.2105-EV6
V7	soc.culture.jewish_20050130.2105-EV7
V8	soc.culture.jewish_20050130.2105-EV8
V9	soc.culture.jewish_20050130.2105-EV9
V10	soc.culture.jewish_20050130.2105-EV10
V11	soc.culture.jewish_20050130.2105-EV11
VM1	soc.culture.jewish_20050130.2105-EV1-1
VM2	soc.culture.jewish_20050130.2105-EV2-1
VM4	soc.culture.jewish_20050130.2105-EV3-1
VM5	soc.culture.jewish_20050130.2105-EV4-1
VM6	soc.culture.jewish_20050130.2105-EV5-1
VM7	soc.culture.jewish_20050130.2105-EV6-1
VM8	soc.culture.jewish_20050130.2105-EV7-1
VM9	soc.culture.jewish_20050130.2105-EV8-1
VM10	soc.culture.jewish_20050130.2105-EV5-2
VM11	soc.culture.jewish_20050130.2105-EV9-1
VM12	soc.culture.jewish_20050130.2105-EV10-1
VM13	soc.culture.jewish_20050130.2105-EV11-1
Q1	soc.culture.jewish_20050130.2105-T1
Q2	soc.culture.jewish_20050130.2105-T2
Q3	soc.culture.jewish_20050130.2105-T3
Q4	soc.culture.jewish_20050130.2105-V1
Q5	soc.culture.jewish_20050130.2105-T4
Q6	soc.culture.jewish_20050130.2105-T5
Q7	soc.culture.jewish_20050130.2105-T6
Q8	soc.culture.jewish_20050130.2105-T7
Q9	soc.culture.jewish_20050130.2105-V2
Q10	soc.culture.jewish_20050130.2105-T8
Q11	soc.culture.jewish_20050130.2105-T9
Q12	soc.culture.jewish_20050130.2105-T10
Q13	soc.culture.jewish_20050130.2105-T11
Q14	soc.culture.jewish_20050130.2105-T12
QM4	soc.culture.jewish_20050130.2105-V1-1
QM9	soc.culture.jewish_20050130.2105-V2-1
