CE15	alt.sys.pc-clone.dell_20050226.2350-CE1
E46	alt.sys.pc-clone.dell_20050226.2350-E28
E47	alt.sys.pc-clone.dell_20050226.2350-E29
E48	alt.sys.pc-clone.dell_20050226.2350-E30
E49	alt.sys.pc-clone.dell_20050226.2350-E31
E50	alt.sys.pc-clone.dell_20050226.2350-E32
E51	alt.sys.pc-clone.dell_20050226.2350-E33
E54	alt.sys.pc-clone.dell_20050226.2350-E34
E55	alt.sys.pc-clone.dell_20050226.2350-E35
E56	alt.sys.pc-clone.dell_20050226.2350-E36
E57	alt.sys.pc-clone.dell_20050226.2350-E37
E59	alt.sys.pc-clone.dell_20050226.2350-E38
E2	alt.sys.pc-clone.dell_20050226.2350-E39
E3	alt.sys.pc-clone.dell_20050226.2350-E40
E5	alt.sys.pc-clone.dell_20050226.2350-E41
E6	alt.sys.pc-clone.dell_20050226.2350-E42
E7	alt.sys.pc-clone.dell_20050226.2350-E43
E9	alt.sys.pc-clone.dell_20050226.2350-E44
E10	alt.sys.pc-clone.dell_20050226.2350-E45
E11	alt.sys.pc-clone.dell_20050226.2350-E46
E14	alt.sys.pc-clone.dell_20050226.2350-E47
EM1	alt.sys.pc-clone.dell_20050226.2350-E19-1
EM19	alt.sys.pc-clone.dell_20050226.2350-E1-2
EM20	alt.sys.pc-clone.dell_20050226.2350-E46-3
EM21	alt.sys.pc-clone.dell_20050226.2350-E2-4
EM22	alt.sys.pc-clone.dell_20050226.2350-E19-5
EM23	alt.sys.pc-clone.dell_20050226.2350-E19-6
EM24	alt.sys.pc-clone.dell_20050226.2350-E46-7
EM25	alt.sys.pc-clone.dell_20050226.2350-E46-8
EM26	alt.sys.pc-clone.dell_20050226.2350-E46-9
EM27	alt.sys.pc-clone.dell_20050226.2350-E3-10
EM28	alt.sys.pc-clone.dell_20050226.2350-E4-11
EM29	alt.sys.pc-clone.dell_20050226.2350-E4-12
EM31	alt.sys.pc-clone.dell_20050226.2350-E5-13
EM32	alt.sys.pc-clone.dell_20050226.2350-E6-14
EM33	alt.sys.pc-clone.dell_20050226.2350-E46-15
EM34	alt.sys.pc-clone.dell_20050226.2350-E7-16
EM35	alt.sys.pc-clone.dell_20050226.2350-E7-17
EM36	alt.sys.pc-clone.dell_20050226.2350-E7-18
EM37	alt.sys.pc-clone.dell_20050226.2350-E8-19
EM38	alt.sys.pc-clone.dell_20050226.2350-E9-20
EM40	alt.sys.pc-clone.dell_20050226.2350-E10-21
EM41	alt.sys.pc-clone.dell_20050226.2350-E7-22
EM42	alt.sys.pc-clone.dell_20050226.2350-E11-23
EM43	alt.sys.pc-clone.dell_20050226.2350-E12-24
EM44	alt.sys.pc-clone.dell_20050226.2350-E8-25
EM45	alt.sys.pc-clone.dell_20050226.2350-E7-26
EM46	alt.sys.pc-clone.dell_20050226.2350-E13-27
EM47	alt.sys.pc-clone.dell_20050226.2350-E7-28
EM48	alt.sys.pc-clone.dell_20050226.2350-E14-29
EM49	alt.sys.pc-clone.dell_20050226.2350-E8-30
EM50	alt.sys.pc-clone.dell_20050226.2350-E15-31
EM51	alt.sys.pc-clone.dell_20050226.2350-E16-32
EM52	alt.sys.pc-clone.dell_20050226.2350-E16-33
EM53	alt.sys.pc-clone.dell_20050226.2350-E16-34
EM54	alt.sys.pc-clone.dell_20050226.2350-E17-35
EM55	alt.sys.pc-clone.dell_20050226.2350-E18-36
EM56	alt.sys.pc-clone.dell_20050226.2350-E18-37
EM57	alt.sys.pc-clone.dell_20050226.2350-E7-38
EM58	alt.sys.pc-clone.dell_20050226.2350-E11-39
EM59	alt.sys.pc-clone.dell_20050226.2350-E11-40
EM60	alt.sys.pc-clone.dell_20050226.2350-E11-41
EM61	alt.sys.pc-clone.dell_20050226.2350-E20-42
EM63	alt.sys.pc-clone.dell_20050226.2350-E21-43
EM64	alt.sys.pc-clone.dell_20050226.2350-E21-44
EM65	alt.sys.pc-clone.dell_20050226.2350-E22-45
EM66	alt.sys.pc-clone.dell_20050226.2350-E21-46
EM67	alt.sys.pc-clone.dell_20050226.2350-E23-47
EM68	alt.sys.pc-clone.dell_20050226.2350-E21-48
EM69	alt.sys.pc-clone.dell_20050226.2350-E24-49
EM70	alt.sys.pc-clone.dell_20050226.2350-E24-50
EM71	alt.sys.pc-clone.dell_20050226.2350-E3-51
EM72	alt.sys.pc-clone.dell_20050226.2350-E25-52
EM73	alt.sys.pc-clone.dell_20050226.2350-E3-53
EM74	alt.sys.pc-clone.dell_20050226.2350-E3-54
EM75	alt.sys.pc-clone.dell_20050226.2350-E26-55
EM76	alt.sys.pc-clone.dell_20050226.2350-E27-56
EM77	alt.sys.pc-clone.dell_20050226.2350-E28-57
EM78	alt.sys.pc-clone.dell_20050226.2350-E29-58
EM79	alt.sys.pc-clone.dell_20050226.2350-E30-59
EM80	alt.sys.pc-clone.dell_20050226.2350-E31-60
EM81	alt.sys.pc-clone.dell_20050226.2350-E32-61
EM82	alt.sys.pc-clone.dell_20050226.2350-E31-62
EM83	alt.sys.pc-clone.dell_20050226.2350-E4-63
EM84	alt.sys.pc-clone.dell_20050226.2350-E33-64
EM86	alt.sys.pc-clone.dell_20050226.2350-E34-65
EM87	alt.sys.pc-clone.dell_20050226.2350-E34-66
EM88	alt.sys.pc-clone.dell_20050226.2350-E35-67
EM90	alt.sys.pc-clone.dell_20050226.2350-E35-68
EM91	alt.sys.pc-clone.dell_20050226.2350-E35-69
EM92	alt.sys.pc-clone.dell_20050226.2350-E36-70
EM93	alt.sys.pc-clone.dell_20050226.2350-E37-71
EM94	alt.sys.pc-clone.dell_20050226.2350-E33-72
EM95	alt.sys.pc-clone.dell_20050226.2350-E38-73
EM2	alt.sys.pc-clone.dell_20050226.2350-E19-74
EM3	alt.sys.pc-clone.dell_20050226.2350-E39-75
EM4	alt.sys.pc-clone.dell_20050226.2350-E39-76
EM5	alt.sys.pc-clone.dell_20050226.2350-E40-77
EM7	alt.sys.pc-clone.dell_20050226.2350-E41-78
EM8	alt.sys.pc-clone.dell_20050226.2350-E42-79
EM9	alt.sys.pc-clone.dell_20050226.2350-E43-80
EM11	alt.sys.pc-clone.dell_20050226.2350-E44-81
EM12	alt.sys.pc-clone.dell_20050226.2350-E45-82
EM13	alt.sys.pc-clone.dell_20050226.2350-E46-83
EM14	alt.sys.pc-clone.dell_20050226.2350-E39-84
EM15	alt.sys.pc-clone.dell_20050226.2350-E39-85
EM17	alt.sys.pc-clone.dell_20050226.2350-E47-86
R1	alt.sys.pc-clone.dell_20050226.2350-R1
RM1	alt.sys.pc-clone.dell_20050226.2350-R1-1
V2	alt.sys.pc-clone.dell_20050226.2350-EV1
V3	alt.sys.pc-clone.dell_20050226.2350-EV2
V4	alt.sys.pc-clone.dell_20050226.2350-EV3
V5	alt.sys.pc-clone.dell_20050226.2350-EV4
V7	alt.sys.pc-clone.dell_20050226.2350-EV5
V8	alt.sys.pc-clone.dell_20050226.2350-EV6
V9	alt.sys.pc-clone.dell_20050226.2350-EV7
V10	alt.sys.pc-clone.dell_20050226.2350-EV8
V11	alt.sys.pc-clone.dell_20050226.2350-EV9
V1	alt.sys.pc-clone.dell_20050226.2350-EV10
VM4	alt.sys.pc-clone.dell_20050226.2350-EV1-1
VM5	alt.sys.pc-clone.dell_20050226.2350-EV1-2
VM6	alt.sys.pc-clone.dell_20050226.2350-EV1-3
VM8	alt.sys.pc-clone.dell_20050226.2350-EV2-1
VM9	alt.sys.pc-clone.dell_20050226.2350-EV3-1
VM10	alt.sys.pc-clone.dell_20050226.2350-EV3-2
VM11	alt.sys.pc-clone.dell_20050226.2350-EV4-1
VM13	alt.sys.pc-clone.dell_20050226.2350-EV5-1
VM14	alt.sys.pc-clone.dell_20050226.2350-EV1-4
VM15	alt.sys.pc-clone.dell_20050226.2350-EV6-1
VM16	alt.sys.pc-clone.dell_20050226.2350-EV7-1
VM17	alt.sys.pc-clone.dell_20050226.2350-EV8-1
VM18	alt.sys.pc-clone.dell_20050226.2350-EV8-2
VM19	alt.sys.pc-clone.dell_20050226.2350-EV9-1
VM20	alt.sys.pc-clone.dell_20050226.2350-EV1-5
VM21	alt.sys.pc-clone.dell_20050226.2350-EV1-6
VM1	alt.sys.pc-clone.dell_20050226.2350-EV10-1
VM2	alt.sys.pc-clone.dell_20050226.2350-EV10-2
VM3	alt.sys.pc-clone.dell_20050226.2350-EV10-3
Q1	alt.sys.pc-clone.dell_20050226.2350-T1
Q2	alt.sys.pc-clone.dell_20050226.2350-T2
Q3	alt.sys.pc-clone.dell_20050226.2350-V1
Q4	alt.sys.pc-clone.dell_20050226.2350-V2
Q5	alt.sys.pc-clone.dell_20050226.2350-T3
Q6	alt.sys.pc-clone.dell_20050226.2350-V3
Q7	alt.sys.pc-clone.dell_20050226.2350-T4
Q8	alt.sys.pc-clone.dell_20050226.2350-V4
Q9	alt.sys.pc-clone.dell_20050226.2350-V5
QM3	alt.sys.pc-clone.dell_20050226.2350-V1-1
QM4	alt.sys.pc-clone.dell_20050226.2350-V2-1
QM6	alt.sys.pc-clone.dell_20050226.2350-V3-1
QM8	alt.sys.pc-clone.dell_20050226.2350-V4-1
QM9	alt.sys.pc-clone.dell_20050226.2350-V5-1
