CE9	seattle.politics_20050122.2412-CE1
E3	seattle.politics_20050122.2412-E30
E4	seattle.politics_20050122.2412-E31
E5	seattle.politics_20050122.2412-E32
E6	seattle.politics_20050122.2412-E33
E7	seattle.politics_20050122.2412-E34
E8	seattle.politics_20050122.2412-E35
E9	seattle.politics_20050122.2412-E36
E10	seattle.politics_20050122.2412-E37
E11	seattle.politics_20050122.2412-E38
E12	seattle.politics_20050122.2412-E39
EM1	seattle.politics_20050122.2412-E17-1
EM21	seattle.politics_20050122.2412-E36-2
EM22	seattle.politics_20050122.2412-E34-3
EM23	seattle.politics_20050122.2412-E2-4
EM24	seattle.politics_20050122.2412-E3-5
EM25	seattle.politics_20050122.2412-E1-6
EM26	seattle.politics_20050122.2412-E4-7
EM27	seattle.politics_20050122.2412-E5-8
EM28	seattle.politics_20050122.2412-E17-9
EM29	seattle.politics_20050122.2412-E2-10
EM30	seattle.politics_20050122.2412-E3-11
EM31	seattle.politics_20050122.2412-E4-12
EM32	seattle.politics_20050122.2412-E17-13
EM33	seattle.politics_20050122.2412-E5-14
EM34	seattle.politics_20050122.2412-E36-15
EM35	seattle.politics_20050122.2412-E6-16
EM36	seattle.politics_20050122.2412-E7-17
EM37	seattle.politics_20050122.2412-E30-18
EM38	seattle.politics_20050122.2412-E8-19
EM39	seattle.politics_20050122.2412-E9-20
EM40	seattle.politics_20050122.2412-E30-21
EM41	seattle.politics_20050122.2412-E10-22
EM42	seattle.politics_20050122.2412-E38-23
EM43	seattle.politics_20050122.2412-E38-24
EM44	seattle.politics_20050122.2412-E38-25
EM45	seattle.politics_20050122.2412-E9-26
EM47	seattle.politics_20050122.2412-E3-27
EM48	seattle.politics_20050122.2412-E12-28
EM49	seattle.politics_20050122.2412-E11-29
EM50	seattle.politics_20050122.2412-E8-30
EM51	seattle.politics_20050122.2412-E38-31
EM52	seattle.politics_20050122.2412-E13-32
EM53	seattle.politics_20050122.2412-E13-33
EM54	seattle.politics_20050122.2412-E38-34
EM55	seattle.politics_20050122.2412-E38-35
EM56	seattle.politics_20050122.2412-E30-36
EM57	seattle.politics_20050122.2412-E1-37
EM58	seattle.politics_20050122.2412-E30-38
EM59	seattle.politics_20050122.2412-E30-39
EM60	seattle.politics_20050122.2412-E30-40
EM61	seattle.politics_20050122.2412-E14-41
EM62	seattle.politics_20050122.2412-E15-42
EM63	seattle.politics_20050122.2412-E16-43
EM64	seattle.politics_20050122.2412-E30-44
EM65	seattle.politics_20050122.2412-E18-45
EM67	seattle.politics_20050122.2412-E17-46
EM68	seattle.politics_20050122.2412-E19-47
EM69	seattle.politics_20050122.2412-E11-48
EM70	seattle.politics_20050122.2412-E11-49
EM71	seattle.politics_20050122.2412-E20-50
EM72	seattle.politics_20050122.2412-E30-51
EM73	seattle.politics_20050122.2412-E30-52
EM74	seattle.politics_20050122.2412-E38-53
EM75	seattle.politics_20050122.2412-E38-54
EM76	seattle.politics_20050122.2412-E30-55
EM77	seattle.politics_20050122.2412-E8-56
EM78	seattle.politics_20050122.2412-E30-57
EM79	seattle.politics_20050122.2412-E21-58
EM80	seattle.politics_20050122.2412-E11-59
EM81	seattle.politics_20050122.2412-E30-60
EM82	seattle.politics_20050122.2412-E38-61
EM83	seattle.politics_20050122.2412-E30-62
EM84	seattle.politics_20050122.2412-E8-63
EM86	seattle.politics_20050122.2412-E3-64
EM87	seattle.politics_20050122.2412-E22-65
EM88	seattle.politics_20050122.2412-E23-66
EM89	seattle.politics_20050122.2412-E24-67
EM90	seattle.politics_20050122.2412-E25-68
EM91	seattle.politics_20050122.2412-E26-69
EM92	seattle.politics_20050122.2412-E27-70
EM93	seattle.politics_20050122.2412-E30-71
EM94	seattle.politics_20050122.2412-E30-72
EM95	seattle.politics_20050122.2412-E38-73
EM96	seattle.politics_20050122.2412-E38-74
EM97	seattle.politics_20050122.2412-E30-75
EM98	seattle.politics_20050122.2412-E36-76
EM99	seattle.politics_20050122.2412-E30-77
EM100	seattle.politics_20050122.2412-E17-78
EM101	seattle.politics_20050122.2412-E28-79
EM2	seattle.politics_20050122.2412-E29-80
EM3	seattle.politics_20050122.2412-E30-81
EM4	seattle.politics_20050122.2412-E29-82
EM5	seattle.politics_20050122.2412-E17-83
EM6	seattle.politics_20050122.2412-E31-84
EM7	seattle.politics_20050122.2412-E32-85
EM8	seattle.politics_20050122.2412-E33-86
EM9	seattle.politics_20050122.2412-E34-87
EM10	seattle.politics_20050122.2412-E30-88
EM11	seattle.politics_20050122.2412-E35-89
EM12	seattle.politics_20050122.2412-E37-90
EM13	seattle.politics_20050122.2412-E39-91
EM14	seattle.politics_20050122.2412-E30-92
EM15	seattle.politics_20050122.2412-E30-93
EM16	seattle.politics_20050122.2412-E38-94
EM17	seattle.politics_20050122.2412-E38-95
EM18	seattle.politics_20050122.2412-E38-96
EM19	seattle.politics_20050122.2412-E38-97
EM20	seattle.politics_20050122.2412-E1-98
R1	seattle.politics_20050122.2412-R1
R2	seattle.politics_20050122.2412-R2
R3	seattle.politics_20050122.2412-R3
RM1	seattle.politics_20050122.2412-R2-1
RM2	seattle.politics_20050122.2412-R3-1
V1	seattle.politics_20050122.2412-EV1
V2	seattle.politics_20050122.2412-EV2
VM1	seattle.politics_20050122.2412-EV1-1
VM2	seattle.politics_20050122.2412-EV2-1
Q1	seattle.politics_20050122.2412-T1
Q2	seattle.politics_20050122.2412-T2
Q3	seattle.politics_20050122.2412-T3
Q4	seattle.politics_20050122.2412-T4
Q5	seattle.politics_20050122.2412-T5
Q6	seattle.politics_20050122.2412-T6
Q7	seattle.politics_20050122.2412-T7
Q8	seattle.politics_20050122.2412-T8
Q9	seattle.politics_20050122.2412-T9
