CE8	misc.kids.pregnancy_20050120.0404-CE1
EM39	misc.kids.pregnancy_20050120.0404-E5-16
EM40	misc.kids.pregnancy_20050120.0404-E5-17
EM41	misc.kids.pregnancy_20050120.0404-E6-18
EM42	misc.kids.pregnancy_20050120.0404-E13-19
EM43	misc.kids.pregnancy_20050120.0404-E13-20
EM44	misc.kids.pregnancy_20050120.0404-E7-21
EM45	misc.kids.pregnancy_20050120.0404-E13-22
EM46	misc.kids.pregnancy_20050120.0404-E7-23
EM47	misc.kids.pregnancy_20050120.0404-E7-24
EM48	misc.kids.pregnancy_20050120.0404-E7-25
EM49	misc.kids.pregnancy_20050120.0404-E7-26
EM50	misc.kids.pregnancy_20050120.0404-E7-27
EM51	misc.kids.pregnancy_20050120.0404-E7-28
EM52	misc.kids.pregnancy_20050120.0404-E7-29
EM53	misc.kids.pregnancy_20050120.0404-E8-30
EM54	misc.kids.pregnancy_20050120.0404-E9-31
EM56	misc.kids.pregnancy_20050120.0404-E9-32
EM57	misc.kids.pregnancy_20050120.0404-E10-33
EM58	misc.kids.pregnancy_20050120.0404-E11-34
EM59	misc.kids.pregnancy_20050120.0404-E12-35
EM2	misc.kids.pregnancy_20050120.0404-E14-36
EM3	misc.kids.pregnancy_20050120.0404-E13-37
EM4	misc.kids.pregnancy_20050120.0404-E13-38
EM5	misc.kids.pregnancy_20050120.0404-E15-39
EM6	misc.kids.pregnancy_20050120.0404-E16-40
EM7	misc.kids.pregnancy_20050120.0404-E13-41
EM8	misc.kids.pregnancy_20050120.0404-E17-42
EM9	misc.kids.pregnancy_20050120.0404-E13-43
EM10	misc.kids.pregnancy_20050120.0404-E13-44
EM11	misc.kids.pregnancy_20050120.0404-E13-45
EM12	misc.kids.pregnancy_20050120.0404-E13-46
EM13	misc.kids.pregnancy_20050120.0404-E13-47
EM14	misc.kids.pregnancy_20050120.0404-E13-48
EM15	misc.kids.pregnancy_20050120.0404-E13-49
EM16	misc.kids.pregnancy_20050120.0404-E13-50
EM17	misc.kids.pregnancy_20050120.0404-E13-51
EM18	misc.kids.pregnancy_20050120.0404-E16-52
EM20	misc.kids.pregnancy_20050120.0404-E18-53
EM21	misc.kids.pregnancy_20050120.0404-E18-54
EM22	misc.kids.pregnancy_20050120.0404-E18-55
EM23	misc.kids.pregnancy_20050120.0404-E18-56
V1	misc.kids.pregnancy_20050120.0404-EV1
V2	misc.kids.pregnancy_20050120.0404-EV2
V3	misc.kids.pregnancy_20050120.0404-EV3
V4	misc.kids.pregnancy_20050120.0404-EV4
V5	misc.kids.pregnancy_20050120.0404-EV5
V6	misc.kids.pregnancy_20050120.0404-EV6
VM1	misc.kids.pregnancy_20050120.0404-EV1-1
VM2	misc.kids.pregnancy_20050120.0404-EV2-1
VM3	misc.kids.pregnancy_20050120.0404-EV3-1
VM4	misc.kids.pregnancy_20050120.0404-EV4-1
VM5	misc.kids.pregnancy_20050120.0404-EV5-1
VM6	misc.kids.pregnancy_20050120.0404-EV4-2
VM7	misc.kids.pregnancy_20050120.0404-EV6-1
VM8	misc.kids.pregnancy_20050120.0404-EV4-3
Q1	misc.kids.pregnancy_20050120.0404-T1
Q2	misc.kids.pregnancy_20050120.0404-T2
Q3	misc.kids.pregnancy_20050120.0404-T3
Q4	misc.kids.pregnancy_20050120.0404-T4
Q5	misc.kids.pregnancy_20050120.0404-T5
Q6	misc.kids.pregnancy_20050120.0404-T6
Q7	misc.kids.pregnancy_20050120.0404-T7
Q9	misc.kids.pregnancy_20050120.0404-T8
