CE9	alt.politics.economics_20041206.1835-CE1
EM1	alt.politics.economics_20041206.1835-E20-1
EM22	alt.politics.economics_20041206.1835-E2-2
EM23	alt.politics.economics_20041206.1835-E28-3
EM24	alt.politics.economics_20041206.1835-E29-4
EM25	alt.politics.economics_20041206.1835-E29-5
EM26	alt.politics.economics_20041206.1835-E29-6
EM27	alt.politics.economics_20041206.1835-E3-7
EM30	alt.politics.economics_20041206.1835-E4-8
EM31	alt.politics.economics_20041206.1835-E5-9
EM32	alt.politics.economics_20041206.1835-E6-10
EM33	alt.politics.economics_20041206.1835-E7-11
EM38	alt.politics.economics_20041206.1835-E8-12
EM39	alt.politics.economics_20041206.1835-E9-13
EM40	alt.politics.economics_20041206.1835-E10-14
EM41	alt.politics.economics_20041206.1835-E29-15
EM42	alt.politics.economics_20041206.1835-E10-16
EM43	alt.politics.economics_20041206.1835-E29-17
EM44	alt.politics.economics_20041206.1835-E30-18
EM45	alt.politics.economics_20041206.1835-E28-19
EM46	alt.politics.economics_20041206.1835-E10-20
EM47	alt.politics.economics_20041206.1835-E11-21
EM48	alt.politics.economics_20041206.1835-E12-22
EM49	alt.politics.economics_20041206.1835-E12-23
EM50	alt.politics.economics_20041206.1835-E29-24
EM52	alt.politics.economics_20041206.1835-E13-25
EM53	alt.politics.economics_20041206.1835-E14-26
EM54	alt.politics.economics_20041206.1835-E15-27
EM55	alt.politics.economics_20041206.1835-E29-28
EM56	alt.politics.economics_20041206.1835-E16-29
EM57	alt.politics.economics_20041206.1835-E17-30
EM58	alt.politics.economics_20041206.1835-E29-31
EM59	alt.politics.economics_20041206.1835-E18-32
EM60	alt.politics.economics_20041206.1835-E19-33
EM61	alt.politics.economics_20041206.1835-E21-34
EM62	alt.politics.economics_20041206.1835-E19-35
EM63	alt.politics.economics_20041206.1835-E22-36
EM64	alt.politics.economics_20041206.1835-E11-37
EM65	alt.politics.economics_20041206.1835-E11-38
EM66	alt.politics.economics_20041206.1835-E23-39
EM67	alt.politics.economics_20041206.1835-E29-40
EM68	alt.politics.economics_20041206.1835-E10-41
EM69	alt.politics.economics_20041206.1835-E24-42
EM70	alt.politics.economics_20041206.1835-E25-43
EM2	alt.politics.economics_20041206.1835-E26-44
EM3	alt.politics.economics_20041206.1835-E20-45
EM4	alt.politics.economics_20041206.1835-E27-46
EM5	alt.politics.economics_20041206.1835-E20-47
EM6	alt.politics.economics_20041206.1835-E27-48
EM7	alt.politics.economics_20041206.1835-E27-49
EM8	alt.politics.economics_20041206.1835-E28-50
EM9	alt.politics.economics_20041206.1835-E27-51
EM10	alt.politics.economics_20041206.1835-E27-52
EM11	alt.politics.economics_20041206.1835-E29-53
EM12	alt.politics.economics_20041206.1835-E30-54
EM13	alt.politics.economics_20041206.1835-E28-55
EM14	alt.politics.economics_20041206.1835-E27-56
EM15	alt.politics.economics_20041206.1835-E29-57
EM17	alt.politics.economics_20041206.1835-E29-58
EM18	alt.politics.economics_20041206.1835-E31-59
EM19	alt.politics.economics_20041206.1835-E32-60
EM20	alt.politics.economics_20041206.1835-E33-61
EM21	alt.politics.economics_20041206.1835-E1-62
R1	alt.politics.economics_20041206.1835-R1
R2	alt.politics.economics_20041206.1835-R2
R3	alt.politics.economics_20041206.1835-R3
R4	alt.politics.economics_20041206.1835-R4
R5	alt.politics.economics_20041206.1835-R5
R7	alt.politics.economics_20041206.1835-R6
R10	alt.politics.economics_20041206.1835-R7
RM1	alt.politics.economics_20041206.1835-R1-1
RM2	alt.politics.economics_20041206.1835-R2-1
RM3	alt.politics.economics_20041206.1835-R3-1
RM4	alt.politics.economics_20041206.1835-R4-1
RM5	alt.politics.economics_20041206.1835-R5-1
RM8	alt.politics.economics_20041206.1835-R2-2
RM11	alt.politics.economics_20041206.1835-R7-1
V1	alt.politics.economics_20041206.1835-EV1
V2	alt.politics.economics_20041206.1835-EV2
VM1	alt.politics.economics_20041206.1835-EV1-1
VM2	alt.politics.economics_20041206.1835-EV2-1
Q1	alt.politics.economics_20041206.1835-T1
Q2	alt.politics.economics_20041206.1835-T2
Q3	alt.politics.economics_20041206.1835-T3
Q4	alt.politics.economics_20041206.1835-T4
