CE10	soc.culture.indian_20041104.2348-CE1
EM29	soc.culture.indian_20041104.2348-E4-12
EM30	soc.culture.indian_20041104.2348-E57-13
EM31	soc.culture.indian_20041104.2348-E5-14
EM32	soc.culture.indian_20041104.2348-E57-15
EM33	soc.culture.indian_20041104.2348-E54-16
EM34	soc.culture.indian_20041104.2348-E55-17
EM35	soc.culture.indian_20041104.2348-E2-18
EM36	soc.culture.indian_20041104.2348-E6-19
EM37	soc.culture.indian_20041104.2348-E7-20
EM99	soc.culture.indian_20041104.2348-E29-21
EM38	soc.culture.indian_20041104.2348-E56-22
EM39	soc.culture.indian_20041104.2348-E57-23
EM40	soc.culture.indian_20041104.2348-E57-24
EM41	soc.culture.indian_20041104.2348-E9-25
EM42	soc.culture.indian_20041104.2348-E10-26
EM43	soc.culture.indian_20041104.2348-E57-27
EM44	soc.culture.indian_20041104.2348-E11-28
EM45	soc.culture.indian_20041104.2348-E12-29
EM46	soc.culture.indian_20041104.2348-E13-30
EM47	soc.culture.indian_20041104.2348-E14-31
EM48	soc.culture.indian_20041104.2348-E57-32
EM49	soc.culture.indian_20041104.2348-E15-33
EM50	soc.culture.indian_20041104.2348-E16-34
EM51	soc.culture.indian_20041104.2348-E17-35
EM52	soc.culture.indian_20041104.2348-E18-36
EM53	soc.culture.indian_20041104.2348-E57-37
EM54	soc.culture.indian_20041104.2348-E57-38
EM55	soc.culture.indian_20041104.2348-E19-39
EM56	soc.culture.indian_20041104.2348-E57-40
EM57	soc.culture.indian_20041104.2348-E57-41
EM58	soc.culture.indian_20041104.2348-E20-42
EM59	soc.culture.indian_20041104.2348-E21-43
EM1	soc.culture.indian_20041104.2348-E37-44
EM60	soc.culture.indian_20041104.2348-E57-45
EM61	soc.culture.indian_20041104.2348-E57-46
EM62	soc.culture.indian_20041104.2348-E37-47
EM63	soc.culture.indian_20041104.2348-E57-48
EM64	soc.culture.indian_20041104.2348-E22-49
EM65	soc.culture.indian_20041104.2348-E23-50
EM66	soc.culture.indian_20041104.2348-E24-51
EM67	soc.culture.indian_20041104.2348-E57-52
EM68	soc.culture.indian_20041104.2348-E25-53
EM69	soc.culture.indian_20041104.2348-E57-54
EM70	soc.culture.indian_20041104.2348-E57-55
EM71	soc.culture.indian_20041104.2348-E37-56
EM72	soc.culture.indian_20041104.2348-E2-57
EM73	soc.culture.indian_20041104.2348-E26-58
EM74	soc.culture.indian_20041104.2348-E20-59
EM75	soc.culture.indian_20041104.2348-E37-60
EM76	soc.culture.indian_20041104.2348-E57-61
EM77	soc.culture.indian_20041104.2348-E57-62
EM78	soc.culture.indian_20041104.2348-E57-63
EM79	soc.culture.indian_20041104.2348-E27-64
EM80	soc.culture.indian_20041104.2348-E28-65
EM81	soc.culture.indian_20041104.2348-E60-66
EM82	soc.culture.indian_20041104.2348-E61-67
EM83	soc.culture.indian_20041104.2348-E60-68
EM84	soc.culture.indian_20041104.2348-E60-69
EM86	soc.culture.indian_20041104.2348-E30-70
EM87	soc.culture.indian_20041104.2348-E31-71
EM88	soc.culture.indian_20041104.2348-E32-72
EM89	soc.culture.indian_20041104.2348-E32-73
EM90	soc.culture.indian_20041104.2348-E57-74
EM91	soc.culture.indian_20041104.2348-E14-75
EM92	soc.culture.indian_20041104.2348-E32-76
EM93	soc.culture.indian_20041104.2348-E57-77
EM94	soc.culture.indian_20041104.2348-E14-78
EM95	soc.culture.indian_20041104.2348-E32-79
EM96	soc.culture.indian_20041104.2348-E14-80
EM85	soc.culture.indian_20041104.2348-E33-81
EM100	soc.culture.indian_20041104.2348-E37-82
EM101	soc.culture.indian_20041104.2348-E29-83
EM102	soc.culture.indian_20041104.2348-E34-84
EM103	soc.culture.indian_20041104.2348-E54-85
EM104	soc.culture.indian_20041104.2348-E35-86
EM105	soc.culture.indian_20041104.2348-E36-87
EM106	soc.culture.indian_20041104.2348-E35-88
EM107	soc.culture.indian_20041104.2348-E38-89
EM108	soc.culture.indian_20041104.2348-E39-90
EM109	soc.culture.indian_20041104.2348-E38-91
EM121	soc.culture.indian_20041104.2348-E41-92
EM122	soc.culture.indian_20041104.2348-E43-93
EM112	soc.culture.indian_20041104.2348-E40-94
EM113	soc.culture.indian_20041104.2348-E40-95
EM114	soc.culture.indian_20041104.2348-E54-96
EM115	soc.culture.indian_20041104.2348-E41-97
EM116	soc.culture.indian_20041104.2348-E35-98
EM117	soc.culture.indian_20041104.2348-E41-99
EM118	soc.culture.indian_20041104.2348-E35-100
EM119	soc.culture.indian_20041104.2348-E35-101
EM120	soc.culture.indian_20041104.2348-E42-102
EM123	soc.culture.indian_20041104.2348-E44-103
EM124	soc.culture.indian_20041104.2348-E43-104
EM125	soc.culture.indian_20041104.2348-E38-105
EM126	soc.culture.indian_20041104.2348-E45-106
EM127	soc.culture.indian_20041104.2348-E43-107
EM128	soc.culture.indian_20041104.2348-E38-108
EM129	soc.culture.indian_20041104.2348-E38-109
EM130	soc.culture.indian_20041104.2348-E35-110
EM131	soc.culture.indian_20041104.2348-E54-111
EM132	soc.culture.indian_20041104.2348-E38-112
EM133	soc.culture.indian_20041104.2348-E54-113
EM134	soc.culture.indian_20041104.2348-E37-114
EM135	soc.culture.indian_20041104.2348-E54-115
EM136	soc.culture.indian_20041104.2348-E41-116
EM139	soc.culture.indian_20041104.2348-E46-117
EM140	soc.culture.indian_20041104.2348-E54-118
EM141	soc.culture.indian_20041104.2348-E47-119
EM142	soc.culture.indian_20041104.2348-E47-120
EM144	soc.culture.indian_20041104.2348-E48-121
EM145	soc.culture.indian_20041104.2348-E54-122
EM146	soc.culture.indian_20041104.2348-E38-123
EM147	soc.culture.indian_20041104.2348-E38-124
EM149	soc.culture.indian_20041104.2348-E49-125
EM143	soc.culture.indian_20041104.2348-E50-126
EM138	soc.culture.indian_20041104.2348-E50-127
EM2	soc.culture.indian_20041104.2348-E54-128
EM151	soc.culture.indian_20041104.2348-E51-129
EM152	soc.culture.indian_20041104.2348-E47-130
EM148	soc.culture.indian_20041104.2348-E52-131
EM153	soc.culture.indian_20041104.2348-E53-132
EM154	soc.culture.indian_20041104.2348-E57-133
EM3	soc.culture.indian_20041104.2348-E55-134
EM4	soc.culture.indian_20041104.2348-E56-135
EM5	soc.culture.indian_20041104.2348-E58-136
EM6	soc.culture.indian_20041104.2348-E59-137
EM7	soc.culture.indian_20041104.2348-E60-138
EM8	soc.culture.indian_20041104.2348-E61-139
EM9	soc.culture.indian_20041104.2348-E61-140
EM10	soc.culture.indian_20041104.2348-E57-141
EM11	soc.culture.indian_20041104.2348-E37-142
EM12	soc.culture.indian_20041104.2348-E57-143
EM13	soc.culture.indian_20041104.2348-E62-144
EM14	soc.culture.indian_20041104.2348-E63-145
EM15	soc.culture.indian_20041104.2348-E64-146
EM16	soc.culture.indian_20041104.2348-E65-147
EM17	soc.culture.indian_20041104.2348-E61-148
EM18	soc.culture.indian_20041104.2348-E37-149
R4	soc.culture.indian_20041104.2348-R1
R4	soc.culture.indian_20041104.2348-R2
R1	soc.culture.indian_20041104.2348-R3
R7	soc.culture.indian_20041104.2348-R4
R1	soc.culture.indian_20041104.2348-R5
R2	soc.culture.indian_20041104.2348-R6
R3	soc.culture.indian_20041104.2348-R7
R4	soc.culture.indian_20041104.2348-R8
R5	soc.culture.indian_20041104.2348-R9
R7	soc.culture.indian_20041104.2348-R10
R8	soc.culture.indian_20041104.2348-R11
R9	soc.culture.indian_20041104.2348-R12
R10	soc.culture.indian_20041104.2348-R13
R11	soc.culture.indian_20041104.2348-R14
R12	soc.culture.indian_20041104.2348-R15
R13	soc.culture.indian_20041104.2348-R16
R14	soc.culture.indian_20041104.2348-R17
R15	soc.culture.indian_20041104.2348-R18
R16	soc.culture.indian_20041104.2348-R19
R17	soc.culture.indian_20041104.2348-R20
R18	soc.culture.indian_20041104.2348-R21
RM1	soc.culture.indian_20041104.2348-R5-1
RM2	soc.culture.indian_20041104.2348-R6-1
RM3	soc.culture.indian_20041104.2348-R7-1
RM4	soc.culture.indian_20041104.2348-R8-1
RM5	soc.culture.indian_20041104.2348-R9-1
RM6	soc.culture.indian_20041104.2348-R1-1
RM7	soc.culture.indian_20041104.2348-R10-1
RM8	soc.culture.indian_20041104.2348-R11-1
RM9	soc.culture.indian_20041104.2348-R12-1
RM10	soc.culture.indian_20041104.2348-R13-1
RM11	soc.culture.indian_20041104.2348-R14-1
RM12	soc.culture.indian_20041104.2348-R15-1
RM13	soc.culture.indian_20041104.2348-R16-1
RM14	soc.culture.indian_20041104.2348-R2-1
RM15	soc.culture.indian_20041104.2348-R5-2
RM16	soc.culture.indian_20041104.2348-R4-1
RM17	soc.culture.indian_20041104.2348-R17-1
RM18	soc.culture.indian_20041104.2348-R18-1
RM19	soc.culture.indian_20041104.2348-R19-1
RM20	soc.culture.indian_20041104.2348-R20-1
RM21	soc.culture.indian_20041104.2348-R21-1
V1	soc.culture.indian_20041104.2348-EV1
V2	soc.culture.indian_20041104.2348-EV2
V3	soc.culture.indian_20041104.2348-EV3
V5	soc.culture.indian_20041104.2348-EV4
V6	soc.culture.indian_20041104.2348-EV5
V7	soc.culture.indian_20041104.2348-EV6
V8	soc.culture.indian_20041104.2348-EV7
V9	soc.culture.indian_20041104.2348-EV8
V10	soc.culture.indian_20041104.2348-EV9
V11	soc.culture.indian_20041104.2348-EV10
V12	soc.culture.indian_20041104.2348-EV11
VM1	soc.culture.indian_20041104.2348-EV1-1
VM2	soc.culture.indian_20041104.2348-EV2-1
VM3	soc.culture.indian_20041104.2348-EV3-1
VM5	soc.culture.indian_20041104.2348-EV4-1
VM6	soc.culture.indian_20041104.2348-EV5-1
VM7	soc.culture.indian_20041104.2348-EV5-2
VM8	soc.culture.indian_20041104.2348-EV6-1
VM9	soc.culture.indian_20041104.2348-EV7-1
VM10	soc.culture.indian_20041104.2348-EV8-1
VM11	soc.culture.indian_20041104.2348-EV9-1
VM12	soc.culture.indian_20041104.2348-EV10-1
VM13	soc.culture.indian_20041104.2348-EV11-1
VM14	soc.culture.indian_20041104.2348-EV3-2
VM15	soc.culture.indian_20041104.2348-EV11-2
VM16	soc.culture.indian_20041104.2348-EV11-3
Q1	soc.culture.indian_20041104.2348-T1
Q2	soc.culture.indian_20041104.2348-T2
Q3	soc.culture.indian_20041104.2348-V1
Q4	soc.culture.indian_20041104.2348-V2
Q5	soc.culture.indian_20041104.2348-V3
Q6	soc.culture.indian_20041104.2348-T3
Q7	soc.culture.indian_20041104.2348-V4
Q8	soc.culture.indian_20041104.2348-T4
Q9	soc.culture.indian_20041104.2348-T5
Q10	soc.culture.indian_20041104.2348-V5
Q11	soc.culture.indian_20041104.2348-T6
Q12	soc.culture.indian_20041104.2348-V6
Q13	soc.culture.indian_20041104.2348-V7
Q14	soc.culture.indian_20041104.2348-T7
Q15	soc.culture.indian_20041104.2348-V8
Q16	soc.culture.indian_20041104.2348-T8
Q18	soc.culture.indian_20041104.2348-T9
Q19	soc.culture.indian_20041104.2348-V9
Q20	soc.culture.indian_20041104.2348-T10
Q22	soc.culture.indian_20041104.2348-V10
Q23	soc.culture.indian_20041104.2348-T11
Q24	soc.culture.indian_20041104.2348-T12
Q25	soc.culture.indian_20041104.2348-T13
Q26	soc.culture.indian_20041104.2348-T14
Q27	soc.culture.indian_20041104.2348-V11
QM3	soc.culture.indian_20041104.2348-V1-1
QM4	soc.culture.indian_20041104.2348-V2-1
QM5	soc.culture.indian_20041104.2348-V3-1
QM7	soc.culture.indian_20041104.2348-V4-1
QM10	soc.culture.indian_20041104.2348-V5-1
QM12	soc.culture.indian_20041104.2348-V6-1
QM13	soc.culture.indian_20041104.2348-V7-1
QM15	soc.culture.indian_20041104.2348-V8-1
QM19	soc.culture.indian_20041104.2348-V9-1
QM22	soc.culture.indian_20041104.2348-V10-1
QM27	soc.culture.indian_20041104.2348-V11-1
