CE8	soc.culture.china_20050220.2415-CE1
EM32	soc.culture.china_20050220.2415-E14-12
EM33	soc.culture.china_20050220.2415-E7-13
EM34	soc.culture.china_20050220.2415-E5-14
EM35	soc.culture.china_20050220.2415-E8-15
EM36	soc.culture.china_20050220.2415-E9-16
EM38	soc.culture.china_20050220.2415-E5-17
EM39	soc.culture.china_20050220.2415-E5-18
EM40	soc.culture.china_20050220.2415-E10-19
EM41	soc.culture.china_20050220.2415-E14-20
EM42	soc.culture.china_20050220.2415-E14-21
EM43	soc.culture.china_20050220.2415-E8-22
EM44	soc.culture.china_20050220.2415-E5-23
EM45	soc.culture.china_20050220.2415-E5-24
EM46	soc.culture.china_20050220.2415-E5-25
EM47	soc.culture.china_20050220.2415-E5-26
EM48	soc.culture.china_20050220.2415-E5-27
EM49	soc.culture.china_20050220.2415-E5-28
EM50	soc.culture.china_20050220.2415-E5-29
EM51	soc.culture.china_20050220.2415-E14-30
EM52	soc.culture.china_20050220.2415-E14-31
EM53	soc.culture.china_20050220.2415-E8-32
EM54	soc.culture.china_20050220.2415-E8-33
EM55	soc.culture.china_20050220.2415-E11-34
EM56	soc.culture.china_20050220.2415-E12-35
EM58	soc.culture.china_20050220.2415-E13-36
EM59	soc.culture.china_20050220.2415-E5-37
EM60	soc.culture.china_20050220.2415-E5-38
EM61	soc.culture.china_20050220.2415-E5-39
EM62	soc.culture.china_20050220.2415-E5-40
EM63	soc.culture.china_20050220.2415-E5-41
EM64	soc.culture.china_20050220.2415-E5-42
EM65	soc.culture.china_20050220.2415-E5-43
EM66	soc.culture.china_20050220.2415-E5-44
EM67	soc.culture.china_20050220.2415-E5-45
EM68	soc.culture.china_20050220.2415-E5-46
EM70	soc.culture.china_20050220.2415-E5-47
EM71	soc.culture.china_20050220.2415-E5-48
EM72	soc.culture.china_20050220.2415-E5-49
EM73	soc.culture.china_20050220.2415-E5-50
EM75	soc.culture.china_20050220.2415-E15-51
EM76	soc.culture.china_20050220.2415-E5-52
EM77	soc.culture.china_20050220.2415-E33-53
EM78	soc.culture.china_20050220.2415-E16-54
EM79	soc.culture.china_20050220.2415-E28-55
EM80	soc.culture.china_20050220.2415-E33-56
EM81	soc.culture.china_20050220.2415-E14-57
EM83	soc.culture.china_20050220.2415-E33-58
EM84	soc.culture.china_20050220.2415-E33-59
EM85	soc.culture.china_20050220.2415-E14-60
EM86	soc.culture.china_20050220.2415-E14-61
EM87	soc.culture.china_20050220.2415-E14-62
EM88	soc.culture.china_20050220.2415-E14-63
EM89	soc.culture.china_20050220.2415-E14-64
EM110	soc.culture.china_20050220.2415-E8-65
EM111	soc.culture.china_20050220.2415-E40-66
EM112	soc.culture.china_20050220.2415-E17-67
EM2	soc.culture.china_20050220.2415-E22-68
EM190	soc.culture.china_20050220.2415-E5-69
EM191	soc.culture.china_20050220.2415-E20-70
EM192	soc.culture.china_20050220.2415-E21-71
EM212	soc.culture.china_20050220.2415-E5-72
EM213	soc.culture.china_20050220.2415-E14-73
EM214	soc.culture.china_20050220.2415-E14-74
EM215	soc.culture.china_20050220.2415-E14-75
EM3	soc.culture.china_20050220.2415-E28-76
EM288	soc.culture.china_20050220.2415-E23-77
EM289	soc.culture.china_20050220.2415-E24-78
EM290	soc.culture.china_20050220.2415-E25-79
EM292	soc.culture.china_20050220.2415-E26-80
EM296	soc.culture.china_20050220.2415-E27-81
EM300	soc.culture.china_20050220.2415-E18-82
EM301	soc.culture.china_20050220.2415-E18-83
EM304	soc.culture.china_20050220.2415-E27-84
EM305	soc.culture.china_20050220.2415-E27-85
EM306	soc.culture.china_20050220.2415-E27-86
EM307	soc.culture.china_20050220.2415-E27-87
EM4	soc.culture.china_20050220.2415-E34-88
EM382	soc.culture.china_20050220.2415-E36-89
EM383	soc.culture.china_20050220.2415-E29-90
EM384	soc.culture.china_20050220.2415-E33-91
EM385	soc.culture.china_20050220.2415-E30-92
EM386	soc.culture.china_20050220.2415-E27-93
EM387	soc.culture.china_20050220.2415-E31-94
EM391	soc.culture.china_20050220.2415-E32-95
EM395	soc.culture.china_20050220.2415-E26-96
EM5	soc.culture.china_20050220.2415-E35-97
EM6	soc.culture.china_20050220.2415-E37-98
EM7	soc.culture.china_20050220.2415-E36-99
EM8	soc.culture.china_20050220.2415-E36-100
EM9	soc.culture.china_20050220.2415-E33-101
EM10	soc.culture.china_20050220.2415-E14-102
EM11	soc.culture.china_20050220.2415-E38-103
EM12	soc.culture.china_20050220.2415-E28-104
EM13	soc.culture.china_20050220.2415-E14-105
EM14	soc.culture.china_20050220.2415-E39-106
EM15	soc.culture.china_20050220.2415-E41-107
EM16	soc.culture.china_20050220.2415-E33-108
EM17	soc.culture.china_20050220.2415-E14-109
EM18	soc.culture.china_20050220.2415-E36-110
EM20	soc.culture.china_20050220.2415-E1-111
R1	soc.culture.china_20050220.2415-R1
R1	soc.culture.china_20050220.2415-R2
R1	soc.culture.china_20050220.2415-R3
R2	soc.culture.china_20050220.2415-R4
R3	soc.culture.china_20050220.2415-R5
R4	soc.culture.china_20050220.2415-R6
R5	soc.culture.china_20050220.2415-R7
R7	soc.culture.china_20050220.2415-R8
R8	soc.culture.china_20050220.2415-R9
R9	soc.culture.china_20050220.2415-R10
RM1	soc.culture.china_20050220.2415-R3-1
RM2	soc.culture.china_20050220.2415-R4-1
RM3	soc.culture.china_20050220.2415-R1-1
RM4	soc.culture.china_20050220.2415-R5-1
RM5	soc.culture.china_20050220.2415-R6-1
RM6	soc.culture.china_20050220.2415-R7-1
RM8	soc.culture.china_20050220.2415-R8-1
RM9	soc.culture.china_20050220.2415-R2-1
RM11	soc.culture.china_20050220.2415-R9-1
RM30	soc.culture.china_20050220.2415-R10-1
V1	soc.culture.china_20050220.2415-EV1
V2	soc.culture.china_20050220.2415-EV2
V3	soc.culture.china_20050220.2415-EV3
V4	soc.culture.china_20050220.2415-EV4
V5	soc.culture.china_20050220.2415-EV5
V6	soc.culture.china_20050220.2415-EV6
V7	soc.culture.china_20050220.2415-EV7
V8	soc.culture.china_20050220.2415-EV8
V15	soc.culture.china_20050220.2415-EV9
VM1	soc.culture.china_20050220.2415-EV1-1
VM2	soc.culture.china_20050220.2415-EV2-1
VM8	soc.culture.china_20050220.2415-EV3-1
VM9	soc.culture.china_20050220.2415-EV3-2
VM10	soc.culture.china_20050220.2415-EV3-3
VM11	soc.culture.china_20050220.2415-EV3-4
VM12	soc.culture.china_20050220.2415-EV4-1
VM13	soc.culture.china_20050220.2415-EV5-1
VM15	soc.culture.china_20050220.2415-EV6-1
VM16	soc.culture.china_20050220.2415-EV7-1
VM17	soc.culture.china_20050220.2415-EV8-1
VM18	soc.culture.china_20050220.2415-EV4-2
VM19	soc.culture.china_20050220.2415-EV5-2
VM27	soc.culture.china_20050220.2415-EV5-3
VM54	soc.culture.china_20050220.2415-EV9-1
VM55	soc.culture.china_20050220.2415-EV5-4
Q2	soc.culture.china_20050220.2415-T1
Q3	soc.culture.china_20050220.2415-T2
Q13	soc.culture.china_20050220.2415-T3
Q14	soc.culture.china_20050220.2415-T4
