CE12	soc.history.what-if_20050129.1404-CE1
Q3	soc.history.what-if_20050129.1404-T3
Q4	soc.history.what-if_20050129.1404-V1
Q5	soc.history.what-if_20050129.1404-T4
Q6	soc.history.what-if_20050129.1404-T5
Q7	soc.history.what-if_20050129.1404-V2
Q8	soc.history.what-if_20050129.1404-T6
Q9	soc.history.what-if_20050129.1404-T7
Q10	soc.history.what-if_20050129.1404-T8
Q11	soc.history.what-if_20050129.1404-V3
Q12	soc.history.what-if_20050129.1404-V4
Q13	soc.history.what-if_20050129.1404-T9
Q14	soc.history.what-if_20050129.1404-V5
Q15	soc.history.what-if_20050129.1404-V6
QM4	soc.history.what-if_20050129.1404-V1-1
QM7	soc.history.what-if_20050129.1404-V2-1
QM11	soc.history.what-if_20050129.1404-V3-1
QM12	soc.history.what-if_20050129.1404-V4-1
QM14	soc.history.what-if_20050129.1404-V5-1
QM15	soc.history.what-if_20050129.1404-V6-1
