CE12	sci.physics_20041204.0640-CE1
E17	sci.physics_20041204.0640-E6
E18	sci.physics_20041204.0640-E7
E19	sci.physics_20041204.0640-E8
E20	sci.physics_20041204.0640-E9
E22	sci.physics_20041204.0640-E10
E23	sci.physics_20041204.0640-E11
E24	sci.physics_20041204.0640-E12
E25	sci.physics_20041204.0640-E13
E26	sci.physics_20041204.0640-E14
E28	sci.physics_20041204.0640-E15
E29	sci.physics_20041204.0640-E16
E30	sci.physics_20041204.0640-E17
E31	sci.physics_20041204.0640-E18
E32	sci.physics_20041204.0640-E19
E33	sci.physics_20041204.0640-E20
E34	sci.physics_20041204.0640-E21
E1	sci.physics_20041204.0640-E22
E35	sci.physics_20041204.0640-E23
E36	sci.physics_20041204.0640-E24
E37	sci.physics_20041204.0640-E25
E38	sci.physics_20041204.0640-E26
E39	sci.physics_20041204.0640-E27
E40	sci.physics_20041204.0640-E28
E41	sci.physics_20041204.0640-E29
E42	sci.physics_20041204.0640-E30
E43	sci.physics_20041204.0640-E31
E44	sci.physics_20041204.0640-E32
E45	sci.physics_20041204.0640-E33
E46	sci.physics_20041204.0640-E34
E47	sci.physics_20041204.0640-E35
E48	sci.physics_20041204.0640-E36
E49	sci.physics_20041204.0640-E37
E50	sci.physics_20041204.0640-E38
E51	sci.physics_20041204.0640-E39
E52	sci.physics_20041204.0640-E40
E53	sci.physics_20041204.0640-E41
E54	sci.physics_20041204.0640-E42
E55	sci.physics_20041204.0640-E43
E56	sci.physics_20041204.0640-E44
E57	sci.physics_20041204.0640-E45
E58	sci.physics_20041204.0640-E46
E59	sci.physics_20041204.0640-E47
E60	sci.physics_20041204.0640-E48
E61	sci.physics_20041204.0640-E49
E62	sci.physics_20041204.0640-E50
E64	sci.physics_20041204.0640-E51
E2	sci.physics_20041204.0640-E52
E3	sci.physics_20041204.0640-E53
E4	sci.physics_20041204.0640-E54
E5	sci.physics_20041204.0640-E55
E6	sci.physics_20041204.0640-E56
E7	sci.physics_20041204.0640-E57
E8	sci.physics_20041204.0640-E58
E9	sci.physics_20041204.0640-E59
E10	sci.physics_20041204.0640-E60
E11	sci.physics_20041204.0640-E61
EM1	sci.physics_20041204.0640-E22-1
EM20	sci.physics_20041204.0640-E2-2
EM21	sci.physics_20041204.0640-E3-3
EM22	sci.physics_20041204.0640-E3-4
EM23	sci.physics_20041204.0640-E3-5
EM24	sci.physics_20041204.0640-E3-6
EM25	sci.physics_20041204.0640-E53-7
EM26	sci.physics_20041204.0640-E4-8
EM27	sci.physics_20041204.0640-E5-9
EM28	sci.physics_20041204.0640-E6-10
EM29	sci.physics_20041204.0640-E7-11
EM30	sci.physics_20041204.0640-E8-12
EM32	sci.physics_20041204.0640-E53-13
EM33	sci.physics_20041204.0640-E53-14
EM34	sci.physics_20041204.0640-E9-15
EM35	sci.physics_20041204.0640-E53-16
EM36	sci.physics_20041204.0640-E53-17
EM38	sci.physics_20041204.0640-E53-18
EM39	sci.physics_20041204.0640-E10-19
EM40	sci.physics_20041204.0640-E11-20
EM41	sci.physics_20041204.0640-E12-21
EM43	sci.physics_20041204.0640-E13-22
EM44	sci.physics_20041204.0640-E13-23
EM45	sci.physics_20041204.0640-E14-24
EM47	sci.physics_20041204.0640-E13-25
EM48	sci.physics_20041204.0640-E55-26
EM50	sci.physics_20041204.0640-E15-27
EM51	sci.physics_20041204.0640-E16-28
EM52	sci.physics_20041204.0640-E17-29
EM53	sci.physics_20041204.0640-E16-30
EM54	sci.physics_20041204.0640-E17-31
EM55	sci.physics_20041204.0640-E18-32
EM56	sci.physics_20041204.0640-E16-33
EM57	sci.physics_20041204.0640-E19-34
EM58	sci.physics_20041204.0640-E21-35
EM59	sci.physics_20041204.0640-E23-36
EM60	sci.physics_20041204.0640-E24-37
EM61	sci.physics_20041204.0640-E25-38
EM62	sci.physics_20041204.0640-E26-39
EM63	sci.physics_20041204.0640-E27-40
EM64	sci.physics_20041204.0640-E19-41
EM65	sci.physics_20041204.0640-E26-42
EM66	sci.physics_20041204.0640-E28-43
EM67	sci.physics_20041204.0640-E29-44
EM68	sci.physics_20041204.0640-E26-45
EM69	sci.physics_20041204.0640-E20-46
EM71	sci.physics_20041204.0640-E26-47
EM73	sci.physics_20041204.0640-E26-48
EM74	sci.physics_20041204.0640-E30-49
EM75	sci.physics_20041204.0640-E26-50
EM76	sci.physics_20041204.0640-E31-51
EM77	sci.physics_20041204.0640-E32-52
EM78	sci.physics_20041204.0640-E33-53
EM79	sci.physics_20041204.0640-E34-54
EM80	sci.physics_20041204.0640-E35-55
EM81	sci.physics_20041204.0640-E26-56
EM82	sci.physics_20041204.0640-E16-57
EM83	sci.physics_20041204.0640-E13-58
EM84	sci.physics_20041204.0640-E13-59
EM85	sci.physics_20041204.0640-E36-60
EM86	sci.physics_20041204.0640-E13-61
EM87	sci.physics_20041204.0640-E37-62
EM88	sci.physics_20041204.0640-E38-63
EM89	sci.physics_20041204.0640-E38-64
EM90	sci.physics_20041204.0640-E39-65
EM93	sci.physics_20041204.0640-E16-66
EM94	sci.physics_20041204.0640-E59-67
EM95	sci.physics_20041204.0640-E16-68
EM96	sci.physics_20041204.0640-E39-69
EM97	sci.physics_20041204.0640-E53-70
EM98	sci.physics_20041204.0640-E40-71
EM99	sci.physics_20041204.0640-E40-72
EM100	sci.physics_20041204.0640-E41-73
EM101	sci.physics_20041204.0640-E42-74
EM102	sci.physics_20041204.0640-E43-75
EM2	sci.physics_20041204.0640-E52-76
EM103	sci.physics_20041204.0640-E42-77
EM104	sci.physics_20041204.0640-E44-78
EM105	sci.physics_20041204.0640-E45-79
EM106	sci.physics_20041204.0640-E45-80
EM107	sci.physics_20041204.0640-E46-81
EM108	sci.physics_20041204.0640-E47-82
EM109	sci.physics_20041204.0640-E45-83
EM110	sci.physics_20041204.0640-E48-84
EM111	sci.physics_20041204.0640-E48-85
EM112	sci.physics_20041204.0640-E48-86
EM113	sci.physics_20041204.0640-E49-87
EM115	sci.physics_20041204.0640-E61-88
EM116	sci.physics_20041204.0640-E16-89
EM117	sci.physics_20041204.0640-E61-90
EM118	sci.physics_20041204.0640-E50-91
EM120	sci.physics_20041204.0640-E51-92
EM121	sci.physics_20041204.0640-E58-93
EM3	sci.physics_20041204.0640-E52-94
EM4	sci.physics_20041204.0640-E53-95
EM5	sci.physics_20041204.0640-E52-96
EM6	sci.physics_20041204.0640-E52-97
EM7	sci.physics_20041204.0640-E52-98
EM8	sci.physics_20041204.0640-E53-99
EM9	sci.physics_20041204.0640-E54-100
EM10	sci.physics_20041204.0640-E55-101
EM11	sci.physics_20041204.0640-E55-102
EM12	sci.physics_20041204.0640-E56-103
EM13	sci.physics_20041204.0640-E57-104
EM14	sci.physics_20041204.0640-E58-105
EM15	sci.physics_20041204.0640-E59-106
EM16	sci.physics_20041204.0640-E60-107
EM17	sci.physics_20041204.0640-E61-108
EM18	sci.physics_20041204.0640-E61-109
EM19	sci.physics_20041204.0640-E1-110
R1	sci.physics_20041204.0640-R1
R3	sci.physics_20041204.0640-R2
R5	sci.physics_20041204.0640-R3
RM1	sci.physics_20041204.0640-R1-1
RM3	sci.physics_20041204.0640-R2-1
RM6	sci.physics_20041204.0640-R3-1
V1	sci.physics_20041204.0640-EV1
V2	sci.physics_20041204.0640-EV2
V3	sci.physics_20041204.0640-EV3
V4	sci.physics_20041204.0640-EV4
V5	sci.physics_20041204.0640-EV5
V6	sci.physics_20041204.0640-EV6
VM1	sci.physics_20041204.0640-EV1-1
VM2	sci.physics_20041204.0640-EV2-1
VM3	sci.physics_20041204.0640-EV3-1
VM4	sci.physics_20041204.0640-EV4-1
VM5	sci.physics_20041204.0640-EV4-2
VM6	sci.physics_20041204.0640-EV5-1
VM7	sci.physics_20041204.0640-EV6-1
Q1	sci.physics_20041204.0640-T1
Q2	sci.physics_20041204.0640-T2
Q3	sci.physics_20041204.0640-T3
Q4	sci.physics_20041204.0640-T4
Q5	sci.physics_20041204.0640-T5
Q6	sci.physics_20041204.0640-T6
Q7	sci.physics_20041204.0640-T7
Q8	sci.physics_20041204.0640-T8
Q9	sci.physics_20041204.0640-T9
Q10	sci.physics_20041204.0640-T10
Q11	sci.physics_20041204.0640-T11
Q12	sci.physics_20041204.0640-T12
Q13	sci.physics_20041204.0640-V1
Q15	sci.physics_20041204.0640-T13
Q16	sci.physics_20041204.0640-T14
Q17	sci.physics_20041204.0640-T15
Q18	sci.physics_20041204.0640-T16
Q21	sci.physics_20041204.0640-V2
Q22	sci.physics_20041204.0640-T17
Q23	sci.physics_20041204.0640-T18
Q24	sci.physics_20041204.0640-T19
Q25	sci.physics_20041204.0640-T20
Q27	sci.physics_20041204.0640-T21
Q28	sci.physics_20041204.0640-T22
Q29	sci.physics_20041204.0640-T23
QM13	sci.physics_20041204.0640-V1-1
QM21	sci.physics_20041204.0640-V2-1
