CE11	GETTINGPOLITICAL_20050105.0127.001-CE1
EM67	GETTINGPOLITICAL_20050105.0127.001-E23-47
EM68	GETTINGPOLITICAL_20050105.0127.001-E19-48
EM69	GETTINGPOLITICAL_20050105.0127.001-E11-49
EM70	GETTINGPOLITICAL_20050105.0127.001-E38-50
EM71	GETTINGPOLITICAL_20050105.0127.001-E19-51
EM72	GETTINGPOLITICAL_20050105.0127.001-E24-52
EM73	GETTINGPOLITICAL_20050105.0127.001-E19-53
EM74	GETTINGPOLITICAL_20050105.0127.001-E19-54
EM75	GETTINGPOLITICAL_20050105.0127.001-E25-55
EM76	GETTINGPOLITICAL_20050105.0127.001-E25-56
EM77	GETTINGPOLITICAL_20050105.0127.001-E26-57
EM78	GETTINGPOLITICAL_20050105.0127.001-E26-58
EM79	GETTINGPOLITICAL_20050105.0127.001-E27-59
EM80	GETTINGPOLITICAL_20050105.0127.001-E27-60
EM81	GETTINGPOLITICAL_20050105.0127.001-E12-61
EM82	GETTINGPOLITICAL_20050105.0127.001-E12-62
EM83	GETTINGPOLITICAL_20050105.0127.001-E28-63
EM84	GETTINGPOLITICAL_20050105.0127.001-E28-64
EM85	GETTINGPOLITICAL_20050105.0127.001-E29-65
EM86	GETTINGPOLITICAL_20050105.0127.001-E30-66
EM87	GETTINGPOLITICAL_20050105.0127.001-E38-67
EM88	GETTINGPOLITICAL_20050105.0127.001-E19-68
EM89	GETTINGPOLITICAL_20050105.0127.001-E19-69
EM90	GETTINGPOLITICAL_20050105.0127.001-E31-70
EM91	GETTINGPOLITICAL_20050105.0127.001-E19-71
EM92	GETTINGPOLITICAL_20050105.0127.001-E12-72
EM2	GETTINGPOLITICAL_20050105.0127.001-E19-73
EM93	GETTINGPOLITICAL_20050105.0127.001-E32-74
EM94	GETTINGPOLITICAL_20050105.0127.001-E33-75
EM3	GETTINGPOLITICAL_20050105.0127.001-E34-76
EM4	GETTINGPOLITICAL_20050105.0127.001-E35-77
EM5	GETTINGPOLITICAL_20050105.0127.001-E36-78
EM6	GETTINGPOLITICAL_20050105.0127.001-E37-79
EM7	GETTINGPOLITICAL_20050105.0127.001-E38-80
EM8	GETTINGPOLITICAL_20050105.0127.001-E39-81
EM9	GETTINGPOLITICAL_20050105.0127.001-E38-82
EM10	GETTINGPOLITICAL_20050105.0127.001-E38-83
EM11	GETTINGPOLITICAL_20050105.0127.001-E40-84
EM12	GETTINGPOLITICAL_20050105.0127.001-E41-85
EM13	GETTINGPOLITICAL_20050105.0127.001-E42-86
EM14	GETTINGPOLITICAL_20050105.0127.001-E43-87
EM15	GETTINGPOLITICAL_20050105.0127.001-E43-88
EM16	GETTINGPOLITICAL_20050105.0127.001-E44-89
EM17	GETTINGPOLITICAL_20050105.0127.001-E38-90
EM18	GETTINGPOLITICAL_20050105.0127.001-E45-91
R1	GETTINGPOLITICAL_20050105.0127.001-R1
R2	GETTINGPOLITICAL_20050105.0127.001-R2
R3	GETTINGPOLITICAL_20050105.0127.001-R3
R4	GETTINGPOLITICAL_20050105.0127.001-R4
R5	GETTINGPOLITICAL_20050105.0127.001-R5
R6	GETTINGPOLITICAL_20050105.0127.001-R6
R8	GETTINGPOLITICAL_20050105.0127.001-R7
R9	GETTINGPOLITICAL_20050105.0127.001-R8
R10	GETTINGPOLITICAL_20050105.0127.001-R9
R13	GETTINGPOLITICAL_20050105.0127.001-R10
R14	GETTINGPOLITICAL_20050105.0127.001-R11
R15	GETTINGPOLITICAL_20050105.0127.001-R12
R16	GETTINGPOLITICAL_20050105.0127.001-R13
R17	GETTINGPOLITICAL_20050105.0127.001-R14
R18	GETTINGPOLITICAL_20050105.0127.001-R15
R19	GETTINGPOLITICAL_20050105.0127.001-R16
R21	GETTINGPOLITICAL_20050105.0127.001-R17
R22	GETTINGPOLITICAL_20050105.0127.001-R18
R23	GETTINGPOLITICAL_20050105.0127.001-R19
RM1	GETTINGPOLITICAL_20050105.0127.001-R1-1
RM2	GETTINGPOLITICAL_20050105.0127.001-R2-1
RM3	GETTINGPOLITICAL_20050105.0127.001-R3-1
RM4	GETTINGPOLITICAL_20050105.0127.001-R4-1
RM5	GETTINGPOLITICAL_20050105.0127.001-R5-1
RM6	GETTINGPOLITICAL_20050105.0127.001-R6-1
RM8	GETTINGPOLITICAL_20050105.0127.001-R7-1
RM9	GETTINGPOLITICAL_20050105.0127.001-R8-1
RM10	GETTINGPOLITICAL_20050105.0127.001-R9-1
RM13	GETTINGPOLITICAL_20050105.0127.001-R10-1
RM14	GETTINGPOLITICAL_20050105.0127.001-R11-1
RM15	GETTINGPOLITICAL_20050105.0127.001-R12-1
RM16	GETTINGPOLITICAL_20050105.0127.001-R13-1
RM17	GETTINGPOLITICAL_20050105.0127.001-R14-1
RM18	GETTINGPOLITICAL_20050105.0127.001-R15-1
RM19	GETTINGPOLITICAL_20050105.0127.001-R16-1
RM21	GETTINGPOLITICAL_20050105.0127.001-R17-1
RM22	GETTINGPOLITICAL_20050105.0127.001-R18-1
RM23	GETTINGPOLITICAL_20050105.0127.001-R19-1
V1	GETTINGPOLITICAL_20050105.0127.001-EV1
V3	GETTINGPOLITICAL_20050105.0127.001-EV2
V4	GETTINGPOLITICAL_20050105.0127.001-EV3
V5	GETTINGPOLITICAL_20050105.0127.001-EV4
V6	GETTINGPOLITICAL_20050105.0127.001-EV5
VM1	GETTINGPOLITICAL_20050105.0127.001-EV1-1
VM3	GETTINGPOLITICAL_20050105.0127.001-EV2-1
VM4	GETTINGPOLITICAL_20050105.0127.001-EV3-1
VM5	GETTINGPOLITICAL_20050105.0127.001-EV4-1
VM6	GETTINGPOLITICAL_20050105.0127.001-EV5-1
Q1	GETTINGPOLITICAL_20050105.0127.001-T1
Q2	GETTINGPOLITICAL_20050105.0127.001-T2
Q3	GETTINGPOLITICAL_20050105.0127.001-T3
Q5	GETTINGPOLITICAL_20050105.0127.001-T4
Q6	GETTINGPOLITICAL_20050105.0127.001-V1
Q7	GETTINGPOLITICAL_20050105.0127.001-T5
Q8	GETTINGPOLITICAL_20050105.0127.001-T6
QM6	GETTINGPOLITICAL_20050105.0127.001-V1-1
