CE11	GETTINGPOLITICAL_20050105.0127.001-CE1
EM78	GETTINGPOLITICAL_20050105.0127.001-E25-55
EM79	GETTINGPOLITICAL_20050105.0127.001-E25-56
EM81	GETTINGPOLITICAL_20050105.0127.001-E26-57
EM82	GETTINGPOLITICAL_20050105.0127.001-E26-58
EM83	GETTINGPOLITICAL_20050105.0127.001-E11-59
EM86	GETTINGPOLITICAL_20050105.0127.001-E27-60
EM87	GETTINGPOLITICAL_20050105.0127.001-E28-61
EM88	GETTINGPOLITICAL_20050105.0127.001-E29-62
EM89	GETTINGPOLITICAL_20050105.0127.001-E37-63
EM90	GETTINGPOLITICAL_20050105.0127.001-E18-64
EM91	GETTINGPOLITICAL_20050105.0127.001-E18-65
EM92	GETTINGPOLITICAL_20050105.0127.001-E30-66
EM93	GETTINGPOLITICAL_20050105.0127.001-E18-67
EM94	GETTINGPOLITICAL_20050105.0127.001-E11-68
EM2	GETTINGPOLITICAL_20050105.0127.001-E18-69
EM37	GETTINGPOLITICAL_20050105.0127.001-E31-70
EM17	GETTINGPOLITICAL_20050105.0127.001-E9-71
EM52	GETTINGPOLITICAL_20050105.0127.001-E32-72
EM19	GETTINGPOLITICAL_20050105.0127.001-E4-73
EM7	GETTINGPOLITICAL_20050105.0127.001-E37-74
EM9	GETTINGPOLITICAL_20050105.0127.001-E37-75
EM10	GETTINGPOLITICAL_20050105.0127.001-E33-76
EM47	GETTINGPOLITICAL_20050105.0127.001-E36-77
EM15	GETTINGPOLITICAL_20050105.0127.001-E37-78
EM16	GETTINGPOLITICAL_20050105.0127.001-E37-79
EM3	GETTINGPOLITICAL_20050105.0127.001-E34-80
EM4	GETTINGPOLITICAL_20050105.0127.001-E35-81
EM6	GETTINGPOLITICAL_20050105.0127.001-E36-82
EM5	GETTINGPOLITICAL_20050105.0127.001-E37-83
EM22	GETTINGPOLITICAL_20050105.0127.001-E38-84
EM14	GETTINGPOLITICAL_20050105.0127.001-E18-85
EM11	GETTINGPOLITICAL_20050105.0127.001-E37-86
EM12	GETTINGPOLITICAL_20050105.0127.001-E39-87
EM13	GETTINGPOLITICAL_20050105.0127.001-E40-88
EM53	GETTINGPOLITICAL_20050105.0127.001-E11-89
EM85	GETTINGPOLITICAL_20050105.0127.001-E11-90
EM84	GETTINGPOLITICAL_20050105.0127.001-E27-91
EM18	GETTINGPOLITICAL_20050105.0127.001-E37-92
R1	GETTINGPOLITICAL_20050105.0127.001-R1
R2	GETTINGPOLITICAL_20050105.0127.001-R2
R3	GETTINGPOLITICAL_20050105.0127.001-R3
R5	GETTINGPOLITICAL_20050105.0127.001-R4
R4	GETTINGPOLITICAL_20050105.0127.001-R5
R6	GETTINGPOLITICAL_20050105.0127.001-R6
R7	GETTINGPOLITICAL_20050105.0127.001-R7
R8	GETTINGPOLITICAL_20050105.0127.001-R8
R9	GETTINGPOLITICAL_20050105.0127.001-R9
R10	GETTINGPOLITICAL_20050105.0127.001-R10
R11	GETTINGPOLITICAL_20050105.0127.001-R11
R12	GETTINGPOLITICAL_20050105.0127.001-R12
R13	GETTINGPOLITICAL_20050105.0127.001-R13
RM1	GETTINGPOLITICAL_20050105.0127.001-R1-1
RM2	GETTINGPOLITICAL_20050105.0127.001-R2-1
RM3	GETTINGPOLITICAL_20050105.0127.001-R3-1
RM5	GETTINGPOLITICAL_20050105.0127.001-R4-1
RM4	GETTINGPOLITICAL_20050105.0127.001-R5-1
RM6	GETTINGPOLITICAL_20050105.0127.001-R6-1
RM7	GETTINGPOLITICAL_20050105.0127.001-R7-1
RM8	GETTINGPOLITICAL_20050105.0127.001-R8-1
RM9	GETTINGPOLITICAL_20050105.0127.001-R9-1
RM10	GETTINGPOLITICAL_20050105.0127.001-R10-1
RM11	GETTINGPOLITICAL_20050105.0127.001-R11-1
RM12	GETTINGPOLITICAL_20050105.0127.001-R12-1
RM13	GETTINGPOLITICAL_20050105.0127.001-R13-1
V2	GETTINGPOLITICAL_20050105.0127.001-EV1
V4	GETTINGPOLITICAL_20050105.0127.001-EV2
V7	GETTINGPOLITICAL_20050105.0127.001-EV3
V1	GETTINGPOLITICAL_20050105.0127.001-EV4
V3	GETTINGPOLITICAL_20050105.0127.001-EV5
V5	GETTINGPOLITICAL_20050105.0127.001-EV6
V6	GETTINGPOLITICAL_20050105.0127.001-EV7
VM4	GETTINGPOLITICAL_20050105.0127.001-EV2-1
VM7	GETTINGPOLITICAL_20050105.0127.001-EV3-1
VM1	GETTINGPOLITICAL_20050105.0127.001-EV4-1
VM3	GETTINGPOLITICAL_20050105.0127.001-EV5-1
VM5	GETTINGPOLITICAL_20050105.0127.001-EV6-1
VM6	GETTINGPOLITICAL_20050105.0127.001-EV7-1
VM2	GETTINGPOLITICAL_20050105.0127.001-EV1-1
Q1	GETTINGPOLITICAL_20050105.0127.001-T1
Q2	GETTINGPOLITICAL_20050105.0127.001-T2
Q3	GETTINGPOLITICAL_20050105.0127.001-T3
Q4	GETTINGPOLITICAL_20050105.0127.001-T4
Q5	GETTINGPOLITICAL_20050105.0127.001-V1
Q6	GETTINGPOLITICAL_20050105.0127.001-T5
Q7	GETTINGPOLITICAL_20050105.0127.001-T6
QM5	GETTINGPOLITICAL_20050105.0127.001-V1-1
