CE13	EGYDAYS_20050221.1227-CE1
R3	EGYDAYS_20050221.1227-R2
R4	EGYDAYS_20050221.1227-R3
R6	EGYDAYS_20050221.1227-R4
R7	EGYDAYS_20050221.1227-R5
R8	EGYDAYS_20050221.1227-R6
R10	EGYDAYS_20050221.1227-R7
R11	EGYDAYS_20050221.1227-R8
R1	EGYDAYS_20050221.1227-R9
R9	EGYDAYS_20050221.1227-R10
R5	EGYDAYS_20050221.1227-R11
RM2	EGYDAYS_20050221.1227-R1-1
RM3	EGYDAYS_20050221.1227-R2-1
RM4	EGYDAYS_20050221.1227-R3-1
RM6	EGYDAYS_20050221.1227-R4-1
RM7	EGYDAYS_20050221.1227-R2-2
RM9	EGYDAYS_20050221.1227-R6-1
RM10	EGYDAYS_20050221.1227-R7-1
RM11	EGYDAYS_20050221.1227-R8-1
RM1	EGYDAYS_20050221.1227-R9-1
RM8	EGYDAYS_20050221.1227-R10-1
RM5	EGYDAYS_20050221.1227-R7-2
Q1	EGYDAYS_20050221.1227-T1
Q2	EGYDAYS_20050221.1227-T2
Q3	EGYDAYS_20050221.1227-T3
