CE8	MELEGY_20050222.2126-CE1
V6	MELEGY_20050222.2126-EV6
V7	MELEGY_20050222.2126-EV7
VM1	MELEGY_20050222.2126-EV1-1
VM2	MELEGY_20050222.2126-EV2-1
VM3	MELEGY_20050222.2126-EV3-1
VM4	MELEGY_20050222.2126-EV4-1
VM5	MELEGY_20050222.2126-EV5-1
VM6	MELEGY_20050222.2126-EV6-1
VM7	MELEGY_20050222.2126-EV7-1
Q1	MELEGY_20050222.2126-T1
Q3	MELEGY_20050222.2126-T2
Q4	MELEGY_20050222.2126-T3
Q5	MELEGY_20050222.2126-T4
Q6	MELEGY_20050222.2126-T5
