CE5	MELEGY_20050220.1954-CE1
EM56	MELEGY_20050220.1954-E11-29
EM58	MELEGY_20050220.1954-E11-30
EM60	MELEGY_20050220.1954-E11-31
EM59	MELEGY_20050220.1954-E11-32
EM61	MELEGY_20050220.1954-E11-33
EM62	MELEGY_20050220.1954-E11-34
EM63	MELEGY_20050220.1954-E11-35
EM64	MELEGY_20050220.1954-E11-36
EM65	MELEGY_20050220.1954-E8-37
EM66	MELEGY_20050220.1954-E11-38
EM68	MELEGY_20050220.1954-E10-39
EM69	MELEGY_20050220.1954-E10-40
EM70	MELEGY_20050220.1954-E10-41
EM71	MELEGY_20050220.1954-E10-42
EM72	MELEGY_20050220.1954-E10-43
EM131	MELEGY_20050220.1954-E11-44
EM74	MELEGY_20050220.1954-E10-45
EM75	MELEGY_20050220.1954-E10-46
EM76	MELEGY_20050220.1954-E10-47
EM77	MELEGY_20050220.1954-E10-48
EM78	MELEGY_20050220.1954-E10-49
EM80	MELEGY_20050220.1954-E10-50
EM81	MELEGY_20050220.1954-E10-51
EM79	MELEGY_20050220.1954-E12-52
EM82	MELEGY_20050220.1954-E13-53
EM83	MELEGY_20050220.1954-E13-54
EM88	MELEGY_20050220.1954-E14-55
EM92	MELEGY_20050220.1954-E15-56
EM91	MELEGY_20050220.1954-E13-57
EM95	MELEGY_20050220.1954-E31-58
EM96	MELEGY_20050220.1954-E31-59
EM97	MELEGY_20050220.1954-E17-60
EM98	MELEGY_20050220.1954-E16-61
EM99	MELEGY_20050220.1954-E11-62
EM101	MELEGY_20050220.1954-E16-63
EM102	MELEGY_20050220.1954-E11-64
EM103	MELEGY_20050220.1954-E11-65
EM104	MELEGY_20050220.1954-E16-66
EM105	MELEGY_20050220.1954-E16-67
EM109	MELEGY_20050220.1954-E16-68
EM106	MELEGY_20050220.1954-E18-69
EM110	MELEGY_20050220.1954-E16-70
EM111	MELEGY_20050220.1954-E11-71
EM112	MELEGY_20050220.1954-E11-72
EM113	MELEGY_20050220.1954-E19-73
EM114	MELEGY_20050220.1954-E3-74
EM116	MELEGY_20050220.1954-E20-75
EM118	MELEGY_20050220.1954-E21-76
EM107	MELEGY_20050220.1954-E23-77
EM117	MELEGY_20050220.1954-E22-78
EM119	MELEGY_20050220.1954-E22-79
EM120	MELEGY_20050220.1954-E21-80
EM121	MELEGY_20050220.1954-E21-81
EM123	MELEGY_20050220.1954-E20-82
EM122	MELEGY_20050220.1954-E24-83
EM124	MELEGY_20050220.1954-E20-84
EM125	MELEGY_20050220.1954-E20-85
EM126	MELEGY_20050220.1954-E20-86
EM132	MELEGY_20050220.1954-E9-87
EM128	MELEGY_20050220.1954-E20-88
EM130	MELEGY_20050220.1954-E20-89
EM129	MELEGY_20050220.1954-E20-90
EM16	MELEGY_20050220.1954-E25-91
EM2	MELEGY_20050220.1954-E11-92
EM108	MELEGY_20050220.1954-E26-93
EM3	MELEGY_20050220.1954-E11-94
EM57	MELEGY_20050220.1954-E27-95
EM115	MELEGY_20050220.1954-E28-96
EM84	MELEGY_20050220.1954-E14-97
EM85	MELEGY_20050220.1954-E14-98
EM86	MELEGY_20050220.1954-E14-99
EM87	MELEGY_20050220.1954-E14-100
EM89	MELEGY_20050220.1954-E14-101
EM90	MELEGY_20050220.1954-E14-102
EM73	MELEGY_20050220.1954-E11-103
EM4	MELEGY_20050220.1954-E11-104
EM8	MELEGY_20050220.1954-E11-105
EM12	MELEGY_20050220.1954-E11-106
EM21	MELEGY_20050220.1954-E11-107
EM127	MELEGY_20050220.1954-E11-108
EM100	MELEGY_20050220.1954-E16-109
EM5	MELEGY_20050220.1954-E11-110
EM6	MELEGY_20050220.1954-E11-111
EM7	MELEGY_20050220.1954-E11-112
EM9	MELEGY_20050220.1954-E11-113
EM10	MELEGY_20050220.1954-E29-114
EM11	MELEGY_20050220.1954-E11-115
EM93	MELEGY_20050220.1954-E31-116
EM13	MELEGY_20050220.1954-E11-117
EM14	MELEGY_20050220.1954-E11-118
EM15	MELEGY_20050220.1954-E11-119
EM17	MELEGY_20050220.1954-E11-120
EM18	MELEGY_20050220.1954-E11-121
EM19	MELEGY_20050220.1954-E11-122
EM20	MELEGY_20050220.1954-E11-123
EM22	MELEGY_20050220.1954-E30-124
EM23	MELEGY_20050220.1954-E30-125
EM24	MELEGY_20050220.1954-E11-126
EM25	MELEGY_20050220.1954-E30-127
EM27	MELEGY_20050220.1954-E30-128
EM26	MELEGY_20050220.1954-E11-129
EM28	MELEGY_20050220.1954-E30-130
EM29	MELEGY_20050220.1954-E30-131
R1	MELEGY_20050220.1954-R1
R2	MELEGY_20050220.1954-R2
RM1	MELEGY_20050220.1954-R1-1
RM2	MELEGY_20050220.1954-R2-1
V2	MELEGY_20050220.1954-EV1
V3	MELEGY_20050220.1954-EV2
V4	MELEGY_20050220.1954-EV3
V6	MELEGY_20050220.1954-EV4
V7	MELEGY_20050220.1954-EV5
V8	MELEGY_20050220.1954-EV6
V1	MELEGY_20050220.1954-EV7
V5	MELEGY_20050220.1954-EV8
VM2	MELEGY_20050220.1954-EV1-1
VM3	MELEGY_20050220.1954-EV2-1
VM4	MELEGY_20050220.1954-EV3-1
VM6	MELEGY_20050220.1954-EV4-1
VM7	MELEGY_20050220.1954-EV5-1
VM8	MELEGY_20050220.1954-EV6-1
VM1	MELEGY_20050220.1954-EV7-1
VM5	MELEGY_20050220.1954-EV8-1
Q1	MELEGY_20050220.1954-T1
Q3	MELEGY_20050220.1954-T2
Q4	MELEGY_20050220.1954-T3
Q5	MELEGY_20050220.1954-T4
Q6	MELEGY_20050220.1954-T5
Q8	MELEGY_20050220.1954-T6
Q10	MELEGY_20050220.1954-T7
Q11	MELEGY_20050220.1954-T8
Q12	MELEGY_20050220.1954-T9
Q14	MELEGY_20050220.1954-T10
Q13	MELEGY_20050220.1954-T11
Q15	MELEGY_20050220.1954-T12
Q7	MELEGY_20050220.1954-T13
Q2	MELEGY_20050220.1954-T14
Q9	MELEGY_20050220.1954-T15
