CE18	soc.culture.jewish_20050130.2105-CE1
RM10	soc.culture.jewish_20050130.2105-R12-1
RM11	soc.culture.jewish_20050130.2105-R13-1
V1	soc.culture.jewish_20050130.2105-EV1
V2	soc.culture.jewish_20050130.2105-EV2
V12	soc.culture.jewish_20050130.2105-EV3
V3	soc.culture.jewish_20050130.2105-EV4
V4	soc.culture.jewish_20050130.2105-EV5
V5	soc.culture.jewish_20050130.2105-EV6
V6	soc.culture.jewish_20050130.2105-EV7
V7	soc.culture.jewish_20050130.2105-EV8
V8	soc.culture.jewish_20050130.2105-EV9
V9	soc.culture.jewish_20050130.2105-EV10
V10	soc.culture.jewish_20050130.2105-EV11
V11	soc.culture.jewish_20050130.2105-EV12
VM1	soc.culture.jewish_20050130.2105-EV1-1
VM14	soc.culture.jewish_20050130.2105-EV3-1
VM2	soc.culture.jewish_20050130.2105-EV2-1
VM3	soc.culture.jewish_20050130.2105-EV4-1
VM15	soc.culture.jewish_20050130.2105-EV3-2
VM16	soc.culture.jewish_20050130.2105-EV3-3
VM4	soc.culture.jewish_20050130.2105-EV5-1
VM17	soc.culture.jewish_20050130.2105-EV3-4
VM5	soc.culture.jewish_20050130.2105-EV6-1
VM6	soc.culture.jewish_20050130.2105-EV7-1
VM7	soc.culture.jewish_20050130.2105-EV8-1
VM8	soc.culture.jewish_20050130.2105-EV9-1
VM9	soc.culture.jewish_20050130.2105-EV6-2
VM10	soc.culture.jewish_20050130.2105-EV10-1
VM11	soc.culture.jewish_20050130.2105-EV11-1
VM12	soc.culture.jewish_20050130.2105-EV6-3
VM13	soc.culture.jewish_20050130.2105-EV12-1
Q1	soc.culture.jewish_20050130.2105-T1
Q4	soc.culture.jewish_20050130.2105-V1
Q6	soc.culture.jewish_20050130.2105-T2
Q7	soc.culture.jewish_20050130.2105-T3
Q10	soc.culture.jewish_20050130.2105-T4
Q11	soc.culture.jewish_20050130.2105-T5
Q12	soc.culture.jewish_20050130.2105-T6
Q13	soc.culture.jewish_20050130.2105-T7
Q16	soc.culture.jewish_20050130.2105-V2
Q2	soc.culture.jewish_20050130.2105-T8
Q3	soc.culture.jewish_20050130.2105-T9
Q5	soc.culture.jewish_20050130.2105-T10
Q8	soc.culture.jewish_20050130.2105-V3
Q9	soc.culture.jewish_20050130.2105-T11
Q14	soc.culture.jewish_20050130.2105-T12
QM4	soc.culture.jewish_20050130.2105-V1-1
QM16	soc.culture.jewish_20050130.2105-V2-1
QM8	soc.culture.jewish_20050130.2105-V3-1
