CE18	soc.culture.hmong_20050210.1130-CE1
E36	soc.culture.hmong_20050210.1130-E21
E37	soc.culture.hmong_20050210.1130-E22
E38	soc.culture.hmong_20050210.1130-E23
E1	soc.culture.hmong_20050210.1130-E24
E39	soc.culture.hmong_20050210.1130-E25
E41	soc.culture.hmong_20050210.1130-E26
E45	soc.culture.hmong_20050210.1130-E27
E46	soc.culture.hmong_20050210.1130-E28
E47	soc.culture.hmong_20050210.1130-E29
E49	soc.culture.hmong_20050210.1130-E30
E50	soc.culture.hmong_20050210.1130-E31
E51	soc.culture.hmong_20050210.1130-E32
E52	soc.culture.hmong_20050210.1130-E33
E53	soc.culture.hmong_20050210.1130-E34
E54	soc.culture.hmong_20050210.1130-E35
E55	soc.culture.hmong_20050210.1130-E36
E56	soc.culture.hmong_20050210.1130-E37
E57	soc.culture.hmong_20050210.1130-E38
E58	soc.culture.hmong_20050210.1130-E39
E59	soc.culture.hmong_20050210.1130-E40
E60	soc.culture.hmong_20050210.1130-E41
E61	soc.culture.hmong_20050210.1130-E42
E62	soc.culture.hmong_20050210.1130-E43
E64	soc.culture.hmong_20050210.1130-E44
E65	soc.culture.hmong_20050210.1130-E45
E67	soc.culture.hmong_20050210.1130-E46
E68	soc.culture.hmong_20050210.1130-E47
E70	soc.culture.hmong_20050210.1130-E48
E71	soc.culture.hmong_20050210.1130-E49
E72	soc.culture.hmong_20050210.1130-E50
E74	soc.culture.hmong_20050210.1130-E51
E75	soc.culture.hmong_20050210.1130-E52
E76	soc.culture.hmong_20050210.1130-E53
E77	soc.culture.hmong_20050210.1130-E54
E78	soc.culture.hmong_20050210.1130-E55
E79	soc.culture.hmong_20050210.1130-E56
E80	soc.culture.hmong_20050210.1130-E57
E81	soc.culture.hmong_20050210.1130-E58
E82	soc.culture.hmong_20050210.1130-E59
E83	soc.culture.hmong_20050210.1130-E60
E84	soc.culture.hmong_20050210.1130-E61
E85	soc.culture.hmong_20050210.1130-E62
E86	soc.culture.hmong_20050210.1130-E63
E87	soc.culture.hmong_20050210.1130-E64
E89	soc.culture.hmong_20050210.1130-E65
E2	soc.culture.hmong_20050210.1130-E66
E90	soc.culture.hmong_20050210.1130-E67
E92	soc.culture.hmong_20050210.1130-E68
E103	soc.culture.hmong_20050210.1130-E69
E95	soc.culture.hmong_20050210.1130-E70
E99	soc.culture.hmong_20050210.1130-E71
E100	soc.culture.hmong_20050210.1130-E72
E102	soc.culture.hmong_20050210.1130-E73
E104	soc.culture.hmong_20050210.1130-E74
E18	soc.culture.hmong_20050210.1130-E75
E4	soc.culture.hmong_20050210.1130-E76
E6	soc.culture.hmong_20050210.1130-E77
E7	soc.culture.hmong_20050210.1130-E78
E8	soc.culture.hmong_20050210.1130-E79
E9	soc.culture.hmong_20050210.1130-E80
E10	soc.culture.hmong_20050210.1130-E81
E11	soc.culture.hmong_20050210.1130-E82
E12	soc.culture.hmong_20050210.1130-E83
EM1	soc.culture.hmong_20050210.1130-E24-1
EM21	soc.culture.hmong_20050210.1130-E1-2
EM22	soc.culture.hmong_20050210.1130-E2-3
EM23	soc.culture.hmong_20050210.1130-E79-4
EM24	soc.culture.hmong_20050210.1130-E3-5
EM25	soc.culture.hmong_20050210.1130-E4-6
EM26	soc.culture.hmong_20050210.1130-E5-7
EM27	soc.culture.hmong_20050210.1130-E1-8
EM30	soc.culture.hmong_20050210.1130-E1-9
EM31	soc.culture.hmong_20050210.1130-E1-10
EM32	soc.culture.hmong_20050210.1130-E75-11
EM33	soc.culture.hmong_20050210.1130-E1-12
EM34	soc.culture.hmong_20050210.1130-E66-13
EM36	soc.culture.hmong_20050210.1130-E66-14
EM37	soc.culture.hmong_20050210.1130-E7-15
EM38	soc.culture.hmong_20050210.1130-E8-16
EM40	soc.culture.hmong_20050210.1130-E9-17
EM41	soc.culture.hmong_20050210.1130-E9-18
EM42	soc.culture.hmong_20050210.1130-E10-19
EM43	soc.culture.hmong_20050210.1130-E10-20
EM44	soc.culture.hmong_20050210.1130-E66-21
EM45	soc.culture.hmong_20050210.1130-E11-22
EM46	soc.culture.hmong_20050210.1130-E12-23
EM47	soc.culture.hmong_20050210.1130-E13-24
EM49	soc.culture.hmong_20050210.1130-E14-25
EM50	soc.culture.hmong_20050210.1130-E16-26
EM51	soc.culture.hmong_20050210.1130-E17-27
EM52	soc.culture.hmong_20050210.1130-E9-28
EM53	soc.culture.hmong_20050210.1130-E18-29
EM54	soc.culture.hmong_20050210.1130-E19-30
EM55	soc.culture.hmong_20050210.1130-E10-31
EM56	soc.culture.hmong_20050210.1130-E66-32
EM57	soc.culture.hmong_20050210.1130-E20-33
EM58	soc.culture.hmong_20050210.1130-E10-34
EM59	soc.culture.hmong_20050210.1130-E9-35
EM60	soc.culture.hmong_20050210.1130-E21-36
EM61	soc.culture.hmong_20050210.1130-E22-37
EM62	soc.culture.hmong_20050210.1130-E23-38
EM63	soc.culture.hmong_20050210.1130-E8-39
EM64	soc.culture.hmong_20050210.1130-E8-40
EM65	soc.culture.hmong_20050210.1130-E66-41
EM66	soc.culture.hmong_20050210.1130-E9-42
EM67	soc.culture.hmong_20050210.1130-E66-43
EM68	soc.culture.hmong_20050210.1130-E9-44
EM69	soc.culture.hmong_20050210.1130-E25-45
EM70	soc.culture.hmong_20050210.1130-E9-46
EM71	soc.culture.hmong_20050210.1130-E26-47
EM72	soc.culture.hmong_20050210.1130-E9-48
EM73	soc.culture.hmong_20050210.1130-E15-49
EM74	soc.culture.hmong_20050210.1130-E27-50
EM75	soc.culture.hmong_20050210.1130-E28-51
EM76	soc.culture.hmong_20050210.1130-E29-52
EM77	soc.culture.hmong_20050210.1130-E15-53
EM78	soc.culture.hmong_20050210.1130-E15-54
EM79	soc.culture.hmong_20050210.1130-E66-55
EM80	soc.culture.hmong_20050210.1130-E8-56
EM81	soc.culture.hmong_20050210.1130-E66-57
EM82	soc.culture.hmong_20050210.1130-E66-58
EM84	soc.culture.hmong_20050210.1130-E9-59
EM85	soc.culture.hmong_20050210.1130-E66-60
EM86	soc.culture.hmong_20050210.1130-E10-61
EM87	soc.culture.hmong_20050210.1130-E1-62
EM88	soc.culture.hmong_20050210.1130-E30-63
EM89	soc.culture.hmong_20050210.1130-E31-64
EM90	soc.culture.hmong_20050210.1130-E32-65
EM92	soc.culture.hmong_20050210.1130-E33-66
EM93	soc.culture.hmong_20050210.1130-E34-67
EM94	soc.culture.hmong_20050210.1130-E35-68
EM95	soc.culture.hmong_20050210.1130-E36-69
EM97	soc.culture.hmong_20050210.1130-E37-70
EM96	soc.culture.hmong_20050210.1130-E38-71
EM98	soc.culture.hmong_20050210.1130-E39-72
EM99	soc.culture.hmong_20050210.1130-E8-73
EM100	soc.culture.hmong_20050210.1130-E66-74
EM101	soc.culture.hmong_20050210.1130-E40-75
EM102	soc.culture.hmong_20050210.1130-E10-76
EM103	soc.culture.hmong_20050210.1130-E40-77
EM104	soc.culture.hmong_20050210.1130-E41-78
EM105	soc.culture.hmong_20050210.1130-E42-79
EM106	soc.culture.hmong_20050210.1130-E43-80
EM2	soc.culture.hmong_20050210.1130-E24-81
EM107	soc.culture.hmong_20050210.1130-E1-82
EM108	soc.culture.hmong_20050210.1130-E44-83
EM109	soc.culture.hmong_20050210.1130-E45-84
EM110	soc.culture.hmong_20050210.1130-E1-85
EM112	soc.culture.hmong_20050210.1130-E66-86
EM113	soc.culture.hmong_20050210.1130-E1-87
EM114	soc.culture.hmong_20050210.1130-E66-88
EM115	soc.culture.hmong_20050210.1130-E46-89
EM117	soc.culture.hmong_20050210.1130-E47-90
EM118	soc.culture.hmong_20050210.1130-E17-91
EM119	soc.culture.hmong_20050210.1130-E1-92
EM120	soc.culture.hmong_20050210.1130-E48-93
EM121	soc.culture.hmong_20050210.1130-E66-94
EM122	soc.culture.hmong_20050210.1130-E24-95
EM123	soc.culture.hmong_20050210.1130-E10-96
EM124	soc.culture.hmong_20050210.1130-E24-97
EM125	soc.culture.hmong_20050210.1130-E49-98
EM126	soc.culture.hmong_20050210.1130-E50-99
EM127	soc.culture.hmong_20050210.1130-E66-100
EM128	soc.culture.hmong_20050210.1130-E51-101
EM129	soc.culture.hmong_20050210.1130-E51-102
EM130	soc.culture.hmong_20050210.1130-E1-103
EM131	soc.culture.hmong_20050210.1130-E52-104
EM132	soc.culture.hmong_20050210.1130-E51-105
EM133	soc.culture.hmong_20050210.1130-E53-106
EM134	soc.culture.hmong_20050210.1130-E51-107
EM135	soc.culture.hmong_20050210.1130-E54-108
EM136	soc.culture.hmong_20050210.1130-E51-109
EM137	soc.culture.hmong_20050210.1130-E55-110
EM138	soc.culture.hmong_20050210.1130-E56-111
EM139	soc.culture.hmong_20050210.1130-E56-112
EM140	soc.culture.hmong_20050210.1130-E57-113
EM141	soc.culture.hmong_20050210.1130-E58-114
EM142	soc.culture.hmong_20050210.1130-E59-115
EM143	soc.culture.hmong_20050210.1130-E60-116
EM145	soc.culture.hmong_20050210.1130-E61-117
EM146	soc.culture.hmong_20050210.1130-E62-118
EM147	soc.culture.hmong_20050210.1130-E51-119
EM3	soc.culture.hmong_20050210.1130-E66-120
EM148	soc.culture.hmong_20050210.1130-E53-121
EM144	soc.culture.hmong_20050210.1130-E63-122
EM149	soc.culture.hmong_20050210.1130-E24-123
EM150	soc.culture.hmong_20050210.1130-E24-124
EM91	soc.culture.hmong_20050210.1130-E64-125
EM151	soc.culture.hmong_20050210.1130-E24-126
EM152	soc.culture.hmong_20050210.1130-E24-127
EM153	soc.culture.hmong_20050210.1130-E24-128
EM154	soc.culture.hmong_20050210.1130-E24-129
EM155	soc.culture.hmong_20050210.1130-E24-130
EM48	soc.culture.hmong_20050210.1130-E65-131
EM156	soc.culture.hmong_20050210.1130-E24-132
EM157	soc.culture.hmong_20050210.1130-E24-133
EM7	soc.culture.hmong_20050210.1130-E67-134
EM168	soc.culture.hmong_20050210.1130-E83-135
EM159	soc.culture.hmong_20050210.1130-E24-136
EM160	soc.culture.hmong_20050210.1130-E24-137
EM161	soc.culture.hmong_20050210.1130-E24-138
EM10	soc.culture.hmong_20050210.1130-E68-139
EM35	soc.culture.hmong_20050210.1130-E66-140
EM162	soc.culture.hmong_20050210.1130-E69-141
EM163	soc.culture.hmong_20050210.1130-E69-142
EM83	soc.culture.hmong_20050210.1130-E70-143
EM111	soc.culture.hmong_20050210.1130-E1-144
EM164	soc.culture.hmong_20050210.1130-E69-145
EM165	soc.culture.hmong_20050210.1130-E69-146
EM116	soc.culture.hmong_20050210.1130-E71-147
EM166	soc.culture.hmong_20050210.1130-E69-148
EM8	soc.culture.hmong_20050210.1130-E72-149
EM39	soc.culture.hmong_20050210.1130-E73-150
EM167	soc.culture.hmong_20050210.1130-E69-151
EM169	soc.culture.hmong_20050210.1130-E5-152
EM170	soc.culture.hmong_20050210.1130-E5-153
EM171	soc.culture.hmong_20050210.1130-E51-154
EM172	soc.culture.hmong_20050210.1130-E53-155
EM4	soc.culture.hmong_20050210.1130-E66-156
EM173	soc.culture.hmong_20050210.1130-E74-157
EM28	soc.culture.hmong_20050210.1130-E75-158
EM6	soc.culture.hmong_20050210.1130-E24-159
EM5	soc.culture.hmong_20050210.1130-E76-160
EM29	soc.culture.hmong_20050210.1130-E6-161
EM9	soc.culture.hmong_20050210.1130-E77-162
EM11	soc.culture.hmong_20050210.1130-E78-163
EM12	soc.culture.hmong_20050210.1130-E78-164
EM13	soc.culture.hmong_20050210.1130-E79-165
EM14	soc.culture.hmong_20050210.1130-E79-166
EM15	soc.culture.hmong_20050210.1130-E80-167
EM16	soc.culture.hmong_20050210.1130-E80-168
EM17	soc.culture.hmong_20050210.1130-E81-169
EM18	soc.culture.hmong_20050210.1130-E82-170
EM20	soc.culture.hmong_20050210.1130-E83-171
EM19	soc.culture.hmong_20050210.1130-E1-172
R1	soc.culture.hmong_20050210.1130-R1
R2	soc.culture.hmong_20050210.1130-R2
R3	soc.culture.hmong_20050210.1130-R3
R4	soc.culture.hmong_20050210.1130-R4
R6	soc.culture.hmong_20050210.1130-R5
R7	soc.culture.hmong_20050210.1130-R6
R8	soc.culture.hmong_20050210.1130-R7
R9	soc.culture.hmong_20050210.1130-R8
R10	soc.culture.hmong_20050210.1130-R9
R11	soc.culture.hmong_20050210.1130-R10
R12	soc.culture.hmong_20050210.1130-R11
R13	soc.culture.hmong_20050210.1130-R12
R14	soc.culture.hmong_20050210.1130-R13
R15	soc.culture.hmong_20050210.1130-R14
R16	soc.culture.hmong_20050210.1130-R15
R19	soc.culture.hmong_20050210.1130-R16
R20	soc.culture.hmong_20050210.1130-R17
R5	soc.culture.hmong_20050210.1130-R18
R21	soc.culture.hmong_20050210.1130-R19
R22	soc.culture.hmong_20050210.1130-R20
R23	soc.culture.hmong_20050210.1130-R21
R24	soc.culture.hmong_20050210.1130-R22
R25	soc.culture.hmong_20050210.1130-R23
R26	soc.culture.hmong_20050210.1130-R24
RM1	soc.culture.hmong_20050210.1130-R1-1
RM2	soc.culture.hmong_20050210.1130-R2-1
RM3	soc.culture.hmong_20050210.1130-R3-1
RM4	soc.culture.hmong_20050210.1130-R4-1
RM6	soc.culture.hmong_20050210.1130-R5-1
RM7	soc.culture.hmong_20050210.1130-R6-1
RM8	soc.culture.hmong_20050210.1130-R7-1
RM9	soc.culture.hmong_20050210.1130-R8-1
RM10	soc.culture.hmong_20050210.1130-R9-1
RM11	soc.culture.hmong_20050210.1130-R10-1
RM12	soc.culture.hmong_20050210.1130-R11-1
RM13	soc.culture.hmong_20050210.1130-R12-1
RM14	soc.culture.hmong_20050210.1130-R13-1
RM15	soc.culture.hmong_20050210.1130-R14-1
RM16	soc.culture.hmong_20050210.1130-R15-1
RM19	soc.culture.hmong_20050210.1130-R16-1
RM20	soc.culture.hmong_20050210.1130-R17-1
RM5	soc.culture.hmong_20050210.1130-R18-1
RM21	soc.culture.hmong_20050210.1130-R19-1
RM22	soc.culture.hmong_20050210.1130-R19-2
RM23	soc.culture.hmong_20050210.1130-R19-3
RM24	soc.culture.hmong_20050210.1130-R19-4
RM25	soc.culture.hmong_20050210.1130-R19-5
RM26	soc.culture.hmong_20050210.1130-R19-6
V7	soc.culture.hmong_20050210.1130-EV1
V8	soc.culture.hmong_20050210.1130-EV2
V9	soc.culture.hmong_20050210.1130-EV3
V2	soc.culture.hmong_20050210.1130-EV4
V3	soc.culture.hmong_20050210.1130-EV5
V5	soc.culture.hmong_20050210.1130-EV6
V10	soc.culture.hmong_20050210.1130-EV7
V11	soc.culture.hmong_20050210.1130-EV8
V12	soc.culture.hmong_20050210.1130-EV9
V13	soc.culture.hmong_20050210.1130-EV10
V1	soc.culture.hmong_20050210.1130-EV11
V4	soc.culture.hmong_20050210.1130-EV12
V6	soc.culture.hmong_20050210.1130-EV13
VM7	soc.culture.hmong_20050210.1130-EV1-1
VM8	soc.culture.hmong_20050210.1130-EV2-1
VM9	soc.culture.hmong_20050210.1130-EV3-1
VM2	soc.culture.hmong_20050210.1130-EV4-1
VM3	soc.culture.hmong_20050210.1130-EV5-1
VM5	soc.culture.hmong_20050210.1130-EV6-1
VM10	soc.culture.hmong_20050210.1130-EV7-1
VM11	soc.culture.hmong_20050210.1130-EV8-1
VM12	soc.culture.hmong_20050210.1130-EV9-1
VM14	soc.culture.hmong_20050210.1130-EV10-1
VM1	soc.culture.hmong_20050210.1130-EV11-1
VM4	soc.culture.hmong_20050210.1130-EV12-1
VM6	soc.culture.hmong_20050210.1130-EV13-1
VM13	soc.culture.hmong_20050210.1130-EV3-2
Q1	soc.culture.hmong_20050210.1130-T1
Q6	soc.culture.hmong_20050210.1130-T2
Q7	soc.culture.hmong_20050210.1130-T3
Q8	soc.culture.hmong_20050210.1130-T4
Q9	soc.culture.hmong_20050210.1130-T5
Q10	soc.culture.hmong_20050210.1130-T6
Q11	soc.culture.hmong_20050210.1130-T7
Q2	soc.culture.hmong_20050210.1130-T8
Q3	soc.culture.hmong_20050210.1130-T9
Q4	soc.culture.hmong_20050210.1130-T10
Q5	soc.culture.hmong_20050210.1130-T11
