CE11	aus.cars_20041206.0903-CE1
E31	aus.cars_20041206.0903-E20
E32	aus.cars_20041206.0903-E21
E64	aus.cars_20041206.0903-E22
E65	aus.cars_20041206.0903-E23
E36	aus.cars_20041206.0903-E24
E66	aus.cars_20041206.0903-E25
E38	aus.cars_20041206.0903-E26
E39	aus.cars_20041206.0903-E27
E40	aus.cars_20041206.0903-E28
E67	aus.cars_20041206.0903-E29
E68	aus.cars_20041206.0903-E30
E42	aus.cars_20041206.0903-E31
E44	aus.cars_20041206.0903-E32
E46	aus.cars_20041206.0903-E33
E47	aus.cars_20041206.0903-E34
E48	aus.cars_20041206.0903-E35
E50	aus.cars_20041206.0903-E36
E51	aus.cars_20041206.0903-E37
E52	aus.cars_20041206.0903-E38
E54	aus.cars_20041206.0903-E39
E55	aus.cars_20041206.0903-E40
E56	aus.cars_20041206.0903-E41
E57	aus.cars_20041206.0903-E42
E58	aus.cars_20041206.0903-E43
E59	aus.cars_20041206.0903-E44
E60	aus.cars_20041206.0903-E45
E61	aus.cars_20041206.0903-E46
E63	aus.cars_20041206.0903-E47
E69	aus.cars_20041206.0903-E48
E3	aus.cars_20041206.0903-E49
E4	aus.cars_20041206.0903-E50
E5	aus.cars_20041206.0903-E51
E6	aus.cars_20041206.0903-E52
E8	aus.cars_20041206.0903-E53
E9	aus.cars_20041206.0903-E54
E10	aus.cars_20041206.0903-E55
EM1	aus.cars_20041206.0903-E17-1
EM21	aus.cars_20041206.0903-E1-2
EM22	aus.cars_20041206.0903-E2-3
EM23	aus.cars_20041206.0903-E3-4
EM24	aus.cars_20041206.0903-E3-5
EM25	aus.cars_20041206.0903-E4-6
EM26	aus.cars_20041206.0903-E5-7
EM27	aus.cars_20041206.0903-E17-8
EM28	aus.cars_20041206.0903-E6-9
EM29	aus.cars_20041206.0903-E7-10
EM30	aus.cars_20041206.0903-E17-11
EM31	aus.cars_20041206.0903-E54-12
EM32	aus.cars_20041206.0903-E17-13
EM33	aus.cars_20041206.0903-E54-14
EM34	aus.cars_20041206.0903-E3-15
EM35	aus.cars_20041206.0903-E3-16
EM36	aus.cars_20041206.0903-E8-17
EM37	aus.cars_20041206.0903-E9-18
EM38	aus.cars_20041206.0903-E9-19
EM39	aus.cars_20041206.0903-E10-20
EM40	aus.cars_20041206.0903-E11-21
EM41	aus.cars_20041206.0903-E9-22
EM42	aus.cars_20041206.0903-E8-23
EM43	aus.cars_20041206.0903-E53-24
EM44	aus.cars_20041206.0903-E17-25
EM46	aus.cars_20041206.0903-E17-26
EM47	aus.cars_20041206.0903-E17-27
EM48	aus.cars_20041206.0903-E12-28
EM49	aus.cars_20041206.0903-E17-29
EM50	aus.cars_20041206.0903-E17-30
EM51	aus.cars_20041206.0903-E13-31
EM53	aus.cars_20041206.0903-E14-32
EM54	aus.cars_20041206.0903-E14-33
EM55	aus.cars_20041206.0903-E15-34
EM56	aus.cars_20041206.0903-E9-35
EM57	aus.cars_20041206.0903-E11-36
EM58	aus.cars_20041206.0903-E9-37
EM59	aus.cars_20041206.0903-E9-38
EM60	aus.cars_20041206.0903-E16-39
EM61	aus.cars_20041206.0903-E17-40
EM62	aus.cars_20041206.0903-E17-41
EM63	aus.cars_20041206.0903-E17-42
EM64	aus.cars_20041206.0903-E18-43
EM65	aus.cars_20041206.0903-E19-44
EM66	aus.cars_20041206.0903-E2-45
EM67	aus.cars_20041206.0903-E20-46
EM68	aus.cars_20041206.0903-E21-47
EM85	aus.cars_20041206.0903-E22-48
EM88	aus.cars_20041206.0903-E23-49
EM89	aus.cars_20041206.0903-E25-50
EM71	aus.cars_20041206.0903-E20-51
EM69	aus.cars_20041206.0903-E24-52
EM70	aus.cars_20041206.0903-E11-53
EM96	aus.cars_20041206.0903-E29-54
EM72	aus.cars_20041206.0903-E11-55
EM73	aus.cars_20041206.0903-E20-56
EM75	aus.cars_20041206.0903-E26-57
EM74	aus.cars_20041206.0903-E11-58
EM76	aus.cars_20041206.0903-E27-59
EM77	aus.cars_20041206.0903-E20-60
EM79	aus.cars_20041206.0903-E20-61
EM80	aus.cars_20041206.0903-E28-62
EM81	aus.cars_20041206.0903-E11-63
EM82	aus.cars_20041206.0903-E20-64
EM83	aus.cars_20041206.0903-E20-65
EM84	aus.cars_20041206.0903-E20-66
EM106	aus.cars_20041206.0903-E30-67
EM86	aus.cars_20041206.0903-E21-68
EM87	aus.cars_20041206.0903-E31-69
EM20	aus.cars_20041206.0903-E53-70
EM10	aus.cars_20041206.0903-E53-71
EM134	aus.cars_20041206.0903-E18-72
EM90	aus.cars_20041206.0903-E20-73
EM91	aus.cars_20041206.0903-E20-74
EM92	aus.cars_20041206.0903-E20-75
EM93	aus.cars_20041206.0903-E17-76
EM95	aus.cars_20041206.0903-E17-77
EM94	aus.cars_20041206.0903-E32-78
EM3	aus.cars_20041206.0903-E53-79
EM135	aus.cars_20041206.0903-E9-80
EM97	aus.cars_20041206.0903-E17-81
EM98	aus.cars_20041206.0903-E2-82
EM99	aus.cars_20041206.0903-E33-83
EM100	aus.cars_20041206.0903-E34-84
EM101	aus.cars_20041206.0903-E17-85
EM45	aus.cars_20041206.0903-E11-86
EM102	aus.cars_20041206.0903-E32-87
EM104	aus.cars_20041206.0903-E35-88
EM105	aus.cars_20041206.0903-E9-89
EM2	aus.cars_20041206.0903-E53-90
EM19	aus.cars_20041206.0903-E53-91
EM107	aus.cars_20041206.0903-E2-92
EM108	aus.cars_20041206.0903-E2-93
EM109	aus.cars_20041206.0903-E36-94
EM110	aus.cars_20041206.0903-E37-95
EM111	aus.cars_20041206.0903-E38-96
EM112	aus.cars_20041206.0903-E39-97
EM113	aus.cars_20041206.0903-E38-98
EM114	aus.cars_20041206.0903-E40-99
EM115	aus.cars_20041206.0903-E38-100
EM116	aus.cars_20041206.0903-E41-101
EM117	aus.cars_20041206.0903-E42-102
EM118	aus.cars_20041206.0903-E38-103
EM119	aus.cars_20041206.0903-E38-104
EM120	aus.cars_20041206.0903-E43-105
EM121	aus.cars_20041206.0903-E37-106
EM122	aus.cars_20041206.0903-E38-107
EM123	aus.cars_20041206.0903-E44-108
EM124	aus.cars_20041206.0903-E45-109
EM125	aus.cars_20041206.0903-E46-110
EM126	aus.cars_20041206.0903-E53-111
EM127	aus.cars_20041206.0903-E9-112
EM129	aus.cars_20041206.0903-E9-113
EM78	aus.cars_20041206.0903-E48-114
EM136	aus.cars_20041206.0903-E18-115
EM130	aus.cars_20041206.0903-E2-116
EM131	aus.cars_20041206.0903-E47-117
EM132	aus.cars_20041206.0903-E2-118
EM137	aus.cars_20041206.0903-E9-119
EM138	aus.cars_20041206.0903-E18-120
EM139	aus.cars_20041206.0903-E18-121
EM140	aus.cars_20041206.0903-E9-122
EM141	aus.cars_20041206.0903-E9-123
EM142	aus.cars_20041206.0903-E18-124
EM128	aus.cars_20041206.0903-E11-125
EM143	aus.cars_20041206.0903-E18-126
EM144	aus.cars_20041206.0903-E9-127
EM145	aus.cars_20041206.0903-E9-128
EM52	aus.cars_20041206.0903-E11-129
EM146	aus.cars_20041206.0903-E18-130
EM147	aus.cars_20041206.0903-E20-131
EM148	aus.cars_20041206.0903-E2-132
EM149	aus.cars_20041206.0903-E3-133
EM150	aus.cars_20041206.0903-E8-134
EM151	aus.cars_20041206.0903-E2-135
EM152	aus.cars_20041206.0903-E20-136
EM153	aus.cars_20041206.0903-E2-137
EM12	aus.cars_20041206.0903-E2-138
EM103	aus.cars_20041206.0903-E29-139
EM4	aus.cars_20041206.0903-E49-140
EM5	aus.cars_20041206.0903-E50-141
EM6	aus.cars_20041206.0903-E17-142
EM7	aus.cars_20041206.0903-E51-143
EM8	aus.cars_20041206.0903-E17-144
EM9	aus.cars_20041206.0903-E52-145
EM133	aus.cars_20041206.0903-E9-146
EM13	aus.cars_20041206.0903-E17-147
EM11	aus.cars_20041206.0903-E53-148
EM14	aus.cars_20041206.0903-E54-149
EM15	aus.cars_20041206.0903-E17-150
EM16	aus.cars_20041206.0903-E17-151
EM17	aus.cars_20041206.0903-E17-152
EM18	aus.cars_20041206.0903-E55-153
R2	aus.cars_20041206.0903-R1
R3	aus.cars_20041206.0903-R2
R6	aus.cars_20041206.0903-R3
R22	aus.cars_20041206.0903-R4
R4	aus.cars_20041206.0903-R5
R5	aus.cars_20041206.0903-R6
R7	aus.cars_20041206.0903-R7
R8	aus.cars_20041206.0903-R8
R9	aus.cars_20041206.0903-R9
R13	aus.cars_20041206.0903-R10
R14	aus.cars_20041206.0903-R11
R18	aus.cars_20041206.0903-R12
R19	aus.cars_20041206.0903-R13
R21	aus.cars_20041206.0903-R14
R8	aus.cars_20041206.0903-R15
R15	aus.cars_20041206.0903-R16
R10	aus.cars_20041206.0903-R17
R11	aus.cars_20041206.0903-R18
R12	aus.cars_20041206.0903-R19
R16	aus.cars_20041206.0903-R20
R17	aus.cars_20041206.0903-R21
R20	aus.cars_20041206.0903-R22
RM2	aus.cars_20041206.0903-R1-1
RM3	aus.cars_20041206.0903-R2-1
RM6	aus.cars_20041206.0903-R3-1
RM1	aus.cars_20041206.0903-R4-1
RM4	aus.cars_20041206.0903-R5-1
RM5	aus.cars_20041206.0903-R6-1
RM7	aus.cars_20041206.0903-R7-1
RM8	aus.cars_20041206.0903-R8-1
RM9	aus.cars_20041206.0903-R9-1
RM10	aus.cars_20041206.0903-R15-1
RM14	aus.cars_20041206.0903-R10-1
RM15	aus.cars_20041206.0903-R11-1
RM19	aus.cars_20041206.0903-R12-1
RM20	aus.cars_20041206.0903-R13-1
RM22	aus.cars_20041206.0903-R14-1
RM16	aus.cars_20041206.0903-R16-1
RM11	aus.cars_20041206.0903-R17-1
RM12	aus.cars_20041206.0903-R18-1
RM13	aus.cars_20041206.0903-R19-1
RM17	aus.cars_20041206.0903-R20-1
RM18	aus.cars_20041206.0903-R21-1
RM21	aus.cars_20041206.0903-R22-1
V1	aus.cars_20041206.0903-EV1
V2	aus.cars_20041206.0903-EV2
V3	aus.cars_20041206.0903-EV3
V4	aus.cars_20041206.0903-EV4
V5	aus.cars_20041206.0903-EV5
V7	aus.cars_20041206.0903-EV6
V6	aus.cars_20041206.0903-EV7
VM1	aus.cars_20041206.0903-EV1-1
VM2	aus.cars_20041206.0903-EV2-1
VM3	aus.cars_20041206.0903-EV3-1
VM4	aus.cars_20041206.0903-EV4-1
VM5	aus.cars_20041206.0903-EV5-1
VM7	aus.cars_20041206.0903-EV6-1
VM6	aus.cars_20041206.0903-EV7-1
Q13	aus.cars_20041206.0903-T1
Q14	aus.cars_20041206.0903-T2
Q1	aus.cars_20041206.0903-T3
Q5	aus.cars_20041206.0903-T4
Q6	aus.cars_20041206.0903-T5
Q8	aus.cars_20041206.0903-T6
Q2	aus.cars_20041206.0903-T7
Q15	aus.cars_20041206.0903-T8
Q3	aus.cars_20041206.0903-T9
Q7	aus.cars_20041206.0903-T10
Q9	aus.cars_20041206.0903-T11
Q12	aus.cars_20041206.0903-T12
