CE5	seattle.politics_20050122.2412-CE1
E12	seattle.politics_20050122.2412-E33
E51	seattle.politics_20050122.2412-E34
EM1	seattle.politics_20050122.2412-E13-1
EM21	seattle.politics_20050122.2412-E1-2
EM22	seattle.politics_20050122.2412-E30-3
EM23	seattle.politics_20050122.2412-E2-4
EM24	seattle.politics_20050122.2412-E3-5
EM25	seattle.politics_20050122.2412-E4-6
EM20	seattle.politics_20050122.2412-E18-7
EM28	seattle.politics_20050122.2412-E30-8
EM27	seattle.politics_20050122.2412-E30-9
EM29	seattle.politics_20050122.2412-E5-10
EM30	seattle.politics_20050122.2412-E2-11
EM62	seattle.politics_20050122.2412-E18-12
EM31	seattle.politics_20050122.2412-E13-13
EM32	seattle.politics_20050122.2412-E3-14
EM33	seattle.politics_20050122.2412-E13-15
EM35	seattle.politics_20050122.2412-E13-16
EM34	seattle.politics_20050122.2412-E4-17
EM36	seattle.politics_20050122.2412-E1-18
EM37	seattle.politics_20050122.2412-E30-19
EM38	seattle.politics_20050122.2412-E3-20
EM39	seattle.politics_20050122.2412-E28-21
EM40	seattle.politics_20050122.2412-E28-22
EM41	seattle.politics_20050122.2412-E6-23
EM42	seattle.politics_20050122.2412-E28-24
EM43	seattle.politics_20050122.2412-E7-25
EM99	seattle.politics_20050122.2412-E23-26
EM113	seattle.politics_20050122.2412-E14-27
EM7	seattle.politics_20050122.2412-E12-28
EM44	seattle.politics_20050122.2412-E8-29
EM45	seattle.politics_20050122.2412-E2-30
EM46	seattle.politics_20050122.2412-E28-31
EM47	seattle.politics_20050122.2412-E32-32
EM48	seattle.politics_20050122.2412-E32-33
EM49	seattle.politics_20050122.2412-E32-34
EM50	seattle.politics_20050122.2412-E2-35
EM51	seattle.politics_20050122.2412-E9-36
EM52	seattle.politics_20050122.2412-E3-37
EM53	seattle.politics_20050122.2412-E10-38
EM54	seattle.politics_20050122.2412-E10-39
EM55	seattle.politics_20050122.2412-E7-40
EM56	seattle.politics_20050122.2412-E32-41
EM57	seattle.politics_20050122.2412-E11-42
EM59	seattle.politics_20050122.2412-E11-43
EM58	seattle.politics_20050122.2412-E11-44
EM61	seattle.politics_20050122.2412-E32-45
EM114	seattle.politics_20050122.2412-E23-46
EM60	seattle.politics_20050122.2412-E28-47
EM115	seattle.politics_20050122.2412-E10-48
EM116	seattle.politics_20050122.2412-E10-49
EM65	seattle.politics_20050122.2412-E32-50
EM63	seattle.politics_20050122.2412-E28-51
EM64	seattle.politics_20050122.2412-E28-52
EM66	seattle.politics_20050122.2412-E28-53
EM67	seattle.politics_20050122.2412-E14-54
EM68	seattle.politics_20050122.2412-E2-55
EM69	seattle.politics_20050122.2412-E15-56
EM70	seattle.politics_20050122.2412-E28-57
EM71	seattle.politics_20050122.2412-E16-58
EM14	seattle.politics_20050122.2412-E28-59
EM72	seattle.politics_20050122.2412-E17-60
EM73	seattle.politics_20050122.2412-E13-61
EM74	seattle.politics_20050122.2412-E19-62
EM75	seattle.politics_20050122.2412-E10-63
EM77	seattle.politics_20050122.2412-E20-64
EM78	seattle.politics_20050122.2412-E21-65
EM76	seattle.politics_20050122.2412-E10-66
EM79	seattle.politics_20050122.2412-E28-67
EM80	seattle.politics_20050122.2412-E28-68
EM81	seattle.politics_20050122.2412-E28-69
EM82	seattle.politics_20050122.2412-E28-70
EM84	seattle.politics_20050122.2412-E28-71
EM83	seattle.politics_20050122.2412-E32-72
EM85	seattle.politics_20050122.2412-E32-73
EM86	seattle.politics_20050122.2412-E7-74
EM87	seattle.politics_20050122.2412-E22-75
EM88	seattle.politics_20050122.2412-E28-76
EM90	seattle.politics_20050122.2412-E28-77
EM91	seattle.politics_20050122.2412-E32-78
EM92	seattle.politics_20050122.2412-E28-79
EM93	seattle.politics_20050122.2412-E7-80
EM94	seattle.politics_20050122.2412-E3-81
EM95	seattle.politics_20050122.2412-E10-82
EM96	seattle.politics_20050122.2412-E23-83
EM89	seattle.politics_20050122.2412-E10-84
EM97	seattle.politics_20050122.2412-E24-85
EM98	seattle.politics_20050122.2412-E25-86
EM100	seattle.politics_20050122.2412-E28-87
EM101	seattle.politics_20050122.2412-E28-88
EM102	seattle.politics_20050122.2412-E32-89
EM104	seattle.politics_20050122.2412-E32-90
EM105	seattle.politics_20050122.2412-E28-91
EM106	seattle.politics_20050122.2412-E23-92
EM2	seattle.politics_20050122.2412-E27-93
EM17	seattle.politics_20050122.2412-E32-94
EM103	seattle.politics_20050122.2412-E1-95
EM8	seattle.politics_20050122.2412-E26-96
EM3	seattle.politics_20050122.2412-E28-97
EM4	seattle.politics_20050122.2412-E27-98
EM5	seattle.politics_20050122.2412-E13-99
EM107	seattle.politics_20050122.2412-E29-100
EM108	seattle.politics_20050122.2412-E29-101
EM9	seattle.politics_20050122.2412-E31-102
EM10	seattle.politics_20050122.2412-E30-103
EM109	seattle.politics_20050122.2412-E29-104
EM110	seattle.politics_20050122.2412-E29-105
EM6	seattle.politics_20050122.2412-E34-106
EM11	seattle.politics_20050122.2412-E28-107
EM12	seattle.politics_20050122.2412-E33-108
EM13	seattle.politics_20050122.2412-E28-109
EM15	seattle.politics_20050122.2412-E28-110
EM26	seattle.politics_20050122.2412-E18-111
EM16	seattle.politics_20050122.2412-E32-112
EM18	seattle.politics_20050122.2412-E32-113
EM19	seattle.politics_20050122.2412-E32-114
EM111	seattle.politics_20050122.2412-E29-115
EM112	seattle.politics_20050122.2412-E14-116
R2	seattle.politics_20050122.2412-R1
R1	seattle.politics_20050122.2412-R2
R3	seattle.politics_20050122.2412-R3
RM2	seattle.politics_20050122.2412-R1-1
RM1	seattle.politics_20050122.2412-R2-1
RM3	seattle.politics_20050122.2412-R3-1
V1	seattle.politics_20050122.2412-EV1
V2	seattle.politics_20050122.2412-EV2
VM1	seattle.politics_20050122.2412-EV1-1
VM2	seattle.politics_20050122.2412-EV2-1
Q1	seattle.politics_20050122.2412-T1
Q2	seattle.politics_20050122.2412-T2
Q5	seattle.politics_20050122.2412-T3
Q6	seattle.politics_20050122.2412-T4
Q7	seattle.politics_20050122.2412-T5
Q8	seattle.politics_20050122.2412-T6
Q9	seattle.politics_20050122.2412-T7
Q10	seattle.politics_20050122.2412-T8
Q11	seattle.politics_20050122.2412-T9
