CE14	soc.culture.china_20050203.0639-CE1
EM32	soc.culture.china_20050203.0639-E6-11
EM149	soc.culture.china_20050203.0639-E35-12
EM33	soc.culture.china_20050203.0639-E7-13
EM35	soc.culture.china_20050203.0639-E8-14
EM34	soc.culture.china_20050203.0639-E9-15
EM36	soc.culture.china_20050203.0639-E10-16
EM37	soc.culture.china_20050203.0639-E11-17
EM38	soc.culture.china_20050203.0639-E12-18
EM39	soc.culture.china_20050203.0639-E51-19
EM45	soc.culture.china_20050203.0639-E51-20
EM46	soc.culture.china_20050203.0639-E11-21
EM150	soc.culture.china_20050203.0639-E13-22
EM17	soc.culture.china_20050203.0639-E14-23
EM44	soc.culture.china_20050203.0639-E15-24
EM47	soc.culture.china_20050203.0639-E16-25
EM48	soc.culture.china_20050203.0639-E12-26
EM28	soc.culture.china_20050203.0639-E30-27
EM50	soc.culture.china_20050203.0639-E17-28
EM52	soc.culture.china_20050203.0639-E11-29
EM53	soc.culture.china_20050203.0639-E11-30
EM54	soc.culture.china_20050203.0639-E18-31
EM55	soc.culture.china_20050203.0639-E18-32
EM56	soc.culture.china_20050203.0639-E11-33
EM57	soc.culture.china_20050203.0639-E12-34
EM58	soc.culture.china_20050203.0639-E19-35
EM59	soc.culture.china_20050203.0639-E20-36
EM60	soc.culture.china_20050203.0639-E22-37
EM61	soc.culture.china_20050203.0639-E20-38
EM62	soc.culture.china_20050203.0639-E23-39
EM63	soc.culture.china_20050203.0639-E20-40
EM64	soc.culture.china_20050203.0639-E20-41
EM66	soc.culture.china_20050203.0639-E20-42
EM67	soc.culture.china_20050203.0639-E22-43
EM68	soc.culture.china_20050203.0639-E24-44
EM69	soc.culture.china_20050203.0639-E24-45
EM70	soc.culture.china_20050203.0639-E25-46
EM71	soc.culture.china_20050203.0639-E25-47
EM73	soc.culture.china_20050203.0639-E26-48
EM72	soc.culture.china_20050203.0639-E27-49
EM74	soc.culture.china_20050203.0639-E25-50
EM78	soc.culture.china_20050203.0639-E28-51
EM79	soc.culture.china_20050203.0639-E28-52
EM80	soc.culture.china_20050203.0639-E28-53
EM81	soc.culture.china_20050203.0639-E29-54
EM77	soc.culture.china_20050203.0639-E29-55
EM82	soc.culture.china_20050203.0639-E21-56
EM83	soc.culture.china_20050203.0639-E21-57
EM84	soc.culture.china_20050203.0639-E21-58
EM85	soc.culture.china_20050203.0639-E21-59
EM86	soc.culture.china_20050203.0639-E21-60
EM87	soc.culture.china_20050203.0639-E21-61
EM88	soc.culture.china_20050203.0639-E31-62
EM91	soc.culture.china_20050203.0639-E32-63
EM89	soc.culture.china_20050203.0639-E32-64
EM90	soc.culture.china_20050203.0639-E32-65
EM93	soc.culture.china_20050203.0639-E32-66
EM92	soc.culture.china_20050203.0639-E33-67
EM94	soc.culture.china_20050203.0639-E34-68
EM95	soc.culture.china_20050203.0639-E35-69
EM96	soc.culture.china_20050203.0639-E2-70
EM97	soc.culture.china_20050203.0639-E36-71
EM98	soc.culture.china_20050203.0639-E2-72
EM99	soc.culture.china_20050203.0639-E51-73
EM100	soc.culture.china_20050203.0639-E37-74
EM40	soc.culture.china_20050203.0639-E38-75
EM41	soc.culture.china_20050203.0639-E39-76
EM104	soc.culture.china_20050203.0639-E51-77
EM2	soc.culture.china_20050203.0639-E55-78
EM42	soc.culture.china_20050203.0639-E40-79
EM107	soc.culture.china_20050203.0639-E41-80
EM112	soc.culture.china_20050203.0639-E42-81
EM113	soc.culture.china_20050203.0639-E51-82
EM114	soc.culture.china_20050203.0639-E21-83
EM115	soc.culture.china_20050203.0639-E51-84
EM116	soc.culture.china_20050203.0639-E21-85
EM118	soc.culture.china_20050203.0639-E51-86
EM117	soc.culture.china_20050203.0639-E43-87
EM119	soc.culture.china_20050203.0639-E37-88
EM120	soc.culture.china_20050203.0639-E21-89
EM121	soc.culture.china_20050203.0639-E21-90
EM122	soc.culture.china_20050203.0639-E21-91
EM123	soc.culture.china_20050203.0639-E21-92
EM124	soc.culture.china_20050203.0639-E21-93
EM126	soc.culture.china_20050203.0639-E44-94
EM125	soc.culture.china_20050203.0639-E21-95
EM127	soc.culture.china_20050203.0639-E21-96
EM128	soc.culture.china_20050203.0639-E21-97
EM129	soc.culture.china_20050203.0639-E45-98
EM130	soc.culture.china_20050203.0639-E45-99
EM131	soc.culture.china_20050203.0639-E46-100
EM132	soc.culture.china_20050203.0639-E47-101
EM133	soc.culture.china_20050203.0639-E45-102
EM134	soc.culture.china_20050203.0639-E48-103
EM136	soc.culture.china_20050203.0639-E45-104
EM135	soc.culture.china_20050203.0639-E45-105
EM137	soc.culture.china_20050203.0639-E21-106
EM138	soc.culture.china_20050203.0639-E21-107
EM139	soc.culture.china_20050203.0639-E21-108
EM140	soc.culture.china_20050203.0639-E21-109
EM141	soc.culture.china_20050203.0639-E51-110
EM142	soc.culture.china_20050203.0639-E45-111
EM143	soc.culture.china_20050203.0639-E49-112
EM144	soc.culture.china_20050203.0639-E50-113
EM75	soc.culture.china_20050203.0639-E21-114
EM76	soc.culture.china_20050203.0639-E21-115
EM43	soc.culture.china_20050203.0639-E52-116
EM6	soc.culture.china_20050203.0639-E53-117
EM14	soc.culture.china_20050203.0639-E54-118
EM101	soc.culture.china_20050203.0639-E21-119
EM102	soc.culture.china_20050203.0639-E21-120
EM103	soc.culture.china_20050203.0639-E21-121
EM105	soc.culture.china_20050203.0639-E21-122
EM106	soc.culture.china_20050203.0639-E21-123
EM108	soc.culture.china_20050203.0639-E21-124
EM109	soc.culture.china_20050203.0639-E21-125
EM110	soc.culture.china_20050203.0639-E21-126
EM30	soc.culture.china_20050203.0639-E21-127
EM51	soc.culture.china_20050203.0639-E11-128
EM16	soc.culture.china_20050203.0639-E56-129
EM111	soc.culture.china_20050203.0639-E20-130
EM65	soc.culture.china_20050203.0639-E22-131
EM31	soc.culture.china_20050203.0639-E37-132
EM21	soc.culture.china_20050203.0639-E57-133
EM1	soc.culture.china_20050203.0639-E57-134
EM49	soc.culture.china_20050203.0639-E12-135
EM3	soc.culture.china_20050203.0639-E58-136
EM4	soc.culture.china_20050203.0639-E21-137
EM5	soc.culture.china_20050203.0639-E21-138
EM7	soc.culture.china_20050203.0639-E51-139
EM8	soc.culture.china_20050203.0639-E59-140
EM9	soc.culture.china_20050203.0639-E60-141
EM10	soc.culture.china_20050203.0639-E61-142
EM11	soc.culture.china_20050203.0639-E61-143
EM12	soc.culture.china_20050203.0639-E62-144
EM13	soc.culture.china_20050203.0639-E61-145
EM145	soc.culture.china_20050203.0639-E19-146
EM15	soc.culture.china_20050203.0639-E63-147
EM18	soc.culture.china_20050203.0639-E64-148
EM19	soc.culture.china_20050203.0639-E65-149
EM20	soc.culture.china_20050203.0639-E21-150
R1	soc.culture.china_20050203.0639-R1
R3	soc.culture.china_20050203.0639-R2
R5	soc.culture.china_20050203.0639-R3
R6	soc.culture.china_20050203.0639-R4
R7	soc.culture.china_20050203.0639-R5
R11	soc.culture.china_20050203.0639-R6
R10	soc.culture.china_20050203.0639-R7
R10	soc.culture.china_20050203.0639-R8
R4	soc.culture.china_20050203.0639-R9
R2	soc.culture.china_20050203.0639-R10
R4	soc.culture.china_20050203.0639-R11
R8	soc.culture.china_20050203.0639-R12
R9	soc.culture.china_20050203.0639-R13
RM1	soc.culture.china_20050203.0639-R1-1
RM4	soc.culture.china_20050203.0639-R2-1
RM5	soc.culture.china_20050203.0639-R3-1
RM6	soc.culture.china_20050203.0639-R4-1
RM7	soc.culture.china_20050203.0639-R5-1
RM12	soc.culture.china_20050203.0639-R6-1
RM11	soc.culture.china_20050203.0639-R7-1
RM13	soc.culture.china_20050203.0639-R7-2
RM2	soc.culture.china_20050203.0639-R10-1
RM3	soc.culture.china_20050203.0639-R11-1
RM8	soc.culture.china_20050203.0639-R12-1
RM9	soc.culture.china_20050203.0639-R13-1
RM10	soc.culture.china_20050203.0639-R9-1
V1	soc.culture.china_20050203.0639-EV1
V2	soc.culture.china_20050203.0639-EV2
V3	soc.culture.china_20050203.0639-EV3
V4	soc.culture.china_20050203.0639-EV4
V5	soc.culture.china_20050203.0639-EV5
VM29	soc.culture.china_20050203.0639-EV1-1
VM30	soc.culture.china_20050203.0639-EV1-2
VM3	soc.culture.china_20050203.0639-EV1-3
VM4	soc.culture.china_20050203.0639-EV1-4
VM5	soc.culture.china_20050203.0639-EV2-1
VM6	soc.culture.china_20050203.0639-EV2-2
VM7	soc.culture.china_20050203.0639-EV2-3
VM9	soc.culture.china_20050203.0639-EV2-4
VM10	soc.culture.china_20050203.0639-EV2-5
VM11	soc.culture.china_20050203.0639-EV2-6
VM12	soc.culture.china_20050203.0639-EV2-7
VM13	soc.culture.china_20050203.0639-EV1-5
VM14	soc.culture.china_20050203.0639-EV1-6
VM16	soc.culture.china_20050203.0639-EV2-8
VM17	soc.culture.china_20050203.0639-EV3-1
VM19	soc.culture.china_20050203.0639-EV2-9
VM20	soc.culture.china_20050203.0639-EV2-10
VM21	soc.culture.china_20050203.0639-EV4-1
VM23	soc.culture.china_20050203.0639-EV2-11
VM24	soc.culture.china_20050203.0639-EV2-12
VM25	soc.culture.china_20050203.0639-EV5-1
VM26	soc.culture.china_20050203.0639-EV2-13
VM8	soc.culture.china_20050203.0639-EV2-14
VM15	soc.culture.china_20050203.0639-EV2-15
VM22	soc.culture.china_20050203.0639-EV2-16
VM18	soc.culture.china_20050203.0639-EV2-17
VM27	soc.culture.china_20050203.0639-EV1-7
VM28	soc.culture.china_20050203.0639-EV1-8
Q18	soc.culture.china_20050203.0639-T1
Q1	soc.culture.china_20050203.0639-T2
Q2	soc.culture.china_20050203.0639-T3
Q3	soc.culture.china_20050203.0639-T4
Q4	soc.culture.china_20050203.0639-V1
Q6	soc.culture.china_20050203.0639-T5
Q7	soc.culture.china_20050203.0639-T6
Q8	soc.culture.china_20050203.0639-T7
Q9	soc.culture.china_20050203.0639-T8
Q13	soc.culture.china_20050203.0639-T9
Q16	soc.culture.china_20050203.0639-T10
Q17	soc.culture.china_20050203.0639-T11
Q14	soc.culture.china_20050203.0639-T12
Q5	soc.culture.china_20050203.0639-T13
Q10	soc.culture.china_20050203.0639-T14
Q11	soc.culture.china_20050203.0639-T15
QM4	soc.culture.china_20050203.0639-V1-1
