CE12	soc.culture.iraq_20050211.0445-CE1
EM49	soc.culture.iraq_20050211.0445-E17-32
EM51	soc.culture.iraq_20050211.0445-E41-33
EM52	soc.culture.iraq_20050211.0445-E17-34
EM53	soc.culture.iraq_20050211.0445-E51-35
EM54	soc.culture.iraq_20050211.0445-E51-36
EM55	soc.culture.iraq_20050211.0445-E13-37
EM56	soc.culture.iraq_20050211.0445-E51-38
EM58	soc.culture.iraq_20050211.0445-E41-39
EM60	soc.culture.iraq_20050211.0445-E41-40
EM59	soc.culture.iraq_20050211.0445-E52-41
EM61	soc.culture.iraq_20050211.0445-E55-42
EM63	soc.culture.iraq_20050211.0445-E14-43
EM64	soc.culture.iraq_20050211.0445-E15-44
EM65	soc.culture.iraq_20050211.0445-E15-45
EM66	soc.culture.iraq_20050211.0445-E41-46
EM67	soc.culture.iraq_20050211.0445-E41-47
EM68	soc.culture.iraq_20050211.0445-E16-48
EM69	soc.culture.iraq_20050211.0445-E15-49
EM70	soc.culture.iraq_20050211.0445-E15-50
EM71	soc.culture.iraq_20050211.0445-E18-51
EM72	soc.culture.iraq_20050211.0445-E52-52
EM75	soc.culture.iraq_20050211.0445-E51-53
EM76	soc.culture.iraq_20050211.0445-E19-54
EM77	soc.culture.iraq_20050211.0445-E20-55
EM78	soc.culture.iraq_20050211.0445-E5-56
EM79	soc.culture.iraq_20050211.0445-E5-57
EM80	soc.culture.iraq_20050211.0445-E21-58
EM81	soc.culture.iraq_20050211.0445-E41-59
EM82	soc.culture.iraq_20050211.0445-E22-60
EM83	soc.culture.iraq_20050211.0445-E52-61
EM85	soc.culture.iraq_20050211.0445-E51-62
EM84	soc.culture.iraq_20050211.0445-E54-63
EM86	soc.culture.iraq_20050211.0445-E23-64
EM87	soc.culture.iraq_20050211.0445-E24-65
EM88	soc.culture.iraq_20050211.0445-E24-66
EM89	soc.culture.iraq_20050211.0445-E51-67
EM91	soc.culture.iraq_20050211.0445-E52-68
EM93	soc.culture.iraq_20050211.0445-E25-69
EM94	soc.culture.iraq_20050211.0445-E52-70
EM95	soc.culture.iraq_20050211.0445-E52-71
EM96	soc.culture.iraq_20050211.0445-E51-72
EM97	soc.culture.iraq_20050211.0445-E26-73
EM98	soc.culture.iraq_20050211.0445-E27-74
EM100	soc.culture.iraq_20050211.0445-E28-75
EM102	soc.culture.iraq_20050211.0445-E28-76
EM101	soc.culture.iraq_20050211.0445-E29-77
EM103	soc.culture.iraq_20050211.0445-E52-78
EM104	soc.culture.iraq_20050211.0445-E30-79
EM107	soc.culture.iraq_20050211.0445-E31-80
EM108	soc.culture.iraq_20050211.0445-E32-81
EM110	soc.culture.iraq_20050211.0445-E51-82
EM111	soc.culture.iraq_20050211.0445-E30-83
EM112	soc.culture.iraq_20050211.0445-E52-84
EM114	soc.culture.iraq_20050211.0445-E33-85
EM4	soc.culture.iraq_20050211.0445-E41-86
EM113	soc.culture.iraq_20050211.0445-E34-87
EM115	soc.culture.iraq_20050211.0445-E35-88
EM116	soc.culture.iraq_20050211.0445-E36-89
EM117	soc.culture.iraq_20050211.0445-E41-90
EM118	soc.culture.iraq_20050211.0445-E37-91
EM120	soc.culture.iraq_20050211.0445-E41-92
EM119	soc.culture.iraq_20050211.0445-E38-93
EM122	soc.culture.iraq_20050211.0445-E38-94
EM123	soc.culture.iraq_20050211.0445-E55-95
EM124	soc.culture.iraq_20050211.0445-E55-96
EM74	soc.culture.iraq_20050211.0445-E39-97
EM62	soc.culture.iraq_20050211.0445-E40-98
EM121	soc.culture.iraq_20050211.0445-E51-99
EM109	soc.culture.iraq_20050211.0445-E43-100
EM125	soc.culture.iraq_20050211.0445-E42-101
EM106	soc.culture.iraq_20050211.0445-E44-102
EM126	soc.culture.iraq_20050211.0445-E45-103
EM11	soc.culture.iraq_20050211.0445-E48-104
EM90	soc.culture.iraq_20050211.0445-E2-105
EM99	soc.culture.iraq_20050211.0445-E28-106
EM73	soc.culture.iraq_20050211.0445-E39-107
EM105	soc.culture.iraq_20050211.0445-E30-108
EM127	soc.culture.iraq_20050211.0445-E17-109
EM128	soc.culture.iraq_20050211.0445-E30-110
EM57	soc.culture.iraq_20050211.0445-E46-111
EM2	soc.culture.iraq_20050211.0445-E47-112
EM3	soc.culture.iraq_20050211.0445-E41-113
EM5	soc.culture.iraq_20050211.0445-E41-114
EM6	soc.culture.iraq_20050211.0445-E48-115
EM92	soc.culture.iraq_20050211.0445-E51-116
EM7	soc.culture.iraq_20050211.0445-E48-117
EM8	soc.culture.iraq_20050211.0445-E49-118
EM9	soc.culture.iraq_20050211.0445-E50-119
EM10	soc.culture.iraq_20050211.0445-E41-120
EM12	soc.culture.iraq_20050211.0445-E41-121
EM13	soc.culture.iraq_20050211.0445-E51-122
EM14	soc.culture.iraq_20050211.0445-E53-123
EM15	soc.culture.iraq_20050211.0445-E54-124
EM16	soc.culture.iraq_20050211.0445-E51-125
EM17	soc.culture.iraq_20050211.0445-E51-126
EM18	soc.culture.iraq_20050211.0445-E55-127
EM19	soc.culture.iraq_20050211.0445-E41-128
R3	soc.culture.iraq_20050211.0445-R1
R4	soc.culture.iraq_20050211.0445-R2
R6	soc.culture.iraq_20050211.0445-R3
R1	soc.culture.iraq_20050211.0445-R4
R2	soc.culture.iraq_20050211.0445-R5
R11	soc.culture.iraq_20050211.0445-R6
R5	soc.culture.iraq_20050211.0445-R7
R7	soc.culture.iraq_20050211.0445-R8
R8	soc.culture.iraq_20050211.0445-R9
R9	soc.culture.iraq_20050211.0445-R10
R10	soc.culture.iraq_20050211.0445-R11
RM3	soc.culture.iraq_20050211.0445-R1-1
RM4	soc.culture.iraq_20050211.0445-R2-1
RM6	soc.culture.iraq_20050211.0445-R3-1
RM11	soc.culture.iraq_20050211.0445-R6-1
RM1	soc.culture.iraq_20050211.0445-R1-2
RM2	soc.culture.iraq_20050211.0445-R5-1
RM5	soc.culture.iraq_20050211.0445-R7-1
RM7	soc.culture.iraq_20050211.0445-R8-1
RM8	soc.culture.iraq_20050211.0445-R9-1
RM9	soc.culture.iraq_20050211.0445-R10-1
RM10	soc.culture.iraq_20050211.0445-R11-1
V5	soc.culture.iraq_20050211.0445-EV1
V1	soc.culture.iraq_20050211.0445-EV2
V2	soc.culture.iraq_20050211.0445-EV3
V11	soc.culture.iraq_20050211.0445-EV4
V3	soc.culture.iraq_20050211.0445-EV5
V4	soc.culture.iraq_20050211.0445-EV6
V6	soc.culture.iraq_20050211.0445-EV7
V7	soc.culture.iraq_20050211.0445-EV8
V12	soc.culture.iraq_20050211.0445-EV9
V8	soc.culture.iraq_20050211.0445-EV10
V9	soc.culture.iraq_20050211.0445-EV11
V10	soc.culture.iraq_20050211.0445-EV12
V13	soc.culture.iraq_20050211.0445-EV13
V14	soc.culture.iraq_20050211.0445-EV14
VM8	soc.culture.iraq_20050211.0445-EV1-1
VM20	soc.culture.iraq_20050211.0445-EV4-1
VM1	soc.culture.iraq_20050211.0445-EV2-1
VM2	soc.culture.iraq_20050211.0445-EV3-1
VM9	soc.culture.iraq_20050211.0445-EV7-1
VM4	soc.culture.iraq_20050211.0445-EV3-2
VM5	soc.culture.iraq_20050211.0445-EV3-3
VM6	soc.culture.iraq_20050211.0445-EV5-1
VM7	soc.culture.iraq_20050211.0445-EV6-1
VM10	soc.culture.iraq_20050211.0445-EV7-2
VM11	soc.culture.iraq_20050211.0445-EV3-4
VM23	soc.culture.iraq_20050211.0445-EV2-2
VM21	soc.culture.iraq_20050211.0445-EV9-1
VM22	soc.culture.iraq_20050211.0445-EV9-2
VM14	soc.culture.iraq_20050211.0445-EV8-1
VM12	soc.culture.iraq_20050211.0445-EV8-2
VM13	soc.culture.iraq_20050211.0445-EV10-1
VM15	soc.culture.iraq_20050211.0445-EV11-1
VM16	soc.culture.iraq_20050211.0445-EV12-1
VM17	soc.culture.iraq_20050211.0445-EV3-5
VM18	soc.culture.iraq_20050211.0445-EV3-6
VM19	soc.culture.iraq_20050211.0445-EV3-7
VM26	soc.culture.iraq_20050211.0445-EV2-3
VM27	soc.culture.iraq_20050211.0445-EV2-4
VM24	soc.culture.iraq_20050211.0445-EV13-1
VM25	soc.culture.iraq_20050211.0445-EV14-1
VM3	soc.culture.iraq_20050211.0445-EV3-8
Q8	soc.culture.iraq_20050211.0445-T1
Q11	soc.culture.iraq_20050211.0445-T2
Q12	soc.culture.iraq_20050211.0445-T3
Q13	soc.culture.iraq_20050211.0445-T4
Q1	soc.culture.iraq_20050211.0445-T5
Q2	soc.culture.iraq_20050211.0445-T6
Q3	soc.culture.iraq_20050211.0445-T7
Q4	soc.culture.iraq_20050211.0445-T8
Q5	soc.culture.iraq_20050211.0445-T9
Q9	soc.culture.iraq_20050211.0445-T10
Q10	soc.culture.iraq_20050211.0445-T11
Q14	soc.culture.iraq_20050211.0445-T12
Q6	soc.culture.iraq_20050211.0445-V1
Q7	soc.culture.iraq_20050211.0445-V2
Q15	soc.culture.iraq_20050211.0445-V3
QM6	soc.culture.iraq_20050211.0445-V1-1
QM7	soc.culture.iraq_20050211.0445-V2-1
QM15	soc.culture.iraq_20050211.0445-V3-1
