CE19	alt.politics_20050124.0640-CE1
E59	alt.politics_20050124.0640-E40
E60	alt.politics_20050124.0640-E41
E61	alt.politics_20050124.0640-E42
E68	alt.politics_20050124.0640-E43
E69	alt.politics_20050124.0640-E44
E2	alt.politics_20050124.0640-E45
E3	alt.politics_20050124.0640-E46
E5	alt.politics_20050124.0640-E47
E7	alt.politics_20050124.0640-E48
E8	alt.politics_20050124.0640-E49
E9	alt.politics_20050124.0640-E50
E10	alt.politics_20050124.0640-E51
E11	alt.politics_20050124.0640-E52
E12	alt.politics_20050124.0640-E53
E13	alt.politics_20050124.0640-E54
E14	alt.politics_20050124.0640-E55
E15	alt.politics_20050124.0640-E56
EM1	alt.politics_20050124.0640-E28-1
EM19	alt.politics_20050124.0640-E1-2
EM20	alt.politics_20050124.0640-E2-3
EM21	alt.politics_20050124.0640-E3-4
EM22	alt.politics_20050124.0640-E4-5
EM24	alt.politics_20050124.0640-E4-6
EM77	alt.politics_20050124.0640-E18-7
EM27	alt.politics_20050124.0640-E52-8
EM28	alt.politics_20050124.0640-E5-9
EM29	alt.politics_20050124.0640-E6-10
EM30	alt.politics_20050124.0640-E7-11
EM32	alt.politics_20050124.0640-E8-12
EM33	alt.politics_20050124.0640-E9-13
EM4	alt.politics_20050124.0640-E10-14
EM31	alt.politics_20050124.0640-E11-15
EM34	alt.politics_20050124.0640-E12-16
EM35	alt.politics_20050124.0640-E13-17
EM36	alt.politics_20050124.0640-E14-18
EM17	alt.politics_20050124.0640-E17-19
EM37	alt.politics_20050124.0640-E15-20
EM38	alt.politics_20050124.0640-E16-21
EM39	alt.politics_20050124.0640-E19-22
EM40	alt.politics_20050124.0640-E20-23
EM41	alt.politics_20050124.0640-E21-24
EM42	alt.politics_20050124.0640-E22-25
EM43	alt.politics_20050124.0640-E52-26
EM44	alt.politics_20050124.0640-E6-27
EM45	alt.politics_20050124.0640-E6-28
EM46	alt.politics_20050124.0640-E23-29
EM47	alt.politics_20050124.0640-E24-30
EM49	alt.politics_20050124.0640-E25-31
EM50	alt.politics_20050124.0640-E26-32
EM51	alt.politics_20050124.0640-E27-33
EM78	alt.politics_20050124.0640-E46-34
EM52	alt.politics_20050124.0640-E26-35
EM79	alt.politics_20050124.0640-E36-36
EM54	alt.politics_20050124.0640-E20-37
EM55	alt.politics_20050124.0640-E29-38
EM56	alt.politics_20050124.0640-E30-39
EM57	alt.politics_20050124.0640-E31-40
EM58	alt.politics_20050124.0640-E32-41
EM59	alt.politics_20050124.0640-E29-42
EM60	alt.politics_20050124.0640-E33-43
EM61	alt.politics_20050124.0640-E33-44
EM62	alt.politics_20050124.0640-E34-45
EM63	alt.politics_20050124.0640-E35-46
EM64	alt.politics_20050124.0640-E51-47
EM65	alt.politics_20050124.0640-E37-48
EM66	alt.politics_20050124.0640-E35-49
EM67	alt.politics_20050124.0640-E38-50
EM68	alt.politics_20050124.0640-E39-51
EM69	alt.politics_20050124.0640-E40-52
EM70	alt.politics_20050124.0640-E41-53
EM71	alt.politics_20050124.0640-E42-54
EM73	alt.politics_20050124.0640-E24-55
EM75	alt.politics_20050124.0640-E24-56
EM2	alt.politics_20050124.0640-E45-57
EM25	alt.politics_20050124.0640-E17-58
EM23	alt.politics_20050124.0640-E17-59
EM26	alt.politics_20050124.0640-E17-60
EM72	alt.politics_20050124.0640-E35-61
EM74	alt.politics_20050124.0640-E35-62
EM53	alt.politics_20050124.0640-E48-63
EM3	alt.politics_20050124.0640-E43-64
EM48	alt.politics_20050124.0640-E6-65
EM6	alt.politics_20050124.0640-E44-66
EM7	alt.politics_20050124.0640-E46-67
EM9	alt.politics_20050124.0640-E47-68
EM76	alt.politics_20050124.0640-E45-69
EM8	alt.politics_20050124.0640-E49-70
EM5	alt.politics_20050124.0640-E50-71
EM10	alt.politics_20050124.0640-E52-72
EM11	alt.politics_20050124.0640-E50-73
EM12	alt.politics_20050124.0640-E48-74
EM13	alt.politics_20050124.0640-E53-75
EM14	alt.politics_20050124.0640-E54-76
EM15	alt.politics_20050124.0640-E55-77
EM16	alt.politics_20050124.0640-E52-78
EM18	alt.politics_20050124.0640-E56-79
R1	alt.politics_20050124.0640-R1
R2	alt.politics_20050124.0640-R2
R3	alt.politics_20050124.0640-R3
R4	alt.politics_20050124.0640-R4
R5	alt.politics_20050124.0640-R5
R6	alt.politics_20050124.0640-R6
R7	alt.politics_20050124.0640-R7
R8	alt.politics_20050124.0640-R8
R9	alt.politics_20050124.0640-R9
R10	alt.politics_20050124.0640-R10
R11	alt.politics_20050124.0640-R11
R12	alt.politics_20050124.0640-R12
R13	alt.politics_20050124.0640-R13
R15	alt.politics_20050124.0640-R14
R14	alt.politics_20050124.0640-R15
R16	alt.politics_20050124.0640-R16
RM1	alt.politics_20050124.0640-R1-1
RM2	alt.politics_20050124.0640-R2-1
RM3	alt.politics_20050124.0640-R3-1
RM4	alt.politics_20050124.0640-R4-1
RM5	alt.politics_20050124.0640-R5-1
RM6	alt.politics_20050124.0640-R6-1
RM7	alt.politics_20050124.0640-R7-1
RM8	alt.politics_20050124.0640-R8-1
RM9	alt.politics_20050124.0640-R9-1
RM10	alt.politics_20050124.0640-R10-1
RM11	alt.politics_20050124.0640-R11-1
RM12	alt.politics_20050124.0640-R12-1
RM13	alt.politics_20050124.0640-R13-1
RM15	alt.politics_20050124.0640-R14-1
RM14	alt.politics_20050124.0640-R15-1
RM16	alt.politics_20050124.0640-R16-1
Q5	alt.politics_20050124.0640-T1
Q1	alt.politics_20050124.0640-T2
Q2	alt.politics_20050124.0640-T3
Q3	alt.politics_20050124.0640-T4
Q4	alt.politics_20050124.0640-T5
