CE9	alt.politics.economics_20041206.1835-CE1
E36	alt.politics.economics_20041206.1835-E25
E37	alt.politics.economics_20041206.1835-E26
E45	alt.politics.economics_20041206.1835-E27
E46	alt.politics.economics_20041206.1835-E28
E47	alt.politics.economics_20041206.1835-E29
E2	alt.politics.economics_20041206.1835-E30
E39	alt.politics.economics_20041206.1835-E31
E3	alt.politics.economics_20041206.1835-E32
E40	alt.politics.economics_20041206.1835-E33
E4	alt.politics.economics_20041206.1835-E34
E6	alt.politics.economics_20041206.1835-E35
E7	alt.politics.economics_20041206.1835-E36
E9	alt.politics.economics_20041206.1835-E37
EM17	alt.politics.economics_20041206.1835-E1-1
EM18	alt.politics.economics_20041206.1835-E2-2
EM19	alt.politics.economics_20041206.1835-E3-3
EM20	alt.politics.economics_20041206.1835-E4-4
EM21	alt.politics.economics_20041206.1835-E5-5
EM22	alt.politics.economics_20041206.1835-E30-6
EM23	alt.politics.economics_20041206.1835-E23-7
EM24	alt.politics.economics_20041206.1835-E23-8
EM25	alt.politics.economics_20041206.1835-E23-9
EM26	alt.politics.economics_20041206.1835-E6-10
EM27	alt.politics.economics_20041206.1835-E7-11
EM28	alt.politics.economics_20041206.1835-E8-12
EM67	alt.politics.economics_20041206.1835-E32-13
EM29	alt.politics.economics_20041206.1835-E9-14
EM33	alt.politics.economics_20041206.1835-E13-15
EM30	alt.politics.economics_20041206.1835-E10-16
EM31	alt.politics.economics_20041206.1835-E11-17
EM54	alt.politics.economics_20041206.1835-E31-18
EM32	alt.politics.economics_20041206.1835-E10-19
EM56	alt.politics.economics_20041206.1835-E12-20
EM51	alt.politics.economics_20041206.1835-E22-21
EM34	alt.politics.economics_20041206.1835-E23-22
EM35	alt.politics.economics_20041206.1835-E13-23
EM36	alt.politics.economics_20041206.1835-E23-24
EM37	alt.politics.economics_20041206.1835-E36-25
EM38	alt.politics.economics_20041206.1835-E14-26
EM39	alt.politics.economics_20041206.1835-E30-27
EM40	alt.politics.economics_20041206.1835-E13-28
EM41	alt.politics.economics_20041206.1835-E15-29
EM42	alt.politics.economics_20041206.1835-E16-30
EM43	alt.politics.economics_20041206.1835-E16-31
EM44	alt.politics.economics_20041206.1835-E23-32
EM45	alt.politics.economics_20041206.1835-E17-33
EM46	alt.politics.economics_20041206.1835-E18-34
EM47	alt.politics.economics_20041206.1835-E19-35
EM48	alt.politics.economics_20041206.1835-E20-36
EM49	alt.politics.economics_20041206.1835-E23-37
EM50	alt.politics.economics_20041206.1835-E21-38
EM68	alt.politics.economics_20041206.1835-E15-39
EM53	alt.politics.economics_20041206.1835-E24-40
EM57	alt.politics.economics_20041206.1835-E16-41
EM58	alt.politics.economics_20041206.1835-E15-42
EM59	alt.politics.economics_20041206.1835-E15-43
EM60	alt.politics.economics_20041206.1835-E25-44
EM61	alt.politics.economics_20041206.1835-E23-45
EM62	alt.politics.economics_20041206.1835-E13-46
EM63	alt.politics.economics_20041206.1835-E26-47
EM69	alt.politics.economics_20041206.1835-E27-48
EM70	alt.politics.economics_20041206.1835-E15-49
EM71	alt.politics.economics_20041206.1835-E15-50
EM72	alt.politics.economics_20041206.1835-E28-51
EM73	alt.politics.economics_20041206.1835-E30-52
EM74	alt.politics.economics_20041206.1835-E32-53
EM75	alt.politics.economics_20041206.1835-E32-54
EM76	alt.politics.economics_20041206.1835-E30-55
EM77	alt.politics.economics_20041206.1835-E23-56
EM78	alt.politics.economics_20041206.1835-E29-57
EM65	alt.politics.economics_20041206.1835-E23-58
EM55	alt.politics.economics_20041206.1835-E31-59
EM64	alt.politics.economics_20041206.1835-E33-60
EM1	alt.politics.economics_20041206.1835-E34-61
EM2	alt.politics.economics_20041206.1835-E35-62
EM3	alt.politics.economics_20041206.1835-E34-63
EM4	alt.politics.economics_20041206.1835-E32-64
EM52	alt.politics.economics_20041206.1835-E23-65
EM5	alt.politics.economics_20041206.1835-E34-66
EM6	alt.politics.economics_20041206.1835-E32-67
EM7	alt.politics.economics_20041206.1835-E30-68
EM8	alt.politics.economics_20041206.1835-E32-69
EM9	alt.politics.economics_20041206.1835-E32-70
EM10	alt.politics.economics_20041206.1835-E32-71
EM11	alt.politics.economics_20041206.1835-E23-72
EM12	alt.politics.economics_20041206.1835-E36-73
EM13	alt.politics.economics_20041206.1835-E37-74
EM66	alt.politics.economics_20041206.1835-E32-75
EM14	alt.politics.economics_20041206.1835-E30-76
EM15	alt.politics.economics_20041206.1835-E32-77
EM16	alt.politics.economics_20041206.1835-E23-78
R1	alt.politics.economics_20041206.1835-R1
R2	alt.politics.economics_20041206.1835-R2
R5	alt.politics.economics_20041206.1835-R3
R6	alt.politics.economics_20041206.1835-R4
R3	alt.politics.economics_20041206.1835-R5
R4	alt.politics.economics_20041206.1835-R6
R7	alt.politics.economics_20041206.1835-R7
R8	alt.politics.economics_20041206.1835-R8
R9	alt.politics.economics_20041206.1835-R9
RM1	alt.politics.economics_20041206.1835-R1-1
RM2	alt.politics.economics_20041206.1835-R2-1
RM5	alt.politics.economics_20041206.1835-R3-1
RM6	alt.politics.economics_20041206.1835-R4-1
RM3	alt.politics.economics_20041206.1835-R5-1
RM4	alt.politics.economics_20041206.1835-R6-1
RM7	alt.politics.economics_20041206.1835-R7-1
RM8	alt.politics.economics_20041206.1835-R8-1
RM9	alt.politics.economics_20041206.1835-R2-2
V1	alt.politics.economics_20041206.1835-EV1
V2	alt.politics.economics_20041206.1835-EV2
VM1	alt.politics.economics_20041206.1835-EV1-1
VM2	alt.politics.economics_20041206.1835-EV2-1
Q1	alt.politics.economics_20041206.1835-T1
Q2	alt.politics.economics_20041206.1835-T2
Q4	alt.politics.economics_20041206.1835-T3
Q3	alt.politics.economics_20041206.1835-T4
