CE59	rec.sport.disc_20050209.2202-CE1
E46	rec.sport.disc_20050209.2202-E32
E47	rec.sport.disc_20050209.2202-E33
E49	rec.sport.disc_20050209.2202-E34
E50	rec.sport.disc_20050209.2202-E35
E51	rec.sport.disc_20050209.2202-E36
E52	rec.sport.disc_20050209.2202-E37
E54	rec.sport.disc_20050209.2202-E38
E94	rec.sport.disc_20050209.2202-E39
E56	rec.sport.disc_20050209.2202-E40
E57	rec.sport.disc_20050209.2202-E41
E58	rec.sport.disc_20050209.2202-E42
E59	rec.sport.disc_20050209.2202-E43
E60	rec.sport.disc_20050209.2202-E44
E62	rec.sport.disc_20050209.2202-E45
E63	rec.sport.disc_20050209.2202-E46
E64	rec.sport.disc_20050209.2202-E47
E65	rec.sport.disc_20050209.2202-E48
E67	rec.sport.disc_20050209.2202-E49
E96	rec.sport.disc_20050209.2202-E50
E69	rec.sport.disc_20050209.2202-E51
E70	rec.sport.disc_20050209.2202-E52
E71	rec.sport.disc_20050209.2202-E53
E72	rec.sport.disc_20050209.2202-E54
E73	rec.sport.disc_20050209.2202-E55
E3	rec.sport.disc_20050209.2202-E56
E75	rec.sport.disc_20050209.2202-E57
E76	rec.sport.disc_20050209.2202-E58
E77	rec.sport.disc_20050209.2202-E59
E78	rec.sport.disc_20050209.2202-E60
E88	rec.sport.disc_20050209.2202-E61
E89	rec.sport.disc_20050209.2202-E62
E90	rec.sport.disc_20050209.2202-E63
E97	rec.sport.disc_20050209.2202-E64
E98	rec.sport.disc_20050209.2202-E65
E4	rec.sport.disc_20050209.2202-E66
E5	rec.sport.disc_20050209.2202-E67
E6	rec.sport.disc_20050209.2202-E68
E7	rec.sport.disc_20050209.2202-E69
E8	rec.sport.disc_20050209.2202-E70
E9	rec.sport.disc_20050209.2202-E71
E10	rec.sport.disc_20050209.2202-E72
E34	rec.sport.disc_20050209.2202-E73
E13	rec.sport.disc_20050209.2202-E74
E15	rec.sport.disc_20050209.2202-E75
EM16	rec.sport.disc_20050209.2202-E22-1
EM15	rec.sport.disc_20050209.2202-E68-2
EM179	rec.sport.disc_20050209.2202-E1-3
EM181	rec.sport.disc_20050209.2202-E17-4
EM10	rec.sport.disc_20050209.2202-E2-5
EM17	rec.sport.disc_20050209.2202-E72-6
EM18	rec.sport.disc_20050209.2202-E71-7
EM19	rec.sport.disc_20050209.2202-E72-8
EM20	rec.sport.disc_20050209.2202-E3-9
EM21	rec.sport.disc_20050209.2202-E4-10
EM22	rec.sport.disc_20050209.2202-E5-11
EM23	rec.sport.disc_20050209.2202-E72-12
EM25	rec.sport.disc_20050209.2202-E6-13
EM26	rec.sport.disc_20050209.2202-E7-14
EM27	rec.sport.disc_20050209.2202-E72-15
EM28	rec.sport.disc_20050209.2202-E8-16
EM30	rec.sport.disc_20050209.2202-E72-17
EM31	rec.sport.disc_20050209.2202-E72-18
EM32	rec.sport.disc_20050209.2202-E9-19
EM33	rec.sport.disc_20050209.2202-E72-20
EM29	rec.sport.disc_20050209.2202-E10-21
EM34	rec.sport.disc_20050209.2202-E72-22
EM35	rec.sport.disc_20050209.2202-E72-23
EM36	rec.sport.disc_20050209.2202-E72-24
EM37	rec.sport.disc_20050209.2202-E11-25
EM38	rec.sport.disc_20050209.2202-E72-26
EM39	rec.sport.disc_20050209.2202-E12-27
EM40	rec.sport.disc_20050209.2202-E13-28
EM41	rec.sport.disc_20050209.2202-E71-29
EM42	rec.sport.disc_20050209.2202-E14-30
EM43	rec.sport.disc_20050209.2202-E15-31
EM184	rec.sport.disc_20050209.2202-E21-32
EM45	rec.sport.disc_20050209.2202-E16-33
EM55	rec.sport.disc_20050209.2202-E68-34
EM180	rec.sport.disc_20050209.2202-E1-35
EM190	rec.sport.disc_20050209.2202-E68-36
EM47	rec.sport.disc_20050209.2202-E18-37
EM49	rec.sport.disc_20050209.2202-E68-38
EM50	rec.sport.disc_20050209.2202-E19-39
EM51	rec.sport.disc_20050209.2202-E56-40
EM52	rec.sport.disc_20050209.2202-E68-41
EM56	rec.sport.disc_20050209.2202-E71-42
EM57	rec.sport.disc_20050209.2202-E20-43
EM58	rec.sport.disc_20050209.2202-E56-44
EM185	rec.sport.disc_20050209.2202-E23-45
EM44	rec.sport.disc_20050209.2202-E15-46
EM59	rec.sport.disc_20050209.2202-E72-47
EM60	rec.sport.disc_20050209.2202-E72-48
EM61	rec.sport.disc_20050209.2202-E24-49
EM62	rec.sport.disc_20050209.2202-E25-50
EM63	rec.sport.disc_20050209.2202-E26-51
EM64	rec.sport.disc_20050209.2202-E24-52
EM65	rec.sport.disc_20050209.2202-E27-53
EM66	rec.sport.disc_20050209.2202-E28-54
EM67	rec.sport.disc_20050209.2202-E24-55
EM68	rec.sport.disc_20050209.2202-E24-56
EM69	rec.sport.disc_20050209.2202-E24-57
EM70	rec.sport.disc_20050209.2202-E24-58
EM182	rec.sport.disc_20050209.2202-E1-59
EM71	rec.sport.disc_20050209.2202-E39-60
EM72	rec.sport.disc_20050209.2202-E26-61
EM73	rec.sport.disc_20050209.2202-E29-62
EM74	rec.sport.disc_20050209.2202-E30-63
EM75	rec.sport.disc_20050209.2202-E31-64
EM186	rec.sport.disc_20050209.2202-E1-65
EM77	rec.sport.disc_20050209.2202-E32-66
EM78	rec.sport.disc_20050209.2202-E56-67
EM79	rec.sport.disc_20050209.2202-E68-68
EM80	rec.sport.disc_20050209.2202-E71-69
EM81	rec.sport.disc_20050209.2202-E72-70
EM82	rec.sport.disc_20050209.2202-E72-71
EM83	rec.sport.disc_20050209.2202-E72-72
EM84	rec.sport.disc_20050209.2202-E72-73
EM85	rec.sport.disc_20050209.2202-E33-74
EM86	rec.sport.disc_20050209.2202-E68-75
EM87	rec.sport.disc_20050209.2202-E72-76
EM187	rec.sport.disc_20050209.2202-E48-77
EM188	rec.sport.disc_20050209.2202-E68-78
EM191	rec.sport.disc_20050209.2202-E68-79
EM88	rec.sport.disc_20050209.2202-E34-80
EM90	rec.sport.disc_20050209.2202-E68-81
EM91	rec.sport.disc_20050209.2202-E35-82
EM92	rec.sport.disc_20050209.2202-E56-83
EM93	rec.sport.disc_20050209.2202-E36-84
EM94	rec.sport.disc_20050209.2202-E37-85
EM95	rec.sport.disc_20050209.2202-E38-86
EM96	rec.sport.disc_20050209.2202-E40-87
EM97	rec.sport.disc_20050209.2202-E73-88
EM98	rec.sport.disc_20050209.2202-E41-89
EM99	rec.sport.disc_20050209.2202-E26-90
EM100	rec.sport.disc_20050209.2202-E29-91
EM101	rec.sport.disc_20050209.2202-E36-92
EM102	rec.sport.disc_20050209.2202-E41-93
EM103	rec.sport.disc_20050209.2202-E41-94
EM104	rec.sport.disc_20050209.2202-E41-95
EM105	rec.sport.disc_20050209.2202-E41-96
EM106	rec.sport.disc_20050209.2202-E42-97
EM107	rec.sport.disc_20050209.2202-E41-98
EM109	rec.sport.disc_20050209.2202-E43-99
EM110	rec.sport.disc_20050209.2202-E41-100
EM111	rec.sport.disc_20050209.2202-E44-101
EM113	rec.sport.disc_20050209.2202-E45-102
EM189	rec.sport.disc_20050209.2202-E48-103
EM114	rec.sport.disc_20050209.2202-E41-104
EM115	rec.sport.disc_20050209.2202-E41-105
EM117	rec.sport.disc_20050209.2202-E41-106
EM112	rec.sport.disc_20050209.2202-E36-107
EM120	rec.sport.disc_20050209.2202-E47-108
EM54	rec.sport.disc_20050209.2202-E14-109
EM121	rec.sport.disc_20050209.2202-E25-110
EM123	rec.sport.disc_20050209.2202-E46-111
EM124	rec.sport.disc_20050209.2202-E48-112
EM76	rec.sport.disc_20050209.2202-E50-113
EM129	rec.sport.disc_20050209.2202-E41-114
EM130	rec.sport.disc_20050209.2202-E41-115
EM131	rec.sport.disc_20050209.2202-E49-116
EM132	rec.sport.disc_20050209.2202-E41-117
EM134	rec.sport.disc_20050209.2202-E48-118
EM135	rec.sport.disc_20050209.2202-E41-119
EM136	rec.sport.disc_20050209.2202-E36-120
EM138	rec.sport.disc_20050209.2202-E51-121
EM139	rec.sport.disc_20050209.2202-E41-122
EM140	rec.sport.disc_20050209.2202-E52-123
EM141	rec.sport.disc_20050209.2202-E72-124
EM142	rec.sport.disc_20050209.2202-E72-125
EM143	rec.sport.disc_20050209.2202-E53-126
EM144	rec.sport.disc_20050209.2202-E72-127
EM145	rec.sport.disc_20050209.2202-E54-128
EM146	rec.sport.disc_20050209.2202-E71-129
EM147	rec.sport.disc_20050209.2202-E72-130
EM148	rec.sport.disc_20050209.2202-E54-131
EM149	rec.sport.disc_20050209.2202-E36-132
EM150	rec.sport.disc_20050209.2202-E41-133
EM151	rec.sport.disc_20050209.2202-E41-134
EM152	rec.sport.disc_20050209.2202-E41-135
EM153	rec.sport.disc_20050209.2202-E41-136
EM154	rec.sport.disc_20050209.2202-E55-137
EM155	rec.sport.disc_20050209.2202-E41-138
EM156	rec.sport.disc_20050209.2202-E72-139
EM157	rec.sport.disc_20050209.2202-E54-140
EM158	rec.sport.disc_20050209.2202-E72-141
EM159	rec.sport.disc_20050209.2202-E72-142
EM162	rec.sport.disc_20050209.2202-E72-143
EM163	rec.sport.disc_20050209.2202-E72-144
EM160	rec.sport.disc_20050209.2202-E5-145
EM161	rec.sport.disc_20050209.2202-E72-146
EM116	rec.sport.disc_20050209.2202-E36-147
EM164	rec.sport.disc_20050209.2202-E72-148
EM165	rec.sport.disc_20050209.2202-E71-149
EM166	rec.sport.disc_20050209.2202-E72-150
EM167	rec.sport.disc_20050209.2202-E72-151
EM168	rec.sport.disc_20050209.2202-E57-152
EM169	rec.sport.disc_20050209.2202-E72-153
EM170	rec.sport.disc_20050209.2202-E41-154
EM171	rec.sport.disc_20050209.2202-E58-155
EM172	rec.sport.disc_20050209.2202-E36-156
EM173	rec.sport.disc_20050209.2202-E59-157
EM174	rec.sport.disc_20050209.2202-E41-158
EM175	rec.sport.disc_20050209.2202-E41-159
EM176	rec.sport.disc_20050209.2202-E60-160
EM177	rec.sport.disc_20050209.2202-E36-161
EM178	rec.sport.disc_20050209.2202-E41-162
EM183	rec.sport.disc_20050209.2202-E72-163
EM24	rec.sport.disc_20050209.2202-E72-164
EM192	rec.sport.disc_20050209.2202-E48-165
EM108	rec.sport.disc_20050209.2202-E41-166
EM193	rec.sport.disc_20050209.2202-E26-167
EM118	rec.sport.disc_20050209.2202-E61-168
EM1	rec.sport.disc_20050209.2202-E66-169
EM133	rec.sport.disc_20050209.2202-E62-170
EM137	rec.sport.disc_20050209.2202-E63-171
EM125	rec.sport.disc_20050209.2202-E64-172
EM126	rec.sport.disc_20050209.2202-E65-173
EM127	rec.sport.disc_20050209.2202-E65-174
EM128	rec.sport.disc_20050209.2202-E65-175
EM119	rec.sport.disc_20050209.2202-E46-176
EM122	rec.sport.disc_20050209.2202-E46-177
EM46	rec.sport.disc_20050209.2202-E14-178
EM53	rec.sport.disc_20050209.2202-E14-179
EM2	rec.sport.disc_20050209.2202-E56-180
EM3	rec.sport.disc_20050209.2202-E67-181
EM4	rec.sport.disc_20050209.2202-E68-182
EM5	rec.sport.disc_20050209.2202-E69-183
EM6	rec.sport.disc_20050209.2202-E56-184
EM7	rec.sport.disc_20050209.2202-E70-185
EM8	rec.sport.disc_20050209.2202-E71-186
EM9	rec.sport.disc_20050209.2202-E72-187
EM48	rec.sport.disc_20050209.2202-E14-188
EM11	rec.sport.disc_20050209.2202-E74-189
EM89	rec.sport.disc_20050209.2202-E73-190
EM12	rec.sport.disc_20050209.2202-E74-191
EM13	rec.sport.disc_20050209.2202-E75-192
EM14	rec.sport.disc_20050209.2202-E72-193
R26	rec.sport.disc_20050209.2202-R1
R10	rec.sport.disc_20050209.2202-R2
R11	rec.sport.disc_20050209.2202-R3
R1	rec.sport.disc_20050209.2202-R4
R16	rec.sport.disc_20050209.2202-R5
R22	rec.sport.disc_20050209.2202-R6
R2	rec.sport.disc_20050209.2202-R7
R3	rec.sport.disc_20050209.2202-R8
R4	rec.sport.disc_20050209.2202-R9
R6	rec.sport.disc_20050209.2202-R10
R8	rec.sport.disc_20050209.2202-R11
R9	rec.sport.disc_20050209.2202-R12
R7	rec.sport.disc_20050209.2202-R13
R12	rec.sport.disc_20050209.2202-R14
R13	rec.sport.disc_20050209.2202-R15
R14	rec.sport.disc_20050209.2202-R16
R23	rec.sport.disc_20050209.2202-R17
R15	rec.sport.disc_20050209.2202-R18
R17	rec.sport.disc_20050209.2202-R19
R18	rec.sport.disc_20050209.2202-R20
R19	rec.sport.disc_20050209.2202-R21
R27	rec.sport.disc_20050209.2202-R22
R21	rec.sport.disc_20050209.2202-R23
R20	rec.sport.disc_20050209.2202-R24
R24	rec.sport.disc_20050209.2202-R25
R25	rec.sport.disc_20050209.2202-R26
R28	rec.sport.disc_20050209.2202-R27
RM25	rec.sport.disc_20050209.2202-R1-1
RM9	rec.sport.disc_20050209.2202-R2-1
RM10	rec.sport.disc_20050209.2202-R3-1
RM15	rec.sport.disc_20050209.2202-R5-1
RM21	rec.sport.disc_20050209.2202-R6-1
RM22	rec.sport.disc_20050209.2202-R17-1
RM1	rec.sport.disc_20050209.2202-R7-1
RM2	rec.sport.disc_20050209.2202-R8-1
RM3	rec.sport.disc_20050209.2202-R9-1
RM5	rec.sport.disc_20050209.2202-R10-1
RM7	rec.sport.disc_20050209.2202-R11-1
RM8	rec.sport.disc_20050209.2202-R12-1
RM6	rec.sport.disc_20050209.2202-R13-1
RM11	rec.sport.disc_20050209.2202-R14-1
RM12	rec.sport.disc_20050209.2202-R15-1
RM13	rec.sport.disc_20050209.2202-R16-1
RM14	rec.sport.disc_20050209.2202-R18-1
RM16	rec.sport.disc_20050209.2202-R19-1
RM17	rec.sport.disc_20050209.2202-R20-1
RM18	rec.sport.disc_20050209.2202-R21-1
RM26	rec.sport.disc_20050209.2202-R12-2
RM19	rec.sport.disc_20050209.2202-R24-1
RM20	rec.sport.disc_20050209.2202-R23-1
RM23	rec.sport.disc_20050209.2202-R25-1
RM24	rec.sport.disc_20050209.2202-R26-1
RM27	rec.sport.disc_20050209.2202-R27-1
V4	rec.sport.disc_20050209.2202-EV1
V1	rec.sport.disc_20050209.2202-EV2
V2	rec.sport.disc_20050209.2202-EV3
V3	rec.sport.disc_20050209.2202-EV4
VM4	rec.sport.disc_20050209.2202-EV1-1
VM1	rec.sport.disc_20050209.2202-EV2-1
VM2	rec.sport.disc_20050209.2202-EV3-1
VM3	rec.sport.disc_20050209.2202-EV4-1
Q1	rec.sport.disc_20050209.2202-T1
Q2	rec.sport.disc_20050209.2202-V1
Q3	rec.sport.disc_20050209.2202-T2
Q22	rec.sport.disc_20050209.2202-T3
Q4	rec.sport.disc_20050209.2202-V2
Q5	rec.sport.disc_20050209.2202-V3
Q6	rec.sport.disc_20050209.2202-T4
Q7	rec.sport.disc_20050209.2202-V4
Q8	rec.sport.disc_20050209.2202-T5
Q9	rec.sport.disc_20050209.2202-T6
Q10	rec.sport.disc_20050209.2202-T7
Q11	rec.sport.disc_20050209.2202-V5
Q12	rec.sport.disc_20050209.2202-V6
Q13	rec.sport.disc_20050209.2202-T8
Q14	rec.sport.disc_20050209.2202-V7
Q15	rec.sport.disc_20050209.2202-T9
Q16	rec.sport.disc_20050209.2202-V8
Q17	rec.sport.disc_20050209.2202-V9
Q18	rec.sport.disc_20050209.2202-T10
Q19	rec.sport.disc_20050209.2202-T11
Q20	rec.sport.disc_20050209.2202-T12
Q23	rec.sport.disc_20050209.2202-T13
QM2	rec.sport.disc_20050209.2202-V1-1
QM4	rec.sport.disc_20050209.2202-V2-1
QM5	rec.sport.disc_20050209.2202-V3-1
QM7	rec.sport.disc_20050209.2202-V4-1
QM11	rec.sport.disc_20050209.2202-V5-1
QM12	rec.sport.disc_20050209.2202-V6-1
QM14	rec.sport.disc_20050209.2202-V7-1
QM16	rec.sport.disc_20050209.2202-V8-1
QM17	rec.sport.disc_20050209.2202-V9-1
