CE8	alt.gossip.celebrities_20041118.2331-CE1
EM4	alt.gossip.celebrities_20041118.2331-E17-93
EM8	alt.gossip.celebrities_20041118.2331-E17-94
EM51	alt.gossip.celebrities_20041118.2331-E40-95
EM30	alt.gossip.celebrities_20041118.2331-E42-96
EM32	alt.gossip.celebrities_20041118.2331-E42-97
EM40	alt.gossip.celebrities_20041118.2331-E42-98
EM50	alt.gossip.celebrities_20041118.2331-E42-99
EM17	alt.gossip.celebrities_20041118.2331-E42-100
EM77	alt.gossip.celebrities_20041118.2331-E20-101
EM94	alt.gossip.celebrities_20041118.2331-E17-102
EM5	alt.gossip.celebrities_20041118.2331-E41-103
EM6	alt.gossip.celebrities_20041118.2331-E42-104
EM7	alt.gossip.celebrities_20041118.2331-E17-105
EM95	alt.gossip.celebrities_20041118.2331-E17-106
EM9	alt.gossip.celebrities_20041118.2331-E41-107
EM10	alt.gossip.celebrities_20041118.2331-E42-108
EM96	alt.gossip.celebrities_20041118.2331-E17-109
EM97	alt.gossip.celebrities_20041118.2331-E17-110
EM98	alt.gossip.celebrities_20041118.2331-E17-111
EM11	alt.gossip.celebrities_20041118.2331-E42-112
EM99	alt.gossip.celebrities_20041118.2331-E17-113
EM12	alt.gossip.celebrities_20041118.2331-E41-114
EM13	alt.gossip.celebrities_20041118.2331-E43-115
EM14	alt.gossip.celebrities_20041118.2331-E42-116
EM15	alt.gossip.celebrities_20041118.2331-E41-117
EM100	alt.gossip.celebrities_20041118.2331-E17-118
EM43	alt.gossip.celebrities_20041118.2331-E44-119
EM101	alt.gossip.celebrities_20041118.2331-E17-120
EM19	alt.gossip.celebrities_20041118.2331-E42-121
EM21	alt.gossip.celebrities_20041118.2331-E42-122
EM22	alt.gossip.celebrities_20041118.2331-E17-123
R3	alt.gossip.celebrities_20041118.2331-R1
R4	alt.gossip.celebrities_20041118.2331-R2
R2	alt.gossip.celebrities_20041118.2331-R3
R5	alt.gossip.celebrities_20041118.2331-R4
R6	alt.gossip.celebrities_20041118.2331-R5
RM3	alt.gossip.celebrities_20041118.2331-R1-1
RM4	alt.gossip.celebrities_20041118.2331-R2-1
RM2	alt.gossip.celebrities_20041118.2331-R3-1
RM5	alt.gossip.celebrities_20041118.2331-R4-1
RM6	alt.gossip.celebrities_20041118.2331-R5-1
V1	alt.gossip.celebrities_20041118.2331-EV1
VM1	alt.gossip.celebrities_20041118.2331-EV1-1
Q1	alt.gossip.celebrities_20041118.2331-T1
Q2	alt.gossip.celebrities_20041118.2331-T2
Q3	alt.gossip.celebrities_20041118.2331-T3
Q5	alt.gossip.celebrities_20041118.2331-T4
Q6	alt.gossip.celebrities_20041118.2331-T5
Q7	alt.gossip.celebrities_20041118.2331-T6
Q8	alt.gossip.celebrities_20041118.2331-T7
Q9	alt.gossip.celebrities_20041118.2331-T8
Q10	alt.gossip.celebrities_20041118.2331-T9
Q11	alt.gossip.celebrities_20041118.2331-T10
Q12	alt.gossip.celebrities_20041118.2331-T11
Q13	alt.gossip.celebrities_20041118.2331-T12
Q16	alt.gossip.celebrities_20041118.2331-T13
Q17	alt.gossip.celebrities_20041118.2331-T14
Q4	alt.gossip.celebrities_20041118.2331-T15
Q14	alt.gossip.celebrities_20041118.2331-T16
Q15	alt.gossip.celebrities_20041118.2331-T17
