CE12	soc.culture.indian_20041104.2348-CE1
E94	soc.culture.indian_20041104.2348-E57
E95	soc.culture.indian_20041104.2348-E58
E3	soc.culture.indian_20041104.2348-E59
E78	soc.culture.indian_20041104.2348-E60
E86	soc.culture.indian_20041104.2348-E61
E87	soc.culture.indian_20041104.2348-E62
E4	soc.culture.indian_20041104.2348-E63
E5	soc.culture.indian_20041104.2348-E64
E8	soc.culture.indian_20041104.2348-E65
E9	soc.culture.indian_20041104.2348-E66
E10	soc.culture.indian_20041104.2348-E67
E12	soc.culture.indian_20041104.2348-E68
E13	soc.culture.indian_20041104.2348-E69
E14	soc.culture.indian_20041104.2348-E70
EM46	soc.culture.indian_20041104.2348-E21-1
EM48	soc.culture.indian_20041104.2348-E11-2
EM17	soc.culture.indian_20041104.2348-E2-3
EM18	soc.culture.indian_20041104.2348-E68-4
EM19	soc.culture.indian_20041104.2348-E59-5
EM20	soc.culture.indian_20041104.2348-E59-6
EM21	soc.culture.indian_20041104.2348-E65-7
EM22	soc.culture.indian_20041104.2348-E3-8
EM23	soc.culture.indian_20041104.2348-E4-9
EM24	soc.culture.indian_20041104.2348-E5-10
EM25	soc.culture.indian_20041104.2348-E65-11
EM26	soc.culture.indian_20041104.2348-E59-12
EM27	soc.culture.indian_20041104.2348-E65-13
EM28	soc.culture.indian_20041104.2348-E59-14
EM29	soc.culture.indian_20041104.2348-E59-15
EM30	soc.culture.indian_20041104.2348-E6-16
EM31	soc.culture.indian_20041104.2348-E7-17
EM32	soc.culture.indian_20041104.2348-E65-18
EM33	soc.culture.indian_20041104.2348-E8-19
EM34	soc.culture.indian_20041104.2348-E65-20
EM35	soc.culture.indian_20041104.2348-E63-21
EM36	soc.culture.indian_20041104.2348-E64-22
EM37	soc.culture.indian_20041104.2348-E59-23
EM38	soc.culture.indian_20041104.2348-E9-24
EM39	soc.culture.indian_20041104.2348-E10-25
EM41	soc.culture.indian_20041104.2348-E65-26
EM49	soc.culture.indian_20041104.2348-E12-27
EM43	soc.culture.indian_20041104.2348-E13-28
EM44	soc.culture.indian_20041104.2348-E14-29
EM45	soc.culture.indian_20041104.2348-E65-30
EM50	soc.culture.indian_20041104.2348-E65-31
EM51	soc.culture.indian_20041104.2348-E15-32
EM52	soc.culture.indian_20041104.2348-E16-33
EM53	soc.culture.indian_20041104.2348-E12-34
EM57	soc.culture.indian_20041104.2348-E18-35
EM56	soc.culture.indian_20041104.2348-E65-36
EM40	soc.culture.indian_20041104.2348-E27-37
EM58	soc.culture.indian_20041104.2348-E19-38
EM154	soc.culture.indian_20041104.2348-E65-39
EM61	soc.culture.indian_20041104.2348-E20-40
EM141	soc.culture.indian_20041104.2348-E37-41
EM62	soc.culture.indian_20041104.2348-E65-42
EM63	soc.culture.indian_20041104.2348-E22-43
EM64	soc.culture.indian_20041104.2348-E65-44
EM65	soc.culture.indian_20041104.2348-E59-45
EM66	soc.culture.indian_20041104.2348-E65-46
EM67	soc.culture.indian_20041104.2348-E23-47
EM68	soc.culture.indian_20041104.2348-E24-48
EM69	soc.culture.indian_20041104.2348-E25-49
EM70	soc.culture.indian_20041104.2348-E65-50
EM71	soc.culture.indian_20041104.2348-E65-51
EM72	soc.culture.indian_20041104.2348-E26-52
EM4	soc.culture.indian_20041104.2348-E33-53
EM73	soc.culture.indian_20041104.2348-E65-54
EM74	soc.culture.indian_20041104.2348-E65-55
EM75	soc.culture.indian_20041104.2348-E59-56
EM76	soc.culture.indian_20041104.2348-E59-57
EM77	soc.culture.indian_20041104.2348-E28-58
EM78	soc.culture.indian_20041104.2348-E20-59
EM79	soc.culture.indian_20041104.2348-E59-60
EM80	soc.culture.indian_20041104.2348-E65-61
EM81	soc.culture.indian_20041104.2348-E65-62
EM82	soc.culture.indian_20041104.2348-E65-63
EM83	soc.culture.indian_20041104.2348-E59-64
EM85	soc.culture.indian_20041104.2348-E68-65
EM86	soc.culture.indian_20041104.2348-E68-66
EM87	soc.culture.indian_20041104.2348-E29-67
EM88	soc.culture.indian_20041104.2348-E68-68
EM89	soc.culture.indian_20041104.2348-E13-69
EM90	soc.culture.indian_20041104.2348-E30-70
EM91	soc.culture.indian_20041104.2348-E31-71
EM92	soc.culture.indian_20041104.2348-E32-72
EM94	soc.culture.indian_20041104.2348-E65-73
EM95	soc.culture.indian_20041104.2348-E12-74
EM96	soc.culture.indian_20041104.2348-E13-75
EM97	soc.culture.indian_20041104.2348-E65-76
EM98	soc.culture.indian_20041104.2348-E12-77
EM99	soc.culture.indian_20041104.2348-E13-78
EM100	soc.culture.indian_20041104.2348-E12-79
EM101	soc.culture.indian_20041104.2348-E34-80
EM102	soc.culture.indian_20041104.2348-E35-81
EM103	soc.culture.indian_20041104.2348-E59-82
EM105	soc.culture.indian_20041104.2348-E35-83
EM104	soc.culture.indian_20041104.2348-E36-84
EM106	soc.culture.indian_20041104.2348-E63-85
EM107	soc.culture.indian_20041104.2348-E38-86
EM142	soc.culture.indian_20041104.2348-E51-87
EM42	soc.culture.indian_20041104.2348-E27-88
EM109	soc.culture.indian_20041104.2348-E39-89
EM110	soc.culture.indian_20041104.2348-E40-90
EM111	soc.culture.indian_20041104.2348-E41-91
EM112	soc.culture.indian_20041104.2348-E40-92
EM113	soc.culture.indian_20041104.2348-E42-93
EM114	soc.culture.indian_20041104.2348-E42-94
EM115	soc.culture.indian_20041104.2348-E63-95
EM116	soc.culture.indian_20041104.2348-E43-96
EM117	soc.culture.indian_20041104.2348-E38-97
EM118	soc.culture.indian_20041104.2348-E43-98
EM119	soc.culture.indian_20041104.2348-E38-99
EM120	soc.culture.indian_20041104.2348-E38-100
EM121	soc.culture.indian_20041104.2348-E44-101
EM59	soc.culture.indian_20041104.2348-E18-102
EM123	soc.culture.indian_20041104.2348-E45-103
EM124	soc.culture.indian_20041104.2348-E46-104
EM125	soc.culture.indian_20041104.2348-E47-105
EM126	soc.culture.indian_20041104.2348-E46-106
EM127	soc.culture.indian_20041104.2348-E40-107
EM128	soc.culture.indian_20041104.2348-E48-108
EM129	soc.culture.indian_20041104.2348-E46-109
EM130	soc.culture.indian_20041104.2348-E40-110
EM132	soc.culture.indian_20041104.2348-E38-111
EM131	soc.culture.indian_20041104.2348-E49-112
EM133	soc.culture.indian_20041104.2348-E63-113
EM135	soc.culture.indian_20041104.2348-E63-114
EM137	soc.culture.indian_20041104.2348-E63-115
EM134	soc.culture.indian_20041104.2348-E40-116
EM136	soc.culture.indian_20041104.2348-E59-117
EM60	soc.culture.indian_20041104.2348-E18-118
EM139	soc.culture.indian_20041104.2348-E49-119
EM140	soc.culture.indian_20041104.2348-E50-120
EM143	soc.culture.indian_20041104.2348-E53-121
EM144	soc.culture.indian_20041104.2348-E54-122
EM145	soc.culture.indian_20041104.2348-E55-123
EM146	soc.culture.indian_20041104.2348-E63-124
EM147	soc.culture.indian_20041104.2348-E50-125
EM148	soc.culture.indian_20041104.2348-E50-126
EM149	soc.culture.indian_20041104.2348-E49-127
EM150	soc.culture.indian_20041104.2348-E52-128
EM151	soc.culture.indian_20041104.2348-E63-129
EM152	soc.culture.indian_20041104.2348-E40-130
EM153	soc.culture.indian_20041104.2348-E40-131
EM155	soc.culture.indian_20041104.2348-E65-132
EM1	soc.culture.indian_20041104.2348-E59-133
EM156	soc.culture.indian_20041104.2348-E65-134
EM157	soc.culture.indian_20041104.2348-E59-135
EM158	soc.culture.indian_20041104.2348-E59-136
EM159	soc.culture.indian_20041104.2348-E59-137
EM160	soc.culture.indian_20041104.2348-E34-138
EM55	soc.culture.indian_20041104.2348-E56-139
EM161	soc.culture.indian_20041104.2348-E57-140
EM162	soc.culture.indian_20041104.2348-E58-141
EM54	soc.culture.indian_20041104.2348-E60-142
EM122	soc.culture.indian_20041104.2348-E43-143
EM138	soc.culture.indian_20041104.2348-E43-144
EM2	soc.culture.indian_20041104.2348-E63-145
EM47	soc.culture.indian_20041104.2348-E61-146
EM93	soc.culture.indian_20041104.2348-E62-147
EM3	soc.culture.indian_20041104.2348-E64-148
EM5	soc.culture.indian_20041104.2348-E66-149
EM6	soc.culture.indian_20041104.2348-E67-150
EM7	soc.culture.indian_20041104.2348-E68-151
EM108	soc.culture.indian_20041104.2348-E38-152
EM84	soc.culture.indian_20041104.2348-E17-153
EM8	soc.culture.indian_20041104.2348-E68-154
EM9	soc.culture.indian_20041104.2348-E68-155
EM10	soc.culture.indian_20041104.2348-E65-156
EM11	soc.culture.indian_20041104.2348-E59-157
EM12	soc.culture.indian_20041104.2348-E65-158
EM13	soc.culture.indian_20041104.2348-E65-159
EM14	soc.culture.indian_20041104.2348-E69-160
EM15	soc.culture.indian_20041104.2348-E70-161
EM16	soc.culture.indian_20041104.2348-E1-162
R12	soc.culture.indian_20041104.2348-R1
R4	soc.culture.indian_20041104.2348-R2
R19	soc.culture.indian_20041104.2348-R3
R1	soc.culture.indian_20041104.2348-R4
R2	soc.culture.indian_20041104.2348-R5
R17	soc.culture.indian_20041104.2348-R6
R5	soc.culture.indian_20041104.2348-R7
R6	soc.culture.indian_20041104.2348-R8
R7	soc.culture.indian_20041104.2348-R9
R8	soc.culture.indian_20041104.2348-R10
R9	soc.culture.indian_20041104.2348-R11
R10	soc.culture.indian_20041104.2348-R12
R11	soc.culture.indian_20041104.2348-R13
R13	soc.culture.indian_20041104.2348-R14
R14	soc.culture.indian_20041104.2348-R15
R16	soc.culture.indian_20041104.2348-R16
R18	soc.culture.indian_20041104.2348-R17
R15	soc.culture.indian_20041104.2348-R18
R20	soc.culture.indian_20041104.2348-R19
RM12	soc.culture.indian_20041104.2348-R1-1
RM4	soc.culture.indian_20041104.2348-R2-1
RM19	soc.culture.indian_20041104.2348-R3-1
RM17	soc.culture.indian_20041104.2348-R6-1
RM1	soc.culture.indian_20041104.2348-R4-1
RM2	soc.culture.indian_20041104.2348-R5-1
RM5	soc.culture.indian_20041104.2348-R7-1
RM6	soc.culture.indian_20041104.2348-R8-1
RM7	soc.culture.indian_20041104.2348-R9-1
RM8	soc.culture.indian_20041104.2348-R10-1
RM9	soc.culture.indian_20041104.2348-R11-1
RM10	soc.culture.indian_20041104.2348-R12-1
RM11	soc.culture.indian_20041104.2348-R13-1
RM13	soc.culture.indian_20041104.2348-R14-1
RM14	soc.culture.indian_20041104.2348-R15-1
RM16	soc.culture.indian_20041104.2348-R16-1
RM18	soc.culture.indian_20041104.2348-R17-1
RM15	soc.culture.indian_20041104.2348-R18-1
RM20	soc.culture.indian_20041104.2348-R19-1
V5	soc.culture.indian_20041104.2348-EV1
V1	soc.culture.indian_20041104.2348-EV2
V2	soc.culture.indian_20041104.2348-EV3
V3	soc.culture.indian_20041104.2348-EV4
V4	soc.culture.indian_20041104.2348-EV5
V6	soc.culture.indian_20041104.2348-EV6
V7	soc.culture.indian_20041104.2348-EV7
V8	soc.culture.indian_20041104.2348-EV8
V9	soc.culture.indian_20041104.2348-EV9
V10	soc.culture.indian_20041104.2348-EV10
V11	soc.culture.indian_20041104.2348-EV11
V12	soc.culture.indian_20041104.2348-EV12
VM17	soc.culture.indian_20041104.2348-EV12-1
VM15	soc.culture.indian_20041104.2348-EV4-1
VM8	soc.culture.indian_20041104.2348-EV6-1
VM6	soc.culture.indian_20041104.2348-EV1-1
VM2	soc.culture.indian_20041104.2348-EV2-1
VM1	soc.culture.indian_20041104.2348-EV2-2
VM3	soc.culture.indian_20041104.2348-EV3-1
VM4	soc.culture.indian_20041104.2348-EV4-2
VM5	soc.culture.indian_20041104.2348-EV5-1
VM9	soc.culture.indian_20041104.2348-EV7-1
VM10	soc.culture.indian_20041104.2348-EV8-1
VM11	soc.culture.indian_20041104.2348-EV9-1
VM12	soc.culture.indian_20041104.2348-EV10-1
VM13	soc.culture.indian_20041104.2348-EV11-1
VM14	soc.culture.indian_20041104.2348-EV12-2
VM16	soc.culture.indian_20041104.2348-EV12-3
Q20	soc.culture.indian_20041104.2348-T1
Q1	soc.culture.indian_20041104.2348-T2
Q2	soc.culture.indian_20041104.2348-T3
Q4	soc.culture.indian_20041104.2348-T4
Q3	soc.culture.indian_20041104.2348-T5
Q5	soc.culture.indian_20041104.2348-V1
Q6	soc.culture.indian_20041104.2348-V2
Q7	soc.culture.indian_20041104.2348-V3
Q8	soc.culture.indian_20041104.2348-T6
Q9	soc.culture.indian_20041104.2348-V4
Q10	soc.culture.indian_20041104.2348-T7
Q11	soc.culture.indian_20041104.2348-T8
Q12	soc.culture.indian_20041104.2348-V5
Q13	soc.culture.indian_20041104.2348-T9
Q14	soc.culture.indian_20041104.2348-V6
Q15	soc.culture.indian_20041104.2348-V7
Q16	soc.culture.indian_20041104.2348-T10
Q17	soc.culture.indian_20041104.2348-V8
Q18	soc.culture.indian_20041104.2348-V9
Q19	soc.culture.indian_20041104.2348-T11
Q26	soc.culture.indian_20041104.2348-V10
Q21	soc.culture.indian_20041104.2348-V11
Q22	soc.culture.indian_20041104.2348-T12
Q23	soc.culture.indian_20041104.2348-V12
Q24	soc.culture.indian_20041104.2348-T13
Q25	soc.culture.indian_20041104.2348-T14
Q27	soc.culture.indian_20041104.2348-T15
Q28	soc.culture.indian_20041104.2348-T16
QM26	soc.culture.indian_20041104.2348-V10-1
QM5	soc.culture.indian_20041104.2348-V1-1
QM6	soc.culture.indian_20041104.2348-V2-1
QM7	soc.culture.indian_20041104.2348-V3-1
QM9	soc.culture.indian_20041104.2348-V4-1
QM12	soc.culture.indian_20041104.2348-V5-1
QM14	soc.culture.indian_20041104.2348-V6-1
QM15	soc.culture.indian_20041104.2348-V7-1
QM17	soc.culture.indian_20041104.2348-V8-1
QM18	soc.culture.indian_20041104.2348-V9-1
QM21	soc.culture.indian_20041104.2348-V11-1
QM23	soc.culture.indian_20041104.2348-V12-1
