CE12	alt.corel_20041228.0503-CE1
EM78	alt.corel_20041228.0503-E63-60
EM79	alt.corel_20041228.0503-E65-61
EM80	alt.corel_20041228.0503-E65-62
EM81	alt.corel_20041228.0503-E65-63
EM82	alt.corel_20041228.0503-E65-64
EM83	alt.corel_20041228.0503-E30-65
EM84	alt.corel_20041228.0503-E56-66
EM85	alt.corel_20041228.0503-E31-67
EM86	alt.corel_20041228.0503-E12-68
EM87	alt.corel_20041228.0503-E56-69
EM89	alt.corel_20041228.0503-E56-70
EM88	alt.corel_20041228.0503-E61-71
EM90	alt.corel_20041228.0503-E32-72
EM91	alt.corel_20041228.0503-E63-73
EM92	alt.corel_20041228.0503-E33-74
EM93	alt.corel_20041228.0503-E34-75
EM94	alt.corel_20041228.0503-E65-76
EM95	alt.corel_20041228.0503-E35-77
EM96	alt.corel_20041228.0503-E36-78
EM97	alt.corel_20041228.0503-E38-79
EM98	alt.corel_20041228.0503-E39-80
EM99	alt.corel_20041228.0503-E40-81
EM100	alt.corel_20041228.0503-E1-82
EM141	alt.corel_20041228.0503-E65-83
EM142	alt.corel_20041228.0503-E32-84
EM102	alt.corel_20041228.0503-E56-85
EM103	alt.corel_20041228.0503-E41-86
EM2	alt.corel_20041228.0503-E56-87
EM104	alt.corel_20041228.0503-E42-88
EM143	alt.corel_20041228.0503-E1-89
EM105	alt.corel_20041228.0503-E43-90
EM106	alt.corel_20041228.0503-E43-91
EM107	alt.corel_20041228.0503-E44-92
EM108	alt.corel_20041228.0503-E45-93
EM109	alt.corel_20041228.0503-E46-94
EM110	alt.corel_20041228.0503-E43-95
EM111	alt.corel_20041228.0503-E47-96
EM144	alt.corel_20041228.0503-E65-97
EM113	alt.corel_20041228.0503-E48-98
EM114	alt.corel_20041228.0503-E49-99
EM115	alt.corel_20041228.0503-E10-100
EM63	alt.corel_20041228.0503-E50-101
EM116	alt.corel_20041228.0503-E22-102
EM145	alt.corel_20041228.0503-E60-103
EM146	alt.corel_20041228.0503-E65-104
EM147	alt.corel_20041228.0503-E65-105
EM118	alt.corel_20041228.0503-E51-106
EM119	alt.corel_20041228.0503-E52-107
EM120	alt.corel_20041228.0503-E52-108
EM121	alt.corel_20041228.0503-E53-109
EM122	alt.corel_20041228.0503-E54-110
EM123	alt.corel_20041228.0503-E55-111
EM124	alt.corel_20041228.0503-E54-112
EM148	alt.corel_20041228.0503-E10-113
EM126	alt.corel_20041228.0503-E54-114
EM127	alt.corel_20041228.0503-E54-115
EM128	alt.corel_20041228.0503-E10-116
EM129	alt.corel_20041228.0503-E65-117
EM112	alt.corel_20041228.0503-E48-118
EM67	alt.corel_20041228.0503-E57-119
EM71	alt.corel_20041228.0503-E57-120
EM72	alt.corel_20041228.0503-E57-121
EM75	alt.corel_20041228.0503-E57-122
EM74	alt.corel_20041228.0503-E57-123
EM101	alt.corel_20041228.0503-E12-124
EM117	alt.corel_20041228.0503-E58-125
EM25	alt.corel_20041228.0503-E1-126
EM125	alt.corel_20041228.0503-E53-127
EM3	alt.corel_20041228.0503-E59-128
EM43	alt.corel_20041228.0503-E13-129
EM60	alt.corel_20041228.0503-E20-130
EM130	alt.corel_20041228.0503-E60-131
EM4	alt.corel_20041228.0503-E56-132
EM5	alt.corel_20041228.0503-E61-133
EM6	alt.corel_20041228.0503-E56-134
EM7	alt.corel_20041228.0503-E56-135
EM8	alt.corel_20041228.0503-E62-136
EM9	alt.corel_20041228.0503-E63-137
EM10	alt.corel_20041228.0503-E62-138
EM11	alt.corel_20041228.0503-E64-139
EM12	alt.corel_20041228.0503-E66-140
EM13	alt.corel_20041228.0503-E62-141
EM14	alt.corel_20041228.0503-E64-142
EM15	alt.corel_20041228.0503-E67-143
EM16	alt.corel_20041228.0503-E64-144
EM17	alt.corel_20041228.0503-E64-145
EM18	alt.corel_20041228.0503-E56-146
EM19	alt.corel_20041228.0503-E68-147
R1	alt.corel_20041228.0503-R1
R2	alt.corel_20041228.0503-R2
R3	alt.corel_20041228.0503-R3
R4	alt.corel_20041228.0503-R4
R5	alt.corel_20041228.0503-R5
R6	alt.corel_20041228.0503-R6
R7	alt.corel_20041228.0503-R7
R9	alt.corel_20041228.0503-R8
R10	alt.corel_20041228.0503-R9
R11	alt.corel_20041228.0503-R10
R12	alt.corel_20041228.0503-R11
R13	alt.corel_20041228.0503-R12
R14	alt.corel_20041228.0503-R13
R15	alt.corel_20041228.0503-R14
R16	alt.corel_20041228.0503-R15
R17	alt.corel_20041228.0503-R16
R18	alt.corel_20041228.0503-R17
R19	alt.corel_20041228.0503-R18
R20	alt.corel_20041228.0503-R19
R21	alt.corel_20041228.0503-R20
R23	alt.corel_20041228.0503-R21
R24	alt.corel_20041228.0503-R22
R25	alt.corel_20041228.0503-R23
R22	alt.corel_20041228.0503-R24
R8	alt.corel_20041228.0503-R25
RM1	alt.corel_20041228.0503-R1-1
RM2	alt.corel_20041228.0503-R2-1
RM3	alt.corel_20041228.0503-R3-1
RM4	alt.corel_20041228.0503-R4-1
RM5	alt.corel_20041228.0503-R5-1
RM6	alt.corel_20041228.0503-R6-1
RM7	alt.corel_20041228.0503-R7-1
RM9	alt.corel_20041228.0503-R8-1
RM10	alt.corel_20041228.0503-R9-1
RM11	alt.corel_20041228.0503-R10-1
RM12	alt.corel_20041228.0503-R11-1
RM13	alt.corel_20041228.0503-R12-1
RM14	alt.corel_20041228.0503-R13-1
RM15	alt.corel_20041228.0503-R14-1
RM16	alt.corel_20041228.0503-R15-1
RM17	alt.corel_20041228.0503-R16-1
RM18	alt.corel_20041228.0503-R17-1
RM19	alt.corel_20041228.0503-R18-1
RM20	alt.corel_20041228.0503-R19-1
RM21	alt.corel_20041228.0503-R20-1
RM23	alt.corel_20041228.0503-R21-1
RM24	alt.corel_20041228.0503-R22-1
RM25	alt.corel_20041228.0503-R22-2
RM22	alt.corel_20041228.0503-R24-1
RM8	alt.corel_20041228.0503-R25-1
V1	alt.corel_20041228.0503-EV1
V3	alt.corel_20041228.0503-EV2
V4	alt.corel_20041228.0503-EV3
V5	alt.corel_20041228.0503-EV4
V2	alt.corel_20041228.0503-EV5
VM1	alt.corel_20041228.0503-EV1-1
VM3	alt.corel_20041228.0503-EV2-1
VM4	alt.corel_20041228.0503-EV3-1
VM5	alt.corel_20041228.0503-EV3-2
VM6	alt.corel_20041228.0503-EV4-1
VM2	alt.corel_20041228.0503-EV5-1
Q1	alt.corel_20041228.0503-T1
Q2	alt.corel_20041228.0503-T2
Q4	alt.corel_20041228.0503-T3
Q5	alt.corel_20041228.0503-T4
Q6	alt.corel_20041228.0503-T5
Q7	alt.corel_20041228.0503-T6
Q8	alt.corel_20041228.0503-T7
Q10	alt.corel_20041228.0503-T8
Q11	alt.corel_20041228.0503-T9
Q12	alt.corel_20041228.0503-T10
Q13	alt.corel_20041228.0503-T11
Q14	alt.corel_20041228.0503-T12
Q15	alt.corel_20041228.0503-T13
Q16	alt.corel_20041228.0503-T14
