CE12	uk.gay-lesbian-bi_20050127.0311-CE1
E35	uk.gay-lesbian-bi_20050127.0311-E20
E36	uk.gay-lesbian-bi_20050127.0311-E21
E37	uk.gay-lesbian-bi_20050127.0311-E22
E38	uk.gay-lesbian-bi_20050127.0311-E23
E39	uk.gay-lesbian-bi_20050127.0311-E24
E42	uk.gay-lesbian-bi_20050127.0311-E25
E43	uk.gay-lesbian-bi_20050127.0311-E26
E44	uk.gay-lesbian-bi_20050127.0311-E27
E45	uk.gay-lesbian-bi_20050127.0311-E28
E46	uk.gay-lesbian-bi_20050127.0311-E29
E47	uk.gay-lesbian-bi_20050127.0311-E30
E48	uk.gay-lesbian-bi_20050127.0311-E31
E49	uk.gay-lesbian-bi_20050127.0311-E32
E50	uk.gay-lesbian-bi_20050127.0311-E33
E51	uk.gay-lesbian-bi_20050127.0311-E34
E52	uk.gay-lesbian-bi_20050127.0311-E35
E53	uk.gay-lesbian-bi_20050127.0311-E36
E71	uk.gay-lesbian-bi_20050127.0311-E37
E57	uk.gay-lesbian-bi_20050127.0311-E38
E58	uk.gay-lesbian-bi_20050127.0311-E39
E1	uk.gay-lesbian-bi_20050127.0311-E40
E59	uk.gay-lesbian-bi_20050127.0311-E41
E60	uk.gay-lesbian-bi_20050127.0311-E42
E61	uk.gay-lesbian-bi_20050127.0311-E43
E62	uk.gay-lesbian-bi_20050127.0311-E44
E63	uk.gay-lesbian-bi_20050127.0311-E45
E64	uk.gay-lesbian-bi_20050127.0311-E46
E65	uk.gay-lesbian-bi_20050127.0311-E47
E67	uk.gay-lesbian-bi_20050127.0311-E48
E72	uk.gay-lesbian-bi_20050127.0311-E49
E69	uk.gay-lesbian-bi_20050127.0311-E50
E70	uk.gay-lesbian-bi_20050127.0311-E51
E73	uk.gay-lesbian-bi_20050127.0311-E52
E2	uk.gay-lesbian-bi_20050127.0311-E53
E3	uk.gay-lesbian-bi_20050127.0311-E54
E4	uk.gay-lesbian-bi_20050127.0311-E55
E5	uk.gay-lesbian-bi_20050127.0311-E56
E6	uk.gay-lesbian-bi_20050127.0311-E57
E7	uk.gay-lesbian-bi_20050127.0311-E58
E8	uk.gay-lesbian-bi_20050127.0311-E59
E9	uk.gay-lesbian-bi_20050127.0311-E60
E10	uk.gay-lesbian-bi_20050127.0311-E61
E12	uk.gay-lesbian-bi_20050127.0311-E62
EM18	uk.gay-lesbian-bi_20050127.0311-E58-1
EM19	uk.gay-lesbian-bi_20050127.0311-E59-2
EM20	uk.gay-lesbian-bi_20050127.0311-E60-3
EM21	uk.gay-lesbian-bi_20050127.0311-E54-4
EM22	uk.gay-lesbian-bi_20050127.0311-E2-5
EM23	uk.gay-lesbian-bi_20050127.0311-E3-6
EM24	uk.gay-lesbian-bi_20050127.0311-E40-7
EM26	uk.gay-lesbian-bi_20050127.0311-E4-8
EM27	uk.gay-lesbian-bi_20050127.0311-E5-9
EM28	uk.gay-lesbian-bi_20050127.0311-E5-10
EM29	uk.gay-lesbian-bi_20050127.0311-E56-11
EM30	uk.gay-lesbian-bi_20050127.0311-E6-12
EM31	uk.gay-lesbian-bi_20050127.0311-E6-13
EM32	uk.gay-lesbian-bi_20050127.0311-E56-14
EM33	uk.gay-lesbian-bi_20050127.0311-E7-15
EM34	uk.gay-lesbian-bi_20050127.0311-E7-16
EM35	uk.gay-lesbian-bi_20050127.0311-E8-17
EM36	uk.gay-lesbian-bi_20050127.0311-E40-18
EM37	uk.gay-lesbian-bi_20050127.0311-E9-19
EM44	uk.gay-lesbian-bi_20050127.0311-E37-20
EM38	uk.gay-lesbian-bi_20050127.0311-E58-21
EM39	uk.gay-lesbian-bi_20050127.0311-E11-22
EM40	uk.gay-lesbian-bi_20050127.0311-E12-23
EM41	uk.gay-lesbian-bi_20050127.0311-E13-24
EM42	uk.gay-lesbian-bi_20050127.0311-E14-25
EM43	uk.gay-lesbian-bi_20050127.0311-E14-26
EM45	uk.gay-lesbian-bi_20050127.0311-E15-27
EM127	uk.gay-lesbian-bi_20050127.0311-E40-28
EM46	uk.gay-lesbian-bi_20050127.0311-E15-29
EM47	uk.gay-lesbian-bi_20050127.0311-E16-30
EM48	uk.gay-lesbian-bi_20050127.0311-E17-31
EM49	uk.gay-lesbian-bi_20050127.0311-E56-32
EM50	uk.gay-lesbian-bi_20050127.0311-E18-33
EM51	uk.gay-lesbian-bi_20050127.0311-E18-34
EM52	uk.gay-lesbian-bi_20050127.0311-E18-35
EM53	uk.gay-lesbian-bi_20050127.0311-E54-36
EM54	uk.gay-lesbian-bi_20050127.0311-E19-37
EM1	uk.gay-lesbian-bi_20050127.0311-E40-38
EM55	uk.gay-lesbian-bi_20050127.0311-E20-39
EM56	uk.gay-lesbian-bi_20050127.0311-E18-40
EM57	uk.gay-lesbian-bi_20050127.0311-E21-41
EM58	uk.gay-lesbian-bi_20050127.0311-E22-42
EM59	uk.gay-lesbian-bi_20050127.0311-E23-43
EM60	uk.gay-lesbian-bi_20050127.0311-E24-44
EM128	uk.gay-lesbian-bi_20050127.0311-E43-45
EM119	uk.gay-lesbian-bi_20050127.0311-E40-46
EM120	uk.gay-lesbian-bi_20050127.0311-E62-47
EM121	uk.gay-lesbian-bi_20050127.0311-E8-48
EM122	uk.gay-lesbian-bi_20050127.0311-E15-49
EM123	uk.gay-lesbian-bi_20050127.0311-E16-50
EM64	uk.gay-lesbian-bi_20050127.0311-E25-51
EM65	uk.gay-lesbian-bi_20050127.0311-E24-52
EM66	uk.gay-lesbian-bi_20050127.0311-E26-53
EM67	uk.gay-lesbian-bi_20050127.0311-E27-54
EM68	uk.gay-lesbian-bi_20050127.0311-E28-55
EM69	uk.gay-lesbian-bi_20050127.0311-E15-56
EM70	uk.gay-lesbian-bi_20050127.0311-E29-57
EM71	uk.gay-lesbian-bi_20050127.0311-E30-58
EM72	uk.gay-lesbian-bi_20050127.0311-E31-59
EM73	uk.gay-lesbian-bi_20050127.0311-E32-60
EM74	uk.gay-lesbian-bi_20050127.0311-E33-61
EM75	uk.gay-lesbian-bi_20050127.0311-E34-62
EM76	uk.gay-lesbian-bi_20050127.0311-E35-63
EM77	uk.gay-lesbian-bi_20050127.0311-E40-64
EM78	uk.gay-lesbian-bi_20050127.0311-E56-65
EM79	uk.gay-lesbian-bi_20050127.0311-E56-66
EM80	uk.gay-lesbian-bi_20050127.0311-E40-67
EM81	uk.gay-lesbian-bi_20050127.0311-E40-68
EM82	uk.gay-lesbian-bi_20050127.0311-E35-69
EM83	uk.gay-lesbian-bi_20050127.0311-E15-70
EM84	uk.gay-lesbian-bi_20050127.0311-E58-71
EM85	uk.gay-lesbian-bi_20050127.0311-E11-72
EM124	uk.gay-lesbian-bi_20050127.0311-E35-73
EM87	uk.gay-lesbian-bi_20050127.0311-E36-74
EM25	uk.gay-lesbian-bi_20050127.0311-E49-75
EM125	uk.gay-lesbian-bi_20050127.0311-E40-76
EM88	uk.gay-lesbian-bi_20050127.0311-E38-77
EM89	uk.gay-lesbian-bi_20050127.0311-E39-78
EM90	uk.gay-lesbian-bi_20050127.0311-E41-79
EM92	uk.gay-lesbian-bi_20050127.0311-E41-80
EM91	uk.gay-lesbian-bi_20050127.0311-E33-81
EM93	uk.gay-lesbian-bi_20050127.0311-E58-82
EM94	uk.gay-lesbian-bi_20050127.0311-E11-83
EM95	uk.gay-lesbian-bi_20050127.0311-E42-84
EM96	uk.gay-lesbian-bi_20050127.0311-E15-85
EM97	uk.gay-lesbian-bi_20050127.0311-E15-86
EM98	uk.gay-lesbian-bi_20050127.0311-E15-87
EM100	uk.gay-lesbian-bi_20050127.0311-E15-88
EM99	uk.gay-lesbian-bi_20050127.0311-E43-89
EM101	uk.gay-lesbian-bi_20050127.0311-E43-90
EM126	uk.gay-lesbian-bi_20050127.0311-E15-91
EM102	uk.gay-lesbian-bi_20050127.0311-E10-92
EM103	uk.gay-lesbian-bi_20050127.0311-E10-93
EM104	uk.gay-lesbian-bi_20050127.0311-E44-94
EM105	uk.gay-lesbian-bi_20050127.0311-E3-95
EM106	uk.gay-lesbian-bi_20050127.0311-E45-96
EM107	uk.gay-lesbian-bi_20050127.0311-E46-97
EM108	uk.gay-lesbian-bi_20050127.0311-E47-98
EM109	uk.gay-lesbian-bi_20050127.0311-E3-99
EM110	uk.gay-lesbian-bi_20050127.0311-E3-100
EM111	uk.gay-lesbian-bi_20050127.0311-E48-101
EM112	uk.gay-lesbian-bi_20050127.0311-E48-102
EM113	uk.gay-lesbian-bi_20050127.0311-E39-103
EM114	uk.gay-lesbian-bi_20050127.0311-E3-104
EM115	uk.gay-lesbian-bi_20050127.0311-E48-105
EM116	uk.gay-lesbian-bi_20050127.0311-E10-106
EM117	uk.gay-lesbian-bi_20050127.0311-E43-107
EM14	uk.gay-lesbian-bi_20050127.0311-E61-108
EM2	uk.gay-lesbian-bi_20050127.0311-E53-109
EM7	uk.gay-lesbian-bi_20050127.0311-E50-110
EM8	uk.gay-lesbian-bi_20050127.0311-E51-111
EM86	uk.gay-lesbian-bi_20050127.0311-E10-112
EM11	uk.gay-lesbian-bi_20050127.0311-E52-113
EM61	uk.gay-lesbian-bi_20050127.0311-E24-114
EM63	uk.gay-lesbian-bi_20050127.0311-E25-115
EM62	uk.gay-lesbian-bi_20050127.0311-E25-116
EM3	uk.gay-lesbian-bi_20050127.0311-E54-117
EM4	uk.gay-lesbian-bi_20050127.0311-E55-118
EM5	uk.gay-lesbian-bi_20050127.0311-E57-119
EM6	uk.gay-lesbian-bi_20050127.0311-E56-120
EM9	uk.gay-lesbian-bi_20050127.0311-E54-121
EM10	uk.gay-lesbian-bi_20050127.0311-E60-122
EM12	uk.gay-lesbian-bi_20050127.0311-E61-123
EM15	uk.gay-lesbian-bi_20050127.0311-E56-124
EM13	uk.gay-lesbian-bi_20050127.0311-E54-125
EM16	uk.gay-lesbian-bi_20050127.0311-E62-126
EM17	uk.gay-lesbian-bi_20050127.0311-E1-127
R1	uk.gay-lesbian-bi_20050127.0311-R1
R2	uk.gay-lesbian-bi_20050127.0311-R2
R3	uk.gay-lesbian-bi_20050127.0311-R3
R4	uk.gay-lesbian-bi_20050127.0311-R4
R8	uk.gay-lesbian-bi_20050127.0311-R5
R9	uk.gay-lesbian-bi_20050127.0311-R6
R10	uk.gay-lesbian-bi_20050127.0311-R7
R5	uk.gay-lesbian-bi_20050127.0311-R8
R6	uk.gay-lesbian-bi_20050127.0311-R9
R7	uk.gay-lesbian-bi_20050127.0311-R10
RM1	uk.gay-lesbian-bi_20050127.0311-R1-1
RM2	uk.gay-lesbian-bi_20050127.0311-R2-1
RM3	uk.gay-lesbian-bi_20050127.0311-R3-1
RM4	uk.gay-lesbian-bi_20050127.0311-R4-1
RM10	uk.gay-lesbian-bi_20050127.0311-R5-1
RM8	uk.gay-lesbian-bi_20050127.0311-R6-1
RM9	uk.gay-lesbian-bi_20050127.0311-R7-1
RM5	uk.gay-lesbian-bi_20050127.0311-R8-1
RM6	uk.gay-lesbian-bi_20050127.0311-R9-1
RM7	uk.gay-lesbian-bi_20050127.0311-R10-1
V3	uk.gay-lesbian-bi_20050127.0311-EV1
V4	uk.gay-lesbian-bi_20050127.0311-EV2
V5	uk.gay-lesbian-bi_20050127.0311-EV3
V6	uk.gay-lesbian-bi_20050127.0311-EV4
V8	uk.gay-lesbian-bi_20050127.0311-EV5
V9	uk.gay-lesbian-bi_20050127.0311-EV6
V10	uk.gay-lesbian-bi_20050127.0311-EV7
V7	uk.gay-lesbian-bi_20050127.0311-EV8
V11	uk.gay-lesbian-bi_20050127.0311-EV9
V13	uk.gay-lesbian-bi_20050127.0311-EV10
V14	uk.gay-lesbian-bi_20050127.0311-EV11
V15	uk.gay-lesbian-bi_20050127.0311-EV12
V16	uk.gay-lesbian-bi_20050127.0311-EV13
V17	uk.gay-lesbian-bi_20050127.0311-EV14
V18	uk.gay-lesbian-bi_20050127.0311-EV15
V1	uk.gay-lesbian-bi_20050127.0311-EV16
V12	uk.gay-lesbian-bi_20050127.0311-EV17
V19	uk.gay-lesbian-bi_20050127.0311-EV18
V2	uk.gay-lesbian-bi_20050127.0311-EV19
VM4	uk.gay-lesbian-bi_20050127.0311-EV2-1
VM5	uk.gay-lesbian-bi_20050127.0311-EV3-1
VM7	uk.gay-lesbian-bi_20050127.0311-EV4-1
VM9	uk.gay-lesbian-bi_20050127.0311-EV5-1
VM10	uk.gay-lesbian-bi_20050127.0311-EV6-1
VM11	uk.gay-lesbian-bi_20050127.0311-EV7-1
VM12	uk.gay-lesbian-bi_20050127.0311-EV8-1
VM14	uk.gay-lesbian-bi_20050127.0311-EV9-1
VM16	uk.gay-lesbian-bi_20050127.0311-EV8-2
VM17	uk.gay-lesbian-bi_20050127.0311-EV10-1
VM18	uk.gay-lesbian-bi_20050127.0311-EV11-1
VM19	uk.gay-lesbian-bi_20050127.0311-EV12-1
VM20	uk.gay-lesbian-bi_20050127.0311-EV13-1
VM21	uk.gay-lesbian-bi_20050127.0311-EV14-1
VM22	uk.gay-lesbian-bi_20050127.0311-EV15-1
VM1	uk.gay-lesbian-bi_20050127.0311-EV16-1
VM8	uk.gay-lesbian-bi_20050127.0311-EV16-2
VM15	uk.gay-lesbian-bi_20050127.0311-EV17-1
VM23	uk.gay-lesbian-bi_20050127.0311-EV18-1
VM6	uk.gay-lesbian-bi_20050127.0311-EV8-3
VM13	uk.gay-lesbian-bi_20050127.0311-EV3-2
VM2	uk.gay-lesbian-bi_20050127.0311-EV19-1
VM3	uk.gay-lesbian-bi_20050127.0311-EV1-1
Q1	uk.gay-lesbian-bi_20050127.0311-T1
Q3	uk.gay-lesbian-bi_20050127.0311-T2
Q4	uk.gay-lesbian-bi_20050127.0311-T3
Q6	uk.gay-lesbian-bi_20050127.0311-T4
Q7	uk.gay-lesbian-bi_20050127.0311-T5
Q10	uk.gay-lesbian-bi_20050127.0311-T6
Q11	uk.gay-lesbian-bi_20050127.0311-T7
Q13	uk.gay-lesbian-bi_20050127.0311-T8
Q14	uk.gay-lesbian-bi_20050127.0311-T9
Q27	uk.gay-lesbian-bi_20050127.0311-T10
Q18	uk.gay-lesbian-bi_20050127.0311-T11
Q21	uk.gay-lesbian-bi_20050127.0311-T12
Q28	uk.gay-lesbian-bi_20050127.0311-T13
Q29	uk.gay-lesbian-bi_20050127.0311-T14
Q30	uk.gay-lesbian-bi_20050127.0311-T15
Q31	uk.gay-lesbian-bi_20050127.0311-T16
Q32	uk.gay-lesbian-bi_20050127.0311-T17
Q33	uk.gay-lesbian-bi_20050127.0311-T18
Q34	uk.gay-lesbian-bi_20050127.0311-T19
Q35	uk.gay-lesbian-bi_20050127.0311-T20
Q24	uk.gay-lesbian-bi_20050127.0311-V1
Q36	uk.gay-lesbian-bi_20050127.0311-T21
Q37	uk.gay-lesbian-bi_20050127.0311-T22
Q38	uk.gay-lesbian-bi_20050127.0311-T23
Q2	uk.gay-lesbian-bi_20050127.0311-T24
Q5	uk.gay-lesbian-bi_20050127.0311-T25
Q8	uk.gay-lesbian-bi_20050127.0311-T26
Q9	uk.gay-lesbian-bi_20050127.0311-T27
Q12	uk.gay-lesbian-bi_20050127.0311-T28
Q15	uk.gay-lesbian-bi_20050127.0311-T29
Q17	uk.gay-lesbian-bi_20050127.0311-T30
Q19	uk.gay-lesbian-bi_20050127.0311-T31
Q22	uk.gay-lesbian-bi_20050127.0311-T32
Q25	uk.gay-lesbian-bi_20050127.0311-V2
Q26	uk.gay-lesbian-bi_20050127.0311-T33
QM24	uk.gay-lesbian-bi_20050127.0311-V1-1
QM25	uk.gay-lesbian-bi_20050127.0311-V2-1
