CE12	CNN_LE_20030504.1200.02-2-CE1
V2	CNN_LE_20030504.1200.02-2-EV1
V4	CNN_LE_20030504.1200.02-2-EV2
V5	CNN_LE_20030504.1200.02-2-EV3
V3	CNN_LE_20030504.1200.02-2-EV4
VM2	CNN_LE_20030504.1200.02-2-EV1-1
VM4	CNN_LE_20030504.1200.02-2-EV2-1
VM5	CNN_LE_20030504.1200.02-2-EV3-1
VM3	CNN_LE_20030504.1200.02-2-EV4-1
Q1	CNN_LE_20030504.1200.02-2-T1
Q2	CNN_LE_20030504.1200.02-2-T2
Q4	CNN_LE_20030504.1200.02-2-T3
Q6	CNN_LE_20030504.1200.02-2-V1
Q7	CNN_LE_20030504.1200.02-2-V2
Q5	CNN_LE_20030504.1200.02-2-T4
Q3	CNN_LE_20030504.1200.02-2-T5
QM6	CNN_LE_20030504.1200.02-2-V1-1
QM7	CNN_LE_20030504.1200.02-2-V2-1
