CE11	EGYDAYS_20050221.1227-CE1
EM26	EGYDAYS_20050221.1227-E22-7
EM27	EGYDAYS_20050221.1227-E20-8
EM28	EGYDAYS_20050221.1227-E15-9
EM29	EGYDAYS_20050221.1227-E20-10
EM30	EGYDAYS_20050221.1227-E20-11
EM31	EGYDAYS_20050221.1227-E20-12
EM32	EGYDAYS_20050221.1227-E20-13
EM33	EGYDAYS_20050221.1227-E5-14
EM34	EGYDAYS_20050221.1227-E19-15
EM35	EGYDAYS_20050221.1227-E18-16
EM36	EGYDAYS_20050221.1227-E5-17
EM37	EGYDAYS_20050221.1227-E1-18
EM38	EGYDAYS_20050221.1227-E18-19
EM39	EGYDAYS_20050221.1227-E1-20
EM40	EGYDAYS_20050221.1227-E6-21
EM41	EGYDAYS_20050221.1227-E1-22
EM42	EGYDAYS_20050221.1227-E18-23
EM43	EGYDAYS_20050221.1227-E18-24
EM44	EGYDAYS_20050221.1227-E1-25
EM67	EGYDAYS_20050221.1227-E15-26
EM46	EGYDAYS_20050221.1227-E15-27
EM47	EGYDAYS_20050221.1227-E7-28
EM48	EGYDAYS_20050221.1227-E15-29
EM49	EGYDAYS_20050221.1227-E8-30
EM50	EGYDAYS_20050221.1227-E18-31
EM51	EGYDAYS_20050221.1227-E18-32
EM52	EGYDAYS_20050221.1227-E20-33
EM54	EGYDAYS_20050221.1227-E20-34
EM55	EGYDAYS_20050221.1227-E20-35
EM56	EGYDAYS_20050221.1227-E20-36
EM57	EGYDAYS_20050221.1227-E20-37
EM58	EGYDAYS_20050221.1227-E20-38
EM59	EGYDAYS_20050221.1227-E9-39
EM60	EGYDAYS_20050221.1227-E9-40
EM61	EGYDAYS_20050221.1227-E9-41
EM62	EGYDAYS_20050221.1227-E10-42
EM63	EGYDAYS_20050221.1227-E11-43
EM64	EGYDAYS_20050221.1227-E11-44
EM65	EGYDAYS_20050221.1227-E11-45
EM66	EGYDAYS_20050221.1227-E12-46
EM2	EGYDAYS_20050221.1227-E14-47
EM3	EGYDAYS_20050221.1227-E14-48
EM4	EGYDAYS_20050221.1227-E15-49
EM5	EGYDAYS_20050221.1227-E15-50
EM6	EGYDAYS_20050221.1227-E16-51
EM7	EGYDAYS_20050221.1227-E17-52
EM8	EGYDAYS_20050221.1227-E18-53
EM9	EGYDAYS_20050221.1227-E17-54
EM10	EGYDAYS_20050221.1227-E18-55
EM11	EGYDAYS_20050221.1227-E18-56
EM12	EGYDAYS_20050221.1227-E19-57
EM13	EGYDAYS_20050221.1227-E20-58
EM14	EGYDAYS_20050221.1227-E20-59
EM15	EGYDAYS_20050221.1227-E21-60
EM16	EGYDAYS_20050221.1227-E22-61
EM17	EGYDAYS_20050221.1227-E20-62
EM18	EGYDAYS_20050221.1227-E20-63
EM19	EGYDAYS_20050221.1227-E18-64
EM20	EGYDAYS_20050221.1227-E18-65
R2	EGYDAYS_20050221.1227-R1
R3	EGYDAYS_20050221.1227-R2
R4	EGYDAYS_20050221.1227-R3
R5	EGYDAYS_20050221.1227-R4
R6	EGYDAYS_20050221.1227-R5
R7	EGYDAYS_20050221.1227-R6
R8	EGYDAYS_20050221.1227-R7
R9	EGYDAYS_20050221.1227-R8
R10	EGYDAYS_20050221.1227-R9
R11	EGYDAYS_20050221.1227-R10
RM2	EGYDAYS_20050221.1227-R1-1
RM3	EGYDAYS_20050221.1227-R2-1
RM4	EGYDAYS_20050221.1227-R3-1
RM5	EGYDAYS_20050221.1227-R4-1
RM6	EGYDAYS_20050221.1227-R2-2
RM7	EGYDAYS_20050221.1227-R6-1
RM8	EGYDAYS_20050221.1227-R7-1
RM9	EGYDAYS_20050221.1227-R8-1
RM10	EGYDAYS_20050221.1227-R9-1
RM11	EGYDAYS_20050221.1227-R10-1
Q1	EGYDAYS_20050221.1227-T1
Q2	EGYDAYS_20050221.1227-T2
Q3	EGYDAYS_20050221.1227-T3
Q4	EGYDAYS_20050221.1227-T4
