CE11	GLIMMERMAN_20050118.0339-CE1
EM22	GLIMMERMAN_20050118.0339-E1-3
EM23	GLIMMERMAN_20050118.0339-E1-4
EM24	GLIMMERMAN_20050118.0339-E2-5
EM25	GLIMMERMAN_20050118.0339-E19-6
EM26	GLIMMERMAN_20050118.0339-E19-7
EM27	GLIMMERMAN_20050118.0339-E19-8
EM28	GLIMMERMAN_20050118.0339-E3-9
EM29	GLIMMERMAN_20050118.0339-E3-10
EM30	GLIMMERMAN_20050118.0339-E3-11
EM31	GLIMMERMAN_20050118.0339-E4-12
EM32	GLIMMERMAN_20050118.0339-E5-13
EM33	GLIMMERMAN_20050118.0339-E4-14
EM34	GLIMMERMAN_20050118.0339-E4-15
EM35	GLIMMERMAN_20050118.0339-E5-16
EM36	GLIMMERMAN_20050118.0339-E18-17
EM37	GLIMMERMAN_20050118.0339-E6-18
EM38	GLIMMERMAN_20050118.0339-E18-19
EM39	GLIMMERMAN_20050118.0339-E7-20
EM40	GLIMMERMAN_20050118.0339-E8-21
EM41	GLIMMERMAN_20050118.0339-E9-22
EM42	GLIMMERMAN_20050118.0339-E8-23
EM43	GLIMMERMAN_20050118.0339-E10-24
EM44	GLIMMERMAN_20050118.0339-E8-25
EM45	GLIMMERMAN_20050118.0339-E11-26
EM46	GLIMMERMAN_20050118.0339-E12-27
EM47	GLIMMERMAN_20050118.0339-E8-28
EM48	GLIMMERMAN_20050118.0339-E8-29
EM49	GLIMMERMAN_20050118.0339-E4-30
EM50	GLIMMERMAN_20050118.0339-E20-31
EM51	GLIMMERMAN_20050118.0339-E20-32
EM52	GLIMMERMAN_20050118.0339-E4-33
EM53	GLIMMERMAN_20050118.0339-E4-34
EM54	GLIMMERMAN_20050118.0339-E13-35
EM55	GLIMMERMAN_20050118.0339-E13-36
EM56	GLIMMERMAN_20050118.0339-E13-37
EM57	GLIMMERMAN_20050118.0339-E13-38
EM59	GLIMMERMAN_20050118.0339-E14-39
EM60	GLIMMERMAN_20050118.0339-E15-40
EM64	GLIMMERMAN_20050118.0339-E5-41
EM65	GLIMMERMAN_20050118.0339-E4-42
EM66	GLIMMERMAN_20050118.0339-E5-43
EM67	GLIMMERMAN_20050118.0339-E5-44
EM2	GLIMMERMAN_20050118.0339-E17-45
EM3	GLIMMERMAN_20050118.0339-E17-46
EM4	GLIMMERMAN_20050118.0339-E18-47
EM5	GLIMMERMAN_20050118.0339-E17-48
EM6	GLIMMERMAN_20050118.0339-E17-49
EM7	GLIMMERMAN_20050118.0339-E17-50
EM63	GLIMMERMAN_20050118.0339-E4-51
EM62	GLIMMERMAN_20050118.0339-E5-52
EM9	GLIMMERMAN_20050118.0339-E19-53
EM10	GLIMMERMAN_20050118.0339-E20-54
EM11	GLIMMERMAN_20050118.0339-E22-55
EM12	GLIMMERMAN_20050118.0339-E21-56
EM13	GLIMMERMAN_20050118.0339-E21-57
EM14	GLIMMERMAN_20050118.0339-E23-58
EM15	GLIMMERMAN_20050118.0339-E24-59
EM16	GLIMMERMAN_20050118.0339-E23-60
EM17	GLIMMERMAN_20050118.0339-E25-61
EM19	GLIMMERMAN_20050118.0339-E26-62
R7	GLIMMERMAN_20050118.0339-R1
R2	GLIMMERMAN_20050118.0339-R2
R3	GLIMMERMAN_20050118.0339-R3
R4	GLIMMERMAN_20050118.0339-R4
R5	GLIMMERMAN_20050118.0339-R5
R6	GLIMMERMAN_20050118.0339-R6
RM7	GLIMMERMAN_20050118.0339-R1-1
RM2	GLIMMERMAN_20050118.0339-R2-1
RM3	GLIMMERMAN_20050118.0339-R3-1
RM4	GLIMMERMAN_20050118.0339-R4-1
RM5	GLIMMERMAN_20050118.0339-R5-1
RM6	GLIMMERMAN_20050118.0339-R6-1
Q1	GLIMMERMAN_20050118.0339-T1
Q2	GLIMMERMAN_20050118.0339-T2
Q3	GLIMMERMAN_20050118.0339-T3
Q4	GLIMMERMAN_20050118.0339-T4
Q5	GLIMMERMAN_20050118.0339-T5
Q6	GLIMMERMAN_20050118.0339-T6
