CE12	SHIHUA_20050111.1335-CE1
EM55	SHIHUA_20050111.1335-E29-37
EM56	SHIHUA_20050111.1335-E9-38
EM57	SHIHUA_20050111.1335-E29-39
EM58	SHIHUA_20050111.1335-E29-40
EM59	SHIHUA_20050111.1335-E29-41
EM60	SHIHUA_20050111.1335-E29-42
EM61	SHIHUA_20050111.1335-E29-43
EM62	SHIHUA_20050111.1335-E29-44
EM63	SHIHUA_20050111.1335-E10-45
EM64	SHIHUA_20050111.1335-E11-46
EM65	SHIHUA_20050111.1335-E12-47
EM66	SHIHUA_20050111.1335-E14-48
EM67	SHIHUA_20050111.1335-E29-49
EM68	SHIHUA_20050111.1335-E29-50
EM69	SHIHUA_20050111.1335-E15-51
EM70	SHIHUA_20050111.1335-E1-52
EM72	SHIHUA_20050111.1335-E16-53
EM73	SHIHUA_20050111.1335-E16-54
EM74	SHIHUA_20050111.1335-E1-55
EM75	SHIHUA_20050111.1335-E29-56
EM76	SHIHUA_20050111.1335-E17-57
EM77	SHIHUA_20050111.1335-E18-58
EM78	SHIHUA_20050111.1335-E19-59
EM79	SHIHUA_20050111.1335-E29-60
EM15	SHIHUA_20050111.1335-E20-61
EM71	SHIHUA_20050111.1335-E20-62
EM80	SHIHUA_20050111.1335-E20-63
EM81	SHIHUA_20050111.1335-E13-64
EM82	SHIHUA_20050111.1335-E21-65
EM83	SHIHUA_20050111.1335-E29-66
EM84	SHIHUA_20050111.1335-E1-67
EM86	SHIHUA_20050111.1335-E22-68
EM87	SHIHUA_20050111.1335-E1-69
EM89	SHIHUA_20050111.1335-E23-70
EM91	SHIHUA_20050111.1335-E24-71
EM92	SHIHUA_20050111.1335-E25-72
EM93	SHIHUA_20050111.1335-E26-73
EM94	SHIHUA_20050111.1335-E27-74
EM95	SHIHUA_20050111.1335-E13-75
EM96	SHIHUA_20050111.1335-E31-76
EM97	SHIHUA_20050111.1335-E31-77
EM98	SHIHUA_20050111.1335-E29-78
EM99	SHIHUA_20050111.1335-E1-79
EM100	SHIHUA_20050111.1335-E6-80
EM101	SHIHUA_20050111.1335-E29-81
EM102	SHIHUA_20050111.1335-E29-82
EM103	SHIHUA_20050111.1335-E34-83
EM2	SHIHUA_20050111.1335-E29-84
EM104	SHIHUA_20050111.1335-E28-85
EM105	SHIHUA_20050111.1335-E28-86
EM3	SHIHUA_20050111.1335-E30-87
EM4	SHIHUA_20050111.1335-E31-88
EM5	SHIHUA_20050111.1335-E32-89
EM6	SHIHUA_20050111.1335-E33-90
EM7	SHIHUA_20050111.1335-E34-91
EM8	SHIHUA_20050111.1335-E34-92
EM9	SHIHUA_20050111.1335-E35-93
EM10	SHIHUA_20050111.1335-E36-94
EM11	SHIHUA_20050111.1335-E31-95
EM12	SHIHUA_20050111.1335-E29-96
EM13	SHIHUA_20050111.1335-E29-97
EM14	SHIHUA_20050111.1335-E37-98
EM16	SHIHUA_20050111.1335-E32-99
EM17	SHIHUA_20050111.1335-E38-100
EM18	SHIHUA_20050111.1335-E39-101
R1	SHIHUA_20050111.1335-R1
R2	SHIHUA_20050111.1335-R2
R3	SHIHUA_20050111.1335-R3
R4	SHIHUA_20050111.1335-R4
R5	SHIHUA_20050111.1335-R5
R6	SHIHUA_20050111.1335-R6
R7	SHIHUA_20050111.1335-R7
R8	SHIHUA_20050111.1335-R8
R9	SHIHUA_20050111.1335-R9
R10	SHIHUA_20050111.1335-R10
R11	SHIHUA_20050111.1335-R11
R12	SHIHUA_20050111.1335-R12
R13	SHIHUA_20050111.1335-R13
R14	SHIHUA_20050111.1335-R14
R15	SHIHUA_20050111.1335-R15
R16	SHIHUA_20050111.1335-R16
R17	SHIHUA_20050111.1335-R17
R18	SHIHUA_20050111.1335-R18
R19	SHIHUA_20050111.1335-R19
RM1	SHIHUA_20050111.1335-R1-1
RM2	SHIHUA_20050111.1335-R2-1
RM3	SHIHUA_20050111.1335-R3-1
RM4	SHIHUA_20050111.1335-R4-1
RM5	SHIHUA_20050111.1335-R5-1
RM6	SHIHUA_20050111.1335-R4-2
RM7	SHIHUA_20050111.1335-R4-3
RM8	SHIHUA_20050111.1335-R4-4
RM9	SHIHUA_20050111.1335-R4-5
RM10	SHIHUA_20050111.1335-R10-1
RM11	SHIHUA_20050111.1335-R11-1
RM12	SHIHUA_20050111.1335-R12-1
RM13	SHIHUA_20050111.1335-R13-1
RM14	SHIHUA_20050111.1335-R14-1
RM15	SHIHUA_20050111.1335-R15-1
RM16	SHIHUA_20050111.1335-R16-1
RM17	SHIHUA_20050111.1335-R17-1
RM18	SHIHUA_20050111.1335-R18-1
RM19	SHIHUA_20050111.1335-R10-2
V2	SHIHUA_20050111.1335-EV1
V3	SHIHUA_20050111.1335-EV2
V5	SHIHUA_20050111.1335-EV3
V6	SHIHUA_20050111.1335-EV4
V7	SHIHUA_20050111.1335-EV5
VM2	SHIHUA_20050111.1335-EV1-1
VM3	SHIHUA_20050111.1335-EV2-1
VM5	SHIHUA_20050111.1335-EV3-1
VM6	SHIHUA_20050111.1335-EV4-1
VM7	SHIHUA_20050111.1335-EV5-1
Q1	SHIHUA_20050111.1335-T1
Q2	SHIHUA_20050111.1335-T2
Q3	SHIHUA_20050111.1335-T3
Q4	SHIHUA_20050111.1335-T4
Q5	SHIHUA_20050111.1335-T5
Q7	SHIHUA_20050111.1335-T6
Q8	SHIHUA_20050111.1335-T7
Q9	SHIHUA_20050111.1335-T8
Q10	SHIHUA_20050111.1335-T9
Q11	SHIHUA_20050111.1335-T10
Q12	SHIHUA_20050111.1335-T11
Q13	SHIHUA_20050111.1335-T12
Q14	SHIHUA_20050111.1335-T13
Q15	SHIHUA_20050111.1335-T14
Q16	SHIHUA_20050111.1335-T15
Q17	SHIHUA_20050111.1335-V1
QM17	SHIHUA_20050111.1335-V1-1
