CE13	SHIHUA_20050111.1335-CE1
R2	SHIHUA_20050111.1335-R2
R3	SHIHUA_20050111.1335-R3
R4	SHIHUA_20050111.1335-R4
R5	SHIHUA_20050111.1335-R5
R6	SHIHUA_20050111.1335-R6
R7	SHIHUA_20050111.1335-R7
R8	SHIHUA_20050111.1335-R8
R9	SHIHUA_20050111.1335-R9
R10	SHIHUA_20050111.1335-R10
R11	SHIHUA_20050111.1335-R11
R12	SHIHUA_20050111.1335-R12
R13	SHIHUA_20050111.1335-R13
R14	SHIHUA_20050111.1335-R14
R15	SHIHUA_20050111.1335-R15
R16	SHIHUA_20050111.1335-R16
R17	SHIHUA_20050111.1335-R17
R18	SHIHUA_20050111.1335-R18
R19	SHIHUA_20050111.1335-R19
RM1	SHIHUA_20050111.1335-R1-1
RM2	SHIHUA_20050111.1335-R2-1
RM3	SHIHUA_20050111.1335-R3-1
RM4	SHIHUA_20050111.1335-R4-1
RM5	SHIHUA_20050111.1335-R5-1
RM6	SHIHUA_20050111.1335-R6-1
RM7	SHIHUA_20050111.1335-R7-1
RM8	SHIHUA_20050111.1335-R6-2
RM9	SHIHUA_20050111.1335-R6-3
RM10	SHIHUA_20050111.1335-R5-2
RM11	SHIHUA_20050111.1335-R6-4
RM12	SHIHUA_20050111.1335-R12-1
RM13	SHIHUA_20050111.1335-R13-1
RM14	SHIHUA_20050111.1335-R14-1
RM15	SHIHUA_20050111.1335-R15-1
RM16	SHIHUA_20050111.1335-R16-1
RM17	SHIHUA_20050111.1335-R17-1
RM18	SHIHUA_20050111.1335-R18-1
RM19	SHIHUA_20050111.1335-R12-2
V1	SHIHUA_20050111.1335-EV1
V2	SHIHUA_20050111.1335-EV2
V3	SHIHUA_20050111.1335-EV3
V4	SHIHUA_20050111.1335-EV4
V5	SHIHUA_20050111.1335-EV5
VM1	SHIHUA_20050111.1335-EV1-1
VM2	SHIHUA_20050111.1335-EV2-1
VM3	SHIHUA_20050111.1335-EV3-1
VM4	SHIHUA_20050111.1335-EV4-1
VM5	SHIHUA_20050111.1335-EV5-1
Q1	SHIHUA_20050111.1335-T1
Q2	SHIHUA_20050111.1335-T2
Q3	SHIHUA_20050111.1335-T3
Q4	SHIHUA_20050111.1335-T4
Q5	SHIHUA_20050111.1335-T5
Q6	SHIHUA_20050111.1335-V1
Q7	SHIHUA_20050111.1335-T6
Q8	SHIHUA_20050111.1335-T7
Q9	SHIHUA_20050111.1335-T8
Q10	SHIHUA_20050111.1335-T9
Q11	SHIHUA_20050111.1335-T10
Q12	SHIHUA_20050111.1335-T11
Q13	SHIHUA_20050111.1335-T12
QM6	SHIHUA_20050111.1335-V1-1
