CE13	SHIHUA_20050111.1335-CE1
EM48	SHIHUA_20050111.1335-E34-39
EM55	SHIHUA_20050111.1335-E34-40
EM57	SHIHUA_20050111.1335-E34-41
EM58	SHIHUA_20050111.1335-E34-42
EM59	SHIHUA_20050111.1335-E34-43
EM60	SHIHUA_20050111.1335-E34-44
EM61	SHIHUA_20050111.1335-E34-45
EM62	SHIHUA_20050111.1335-E34-46
EM63	SHIHUA_20050111.1335-E12-47
EM64	SHIHUA_20050111.1335-E14-48
EM65	SHIHUA_20050111.1335-E15-49
EM66	SHIHUA_20050111.1335-E16-50
EM67	SHIHUA_20050111.1335-E34-51
EM68	SHIHUA_20050111.1335-E34-52
EM69	SHIHUA_20050111.1335-E17-53
EM70	SHIHUA_20050111.1335-E3-54
EM71	SHIHUA_20050111.1335-E37-55
EM72	SHIHUA_20050111.1335-E3-56
EM73	SHIHUA_20050111.1335-E34-57
EM74	SHIHUA_20050111.1335-E18-58
EM75	SHIHUA_20050111.1335-E19-59
EM76	SHIHUA_20050111.1335-E20-60
EM77	SHIHUA_20050111.1335-E34-61
EM78	SHIHUA_20050111.1335-E28-62
EM79	SHIHUA_20050111.1335-E21-63
EM80	SHIHUA_20050111.1335-E34-64
EM81	SHIHUA_20050111.1335-E22-65
EM82	SHIHUA_20050111.1335-E3-66
EM83	SHIHUA_20050111.1335-E23-67
EM84	SHIHUA_20050111.1335-E3-68
EM85	SHIHUA_20050111.1335-E24-69
EM88	SHIHUA_20050111.1335-E25-70
EM86	SHIHUA_20050111.1335-E26-71
EM89	SHIHUA_20050111.1335-E28-72
EM90	SHIHUA_20050111.1335-E30-73
EM91	SHIHUA_20050111.1335-E30-74
EM92	SHIHUA_20050111.1335-E34-75
EM93	SHIHUA_20050111.1335-E8-76
EM94	SHIHUA_20050111.1335-E3-77
EM95	SHIHUA_20050111.1335-E34-78
EM96	SHIHUA_20050111.1335-E27-79
EM97	SHIHUA_20050111.1335-E27-80
EM2	SHIHUA_20050111.1335-E28-81
EM4	SHIHUA_20050111.1335-E13-82
EM5	SHIHUA_20050111.1335-E29-83
EM6	SHIHUA_20050111.1335-E30-84
EM7	SHIHUA_20050111.1335-E31-85
EM8	SHIHUA_20050111.1335-E13-86
EM9	SHIHUA_20050111.1335-E32-87
EM10	SHIHUA_20050111.1335-E33-88
EM11	SHIHUA_20050111.1335-E30-89
EM12	SHIHUA_20050111.1335-E34-90
EM13	SHIHUA_20050111.1335-E34-91
EM14	SHIHUA_20050111.1335-E35-92
EM15	SHIHUA_20050111.1335-E36-93
EM16	SHIHUA_20050111.1335-E37-94
EM17	SHIHUA_20050111.1335-E38-95
EM18	SHIHUA_20050111.1335-E31-96
EM19	SHIHUA_20050111.1335-E1-97
R1	SHIHUA_20050111.1335-R1
R4	SHIHUA_20050111.1335-R2
R5	SHIHUA_20050111.1335-R3
R6	SHIHUA_20050111.1335-R4
R7	SHIHUA_20050111.1335-R5
R3	SHIHUA_20050111.1335-R6
R8	SHIHUA_20050111.1335-R7
R10	SHIHUA_20050111.1335-R8
R9	SHIHUA_20050111.1335-R9
R11	SHIHUA_20050111.1335-R10
R12	SHIHUA_20050111.1335-R11
R13	SHIHUA_20050111.1335-R12
R14	SHIHUA_20050111.1335-R13
R15	SHIHUA_20050111.1335-R14
R16	SHIHUA_20050111.1335-R15
R17	SHIHUA_20050111.1335-R16
R18	SHIHUA_20050111.1335-R17
R19	SHIHUA_20050111.1335-R18
RM11	SHIHUA_20050111.1335-R10-1
RM1	SHIHUA_20050111.1335-R1-1
RM4	SHIHUA_20050111.1335-R2-1
RM5	SHIHUA_20050111.1335-R3-1
RM6	SHIHUA_20050111.1335-R4-1
RM7	SHIHUA_20050111.1335-R5-1
RM3	SHIHUA_20050111.1335-R6-1
RM8	SHIHUA_20050111.1335-R10-2
RM10	SHIHUA_20050111.1335-R10-3
RM9	SHIHUA_20050111.1335-R6-2
RM14	SHIHUA_20050111.1335-R13-1
RM12	SHIHUA_20050111.1335-R11-1
RM13	SHIHUA_20050111.1335-R12-1
RM15	SHIHUA_20050111.1335-R14-1
RM16	SHIHUA_20050111.1335-R15-1
RM17	SHIHUA_20050111.1335-R16-1
RM18	SHIHUA_20050111.1335-R17-1
RM19	SHIHUA_20050111.1335-R11-2
V1	SHIHUA_20050111.1335-EV1
V2	SHIHUA_20050111.1335-EV2
V3	SHIHUA_20050111.1335-EV3
V4	SHIHUA_20050111.1335-EV4
V5	SHIHUA_20050111.1335-EV5
VM1	SHIHUA_20050111.1335-EV1-1
VM2	SHIHUA_20050111.1335-EV2-1
VM3	SHIHUA_20050111.1335-EV3-1
VM4	SHIHUA_20050111.1335-EV4-1
VM5	SHIHUA_20050111.1335-EV5-1
Q11	SHIHUA_20050111.1335-T1
Q1	SHIHUA_20050111.1335-T2
Q2	SHIHUA_20050111.1335-T3
Q3	SHIHUA_20050111.1335-T4
Q4	SHIHUA_20050111.1335-T5
Q5	SHIHUA_20050111.1335-T6
Q6	SHIHUA_20050111.1335-V1
Q7	SHIHUA_20050111.1335-T7
Q8	SHIHUA_20050111.1335-T8
Q9	SHIHUA_20050111.1335-T9
Q10	SHIHUA_20050111.1335-T10
Q12	SHIHUA_20050111.1335-T11
Q13	SHIHUA_20050111.1335-T12
Q14	SHIHUA_20050111.1335-T13
QM6	SHIHUA_20050111.1335-V1-1
