CE9	misc.kids.pregnancy_20050120.0404-CE1
EM35	misc.kids.pregnancy_20050120.0404-E4-14
EM36	misc.kids.pregnancy_20050120.0404-E4-15
EM37	misc.kids.pregnancy_20050120.0404-E4-16
EM38	misc.kids.pregnancy_20050120.0404-E4-17
EM39	misc.kids.pregnancy_20050120.0404-E4-18
EM40	misc.kids.pregnancy_20050120.0404-E4-19
EM42	misc.kids.pregnancy_20050120.0404-E5-20
EM44	misc.kids.pregnancy_20050120.0404-E6-21
EM45	misc.kids.pregnancy_20050120.0404-E7-22
EM46	misc.kids.pregnancy_20050120.0404-E11-23
EM43	misc.kids.pregnancy_20050120.0404-E11-24
EM41	misc.kids.pregnancy_20050120.0404-E11-25
EM47	misc.kids.pregnancy_20050120.0404-E7-26
EM48	misc.kids.pregnancy_20050120.0404-E7-27
EM49	misc.kids.pregnancy_20050120.0404-E7-28
EM50	misc.kids.pregnancy_20050120.0404-E7-29
EM51	misc.kids.pregnancy_20050120.0404-E7-30
EM52	misc.kids.pregnancy_20050120.0404-E7-31
EM53	misc.kids.pregnancy_20050120.0404-E7-32
EM54	misc.kids.pregnancy_20050120.0404-E8-33
EM55	misc.kids.pregnancy_20050120.0404-E9-34
EM56	misc.kids.pregnancy_20050120.0404-E9-35
EM57	misc.kids.pregnancy_20050120.0404-E10-36
EM58	misc.kids.pregnancy_20050120.0404-E7-37
EM59	misc.kids.pregnancy_20050120.0404-E6-38
EM2	misc.kids.pregnancy_20050120.0404-E12-39
EM3	misc.kids.pregnancy_20050120.0404-E11-40
EM4	misc.kids.pregnancy_20050120.0404-E11-41
EM5	misc.kids.pregnancy_20050120.0404-E13-42
EM6	misc.kids.pregnancy_20050120.0404-E14-43
EM7	misc.kids.pregnancy_20050120.0404-E11-44
EM8	misc.kids.pregnancy_20050120.0404-E15-45
EM9	misc.kids.pregnancy_20050120.0404-E16-46
EM10	misc.kids.pregnancy_20050120.0404-E14-47
EM11	misc.kids.pregnancy_20050120.0404-E14-48
EM12	misc.kids.pregnancy_20050120.0404-E11-49
EM13	misc.kids.pregnancy_20050120.0404-E11-50
EM14	misc.kids.pregnancy_20050120.0404-E11-51
EM15	misc.kids.pregnancy_20050120.0404-E11-52
EM16	misc.kids.pregnancy_20050120.0404-E11-53
EM18	misc.kids.pregnancy_20050120.0404-E11-54
EM19	misc.kids.pregnancy_20050120.0404-E17-55
EM20	misc.kids.pregnancy_20050120.0404-E17-56
EM21	misc.kids.pregnancy_20050120.0404-E17-57
EM22	misc.kids.pregnancy_20050120.0404-E18-58
R1	misc.kids.pregnancy_20050120.0404-R1
R2	misc.kids.pregnancy_20050120.0404-R2
R3	misc.kids.pregnancy_20050120.0404-R3
R4	misc.kids.pregnancy_20050120.0404-R4
RM1	misc.kids.pregnancy_20050120.0404-R1-1
RM2	misc.kids.pregnancy_20050120.0404-R2-1
RM3	misc.kids.pregnancy_20050120.0404-R3-1
RM4	misc.kids.pregnancy_20050120.0404-R4-1
V1	misc.kids.pregnancy_20050120.0404-EV1
V2	misc.kids.pregnancy_20050120.0404-EV2
V3	misc.kids.pregnancy_20050120.0404-EV3
V4	misc.kids.pregnancy_20050120.0404-EV4
V5	misc.kids.pregnancy_20050120.0404-EV5
V6	misc.kids.pregnancy_20050120.0404-EV6
V7	misc.kids.pregnancy_20050120.0404-EV7
V8	misc.kids.pregnancy_20050120.0404-EV8
VM1	misc.kids.pregnancy_20050120.0404-EV1-1
VM2	misc.kids.pregnancy_20050120.0404-EV2-1
VM3	misc.kids.pregnancy_20050120.0404-EV3-1
VM4	misc.kids.pregnancy_20050120.0404-EV4-1
VM5	misc.kids.pregnancy_20050120.0404-EV5-1
VM6	misc.kids.pregnancy_20050120.0404-EV6-1
VM7	misc.kids.pregnancy_20050120.0404-EV7-1
VM8	misc.kids.pregnancy_20050120.0404-EV8-1
Q1	misc.kids.pregnancy_20050120.0404-T1
Q2	misc.kids.pregnancy_20050120.0404-T2
Q3	misc.kids.pregnancy_20050120.0404-T3
Q4	misc.kids.pregnancy_20050120.0404-T4
Q5	misc.kids.pregnancy_20050120.0404-T5
Q6	misc.kids.pregnancy_20050120.0404-T6
Q7	misc.kids.pregnancy_20050120.0404-T7
