CE13	alt.obituaries_20041121.1339-CE1
VM2	alt.obituaries_20041121.1339-EV1-1
VM3	alt.obituaries_20041121.1339-EV2-1
VM4	alt.obituaries_20041121.1339-EV3-1
Q1	alt.obituaries_20041121.1339-T1
Q2	alt.obituaries_20041121.1339-T2
Q3	alt.obituaries_20041121.1339-T3
Q4	alt.obituaries_20041121.1339-T4
Q5	alt.obituaries_20041121.1339-T5
Q6	alt.obituaries_20041121.1339-T6
Q7	alt.obituaries_20041121.1339-T7
Q8	alt.obituaries_20041121.1339-V1
Q9	alt.obituaries_20041121.1339-T8
Q10	alt.obituaries_20041121.1339-T9
QM8	alt.obituaries_20041121.1339-V1-1
