CE14	soc.culture.jewish_20050130.2105-CE1
E44	soc.culture.jewish_20050130.2105-E27
E46	soc.culture.jewish_20050130.2105-E28
E1	soc.culture.jewish_20050130.2105-E29
E5	soc.culture.jewish_20050130.2105-E30
E6	soc.culture.jewish_20050130.2105-E31
E8	soc.culture.jewish_20050130.2105-E32
E9	soc.culture.jewish_20050130.2105-E33
E10	soc.culture.jewish_20050130.2105-E34
E11	soc.culture.jewish_20050130.2105-E35
E12	soc.culture.jewish_20050130.2105-E36
E13	soc.culture.jewish_20050130.2105-E37
E14	soc.culture.jewish_20050130.2105-E38
E15	soc.culture.jewish_20050130.2105-E39
EM14	soc.culture.jewish_20050130.2105-E2-1
EM15	soc.culture.jewish_20050130.2105-E3-2
EM16	soc.culture.jewish_20050130.2105-E29-3
EM17	soc.culture.jewish_20050130.2105-E4-4
EM18	soc.culture.jewish_20050130.2105-E6-5
EM19	soc.culture.jewish_20050130.2105-E7-6
EM20	soc.culture.jewish_20050130.2105-E36-7
EM21	soc.culture.jewish_20050130.2105-E8-8
EM22	soc.culture.jewish_20050130.2105-E9-9
EM23	soc.culture.jewish_20050130.2105-E10-10
EM24	soc.culture.jewish_20050130.2105-E11-11
EM25	soc.culture.jewish_20050130.2105-E12-12
EM26	soc.culture.jewish_20050130.2105-E3-13
EM27	soc.culture.jewish_20050130.2105-E13-14
EM28	soc.culture.jewish_20050130.2105-E15-15
EM29	soc.culture.jewish_20050130.2105-E29-16
EM30	soc.culture.jewish_20050130.2105-E14-17
EM31	soc.culture.jewish_20050130.2105-E16-18
EM32	soc.culture.jewish_20050130.2105-E17-19
EM33	soc.culture.jewish_20050130.2105-E14-20
EM34	soc.culture.jewish_20050130.2105-E14-21
EM35	soc.culture.jewish_20050130.2105-E29-22
EM36	soc.culture.jewish_20050130.2105-E29-23
EM37	soc.culture.jewish_20050130.2105-E18-24
EM38	soc.culture.jewish_20050130.2105-E34-25
EM39	soc.culture.jewish_20050130.2105-E19-26
EM40	soc.culture.jewish_20050130.2105-E20-27
EM41	soc.culture.jewish_20050130.2105-E21-28
EM42	soc.culture.jewish_20050130.2105-E22-29
EM43	soc.culture.jewish_20050130.2105-E23-30
EM44	soc.culture.jewish_20050130.2105-E24-31
EM45	soc.culture.jewish_20050130.2105-E25-32
EM46	soc.culture.jewish_20050130.2105-E25-33
EM47	soc.culture.jewish_20050130.2105-E29-34
EM48	soc.culture.jewish_20050130.2105-E26-35
EM49	soc.culture.jewish_20050130.2105-E27-36
EM1	soc.culture.jewish_20050130.2105-E29-37
EM51	soc.culture.jewish_20050130.2105-E31-38
EM52	soc.culture.jewish_20050130.2105-E28-39
EM53	soc.culture.jewish_20050130.2105-E3-40
EM54	soc.culture.jewish_20050130.2105-E36-41
EM55	soc.culture.jewish_20050130.2105-E35-42
EM57	soc.culture.jewish_20050130.2105-E36-43
EM50	soc.culture.jewish_20050130.2105-E5-44
EM2	soc.culture.jewish_20050130.2105-E30-45
EM3	soc.culture.jewish_20050130.2105-E31-46
EM4	soc.culture.jewish_20050130.2105-E32-47
EM5	soc.culture.jewish_20050130.2105-E33-48
EM6	soc.culture.jewish_20050130.2105-E34-49
EM7	soc.culture.jewish_20050130.2105-E35-50
EM8	soc.culture.jewish_20050130.2105-E37-51
EM9	soc.culture.jewish_20050130.2105-E38-52
EM10	soc.culture.jewish_20050130.2105-E29-53
EM11	soc.culture.jewish_20050130.2105-E29-54
EM12	soc.culture.jewish_20050130.2105-E39-55
EM13	soc.culture.jewish_20050130.2105-E1-56
R1	soc.culture.jewish_20050130.2105-R1
R2	soc.culture.jewish_20050130.2105-R2
R3	soc.culture.jewish_20050130.2105-R3
R4	soc.culture.jewish_20050130.2105-R4
R6	soc.culture.jewish_20050130.2105-R5
R7	soc.culture.jewish_20050130.2105-R6
R8	soc.culture.jewish_20050130.2105-R7
R9	soc.culture.jewish_20050130.2105-R8
RM1	soc.culture.jewish_20050130.2105-R1-1
RM2	soc.culture.jewish_20050130.2105-R2-1
RM3	soc.culture.jewish_20050130.2105-R3-1
RM4	soc.culture.jewish_20050130.2105-R4-1
RM6	soc.culture.jewish_20050130.2105-R5-1
RM7	soc.culture.jewish_20050130.2105-R6-1
RM8	soc.culture.jewish_20050130.2105-R7-1
RM9	soc.culture.jewish_20050130.2105-R8-1
V1	soc.culture.jewish_20050130.2105-EV1
V2	soc.culture.jewish_20050130.2105-EV2
V3	soc.culture.jewish_20050130.2105-EV3
V4	soc.culture.jewish_20050130.2105-EV4
V5	soc.culture.jewish_20050130.2105-EV5
V6	soc.culture.jewish_20050130.2105-EV6
V7	soc.culture.jewish_20050130.2105-EV7
V8	soc.culture.jewish_20050130.2105-EV8
V10	soc.culture.jewish_20050130.2105-EV9
V11	soc.culture.jewish_20050130.2105-EV10
V12	soc.culture.jewish_20050130.2105-EV11
VM1	soc.culture.jewish_20050130.2105-EV1-1
VM2	soc.culture.jewish_20050130.2105-EV2-1
VM3	soc.culture.jewish_20050130.2105-EV3-1
VM4	soc.culture.jewish_20050130.2105-EV4-1
VM5	soc.culture.jewish_20050130.2105-EV5-1
VM6	soc.culture.jewish_20050130.2105-EV6-1
VM7	soc.culture.jewish_20050130.2105-EV7-1
VM8	soc.culture.jewish_20050130.2105-EV8-1
VM9	soc.culture.jewish_20050130.2105-EV5-2
VM10	soc.culture.jewish_20050130.2105-EV9-1
VM11	soc.culture.jewish_20050130.2105-EV10-1
VM12	soc.culture.jewish_20050130.2105-EV5-3
VM13	soc.culture.jewish_20050130.2105-EV11-1
Q1	soc.culture.jewish_20050130.2105-T1
Q2	soc.culture.jewish_20050130.2105-V1
Q3	soc.culture.jewish_20050130.2105-T2
Q4	soc.culture.jewish_20050130.2105-T3
Q5	soc.culture.jewish_20050130.2105-T4
Q6	soc.culture.jewish_20050130.2105-T5
Q7	soc.culture.jewish_20050130.2105-T6
Q8	soc.culture.jewish_20050130.2105-T7
Q9	soc.culture.jewish_20050130.2105-T8
QM2	soc.culture.jewish_20050130.2105-V1-1
