CE9	rec.arts.mystery_20050219.1126-CE1
Q9	rec.arts.mystery_20050219.1126-T9
Q10	rec.arts.mystery_20050219.1126-T10
Q11	rec.arts.mystery_20050219.1126-T11
Q12	rec.arts.mystery_20050219.1126-T12
Q13	rec.arts.mystery_20050219.1126-T13
Q14	rec.arts.mystery_20050219.1126-T14
Q15	rec.arts.mystery_20050219.1126-T15
Q16	rec.arts.mystery_20050219.1126-T16
Q17	rec.arts.mystery_20050219.1126-T17
Q18	rec.arts.mystery_20050219.1126-T18
Q19	rec.arts.mystery_20050219.1126-T19
Q20	rec.arts.mystery_20050219.1126-T20
