CE13	alt.sys.pc-clone.dell_20050226.2350-CE1
E34	alt.sys.pc-clone.dell_20050226.2350-E14
E35	alt.sys.pc-clone.dell_20050226.2350-E15
E36	alt.sys.pc-clone.dell_20050226.2350-E16
E37	alt.sys.pc-clone.dell_20050226.2350-E17
E38	alt.sys.pc-clone.dell_20050226.2350-E18
E39	alt.sys.pc-clone.dell_20050226.2350-E19
E40	alt.sys.pc-clone.dell_20050226.2350-E20
E41	alt.sys.pc-clone.dell_20050226.2350-E21
E42	alt.sys.pc-clone.dell_20050226.2350-E22
E43	alt.sys.pc-clone.dell_20050226.2350-E23
E44	alt.sys.pc-clone.dell_20050226.2350-E24
E45	alt.sys.pc-clone.dell_20050226.2350-E25
E46	alt.sys.pc-clone.dell_20050226.2350-E26
E47	alt.sys.pc-clone.dell_20050226.2350-E27
E48	alt.sys.pc-clone.dell_20050226.2350-E28
E49	alt.sys.pc-clone.dell_20050226.2350-E29
E50	alt.sys.pc-clone.dell_20050226.2350-E30
E51	alt.sys.pc-clone.dell_20050226.2350-E31
E52	alt.sys.pc-clone.dell_20050226.2350-E32
E54	alt.sys.pc-clone.dell_20050226.2350-E33
E2	alt.sys.pc-clone.dell_20050226.2350-E34
E3	alt.sys.pc-clone.dell_20050226.2350-E35
E4	alt.sys.pc-clone.dell_20050226.2350-E36
E5	alt.sys.pc-clone.dell_20050226.2350-E37
E6	alt.sys.pc-clone.dell_20050226.2350-E38
E7	alt.sys.pc-clone.dell_20050226.2350-E39
E8	alt.sys.pc-clone.dell_20050226.2350-E40
E9	alt.sys.pc-clone.dell_20050226.2350-E41
E10	alt.sys.pc-clone.dell_20050226.2350-E42
E11	alt.sys.pc-clone.dell_20050226.2350-E43
E12	alt.sys.pc-clone.dell_20050226.2350-E44
EM25	alt.sys.pc-clone.dell_20050226.2350-E1-1
EM26	alt.sys.pc-clone.dell_20050226.2350-E35-2
EM27	alt.sys.pc-clone.dell_20050226.2350-E35-3
EM28	alt.sys.pc-clone.dell_20050226.2350-E1-4
EM29	alt.sys.pc-clone.dell_20050226.2350-E2-5
EM30	alt.sys.pc-clone.dell_20050226.2350-E34-6
EM31	alt.sys.pc-clone.dell_20050226.2350-E34-7
EM32	alt.sys.pc-clone.dell_20050226.2350-E1-8
EM33	alt.sys.pc-clone.dell_20050226.2350-E3-9
EM34	alt.sys.pc-clone.dell_20050226.2350-E1-10
EM35	alt.sys.pc-clone.dell_20050226.2350-E40-11
EM36	alt.sys.pc-clone.dell_20050226.2350-E1-12
EM37	alt.sys.pc-clone.dell_20050226.2350-E4-13
EM38	alt.sys.pc-clone.dell_20050226.2350-E4-14
EM39	alt.sys.pc-clone.dell_20050226.2350-E5-15
EM40	alt.sys.pc-clone.dell_20050226.2350-E6-16
EM41	alt.sys.pc-clone.dell_20050226.2350-E1-17
EM50	alt.sys.pc-clone.dell_20050226.2350-E7-18
EM51	alt.sys.pc-clone.dell_20050226.2350-E8-19
EM52	alt.sys.pc-clone.dell_20050226.2350-E9-20
EM53	alt.sys.pc-clone.dell_20050226.2350-E7-21
EM54	alt.sys.pc-clone.dell_20050226.2350-E7-22
EM55	alt.sys.pc-clone.dell_20050226.2350-E10-23
EM59	alt.sys.pc-clone.dell_20050226.2350-E11-24
EM60	alt.sys.pc-clone.dell_20050226.2350-E12-25
EM61	alt.sys.pc-clone.dell_20050226.2350-E13-26
EM62	alt.sys.pc-clone.dell_20050226.2350-E8-27
EM63	alt.sys.pc-clone.dell_20050226.2350-E7-28
EM64	alt.sys.pc-clone.dell_20050226.2350-E14-29
EM65	alt.sys.pc-clone.dell_20050226.2350-E8-30
EM66	alt.sys.pc-clone.dell_20050226.2350-E15-31
EM67	alt.sys.pc-clone.dell_20050226.2350-E16-32
EM68	alt.sys.pc-clone.dell_20050226.2350-E7-33
EM69	alt.sys.pc-clone.dell_20050226.2350-E42-34
EM70	alt.sys.pc-clone.dell_20050226.2350-E17-35
EM71	alt.sys.pc-clone.dell_20050226.2350-E17-36
EM72	alt.sys.pc-clone.dell_20050226.2350-E17-37
EM73	alt.sys.pc-clone.dell_20050226.2350-E18-38
EM74	alt.sys.pc-clone.dell_20050226.2350-E19-39
EM75	alt.sys.pc-clone.dell_20050226.2350-E19-40
EM76	alt.sys.pc-clone.dell_20050226.2350-E7-41
EM77	alt.sys.pc-clone.dell_20050226.2350-E11-42
EM78	alt.sys.pc-clone.dell_20050226.2350-E11-43
EM79	alt.sys.pc-clone.dell_20050226.2350-E18-44
EM80	alt.sys.pc-clone.dell_20050226.2350-E20-45
EM81	alt.sys.pc-clone.dell_20050226.2350-E20-46
EM82	alt.sys.pc-clone.dell_20050226.2350-E20-47
EM83	alt.sys.pc-clone.dell_20050226.2350-E21-48
EM84	alt.sys.pc-clone.dell_20050226.2350-E20-49
EM86	alt.sys.pc-clone.dell_20050226.2350-E22-50
EM87	alt.sys.pc-clone.dell_20050226.2350-E23-51
EM2	alt.sys.pc-clone.dell_20050226.2350-E34-52
EM88	alt.sys.pc-clone.dell_20050226.2350-E24-53
EM89	alt.sys.pc-clone.dell_20050226.2350-E25-54
EM90	alt.sys.pc-clone.dell_20050226.2350-E23-55
EM91	alt.sys.pc-clone.dell_20050226.2350-E23-56
EM92	alt.sys.pc-clone.dell_20050226.2350-E23-57
EM93	alt.sys.pc-clone.dell_20050226.2350-E26-58
EM94	alt.sys.pc-clone.dell_20050226.2350-E27-59
EM95	alt.sys.pc-clone.dell_20050226.2350-E28-60
EM96	alt.sys.pc-clone.dell_20050226.2350-E29-61
EM97	alt.sys.pc-clone.dell_20050226.2350-E29-62
EM98	alt.sys.pc-clone.dell_20050226.2350-E30-63
EM99	alt.sys.pc-clone.dell_20050226.2350-E27-64
EM100	alt.sys.pc-clone.dell_20050226.2350-E31-65
EM102	alt.sys.pc-clone.dell_20050226.2350-E32-66
EM103	alt.sys.pc-clone.dell_20050226.2350-E32-67
EM104	alt.sys.pc-clone.dell_20050226.2350-E32-68
EM105	alt.sys.pc-clone.dell_20050226.2350-E33-69
EM106	alt.sys.pc-clone.dell_20050226.2350-E33-70
EM107	alt.sys.pc-clone.dell_20050226.2350-E33-71
EM108	alt.sys.pc-clone.dell_20050226.2350-E23-72
EM109	alt.sys.pc-clone.dell_20050226.2350-E28-73
EM110	alt.sys.pc-clone.dell_20050226.2350-E31-74
EM111	alt.sys.pc-clone.dell_20050226.2350-E11-75
EM112	alt.sys.pc-clone.dell_20050226.2350-E22-76
EM3	alt.sys.pc-clone.dell_20050226.2350-E35-77
EM4	alt.sys.pc-clone.dell_20050226.2350-E34-78
EM6	alt.sys.pc-clone.dell_20050226.2350-E35-79
EM7	alt.sys.pc-clone.dell_20050226.2350-E36-80
EM8	alt.sys.pc-clone.dell_20050226.2350-E37-81
EM9	alt.sys.pc-clone.dell_20050226.2350-E38-82
EM10	alt.sys.pc-clone.dell_20050226.2350-E39-83
EM11	alt.sys.pc-clone.dell_20050226.2350-E40-84
EM12	alt.sys.pc-clone.dell_20050226.2350-E41-85
EM13	alt.sys.pc-clone.dell_20050226.2350-E42-86
EM14	alt.sys.pc-clone.dell_20050226.2350-E43-87
EM15	alt.sys.pc-clone.dell_20050226.2350-E44-88
R3	alt.sys.pc-clone.dell_20050226.2350-R1
RM3	alt.sys.pc-clone.dell_20050226.2350-R1-1
V1	alt.sys.pc-clone.dell_20050226.2350-EV1
V2	alt.sys.pc-clone.dell_20050226.2350-EV2
V3	alt.sys.pc-clone.dell_20050226.2350-EV3
V4	alt.sys.pc-clone.dell_20050226.2350-EV4
V5	alt.sys.pc-clone.dell_20050226.2350-EV5
V6	alt.sys.pc-clone.dell_20050226.2350-EV6
V7	alt.sys.pc-clone.dell_20050226.2350-EV7
V8	alt.sys.pc-clone.dell_20050226.2350-EV8
VM1	alt.sys.pc-clone.dell_20050226.2350-EV1-1
VM2	alt.sys.pc-clone.dell_20050226.2350-EV2-1
VM3	alt.sys.pc-clone.dell_20050226.2350-EV2-2
VM4	alt.sys.pc-clone.dell_20050226.2350-EV2-3
VM5	alt.sys.pc-clone.dell_20050226.2350-EV3-1
VM6	alt.sys.pc-clone.dell_20050226.2350-EV4-1
VM7	alt.sys.pc-clone.dell_20050226.2350-EV5-1
VM9	alt.sys.pc-clone.dell_20050226.2350-EV5-2
VM10	alt.sys.pc-clone.dell_20050226.2350-EV2-4
VM11	alt.sys.pc-clone.dell_20050226.2350-EV2-5
VM13	alt.sys.pc-clone.dell_20050226.2350-EV2-6
VM14	alt.sys.pc-clone.dell_20050226.2350-EV6-1
VM15	alt.sys.pc-clone.dell_20050226.2350-EV7-1
VM16	alt.sys.pc-clone.dell_20050226.2350-EV7-2
VM17	alt.sys.pc-clone.dell_20050226.2350-EV8-1
VM18	alt.sys.pc-clone.dell_20050226.2350-EV2-7
Q1	alt.sys.pc-clone.dell_20050226.2350-T1
Q2	alt.sys.pc-clone.dell_20050226.2350-T2
Q3	alt.sys.pc-clone.dell_20050226.2350-T3
Q4	alt.sys.pc-clone.dell_20050226.2350-T4
Q5	alt.sys.pc-clone.dell_20050226.2350-V1
Q6	alt.sys.pc-clone.dell_20050226.2350-T5
Q7	alt.sys.pc-clone.dell_20050226.2350-T6
Q10	alt.sys.pc-clone.dell_20050226.2350-V2
Q11	alt.sys.pc-clone.dell_20050226.2350-T7
Q12	alt.sys.pc-clone.dell_20050226.2350-T8
Q14	alt.sys.pc-clone.dell_20050226.2350-V3
QM5	alt.sys.pc-clone.dell_20050226.2350-V1-1
QM10	alt.sys.pc-clone.dell_20050226.2350-V2-1
QM14	alt.sys.pc-clone.dell_20050226.2350-V3-1
