CE8	alt.politics.economics_20041206.1835-CE1
RM2	alt.politics.economics_20041206.1835-R2-1
RM3	alt.politics.economics_20041206.1835-R3-1
RM4	alt.politics.economics_20041206.1835-R4-1
RM5	alt.politics.economics_20041206.1835-R5-1
RM6	alt.politics.economics_20041206.1835-R6-1
RM7	alt.politics.economics_20041206.1835-R7-1
RM8	alt.politics.economics_20041206.1835-R8-1
RM9	alt.politics.economics_20041206.1835-R9-1
RM10	alt.politics.economics_20041206.1835-R10-1
RM12	alt.politics.economics_20041206.1835-R3-2
Q1	alt.politics.economics_20041206.1835-T1
Q2	alt.politics.economics_20041206.1835-T2
Q3	alt.politics.economics_20041206.1835-T3
Q4	alt.politics.economics_20041206.1835-T4
