CE12	soc.history.what-if_20050129.1404-CE1
E31	soc.history.what-if_20050129.1404-E20
E32	soc.history.what-if_20050129.1404-E21
E33	soc.history.what-if_20050129.1404-E22
E34	soc.history.what-if_20050129.1404-E23
E35	soc.history.what-if_20050129.1404-E24
E36	soc.history.what-if_20050129.1404-E25
E37	soc.history.what-if_20050129.1404-E26
E38	soc.history.what-if_20050129.1404-E27
E39	soc.history.what-if_20050129.1404-E28
E40	soc.history.what-if_20050129.1404-E29
E41	soc.history.what-if_20050129.1404-E30
E42	soc.history.what-if_20050129.1404-E31
E43	soc.history.what-if_20050129.1404-E32
E44	soc.history.what-if_20050129.1404-E33
E45	soc.history.what-if_20050129.1404-E34
E46	soc.history.what-if_20050129.1404-E35
E2	soc.history.what-if_20050129.1404-E36
E3	soc.history.what-if_20050129.1404-E37
E4	soc.history.what-if_20050129.1404-E38
E5	soc.history.what-if_20050129.1404-E39
E6	soc.history.what-if_20050129.1404-E40
E7	soc.history.what-if_20050129.1404-E41
E8	soc.history.what-if_20050129.1404-E42
E9	soc.history.what-if_20050129.1404-E43
E10	soc.history.what-if_20050129.1404-E44
E11	soc.history.what-if_20050129.1404-E45
EM1	soc.history.what-if_20050129.1404-E17-1
EM20	soc.history.what-if_20050129.1404-E38-2
EM21	soc.history.what-if_20050129.1404-E37-3
EM22	soc.history.what-if_20050129.1404-E37-4
EM23	soc.history.what-if_20050129.1404-E36-5
EM24	soc.history.what-if_20050129.1404-E45-6
EM25	soc.history.what-if_20050129.1404-E1-7
EM26	soc.history.what-if_20050129.1404-E2-8
EM27	soc.history.what-if_20050129.1404-E3-9
EM28	soc.history.what-if_20050129.1404-E4-10
EM29	soc.history.what-if_20050129.1404-E36-11
EM30	soc.history.what-if_20050129.1404-E5-12
EM31	soc.history.what-if_20050129.1404-E6-13
EM32	soc.history.what-if_20050129.1404-E7-14
EM33	soc.history.what-if_20050129.1404-E7-15
EM34	soc.history.what-if_20050129.1404-E36-16
EM35	soc.history.what-if_20050129.1404-E8-17
EM37	soc.history.what-if_20050129.1404-E9-18
EM38	soc.history.what-if_20050129.1404-E4-19
EM39	soc.history.what-if_20050129.1404-E3-20
EM40	soc.history.what-if_20050129.1404-E2-21
EM41	soc.history.what-if_20050129.1404-E36-22
EM42	soc.history.what-if_20050129.1404-E8-23
EM43	soc.history.what-if_20050129.1404-E36-24
EM44	soc.history.what-if_20050129.1404-E36-25
EM45	soc.history.what-if_20050129.1404-E45-26
EM46	soc.history.what-if_20050129.1404-E36-27
EM47	soc.history.what-if_20050129.1404-E10-28
EM48	soc.history.what-if_20050129.1404-E36-29
EM49	soc.history.what-if_20050129.1404-E11-30
EM50	soc.history.what-if_20050129.1404-E36-31
EM51	soc.history.what-if_20050129.1404-E45-32
EM52	soc.history.what-if_20050129.1404-E36-33
EM53	soc.history.what-if_20050129.1404-E36-34
EM54	soc.history.what-if_20050129.1404-E12-35
EM55	soc.history.what-if_20050129.1404-E13-36
EM56	soc.history.what-if_20050129.1404-E12-37
EM57	soc.history.what-if_20050129.1404-E14-38
EM58	soc.history.what-if_20050129.1404-E15-39
EM59	soc.history.what-if_20050129.1404-E14-40
EM60	soc.history.what-if_20050129.1404-E36-41
EM61	soc.history.what-if_20050129.1404-E38-42
EM62	soc.history.what-if_20050129.1404-E38-43
EM63	soc.history.what-if_20050129.1404-E16-44
EM64	soc.history.what-if_20050129.1404-E18-45
EM65	soc.history.what-if_20050129.1404-E19-46
EM67	soc.history.what-if_20050129.1404-E20-47
EM68	soc.history.what-if_20050129.1404-E21-48
EM66	soc.history.what-if_20050129.1404-E38-49
EM69	soc.history.what-if_20050129.1404-E38-50
EM71	soc.history.what-if_20050129.1404-E22-51
EM72	soc.history.what-if_20050129.1404-E38-52
EM73	soc.history.what-if_20050129.1404-E38-53
EM74	soc.history.what-if_20050129.1404-E38-54
EM76	soc.history.what-if_20050129.1404-E40-55
EM77	soc.history.what-if_20050129.1404-E42-56
EM78	soc.history.what-if_20050129.1404-E23-57
EM79	soc.history.what-if_20050129.1404-E24-58
EM80	soc.history.what-if_20050129.1404-E25-59
EM81	soc.history.what-if_20050129.1404-E26-60
EM82	soc.history.what-if_20050129.1404-E27-61
EM83	soc.history.what-if_20050129.1404-E14-62
EM84	soc.history.what-if_20050129.1404-E24-63
EM85	soc.history.what-if_20050129.1404-E45-64
EM86	soc.history.what-if_20050129.1404-E28-65
EM87	soc.history.what-if_20050129.1404-E29-66
EM88	soc.history.what-if_20050129.1404-E30-67
EM89	soc.history.what-if_20050129.1404-E31-68
EM90	soc.history.what-if_20050129.1404-E26-69
EM91	soc.history.what-if_20050129.1404-E26-70
EM92	soc.history.what-if_20050129.1404-E24-71
EM93	soc.history.what-if_20050129.1404-E14-72
EM94	soc.history.what-if_20050129.1404-E24-73
EM95	soc.history.what-if_20050129.1404-E26-74
EM96	soc.history.what-if_20050129.1404-E32-75
EM97	soc.history.what-if_20050129.1404-E14-76
EM98	soc.history.what-if_20050129.1404-E43-77
EM99	soc.history.what-if_20050129.1404-E36-78
EM100	soc.history.what-if_20050129.1404-E38-79
EM102	soc.history.what-if_20050129.1404-E36-80
EM103	soc.history.what-if_20050129.1404-E11-81
EM104	soc.history.what-if_20050129.1404-E33-82
EM105	soc.history.what-if_20050129.1404-E34-83
EM106	soc.history.what-if_20050129.1404-E35-84
EM2	soc.history.what-if_20050129.1404-E36-85
EM3	soc.history.what-if_20050129.1404-E37-86
EM4	soc.history.what-if_20050129.1404-E38-87
EM5	soc.history.what-if_20050129.1404-E39-88
EM6	soc.history.what-if_20050129.1404-E40-89
EM7	soc.history.what-if_20050129.1404-E41-90
EM8	soc.history.what-if_20050129.1404-E42-91
EM9	soc.history.what-if_20050129.1404-E36-92
EM10	soc.history.what-if_20050129.1404-E36-93
EM11	soc.history.what-if_20050129.1404-E38-94
EM12	soc.history.what-if_20050129.1404-E43-95
EM13	soc.history.what-if_20050129.1404-E38-96
EM14	soc.history.what-if_20050129.1404-E44-97
EM15	soc.history.what-if_20050129.1404-E36-98
EM16	soc.history.what-if_20050129.1404-E45-99
EM17	soc.history.what-if_20050129.1404-E37-100
EM18	soc.history.what-if_20050129.1404-E37-101
EM19	soc.history.what-if_20050129.1404-E39-102
R1	soc.history.what-if_20050129.1404-R1
R2	soc.history.what-if_20050129.1404-R2
R3	soc.history.what-if_20050129.1404-R3
R4	soc.history.what-if_20050129.1404-R4
R5	soc.history.what-if_20050129.1404-R5
R6	soc.history.what-if_20050129.1404-R6
R7	soc.history.what-if_20050129.1404-R7
RM1	soc.history.what-if_20050129.1404-R1-1
RM2	soc.history.what-if_20050129.1404-R2-1
RM3	soc.history.what-if_20050129.1404-R3-1
RM4	soc.history.what-if_20050129.1404-R4-1
RM5	soc.history.what-if_20050129.1404-R5-1
RM6	soc.history.what-if_20050129.1404-R6-1
RM7	soc.history.what-if_20050129.1404-R6-2
V1	soc.history.what-if_20050129.1404-EV1
V2	soc.history.what-if_20050129.1404-EV2
V3	soc.history.what-if_20050129.1404-EV3
V4	soc.history.what-if_20050129.1404-EV4
V5	soc.history.what-if_20050129.1404-EV5
VM1	soc.history.what-if_20050129.1404-EV1-1
VM2	soc.history.what-if_20050129.1404-EV2-1
VM3	soc.history.what-if_20050129.1404-EV3-1
VM4	soc.history.what-if_20050129.1404-EV4-1
VM5	soc.history.what-if_20050129.1404-EV5-1
Q7	soc.history.what-if_20050129.1404-V1
Q8	soc.history.what-if_20050129.1404-T1
Q9	soc.history.what-if_20050129.1404-V2
Q10	soc.history.what-if_20050129.1404-V3
Q1	soc.history.what-if_20050129.1404-T2
Q2	soc.history.what-if_20050129.1404-T3
Q3	soc.history.what-if_20050129.1404-T4
Q4	soc.history.what-if_20050129.1404-T5
Q5	soc.history.what-if_20050129.1404-V4
Q6	soc.history.what-if_20050129.1404-T6
QM7	soc.history.what-if_20050129.1404-V1-1
QM9	soc.history.what-if_20050129.1404-V2-1
QM10	soc.history.what-if_20050129.1404-V3-1
QM5	soc.history.what-if_20050129.1404-V4-1
