CE12	rec.sport.disc_20050209.2202-CE1
E65	rec.sport.disc_20050209.2202-E48
E66	rec.sport.disc_20050209.2202-E49
E67	rec.sport.disc_20050209.2202-E50
E68	rec.sport.disc_20050209.2202-E51
E69	rec.sport.disc_20050209.2202-E52
E70	rec.sport.disc_20050209.2202-E53
E71	rec.sport.disc_20050209.2202-E54
E72	rec.sport.disc_20050209.2202-E55
E73	rec.sport.disc_20050209.2202-E56
E74	rec.sport.disc_20050209.2202-E57
E3	rec.sport.disc_20050209.2202-E58
E75	rec.sport.disc_20050209.2202-E59
E76	rec.sport.disc_20050209.2202-E60
E77	rec.sport.disc_20050209.2202-E61
E78	rec.sport.disc_20050209.2202-E62
E80	rec.sport.disc_20050209.2202-E63
E4	rec.sport.disc_20050209.2202-E64
E5	rec.sport.disc_20050209.2202-E65
E6	rec.sport.disc_20050209.2202-E66
E7	rec.sport.disc_20050209.2202-E67
E8	rec.sport.disc_20050209.2202-E68
E9	rec.sport.disc_20050209.2202-E69
E10	rec.sport.disc_20050209.2202-E70
E34	rec.sport.disc_20050209.2202-E71
E13	rec.sport.disc_20050209.2202-E72
E14	rec.sport.disc_20050209.2202-E73
E15	rec.sport.disc_20050209.2202-E74
EM1	rec.sport.disc_20050209.2202-E40-1
EM18	rec.sport.disc_20050209.2202-E66-2
EM19	rec.sport.disc_20050209.2202-E1-3
EM20	rec.sport.disc_20050209.2202-E2-4
EM21	rec.sport.disc_20050209.2202-E70-5
EM22	rec.sport.disc_20050209.2202-E69-6
EM23	rec.sport.disc_20050209.2202-E70-7
EM24	rec.sport.disc_20050209.2202-E3-8
EM25	rec.sport.disc_20050209.2202-E4-9
EM26	rec.sport.disc_20050209.2202-E5-10
EM27	rec.sport.disc_20050209.2202-E70-11
EM28	rec.sport.disc_20050209.2202-E6-12
EM29	rec.sport.disc_20050209.2202-E7-13
EM30	rec.sport.disc_20050209.2202-E70-14
EM31	rec.sport.disc_20050209.2202-E8-15
EM32	rec.sport.disc_20050209.2202-E70-16
EM33	rec.sport.disc_20050209.2202-E70-17
EM34	rec.sport.disc_20050209.2202-E9-18
EM35	rec.sport.disc_20050209.2202-E70-19
EM36	rec.sport.disc_20050209.2202-E10-20
EM37	rec.sport.disc_20050209.2202-E70-21
EM38	rec.sport.disc_20050209.2202-E70-22
EM39	rec.sport.disc_20050209.2202-E70-23
EM40	rec.sport.disc_20050209.2202-E11-24
EM41	rec.sport.disc_20050209.2202-E70-25
EM42	rec.sport.disc_20050209.2202-E12-26
EM43	rec.sport.disc_20050209.2202-E13-27
EM44	rec.sport.disc_20050209.2202-E69-28
EM45	rec.sport.disc_20050209.2202-E14-29
EM47	rec.sport.disc_20050209.2202-E15-30
EM201	rec.sport.disc_20050209.2202-E20-31
EM49	rec.sport.disc_20050209.2202-E16-32
EM60	rec.sport.disc_20050209.2202-E66-33
EM51	rec.sport.disc_20050209.2202-E15-34
EM52	rec.sport.disc_20050209.2202-E15-35
EM53	rec.sport.disc_20050209.2202-E17-36
EM54	rec.sport.disc_20050209.2202-E66-37
EM55	rec.sport.disc_20050209.2202-E18-38
EM56	rec.sport.disc_20050209.2202-E58-39
EM57	rec.sport.disc_20050209.2202-E66-40
EM61	rec.sport.disc_20050209.2202-E69-41
EM62	rec.sport.disc_20050209.2202-E19-42
EM63	rec.sport.disc_20050209.2202-E58-43
EM202	rec.sport.disc_20050209.2202-E21-44
EM67	rec.sport.disc_20050209.2202-E15-45
EM69	rec.sport.disc_20050209.2202-E70-46
EM70	rec.sport.disc_20050209.2202-E70-47
EM71	rec.sport.disc_20050209.2202-E22-48
EM72	rec.sport.disc_20050209.2202-E23-49
EM73	rec.sport.disc_20050209.2202-E24-50
EM74	rec.sport.disc_20050209.2202-E22-51
EM75	rec.sport.disc_20050209.2202-E25-52
EM76	rec.sport.disc_20050209.2202-E26-53
EM77	rec.sport.disc_20050209.2202-E22-54
EM78	rec.sport.disc_20050209.2202-E22-55
EM79	rec.sport.disc_20050209.2202-E22-56
EM80	rec.sport.disc_20050209.2202-E22-57
EM81	rec.sport.disc_20050209.2202-E28-58
EM82	rec.sport.disc_20050209.2202-E24-59
EM83	rec.sport.disc_20050209.2202-E27-60
EM84	rec.sport.disc_20050209.2202-E29-61
EM85	rec.sport.disc_20050209.2202-E30-62
EM86	rec.sport.disc_20050209.2202-E31-63
EM87	rec.sport.disc_20050209.2202-E32-64
EM88	rec.sport.disc_20050209.2202-E58-65
EM89	rec.sport.disc_20050209.2202-E66-66
EM90	rec.sport.disc_20050209.2202-E69-67
EM91	rec.sport.disc_20050209.2202-E70-68
EM92	rec.sport.disc_20050209.2202-E70-69
EM93	rec.sport.disc_20050209.2202-E70-70
EM94	rec.sport.disc_20050209.2202-E70-71
EM203	rec.sport.disc_20050209.2202-E55-72
EM97	rec.sport.disc_20050209.2202-E33-73
EM98	rec.sport.disc_20050209.2202-E66-74
EM99	rec.sport.disc_20050209.2202-E70-75
EM204	rec.sport.disc_20050209.2202-E48-76
EM205	rec.sport.disc_20050209.2202-E66-77
EM101	rec.sport.disc_20050209.2202-E71-78
EM102	rec.sport.disc_20050209.2202-E34-79
EM104	rec.sport.disc_20050209.2202-E66-80
EM105	rec.sport.disc_20050209.2202-E35-81
EM106	rec.sport.disc_20050209.2202-E58-82
EM107	rec.sport.disc_20050209.2202-E36-83
EM108	rec.sport.disc_20050209.2202-E37-84
EM109	rec.sport.disc_20050209.2202-E38-85
EM110	rec.sport.disc_20050209.2202-E39-86
EM111	rec.sport.disc_20050209.2202-E71-87
EM112	rec.sport.disc_20050209.2202-E41-88
EM113	rec.sport.disc_20050209.2202-E24-89
EM114	rec.sport.disc_20050209.2202-E27-90
EM115	rec.sport.disc_20050209.2202-E36-91
EM116	rec.sport.disc_20050209.2202-E41-92
EM117	rec.sport.disc_20050209.2202-E41-93
EM118	rec.sport.disc_20050209.2202-E41-94
EM119	rec.sport.disc_20050209.2202-E41-95
EM120	rec.sport.disc_20050209.2202-E42-96
EM121	rec.sport.disc_20050209.2202-E41-97
EM122	rec.sport.disc_20050209.2202-E43-98
EM123	rec.sport.disc_20050209.2202-E41-99
EM124	rec.sport.disc_20050209.2202-E44-100
EM125	rec.sport.disc_20050209.2202-E45-101
EM206	rec.sport.disc_20050209.2202-E48-102
EM127	rec.sport.disc_20050209.2202-E41-103
EM128	rec.sport.disc_20050209.2202-E41-104
EM130	rec.sport.disc_20050209.2202-E41-105
EM131	rec.sport.disc_20050209.2202-E36-106
EM133	rec.sport.disc_20050209.2202-E47-107
EM2	rec.sport.disc_20050209.2202-E58-108
EM134	rec.sport.disc_20050209.2202-E23-109
EM136	rec.sport.disc_20050209.2202-E46-110
EM137	rec.sport.disc_20050209.2202-E48-111
EM139	rec.sport.disc_20050209.2202-E36-112
EM140	rec.sport.disc_20050209.2202-E49-113
EM141	rec.sport.disc_20050209.2202-E49-114
EM142	rec.sport.disc_20050209.2202-E49-115
EM143	rec.sport.disc_20050209.2202-E49-116
EM144	rec.sport.disc_20050209.2202-E49-117
EM145	rec.sport.disc_20050209.2202-E49-118
EM146	rec.sport.disc_20050209.2202-E41-119
EM147	rec.sport.disc_20050209.2202-E41-120
EM148	rec.sport.disc_20050209.2202-E50-121
EM149	rec.sport.disc_20050209.2202-E41-122
EM150	rec.sport.disc_20050209.2202-E48-123
EM152	rec.sport.disc_20050209.2202-E41-124
EM153	rec.sport.disc_20050209.2202-E36-125
EM154	rec.sport.disc_20050209.2202-E51-126
EM155	rec.sport.disc_20050209.2202-E52-127
EM156	rec.sport.disc_20050209.2202-E41-128
EM157	rec.sport.disc_20050209.2202-E53-129
EM158	rec.sport.disc_20050209.2202-E70-130
EM159	rec.sport.disc_20050209.2202-E70-131
EM160	rec.sport.disc_20050209.2202-E54-132
EM161	rec.sport.disc_20050209.2202-E70-133
EM162	rec.sport.disc_20050209.2202-E55-134
EM163	rec.sport.disc_20050209.2202-E69-135
EM164	rec.sport.disc_20050209.2202-E70-136
EM165	rec.sport.disc_20050209.2202-E55-137
EM166	rec.sport.disc_20050209.2202-E36-138
EM167	rec.sport.disc_20050209.2202-E41-139
EM168	rec.sport.disc_20050209.2202-E41-140
EM169	rec.sport.disc_20050209.2202-E41-141
EM170	rec.sport.disc_20050209.2202-E41-142
EM171	rec.sport.disc_20050209.2202-E56-143
EM172	rec.sport.disc_20050209.2202-E41-144
EM173	rec.sport.disc_20050209.2202-E70-145
EM174	rec.sport.disc_20050209.2202-E55-146
EM175	rec.sport.disc_20050209.2202-E70-147
EM176	rec.sport.disc_20050209.2202-E70-148
EM177	rec.sport.disc_20050209.2202-E70-149
EM178	rec.sport.disc_20050209.2202-E70-150
EM179	rec.sport.disc_20050209.2202-E5-151
EM180	rec.sport.disc_20050209.2202-E57-152
EM181	rec.sport.disc_20050209.2202-E70-153
EM182	rec.sport.disc_20050209.2202-E69-154
EM183	rec.sport.disc_20050209.2202-E70-155
EM184	rec.sport.disc_20050209.2202-E70-156
EM185	rec.sport.disc_20050209.2202-E59-157
EM186	rec.sport.disc_20050209.2202-E70-158
EM187	rec.sport.disc_20050209.2202-E41-159
EM188	rec.sport.disc_20050209.2202-E60-160
EM189	rec.sport.disc_20050209.2202-E36-161
EM190	rec.sport.disc_20050209.2202-E61-162
EM191	rec.sport.disc_20050209.2202-E41-163
EM192	rec.sport.disc_20050209.2202-E41-164
EM193	rec.sport.disc_20050209.2202-E62-165
EM194	rec.sport.disc_20050209.2202-E36-166
EM195	rec.sport.disc_20050209.2202-E41-167
EM196	rec.sport.disc_20050209.2202-E55-168
EM197	rec.sport.disc_20050209.2202-E55-169
EM198	rec.sport.disc_20050209.2202-E63-170
EM199	rec.sport.disc_20050209.2202-E55-171
EM200	rec.sport.disc_20050209.2202-E70-172
EM3	rec.sport.disc_20050209.2202-E64-173
EM4	rec.sport.disc_20050209.2202-E58-174
EM5	rec.sport.disc_20050209.2202-E65-175
EM6	rec.sport.disc_20050209.2202-E66-176
EM7	rec.sport.disc_20050209.2202-E67-177
EM8	rec.sport.disc_20050209.2202-E58-178
EM9	rec.sport.disc_20050209.2202-E68-179
EM10	rec.sport.disc_20050209.2202-E69-180
EM11	rec.sport.disc_20050209.2202-E70-181
EM58	rec.sport.disc_20050209.2202-E71-182
EM59	rec.sport.disc_20050209.2202-E71-183
EM13	rec.sport.disc_20050209.2202-E72-184
EM14	rec.sport.disc_20050209.2202-E73-185
EM15	rec.sport.disc_20050209.2202-E72-186
EM16	rec.sport.disc_20050209.2202-E74-187
EM17	rec.sport.disc_20050209.2202-E70-188
R18	rec.sport.disc_20050209.2202-R1
R18	rec.sport.disc_20050209.2202-R2
R23	rec.sport.disc_20050209.2202-R3
R18	rec.sport.disc_20050209.2202-R4
R7	rec.sport.disc_20050209.2202-R5
R1	rec.sport.disc_20050209.2202-R6
R2	rec.sport.disc_20050209.2202-R7
R3	rec.sport.disc_20050209.2202-R8
R4	rec.sport.disc_20050209.2202-R9
R5	rec.sport.disc_20050209.2202-R10
R6	rec.sport.disc_20050209.2202-R11
R7	rec.sport.disc_20050209.2202-R12
R8	rec.sport.disc_20050209.2202-R13
R9	rec.sport.disc_20050209.2202-R14
R11	rec.sport.disc_20050209.2202-R15
R12	rec.sport.disc_20050209.2202-R16
R13	rec.sport.disc_20050209.2202-R17
R14	rec.sport.disc_20050209.2202-R18
R15	rec.sport.disc_20050209.2202-R19
R16	rec.sport.disc_20050209.2202-R20
R17	rec.sport.disc_20050209.2202-R21
R18	rec.sport.disc_20050209.2202-R22
R19	rec.sport.disc_20050209.2202-R23
R21	rec.sport.disc_20050209.2202-R24
R22	rec.sport.disc_20050209.2202-R25
R23	rec.sport.disc_20050209.2202-R26
R24	rec.sport.disc_20050209.2202-R27
R26	rec.sport.disc_20050209.2202-R28
RM1	rec.sport.disc_20050209.2202-R6-1
RM2	rec.sport.disc_20050209.2202-R7-1
RM3	rec.sport.disc_20050209.2202-R8-1
RM4	rec.sport.disc_20050209.2202-R9-1
RM5	rec.sport.disc_20050209.2202-R10-1
RM6	rec.sport.disc_20050209.2202-R11-1
RM7	rec.sport.disc_20050209.2202-R12-1
RM8	rec.sport.disc_20050209.2202-R13-1
RM9	rec.sport.disc_20050209.2202-R14-1
RM11	rec.sport.disc_20050209.2202-R15-1
RM12	rec.sport.disc_20050209.2202-R16-1
RM13	rec.sport.disc_20050209.2202-R17-1
RM14	rec.sport.disc_20050209.2202-R18-1
RM15	rec.sport.disc_20050209.2202-R19-1
RM16	rec.sport.disc_20050209.2202-R20-1
RM17	rec.sport.disc_20050209.2202-R21-1
RM18	rec.sport.disc_20050209.2202-R22-1
RM19	rec.sport.disc_20050209.2202-R23-1
RM21	rec.sport.disc_20050209.2202-R24-1
RM22	rec.sport.disc_20050209.2202-R25-1
RM23	rec.sport.disc_20050209.2202-R22-2
RM24	rec.sport.disc_20050209.2202-R22-3
RM26	rec.sport.disc_20050209.2202-R26-1
RM27	rec.sport.disc_20050209.2202-R27-1
RM28	rec.sport.disc_20050209.2202-R3-1
RM29	rec.sport.disc_20050209.2202-R22-4
RM30	rec.sport.disc_20050209.2202-R12-2
RM32	rec.sport.disc_20050209.2202-R28-1
V1	rec.sport.disc_20050209.2202-EV1
V2	rec.sport.disc_20050209.2202-EV2
V3	rec.sport.disc_20050209.2202-EV3
V4	rec.sport.disc_20050209.2202-EV4
V5	rec.sport.disc_20050209.2202-EV5
V10	rec.sport.disc_20050209.2202-EV6
VM1	rec.sport.disc_20050209.2202-EV1-1
VM2	rec.sport.disc_20050209.2202-EV2-1
VM3	rec.sport.disc_20050209.2202-EV3-1
VM4	rec.sport.disc_20050209.2202-EV4-1
VM5	rec.sport.disc_20050209.2202-EV5-1
VM10	rec.sport.disc_20050209.2202-EV6-1
Q1	rec.sport.disc_20050209.2202-T1
Q2	rec.sport.disc_20050209.2202-V1
Q3	rec.sport.disc_20050209.2202-T2
Q4	rec.sport.disc_20050209.2202-V2
Q5	rec.sport.disc_20050209.2202-V3
Q6	rec.sport.disc_20050209.2202-T3
Q7	rec.sport.disc_20050209.2202-V4
Q8	rec.sport.disc_20050209.2202-T4
Q9	rec.sport.disc_20050209.2202-T5
Q10	rec.sport.disc_20050209.2202-T6
Q11	rec.sport.disc_20050209.2202-V5
Q12	rec.sport.disc_20050209.2202-V6
Q13	rec.sport.disc_20050209.2202-T7
Q14	rec.sport.disc_20050209.2202-V7
Q15	rec.sport.disc_20050209.2202-T8
Q16	rec.sport.disc_20050209.2202-V8
Q19	rec.sport.disc_20050209.2202-V9
Q20	rec.sport.disc_20050209.2202-T9
Q21	rec.sport.disc_20050209.2202-T10
Q22	rec.sport.disc_20050209.2202-T11
Q23	rec.sport.disc_20050209.2202-T12
Q26	rec.sport.disc_20050209.2202-T13
QM2	rec.sport.disc_20050209.2202-V1-1
QM4	rec.sport.disc_20050209.2202-V2-1
QM5	rec.sport.disc_20050209.2202-V3-1
QM7	rec.sport.disc_20050209.2202-V4-1
QM11	rec.sport.disc_20050209.2202-V5-1
QM12	rec.sport.disc_20050209.2202-V6-1
QM14	rec.sport.disc_20050209.2202-V7-1
QM16	rec.sport.disc_20050209.2202-V8-1
QM19	rec.sport.disc_20050209.2202-V9-1
