CE9	alt.corel_20041228.0503-CE1
EM84	alt.corel_20041228.0503-E58-65
EM85	alt.corel_20041228.0503-E58-66
EM86	alt.corel_20041228.0503-E60-67
EM87	alt.corel_20041228.0503-E33-68
EM88	alt.corel_20041228.0503-E62-69
EM89	alt.corel_20041228.0503-E34-70
EM90	alt.corel_20041228.0503-E35-71
EM91	alt.corel_20041228.0503-E64-72
EM92	alt.corel_20041228.0503-E36-73
EM93	alt.corel_20041228.0503-E37-74
EM94	alt.corel_20041228.0503-E38-75
EM95	alt.corel_20041228.0503-E39-76
EM96	alt.corel_20041228.0503-E40-77
EM97	alt.corel_20041228.0503-E1-78
EM98	alt.corel_20041228.0503-E41-79
EM99	alt.corel_20041228.0503-E58-80
EM100	alt.corel_20041228.0503-E42-81
EM2	alt.corel_20041228.0503-E58-82
EM101	alt.corel_20041228.0503-E43-83
EM102	alt.corel_20041228.0503-E44-84
EM103	alt.corel_20041228.0503-E44-85
EM104	alt.corel_20041228.0503-E45-86
EM105	alt.corel_20041228.0503-E46-87
EM106	alt.corel_20041228.0503-E47-88
EM107	alt.corel_20041228.0503-E44-89
EM108	alt.corel_20041228.0503-E48-90
EM109	alt.corel_20041228.0503-E49-91
EM110	alt.corel_20041228.0503-E49-92
EM111	alt.corel_20041228.0503-E50-93
EM112	alt.corel_20041228.0503-E11-94
EM115	alt.corel_20041228.0503-E23-95
EM116	alt.corel_20041228.0503-E51-96
EM117	alt.corel_20041228.0503-E52-97
EM118	alt.corel_20041228.0503-E53-98
EM119	alt.corel_20041228.0503-E53-99
EM120	alt.corel_20041228.0503-E54-100
EM121	alt.corel_20041228.0503-E55-101
EM122	alt.corel_20041228.0503-E56-102
EM123	alt.corel_20041228.0503-E55-103
EM124	alt.corel_20041228.0503-E57-104
EM125	alt.corel_20041228.0503-E55-105
EM126	alt.corel_20041228.0503-E55-106
EM127	alt.corel_20041228.0503-E11-107
EM3	alt.corel_20041228.0503-E59-108
EM4	alt.corel_20041228.0503-E58-109
EM5	alt.corel_20041228.0503-E60-110
EM6	alt.corel_20041228.0503-E58-111
EM7	alt.corel_20041228.0503-E58-112
EM8	alt.corel_20041228.0503-E61-113
EM9	alt.corel_20041228.0503-E62-114
EM10	alt.corel_20041228.0503-E61-115
EM11	alt.corel_20041228.0503-E63-116
EM12	alt.corel_20041228.0503-E65-117
EM13	alt.corel_20041228.0503-E61-118
EM14	alt.corel_20041228.0503-E63-119
EM15	alt.corel_20041228.0503-E66-120
EM16	alt.corel_20041228.0503-E63-121
EM17	alt.corel_20041228.0503-E63-122
EM18	alt.corel_20041228.0503-E58-123
EM19	alt.corel_20041228.0503-E67-124
EM20	alt.corel_20041228.0503-E1-125
R1	alt.corel_20041228.0503-R1
R2	alt.corel_20041228.0503-R2
R3	alt.corel_20041228.0503-R3
R4	alt.corel_20041228.0503-R4
R5	alt.corel_20041228.0503-R5
R6	alt.corel_20041228.0503-R6
R7	alt.corel_20041228.0503-R7
R8	alt.corel_20041228.0503-R8
R9	alt.corel_20041228.0503-R9
R10	alt.corel_20041228.0503-R10
R11	alt.corel_20041228.0503-R11
R12	alt.corel_20041228.0503-R12
R13	alt.corel_20041228.0503-R13
R14	alt.corel_20041228.0503-R14
R16	alt.corel_20041228.0503-R15
R17	alt.corel_20041228.0503-R16
R18	alt.corel_20041228.0503-R17
R19	alt.corel_20041228.0503-R18
R20	alt.corel_20041228.0503-R19
R21	alt.corel_20041228.0503-R20
R22	alt.corel_20041228.0503-R21
R23	alt.corel_20041228.0503-R22
R24	alt.corel_20041228.0503-R23
R25	alt.corel_20041228.0503-R24
RM1	alt.corel_20041228.0503-R1-1
RM2	alt.corel_20041228.0503-R2-1
RM3	alt.corel_20041228.0503-R3-1
RM4	alt.corel_20041228.0503-R4-1
RM5	alt.corel_20041228.0503-R5-1
RM6	alt.corel_20041228.0503-R6-1
RM7	alt.corel_20041228.0503-R7-1
RM8	alt.corel_20041228.0503-R8-1
RM9	alt.corel_20041228.0503-R9-1
RM10	alt.corel_20041228.0503-R10-1
RM11	alt.corel_20041228.0503-R11-1
RM12	alt.corel_20041228.0503-R12-1
RM13	alt.corel_20041228.0503-R13-1
RM14	alt.corel_20041228.0503-R14-1
RM16	alt.corel_20041228.0503-R15-1
RM17	alt.corel_20041228.0503-R16-1
RM18	alt.corel_20041228.0503-R17-1
RM19	alt.corel_20041228.0503-R18-1
RM20	alt.corel_20041228.0503-R19-1
RM21	alt.corel_20041228.0503-R20-1
RM22	alt.corel_20041228.0503-R21-1
RM23	alt.corel_20041228.0503-R22-1
RM24	alt.corel_20041228.0503-R23-1
RM25	alt.corel_20041228.0503-R24-1
V1	alt.corel_20041228.0503-EV1
V2	alt.corel_20041228.0503-EV2
V3	alt.corel_20041228.0503-EV3
V4	alt.corel_20041228.0503-EV4
V5	alt.corel_20041228.0503-EV5
VM1	alt.corel_20041228.0503-EV1-1
VM2	alt.corel_20041228.0503-EV2-1
VM3	alt.corel_20041228.0503-EV3-1
VM4	alt.corel_20041228.0503-EV3-2
VM5	alt.corel_20041228.0503-EV4-1
VM6	alt.corel_20041228.0503-EV5-1
VM7	alt.corel_20041228.0503-EV3-3
Q1	alt.corel_20041228.0503-T1
Q2	alt.corel_20041228.0503-T2
Q3	alt.corel_20041228.0503-T3
Q4	alt.corel_20041228.0503-T4
Q5	alt.corel_20041228.0503-T5
Q6	alt.corel_20041228.0503-T6
Q7	alt.corel_20041228.0503-T7
Q8	alt.corel_20041228.0503-T8
Q9	alt.corel_20041228.0503-T9
Q10	alt.corel_20041228.0503-T10
Q11	alt.corel_20041228.0503-T11
Q12	alt.corel_20041228.0503-T12
Q13	alt.corel_20041228.0503-T13
Q14	alt.corel_20041228.0503-T14
Q15	alt.corel_20041228.0503-T15
Q16	alt.corel_20041228.0503-T16
