CE13	alt.politics_20050124.0640-CE1
R2	alt.politics_20050124.0640-R2
R3	alt.politics_20050124.0640-R3
R4	alt.politics_20050124.0640-R4
R5	alt.politics_20050124.0640-R5
R6	alt.politics_20050124.0640-R6
R7	alt.politics_20050124.0640-R7
R8	alt.politics_20050124.0640-R8
R9	alt.politics_20050124.0640-R9
R10	alt.politics_20050124.0640-R10
R11	alt.politics_20050124.0640-R11
R12	alt.politics_20050124.0640-R12
R13	alt.politics_20050124.0640-R13
R14	alt.politics_20050124.0640-R14
R15	alt.politics_20050124.0640-R15
R16	alt.politics_20050124.0640-R16
R17	alt.politics_20050124.0640-R17
R18	alt.politics_20050124.0640-R18
R19	alt.politics_20050124.0640-R19
R20	alt.politics_20050124.0640-R20
R21	alt.politics_20050124.0640-R21
R22	alt.politics_20050124.0640-R22
R23	alt.politics_20050124.0640-R23
RM1	alt.politics_20050124.0640-R1-1
RM3	alt.politics_20050124.0640-R2-1
RM4	alt.politics_20050124.0640-R3-1
RM5	alt.politics_20050124.0640-R4-1
RM6	alt.politics_20050124.0640-R5-1
RM7	alt.politics_20050124.0640-R6-1
RM8	alt.politics_20050124.0640-R7-1
RM9	alt.politics_20050124.0640-R8-1
RM10	alt.politics_20050124.0640-R9-1
RM11	alt.politics_20050124.0640-R10-1
RM12	alt.politics_20050124.0640-R11-1
RM13	alt.politics_20050124.0640-R12-1
RM14	alt.politics_20050124.0640-R13-1
RM15	alt.politics_20050124.0640-R14-1
RM16	alt.politics_20050124.0640-R15-1
RM17	alt.politics_20050124.0640-R16-1
RM18	alt.politics_20050124.0640-R17-1
RM19	alt.politics_20050124.0640-R17-2
RM20	alt.politics_20050124.0640-R19-1
RM21	alt.politics_20050124.0640-R20-1
RM22	alt.politics_20050124.0640-R21-1
RM23	alt.politics_20050124.0640-R22-1
RM24	alt.politics_20050124.0640-R23-1
Q1	alt.politics_20050124.0640-T1
Q2	alt.politics_20050124.0640-T2
Q3	alt.politics_20050124.0640-T3
Q4	alt.politics_20050124.0640-T4
