CE14	rec.travel.cruises_20050216.1636-CE1
EM53	rec.travel.cruises_20050216.1636-E22-34
EM54	rec.travel.cruises_20050216.1636-E14-35
EM55	rec.travel.cruises_20050216.1636-E14-36
EM56	rec.travel.cruises_20050216.1636-E23-37
EM57	rec.travel.cruises_20050216.1636-E23-38
EM58	rec.travel.cruises_20050216.1636-E25-39
EM59	rec.travel.cruises_20050216.1636-E14-40
EM60	rec.travel.cruises_20050216.1636-E26-41
EM61	rec.travel.cruises_20050216.1636-E15-42
EM62	rec.travel.cruises_20050216.1636-E15-43
EM64	rec.travel.cruises_20050216.1636-E27-44
EM65	rec.travel.cruises_20050216.1636-E14-45
EM66	rec.travel.cruises_20050216.1636-E28-46
EM67	rec.travel.cruises_20050216.1636-E28-47
EM68	rec.travel.cruises_20050216.1636-E29-48
EM70	rec.travel.cruises_20050216.1636-E30-49
EM73	rec.travel.cruises_20050216.1636-E32-50
EM74	rec.travel.cruises_20050216.1636-E31-51
EM75	rec.travel.cruises_20050216.1636-E45-52
EM71	rec.travel.cruises_20050216.1636-E45-53
EM76	rec.travel.cruises_20050216.1636-E33-54
EM77	rec.travel.cruises_20050216.1636-E45-55
EM78	rec.travel.cruises_20050216.1636-E41-56
EM79	rec.travel.cruises_20050216.1636-E28-57
EM80	rec.travel.cruises_20050216.1636-E28-58
EM81	rec.travel.cruises_20050216.1636-E28-59
EM82	rec.travel.cruises_20050216.1636-E28-60
EM83	rec.travel.cruises_20050216.1636-E34-61
EM84	rec.travel.cruises_20050216.1636-E35-62
EM85	rec.travel.cruises_20050216.1636-E36-63
EM86	rec.travel.cruises_20050216.1636-E28-64
EM87	rec.travel.cruises_20050216.1636-E31-65
EM88	rec.travel.cruises_20050216.1636-E31-66
EM89	rec.travel.cruises_20050216.1636-E37-67
EM90	rec.travel.cruises_20050216.1636-E45-68
EM91	rec.travel.cruises_20050216.1636-E33-69
EM92	rec.travel.cruises_20050216.1636-E38-70
EM93	rec.travel.cruises_20050216.1636-E39-71
EM3	rec.travel.cruises_20050216.1636-E40-72
EM4	rec.travel.cruises_20050216.1636-E41-73
EM5	rec.travel.cruises_20050216.1636-E40-74
EM6	rec.travel.cruises_20050216.1636-E42-75
EM7	rec.travel.cruises_20050216.1636-E43-76
EM8	rec.travel.cruises_20050216.1636-E40-77
EM9	rec.travel.cruises_20050216.1636-E44-78
EM10	rec.travel.cruises_20050216.1636-E45-79
EM12	rec.travel.cruises_20050216.1636-E46-80
EM13	rec.travel.cruises_20050216.1636-E47-81
EM14	rec.travel.cruises_20050216.1636-E47-82
EM15	rec.travel.cruises_20050216.1636-E48-83
EM16	rec.travel.cruises_20050216.1636-E49-84
R3	rec.travel.cruises_20050216.1636-R1
R26	rec.travel.cruises_20050216.1636-R2
R5	rec.travel.cruises_20050216.1636-R3
R6	rec.travel.cruises_20050216.1636-R4
R8	rec.travel.cruises_20050216.1636-R5
R10	rec.travel.cruises_20050216.1636-R6
R28	rec.travel.cruises_20050216.1636-R7
R29	rec.travel.cruises_20050216.1636-R8
R30	rec.travel.cruises_20050216.1636-R9
R31	rec.travel.cruises_20050216.1636-R10
R32	rec.travel.cruises_20050216.1636-R11
R16	rec.travel.cruises_20050216.1636-R12
R17	rec.travel.cruises_20050216.1636-R13
R1	rec.travel.cruises_20050216.1636-R14
R19	rec.travel.cruises_20050216.1636-R15
R20	rec.travel.cruises_20050216.1636-R16
R22	rec.travel.cruises_20050216.1636-R17
R2	rec.travel.cruises_20050216.1636-R18
RM4	rec.travel.cruises_20050216.1636-R1-1
RM27	rec.travel.cruises_20050216.1636-R2-1
RM6	rec.travel.cruises_20050216.1636-R3-1
RM7	rec.travel.cruises_20050216.1636-R4-1
RM1	rec.travel.cruises_20050216.1636-R14-1
RM9	rec.travel.cruises_20050216.1636-R5-1
RM29	rec.travel.cruises_20050216.1636-R7-1
RM11	rec.travel.cruises_20050216.1636-R6-1
RM30	rec.travel.cruises_20050216.1636-R8-1
RM31	rec.travel.cruises_20050216.1636-R9-1
RM32	rec.travel.cruises_20050216.1636-R10-1
RM33	rec.travel.cruises_20050216.1636-R11-1
RM17	rec.travel.cruises_20050216.1636-R12-1
RM18	rec.travel.cruises_20050216.1636-R13-1
RM20	rec.travel.cruises_20050216.1636-R15-1
RM21	rec.travel.cruises_20050216.1636-R16-1
RM23	rec.travel.cruises_20050216.1636-R17-1
RM3	rec.travel.cruises_20050216.1636-R18-1
V1	rec.travel.cruises_20050216.1636-EV1
V3	rec.travel.cruises_20050216.1636-EV2
V4	rec.travel.cruises_20050216.1636-EV3
V5	rec.travel.cruises_20050216.1636-EV4
V6	rec.travel.cruises_20050216.1636-EV5
V7	rec.travel.cruises_20050216.1636-EV6
V8	rec.travel.cruises_20050216.1636-EV7
V9	rec.travel.cruises_20050216.1636-EV8
V10	rec.travel.cruises_20050216.1636-EV9
V11	rec.travel.cruises_20050216.1636-EV10
VM1	rec.travel.cruises_20050216.1636-EV1-1
VM3	rec.travel.cruises_20050216.1636-EV2-1
VM4	rec.travel.cruises_20050216.1636-EV3-1
VM5	rec.travel.cruises_20050216.1636-EV4-1
VM6	rec.travel.cruises_20050216.1636-EV5-1
VM7	rec.travel.cruises_20050216.1636-EV6-1
VM8	rec.travel.cruises_20050216.1636-EV7-1
VM9	rec.travel.cruises_20050216.1636-EV8-1
VM10	rec.travel.cruises_20050216.1636-EV9-1
VM11	rec.travel.cruises_20050216.1636-EV10-1
Q2	rec.travel.cruises_20050216.1636-T1
Q3	rec.travel.cruises_20050216.1636-T2
Q4	rec.travel.cruises_20050216.1636-T3
Q5	rec.travel.cruises_20050216.1636-T4
Q6	rec.travel.cruises_20050216.1636-T5
Q7	rec.travel.cruises_20050216.1636-T6
Q8	rec.travel.cruises_20050216.1636-T7
Q9	rec.travel.cruises_20050216.1636-T8
Q10	rec.travel.cruises_20050216.1636-T9
Q11	rec.travel.cruises_20050216.1636-T10
Q13	rec.travel.cruises_20050216.1636-T11
Q14	rec.travel.cruises_20050216.1636-T12
Q15	rec.travel.cruises_20050216.1636-T13
Q16	rec.travel.cruises_20050216.1636-T14
Q17	rec.travel.cruises_20050216.1636-T15
Q18	rec.travel.cruises_20050216.1636-T16
Q19	rec.travel.cruises_20050216.1636-V1
Q20	rec.travel.cruises_20050216.1636-V2
QM19	rec.travel.cruises_20050216.1636-V1-1
QM20	rec.travel.cruises_20050216.1636-V2-1
