CE12	alt.books.tom-clancy_20050130.1848-CE1
CE90	alt.books.tom-clancy_20050130.1848-CE54
CE2	alt.books.tom-clancy_20050130.1848-CE55
CE3	alt.books.tom-clancy_20050130.1848-CE56
CE4	alt.books.tom-clancy_20050130.1848-CE57
CE5	alt.books.tom-clancy_20050130.1848-CE58
CE6	alt.books.tom-clancy_20050130.1848-CE59
CE7	alt.books.tom-clancy_20050130.1848-CE60
CE8	alt.books.tom-clancy_20050130.1848-CE61
CE9	alt.books.tom-clancy_20050130.1848-CE62
CE10	alt.books.tom-clancy_20050130.1848-CE63
CE11	alt.books.tom-clancy_20050130.1848-CE64
E16	alt.books.tom-clancy_20050130.1848-E1
E18	alt.books.tom-clancy_20050130.1848-E2
E19	alt.books.tom-clancy_20050130.1848-E3
E32	alt.books.tom-clancy_20050130.1848-E4
E1	alt.books.tom-clancy_20050130.1848-E5
E42	alt.books.tom-clancy_20050130.1848-E6
E43	alt.books.tom-clancy_20050130.1848-E7
E46	alt.books.tom-clancy_20050130.1848-E8
E48	alt.books.tom-clancy_20050130.1848-E9
E49	alt.books.tom-clancy_20050130.1848-E10
E50	alt.books.tom-clancy_20050130.1848-E11
E51	alt.books.tom-clancy_20050130.1848-E12
E52	alt.books.tom-clancy_20050130.1848-E13
E53	alt.books.tom-clancy_20050130.1848-E14
E54	alt.books.tom-clancy_20050130.1848-E15
E55	alt.books.tom-clancy_20050130.1848-E16
E57	alt.books.tom-clancy_20050130.1848-E17
E58	alt.books.tom-clancy_20050130.1848-E18
E59	alt.books.tom-clancy_20050130.1848-E19
E60	alt.books.tom-clancy_20050130.1848-E20
E61	alt.books.tom-clancy_20050130.1848-E21
E62	alt.books.tom-clancy_20050130.1848-E22
E63	alt.books.tom-clancy_20050130.1848-E23
E64	alt.books.tom-clancy_20050130.1848-E24
E65	alt.books.tom-clancy_20050130.1848-E25
E66	alt.books.tom-clancy_20050130.1848-E26
E68	alt.books.tom-clancy_20050130.1848-E27
E69	alt.books.tom-clancy_20050130.1848-E28
E70	alt.books.tom-clancy_20050130.1848-E29
E71	alt.books.tom-clancy_20050130.1848-E30
E72	alt.books.tom-clancy_20050130.1848-E31
E73	alt.books.tom-clancy_20050130.1848-E32
E74	alt.books.tom-clancy_20050130.1848-E33
E75	alt.books.tom-clancy_20050130.1848-E34
E76	alt.books.tom-clancy_20050130.1848-E35
E77	alt.books.tom-clancy_20050130.1848-E36
E78	alt.books.tom-clancy_20050130.1848-E37
E79	alt.books.tom-clancy_20050130.1848-E38
E80	alt.books.tom-clancy_20050130.1848-E39
E2	alt.books.tom-clancy_20050130.1848-E40
E81	alt.books.tom-clancy_20050130.1848-E41
E83	alt.books.tom-clancy_20050130.1848-E42
E84	alt.books.tom-clancy_20050130.1848-E43
E85	alt.books.tom-clancy_20050130.1848-E44
E86	alt.books.tom-clancy_20050130.1848-E45
E87	alt.books.tom-clancy_20050130.1848-E46
E89	alt.books.tom-clancy_20050130.1848-E47
E91	alt.books.tom-clancy_20050130.1848-E48
E92	alt.books.tom-clancy_20050130.1848-E49
E93	alt.books.tom-clancy_20050130.1848-E50
E94	alt.books.tom-clancy_20050130.1848-E51
E95	alt.books.tom-clancy_20050130.1848-E52
E96	alt.books.tom-clancy_20050130.1848-E53
E97	alt.books.tom-clancy_20050130.1848-E54
E98	alt.books.tom-clancy_20050130.1848-E55
E99	alt.books.tom-clancy_20050130.1848-E56
E100	alt.books.tom-clancy_20050130.1848-E57
E101	alt.books.tom-clancy_20050130.1848-E58
E102	alt.books.tom-clancy_20050130.1848-E59
E103	alt.books.tom-clancy_20050130.1848-E60
E104	alt.books.tom-clancy_20050130.1848-E61
E105	alt.books.tom-clancy_20050130.1848-E62
E111	alt.books.tom-clancy_20050130.1848-E63
E113	alt.books.tom-clancy_20050130.1848-E64
E114	alt.books.tom-clancy_20050130.1848-E65
E115	alt.books.tom-clancy_20050130.1848-E66
E3	alt.books.tom-clancy_20050130.1848-E67
E116	alt.books.tom-clancy_20050130.1848-E68
E4	alt.books.tom-clancy_20050130.1848-E69
E5	alt.books.tom-clancy_20050130.1848-E70
E6	alt.books.tom-clancy_20050130.1848-E71
E8	alt.books.tom-clancy_20050130.1848-E72
E9	alt.books.tom-clancy_20050130.1848-E73
E10	alt.books.tom-clancy_20050130.1848-E74
E11	alt.books.tom-clancy_20050130.1848-E75
E12	alt.books.tom-clancy_20050130.1848-E76
E13	alt.books.tom-clancy_20050130.1848-E77
E14	alt.books.tom-clancy_20050130.1848-E78
E15	alt.books.tom-clancy_20050130.1848-E79
EM1	alt.books.tom-clancy_20050130.1848-E5-1
EM19	alt.books.tom-clancy_20050130.1848-E2-2
EM20	alt.books.tom-clancy_20050130.1848-E3-3
EM21	alt.books.tom-clancy_20050130.1848-E3-4
EM59	alt.books.tom-clancy_20050130.1848-E6-5
EM60	alt.books.tom-clancy_20050130.1848-E7-6
EM62	alt.books.tom-clancy_20050130.1848-E8-7
EM64	alt.books.tom-clancy_20050130.1848-E9-8
EM67	alt.books.tom-clancy_20050130.1848-E10-9
EM68	alt.books.tom-clancy_20050130.1848-E10-10
EM69	alt.books.tom-clancy_20050130.1848-E10-11
EM70	alt.books.tom-clancy_20050130.1848-E9-12
EM71	alt.books.tom-clancy_20050130.1848-E11-13
EM72	alt.books.tom-clancy_20050130.1848-E11-14
EM73	alt.books.tom-clancy_20050130.1848-E12-15
EM74	alt.books.tom-clancy_20050130.1848-E13-16
EM75	alt.books.tom-clancy_20050130.1848-E70-17
EM76	alt.books.tom-clancy_20050130.1848-E14-18
EM77	alt.books.tom-clancy_20050130.1848-E70-19
EM78	alt.books.tom-clancy_20050130.1848-E70-20
EM79	alt.books.tom-clancy_20050130.1848-E70-21
EM80	alt.books.tom-clancy_20050130.1848-E15-22
EM81	alt.books.tom-clancy_20050130.1848-E70-23
EM83	alt.books.tom-clancy_20050130.1848-E67-24
EM84	alt.books.tom-clancy_20050130.1848-E70-25
EM85	alt.books.tom-clancy_20050130.1848-E70-26
EM86	alt.books.tom-clancy_20050130.1848-E70-27
EM87	alt.books.tom-clancy_20050130.1848-E70-28
EM88	alt.books.tom-clancy_20050130.1848-E70-29
EM89	alt.books.tom-clancy_20050130.1848-E70-30
EM90	alt.books.tom-clancy_20050130.1848-E70-31
EM91	alt.books.tom-clancy_20050130.1848-E16-32
EM92	alt.books.tom-clancy_20050130.1848-E70-33
EM94	alt.books.tom-clancy_20050130.1848-E17-34
EM95	alt.books.tom-clancy_20050130.1848-E18-35
EM96	alt.books.tom-clancy_20050130.1848-E70-36
EM97	alt.books.tom-clancy_20050130.1848-E70-37
EM98	alt.books.tom-clancy_20050130.1848-E19-38
EM99	alt.books.tom-clancy_20050130.1848-E70-39
EM100	alt.books.tom-clancy_20050130.1848-E70-40
EM101	alt.books.tom-clancy_20050130.1848-E70-41
EM102	alt.books.tom-clancy_20050130.1848-E70-42
EM103	alt.books.tom-clancy_20050130.1848-E70-43
EM104	alt.books.tom-clancy_20050130.1848-E70-44
EM2	alt.books.tom-clancy_20050130.1848-E40-45
EM105	alt.books.tom-clancy_20050130.1848-E10-46
EM106	alt.books.tom-clancy_20050130.1848-E20-47
EM107	alt.books.tom-clancy_20050130.1848-E20-48
EM108	alt.books.tom-clancy_20050130.1848-E10-49
EM109	alt.books.tom-clancy_20050130.1848-E21-50
EM110	alt.books.tom-clancy_20050130.1848-E22-51
EM112	alt.books.tom-clancy_20050130.1848-E23-52
EM113	alt.books.tom-clancy_20050130.1848-E24-53
EM114	alt.books.tom-clancy_20050130.1848-E20-54
EM115	alt.books.tom-clancy_20050130.1848-E20-55
EM116	alt.books.tom-clancy_20050130.1848-E25-56
EM117	alt.books.tom-clancy_20050130.1848-E25-57
EM118	alt.books.tom-clancy_20050130.1848-E26-58
EM120	alt.books.tom-clancy_20050130.1848-E27-59
EM121	alt.books.tom-clancy_20050130.1848-E28-60
EM122	alt.books.tom-clancy_20050130.1848-E28-61
EM123	alt.books.tom-clancy_20050130.1848-E29-62
EM124	alt.books.tom-clancy_20050130.1848-E30-63
EM125	alt.books.tom-clancy_20050130.1848-E31-64
EM128	alt.books.tom-clancy_20050130.1848-E67-65
EM129	alt.books.tom-clancy_20050130.1848-E67-66
EM130	alt.books.tom-clancy_20050130.1848-E67-67
EM131	alt.books.tom-clancy_20050130.1848-E67-68
EM132	alt.books.tom-clancy_20050130.1848-E67-69
EM133	alt.books.tom-clancy_20050130.1848-E5-70
EM134	alt.books.tom-clancy_20050130.1848-E5-71
EM135	alt.books.tom-clancy_20050130.1848-E5-72
EM136	alt.books.tom-clancy_20050130.1848-E5-73
EM137	alt.books.tom-clancy_20050130.1848-E32-74
EM138	alt.books.tom-clancy_20050130.1848-E5-75
EM139	alt.books.tom-clancy_20050130.1848-E33-76
EM140	alt.books.tom-clancy_20050130.1848-E34-77
EM141	alt.books.tom-clancy_20050130.1848-E35-78
EM142	alt.books.tom-clancy_20050130.1848-E36-79
EM143	alt.books.tom-clancy_20050130.1848-E37-80
EM144	alt.books.tom-clancy_20050130.1848-E38-81
EM145	alt.books.tom-clancy_20050130.1848-E39-82
EM146	alt.books.tom-clancy_20050130.1848-E39-83
EM147	alt.books.tom-clancy_20050130.1848-E41-84
EM148	alt.books.tom-clancy_20050130.1848-E42-85
EM149	alt.books.tom-clancy_20050130.1848-E43-86
EM150	alt.books.tom-clancy_20050130.1848-E10-87
EM151	alt.books.tom-clancy_20050130.1848-E44-88
EM152	alt.books.tom-clancy_20050130.1848-E45-89
EM153	alt.books.tom-clancy_20050130.1848-E46-90
EM154	alt.books.tom-clancy_20050130.1848-E47-91
EM157	alt.books.tom-clancy_20050130.1848-E20-92
EM158	alt.books.tom-clancy_20050130.1848-E48-93
EM159	alt.books.tom-clancy_20050130.1848-E49-94
EM160	alt.books.tom-clancy_20050130.1848-E50-95
EM161	alt.books.tom-clancy_20050130.1848-E4-96
EM162	alt.books.tom-clancy_20050130.1848-E51-97
EM163	alt.books.tom-clancy_20050130.1848-E48-98
EM164	alt.books.tom-clancy_20050130.1848-E50-99
EM3	alt.books.tom-clancy_20050130.1848-E69-100
EM165	alt.books.tom-clancy_20050130.1848-E52-101
EM166	alt.books.tom-clancy_20050130.1848-E48-102
EM167	alt.books.tom-clancy_20050130.1848-E53-103
EM168	alt.books.tom-clancy_20050130.1848-E54-104
EM169	alt.books.tom-clancy_20050130.1848-E55-105
EM170	alt.books.tom-clancy_20050130.1848-E56-106
EM171	alt.books.tom-clancy_20050130.1848-E57-107
EM172	alt.books.tom-clancy_20050130.1848-E58-108
EM173	alt.books.tom-clancy_20050130.1848-E59-109
EM174	alt.books.tom-clancy_20050130.1848-E60-110
EM175	alt.books.tom-clancy_20050130.1848-E61-111
EM176	alt.books.tom-clancy_20050130.1848-E67-112
EM177	alt.books.tom-clancy_20050130.1848-E62-113
EM178	alt.books.tom-clancy_20050130.1848-E62-114
EM183	alt.books.tom-clancy_20050130.1848-E63-115
EM184	alt.books.tom-clancy_20050130.1848-E64-116
EM185	alt.books.tom-clancy_20050130.1848-E65-117
EM186	alt.books.tom-clancy_20050130.1848-E66-118
EM187	alt.books.tom-clancy_20050130.1848-E68-119
EM4	alt.books.tom-clancy_20050130.1848-E70-120
EM5	alt.books.tom-clancy_20050130.1848-E70-121
EM6	alt.books.tom-clancy_20050130.1848-E70-122
EM7	alt.books.tom-clancy_20050130.1848-E71-123
EM8	alt.books.tom-clancy_20050130.1848-E72-124
EM10	alt.books.tom-clancy_20050130.1848-E73-125
EM11	alt.books.tom-clancy_20050130.1848-E74-126
EM12	alt.books.tom-clancy_20050130.1848-E75-127
EM13	alt.books.tom-clancy_20050130.1848-E76-128
EM14	alt.books.tom-clancy_20050130.1848-E77-129
EM15	alt.books.tom-clancy_20050130.1848-E78-130
EM16	alt.books.tom-clancy_20050130.1848-E79-131
EM17	alt.books.tom-clancy_20050130.1848-E1-132
R8	alt.books.tom-clancy_20050130.1848-R1
R9	alt.books.tom-clancy_20050130.1848-R2
R10	alt.books.tom-clancy_20050130.1848-R3
RM8	alt.books.tom-clancy_20050130.1848-R1-1
RM9	alt.books.tom-clancy_20050130.1848-R2-1
RM10	alt.books.tom-clancy_20050130.1848-R3-1
V1	alt.books.tom-clancy_20050130.1848-EV1
V2	alt.books.tom-clancy_20050130.1848-EV2
V3	alt.books.tom-clancy_20050130.1848-EV3
V4	alt.books.tom-clancy_20050130.1848-EV4
V5	alt.books.tom-clancy_20050130.1848-EV5
V6	alt.books.tom-clancy_20050130.1848-EV6
V7	alt.books.tom-clancy_20050130.1848-EV7
V8	alt.books.tom-clancy_20050130.1848-EV8
V9	alt.books.tom-clancy_20050130.1848-EV9
V10	alt.books.tom-clancy_20050130.1848-EV10
V11	alt.books.tom-clancy_20050130.1848-EV11
V12	alt.books.tom-clancy_20050130.1848-EV12
V13	alt.books.tom-clancy_20050130.1848-EV13
V14	alt.books.tom-clancy_20050130.1848-EV14
V15	alt.books.tom-clancy_20050130.1848-EV15
V16	alt.books.tom-clancy_20050130.1848-EV16
V18	alt.books.tom-clancy_20050130.1848-EV17
V19	alt.books.tom-clancy_20050130.1848-EV18
VM1	alt.books.tom-clancy_20050130.1848-EV1-1
VM2	alt.books.tom-clancy_20050130.1848-EV2-1
VM3	alt.books.tom-clancy_20050130.1848-EV3-1
VM4	alt.books.tom-clancy_20050130.1848-EV3-2
VM5	alt.books.tom-clancy_20050130.1848-EV4-1
VM6	alt.books.tom-clancy_20050130.1848-EV5-1
VM7	alt.books.tom-clancy_20050130.1848-EV6-1
VM8	alt.books.tom-clancy_20050130.1848-EV7-1
VM9	alt.books.tom-clancy_20050130.1848-EV8-1
VM10	alt.books.tom-clancy_20050130.1848-EV9-1
VM11	alt.books.tom-clancy_20050130.1848-EV10-1
VM12	alt.books.tom-clancy_20050130.1848-EV11-1
VM13	alt.books.tom-clancy_20050130.1848-EV6-2
VM14	alt.books.tom-clancy_20050130.1848-EV12-1
VM15	alt.books.tom-clancy_20050130.1848-EV13-1
VM16	alt.books.tom-clancy_20050130.1848-EV14-1
VM17	alt.books.tom-clancy_20050130.1848-EV15-1
VM18	alt.books.tom-clancy_20050130.1848-EV16-1
VM20	alt.books.tom-clancy_20050130.1848-EV17-1
VM21	alt.books.tom-clancy_20050130.1848-EV18-1
Q1	alt.books.tom-clancy_20050130.1848-T1
Q2	alt.books.tom-clancy_20050130.1848-T2
Q4	alt.books.tom-clancy_20050130.1848-T3
Q6	alt.books.tom-clancy_20050130.1848-V1
Q7	alt.books.tom-clancy_20050130.1848-T4
Q9	alt.books.tom-clancy_20050130.1848-T5
QM6	alt.books.tom-clancy_20050130.1848-V1-1
