CE12	soc.culture.hmong_20050210.1130-CE1
E15	soc.culture.hmong_20050210.1130-E3
E16	soc.culture.hmong_20050210.1130-E4
E17	soc.culture.hmong_20050210.1130-E5
E19	soc.culture.hmong_20050210.1130-E6
E20	soc.culture.hmong_20050210.1130-E7
E21	soc.culture.hmong_20050210.1130-E8
E22	soc.culture.hmong_20050210.1130-E9
E23	soc.culture.hmong_20050210.1130-E10
E24	soc.culture.hmong_20050210.1130-E11
E25	soc.culture.hmong_20050210.1130-E12
E26	soc.culture.hmong_20050210.1130-E13
E27	soc.culture.hmong_20050210.1130-E14
E28	soc.culture.hmong_20050210.1130-E15
E29	soc.culture.hmong_20050210.1130-E16
E30	soc.culture.hmong_20050210.1130-E17
E31	soc.culture.hmong_20050210.1130-E18
E33	soc.culture.hmong_20050210.1130-E19
E34	soc.culture.hmong_20050210.1130-E20
E35	soc.culture.hmong_20050210.1130-E21
E36	soc.culture.hmong_20050210.1130-E22
E37	soc.culture.hmong_20050210.1130-E23
E38	soc.culture.hmong_20050210.1130-E24
E1	soc.culture.hmong_20050210.1130-E25
E39	soc.culture.hmong_20050210.1130-E26
E40	soc.culture.hmong_20050210.1130-E27
E41	soc.culture.hmong_20050210.1130-E28
E45	soc.culture.hmong_20050210.1130-E29
E46	soc.culture.hmong_20050210.1130-E30
E47	soc.culture.hmong_20050210.1130-E31
E49	soc.culture.hmong_20050210.1130-E32
E50	soc.culture.hmong_20050210.1130-E33
E51	soc.culture.hmong_20050210.1130-E34
E52	soc.culture.hmong_20050210.1130-E35
E53	soc.culture.hmong_20050210.1130-E36
E54	soc.culture.hmong_20050210.1130-E37
E55	soc.culture.hmong_20050210.1130-E38
E56	soc.culture.hmong_20050210.1130-E39
E57	soc.culture.hmong_20050210.1130-E40
E58	soc.culture.hmong_20050210.1130-E41
E59	soc.culture.hmong_20050210.1130-E42
E60	soc.culture.hmong_20050210.1130-E43
E61	soc.culture.hmong_20050210.1130-E44
E62	soc.culture.hmong_20050210.1130-E45
E64	soc.culture.hmong_20050210.1130-E46
E65	soc.culture.hmong_20050210.1130-E47
E66	soc.culture.hmong_20050210.1130-E48
E67	soc.culture.hmong_20050210.1130-E49
E68	soc.culture.hmong_20050210.1130-E50
E69	soc.culture.hmong_20050210.1130-E51
E70	soc.culture.hmong_20050210.1130-E52
E71	soc.culture.hmong_20050210.1130-E53
E72	soc.culture.hmong_20050210.1130-E54
E74	soc.culture.hmong_20050210.1130-E55
E75	soc.culture.hmong_20050210.1130-E56
E76	soc.culture.hmong_20050210.1130-E57
E77	soc.culture.hmong_20050210.1130-E58
E78	soc.culture.hmong_20050210.1130-E59
E79	soc.culture.hmong_20050210.1130-E60
E80	soc.culture.hmong_20050210.1130-E61
E81	soc.culture.hmong_20050210.1130-E62
E82	soc.culture.hmong_20050210.1130-E63
E83	soc.culture.hmong_20050210.1130-E64
E84	soc.culture.hmong_20050210.1130-E65
E85	soc.culture.hmong_20050210.1130-E66
E86	soc.culture.hmong_20050210.1130-E67
E87	soc.culture.hmong_20050210.1130-E68
E89	soc.culture.hmong_20050210.1130-E69
E2	soc.culture.hmong_20050210.1130-E70
E18	soc.culture.hmong_20050210.1130-E71
E4	soc.culture.hmong_20050210.1130-E72
E6	soc.culture.hmong_20050210.1130-E73
E7	soc.culture.hmong_20050210.1130-E74
E8	soc.culture.hmong_20050210.1130-E75
E9	soc.culture.hmong_20050210.1130-E76
E10	soc.culture.hmong_20050210.1130-E77
E11	soc.culture.hmong_20050210.1130-E78
E12	soc.culture.hmong_20050210.1130-E79
EM1	soc.culture.hmong_20050210.1130-E25-1
EM19	soc.culture.hmong_20050210.1130-E1-2
EM20	soc.culture.hmong_20050210.1130-E2-3
EM21	soc.culture.hmong_20050210.1130-E75-4
EM22	soc.culture.hmong_20050210.1130-E3-5
EM23	soc.culture.hmong_20050210.1130-E4-6
EM24	soc.culture.hmong_20050210.1130-E5-7
EM25	soc.culture.hmong_20050210.1130-E1-8
EM28	soc.culture.hmong_20050210.1130-E1-9
EM29	soc.culture.hmong_20050210.1130-E1-10
EM30	soc.culture.hmong_20050210.1130-E71-11
EM31	soc.culture.hmong_20050210.1130-E1-12
EM32	soc.culture.hmong_20050210.1130-E70-13
EM33	soc.culture.hmong_20050210.1130-E70-14
EM34	soc.culture.hmong_20050210.1130-E7-15
EM35	soc.culture.hmong_20050210.1130-E8-16
EM36	soc.culture.hmong_20050210.1130-E9-17
EM37	soc.culture.hmong_20050210.1130-E10-18
EM38	soc.culture.hmong_20050210.1130-E10-19
EM39	soc.culture.hmong_20050210.1130-E11-20
EM40	soc.culture.hmong_20050210.1130-E11-21
EM41	soc.culture.hmong_20050210.1130-E70-22
EM42	soc.culture.hmong_20050210.1130-E12-23
EM43	soc.culture.hmong_20050210.1130-E13-24
EM44	soc.culture.hmong_20050210.1130-E14-25
EM45	soc.culture.hmong_20050210.1130-E15-26
EM46	soc.culture.hmong_20050210.1130-E17-27
EM47	soc.culture.hmong_20050210.1130-E18-28
EM48	soc.culture.hmong_20050210.1130-E10-29
EM49	soc.culture.hmong_20050210.1130-E19-30
EM50	soc.culture.hmong_20050210.1130-E20-31
EM51	soc.culture.hmong_20050210.1130-E11-32
EM52	soc.culture.hmong_20050210.1130-E70-33
EM53	soc.culture.hmong_20050210.1130-E21-34
EM54	soc.culture.hmong_20050210.1130-E11-35
EM55	soc.culture.hmong_20050210.1130-E10-36
EM56	soc.culture.hmong_20050210.1130-E22-37
EM57	soc.culture.hmong_20050210.1130-E23-38
EM58	soc.culture.hmong_20050210.1130-E24-39
EM59	soc.culture.hmong_20050210.1130-E9-40
EM60	soc.culture.hmong_20050210.1130-E9-41
EM61	soc.culture.hmong_20050210.1130-E70-42
EM62	soc.culture.hmong_20050210.1130-E10-43
EM63	soc.culture.hmong_20050210.1130-E70-44
EM64	soc.culture.hmong_20050210.1130-E10-45
EM65	soc.culture.hmong_20050210.1130-E26-46
EM66	soc.culture.hmong_20050210.1130-E27-47
EM67	soc.culture.hmong_20050210.1130-E10-48
EM68	soc.culture.hmong_20050210.1130-E28-49
EM69	soc.culture.hmong_20050210.1130-E10-50
EM70	soc.culture.hmong_20050210.1130-E16-51
EM72	soc.culture.hmong_20050210.1130-E29-52
EM73	soc.culture.hmong_20050210.1130-E30-53
EM74	soc.culture.hmong_20050210.1130-E31-54
EM75	soc.culture.hmong_20050210.1130-E16-55
EM76	soc.culture.hmong_20050210.1130-E16-56
EM77	soc.culture.hmong_20050210.1130-E70-57
EM78	soc.culture.hmong_20050210.1130-E9-58
EM79	soc.culture.hmong_20050210.1130-E70-59
EM81	soc.culture.hmong_20050210.1130-E70-60
EM82	soc.culture.hmong_20050210.1130-E10-61
EM83	soc.culture.hmong_20050210.1130-E70-62
EM84	soc.culture.hmong_20050210.1130-E11-63
EM85	soc.culture.hmong_20050210.1130-E1-64
EM86	soc.culture.hmong_20050210.1130-E32-65
EM87	soc.culture.hmong_20050210.1130-E33-66
EM88	soc.culture.hmong_20050210.1130-E34-67
EM89	soc.culture.hmong_20050210.1130-E35-68
EM90	soc.culture.hmong_20050210.1130-E36-69
EM91	soc.culture.hmong_20050210.1130-E37-70
EM92	soc.culture.hmong_20050210.1130-E38-71
EM93	soc.culture.hmong_20050210.1130-E39-72
EM94	soc.culture.hmong_20050210.1130-E40-73
EM95	soc.culture.hmong_20050210.1130-E41-74
EM96	soc.culture.hmong_20050210.1130-E9-75
EM97	soc.culture.hmong_20050210.1130-E70-76
EM98	soc.culture.hmong_20050210.1130-E42-77
EM99	soc.culture.hmong_20050210.1130-E11-78
EM100	soc.culture.hmong_20050210.1130-E42-79
EM101	soc.culture.hmong_20050210.1130-E43-80
EM102	soc.culture.hmong_20050210.1130-E44-81
EM103	soc.culture.hmong_20050210.1130-E45-82
EM2	soc.culture.hmong_20050210.1130-E25-83
EM104	soc.culture.hmong_20050210.1130-E1-84
EM105	soc.culture.hmong_20050210.1130-E46-85
EM106	soc.culture.hmong_20050210.1130-E47-86
EM107	soc.culture.hmong_20050210.1130-E1-87
EM108	soc.culture.hmong_20050210.1130-E48-88
EM109	soc.culture.hmong_20050210.1130-E1-89
EM110	soc.culture.hmong_20050210.1130-E70-90
EM111	soc.culture.hmong_20050210.1130-E49-91
EM112	soc.culture.hmong_20050210.1130-E50-92
EM113	soc.culture.hmong_20050210.1130-E18-93
EM114	soc.culture.hmong_20050210.1130-E51-94
EM115	soc.culture.hmong_20050210.1130-E52-95
EM116	soc.culture.hmong_20050210.1130-E70-96
EM117	soc.culture.hmong_20050210.1130-E25-97
EM118	soc.culture.hmong_20050210.1130-E11-98
EM119	soc.culture.hmong_20050210.1130-E25-99
EM120	soc.culture.hmong_20050210.1130-E53-100
EM121	soc.culture.hmong_20050210.1130-E54-101
EM122	soc.culture.hmong_20050210.1130-E70-102
EM125	soc.culture.hmong_20050210.1130-E55-103
EM126	soc.culture.hmong_20050210.1130-E55-104
EM127	soc.culture.hmong_20050210.1130-E51-105
EM128	soc.culture.hmong_20050210.1130-E56-106
EM129	soc.culture.hmong_20050210.1130-E55-107
EM130	soc.culture.hmong_20050210.1130-E57-108
EM131	soc.culture.hmong_20050210.1130-E55-109
EM133	soc.culture.hmong_20050210.1130-E58-110
EM134	soc.culture.hmong_20050210.1130-E55-111
EM135	soc.culture.hmong_20050210.1130-E59-112
EM136	soc.culture.hmong_20050210.1130-E60-113
EM137	soc.culture.hmong_20050210.1130-E60-114
EM138	soc.culture.hmong_20050210.1130-E61-115
EM139	soc.culture.hmong_20050210.1130-E62-116
EM140	soc.culture.hmong_20050210.1130-E63-117
EM141	soc.culture.hmong_20050210.1130-E64-118
EM142	soc.culture.hmong_20050210.1130-E65-119
EM143	soc.culture.hmong_20050210.1130-E66-120
EM144	soc.culture.hmong_20050210.1130-E55-121
EM3	soc.culture.hmong_20050210.1130-E70-122
EM145	soc.culture.hmong_20050210.1130-E57-123
EM146	soc.culture.hmong_20050210.1130-E67-124
EM147	soc.culture.hmong_20050210.1130-E68-125
EM148	soc.culture.hmong_20050210.1130-E69-126
EM4	soc.culture.hmong_20050210.1130-E70-127
EM26	soc.culture.hmong_20050210.1130-E71-128
EM5	soc.culture.hmong_20050210.1130-E25-129
EM6	soc.culture.hmong_20050210.1130-E72-130
EM27	soc.culture.hmong_20050210.1130-E6-131
EM8	soc.culture.hmong_20050210.1130-E73-132
EM9	soc.culture.hmong_20050210.1130-E74-133
EM10	soc.culture.hmong_20050210.1130-E74-134
EM11	soc.culture.hmong_20050210.1130-E75-135
EM12	soc.culture.hmong_20050210.1130-E75-136
EM13	soc.culture.hmong_20050210.1130-E76-137
EM14	soc.culture.hmong_20050210.1130-E76-138
EM15	soc.culture.hmong_20050210.1130-E77-139
EM16	soc.culture.hmong_20050210.1130-E78-140
EM17	soc.culture.hmong_20050210.1130-E79-141
EM18	soc.culture.hmong_20050210.1130-E1-142
R1	soc.culture.hmong_20050210.1130-R1
R2	soc.culture.hmong_20050210.1130-R2
R3	soc.culture.hmong_20050210.1130-R3
R4	soc.culture.hmong_20050210.1130-R4
R6	soc.culture.hmong_20050210.1130-R5
R7	soc.culture.hmong_20050210.1130-R6
R9	soc.culture.hmong_20050210.1130-R7
R10	soc.culture.hmong_20050210.1130-R8
R11	soc.culture.hmong_20050210.1130-R9
R12	soc.culture.hmong_20050210.1130-R10
R13	soc.culture.hmong_20050210.1130-R11
R14	soc.culture.hmong_20050210.1130-R12
R15	soc.culture.hmong_20050210.1130-R13
R16	soc.culture.hmong_20050210.1130-R14
R17	soc.culture.hmong_20050210.1130-R15
R18	soc.culture.hmong_20050210.1130-R16
R19	soc.culture.hmong_20050210.1130-R17
R20	soc.culture.hmong_20050210.1130-R18
R21	soc.culture.hmong_20050210.1130-R19
R22	soc.culture.hmong_20050210.1130-R20
RM1	soc.culture.hmong_20050210.1130-R1-1
RM2	soc.culture.hmong_20050210.1130-R2-1
RM3	soc.culture.hmong_20050210.1130-R3-1
RM4	soc.culture.hmong_20050210.1130-R4-1
RM6	soc.culture.hmong_20050210.1130-R5-1
RM7	soc.culture.hmong_20050210.1130-R6-1
RM9	soc.culture.hmong_20050210.1130-R7-1
RM10	soc.culture.hmong_20050210.1130-R8-1
RM11	soc.culture.hmong_20050210.1130-R9-1
RM12	soc.culture.hmong_20050210.1130-R10-1
RM13	soc.culture.hmong_20050210.1130-R11-1
RM14	soc.culture.hmong_20050210.1130-R12-1
RM15	soc.culture.hmong_20050210.1130-R13-1
RM16	soc.culture.hmong_20050210.1130-R14-1
RM17	soc.culture.hmong_20050210.1130-R15-1
RM18	soc.culture.hmong_20050210.1130-R16-1
RM19	soc.culture.hmong_20050210.1130-R17-1
RM20	soc.culture.hmong_20050210.1130-R18-1
RM21	soc.culture.hmong_20050210.1130-R19-1
RM22	soc.culture.hmong_20050210.1130-R20-1
V4	soc.culture.hmong_20050210.1130-EV1
V5	soc.culture.hmong_20050210.1130-EV2
V6	soc.culture.hmong_20050210.1130-EV3
V1	soc.culture.hmong_20050210.1130-EV4
V2	soc.culture.hmong_20050210.1130-EV5
V3	soc.culture.hmong_20050210.1130-EV6
V7	soc.culture.hmong_20050210.1130-EV7
V9	soc.culture.hmong_20050210.1130-EV8
V10	soc.culture.hmong_20050210.1130-EV9
V11	soc.culture.hmong_20050210.1130-EV10
V12	soc.culture.hmong_20050210.1130-EV11
VM4	soc.culture.hmong_20050210.1130-EV1-1
VM5	soc.culture.hmong_20050210.1130-EV2-1
VM6	soc.culture.hmong_20050210.1130-EV3-1
VM1	soc.culture.hmong_20050210.1130-EV4-1
VM2	soc.culture.hmong_20050210.1130-EV5-1
VM3	soc.culture.hmong_20050210.1130-EV6-1
VM7	soc.culture.hmong_20050210.1130-EV7-1
VM9	soc.culture.hmong_20050210.1130-EV8-1
VM10	soc.culture.hmong_20050210.1130-EV9-1
VM11	soc.culture.hmong_20050210.1130-EV10-1
VM12	soc.culture.hmong_20050210.1130-EV11-1
Q1	soc.culture.hmong_20050210.1130-T1
Q2	soc.culture.hmong_20050210.1130-T2
