CE12	uk.gay-lesbian-bi_20050127.0311-CE1
E59	uk.gay-lesbian-bi_20050127.0311-E42
E60	uk.gay-lesbian-bi_20050127.0311-E43
E61	uk.gay-lesbian-bi_20050127.0311-E44
E62	uk.gay-lesbian-bi_20050127.0311-E45
E63	uk.gay-lesbian-bi_20050127.0311-E46
E64	uk.gay-lesbian-bi_20050127.0311-E47
E65	uk.gay-lesbian-bi_20050127.0311-E48
E67	uk.gay-lesbian-bi_20050127.0311-E49
E69	uk.gay-lesbian-bi_20050127.0311-E50
E70	uk.gay-lesbian-bi_20050127.0311-E51
E2	uk.gay-lesbian-bi_20050127.0311-E52
E3	uk.gay-lesbian-bi_20050127.0311-E53
E4	uk.gay-lesbian-bi_20050127.0311-E54
E5	uk.gay-lesbian-bi_20050127.0311-E55
E6	uk.gay-lesbian-bi_20050127.0311-E56
E7	uk.gay-lesbian-bi_20050127.0311-E57
E8	uk.gay-lesbian-bi_20050127.0311-E58
E9	uk.gay-lesbian-bi_20050127.0311-E59
E10	uk.gay-lesbian-bi_20050127.0311-E60
E12	uk.gay-lesbian-bi_20050127.0311-E61
EM17	uk.gay-lesbian-bi_20050127.0311-E57-1
EM18	uk.gay-lesbian-bi_20050127.0311-E58-2
EM19	uk.gay-lesbian-bi_20050127.0311-E59-3
EM20	uk.gay-lesbian-bi_20050127.0311-E53-4
EM21	uk.gay-lesbian-bi_20050127.0311-E2-5
EM22	uk.gay-lesbian-bi_20050127.0311-E3-6
EM23	uk.gay-lesbian-bi_20050127.0311-E41-7
EM24	uk.gay-lesbian-bi_20050127.0311-E58-8
EM25	uk.gay-lesbian-bi_20050127.0311-E4-9
EM26	uk.gay-lesbian-bi_20050127.0311-E5-10
EM27	uk.gay-lesbian-bi_20050127.0311-E5-11
EM28	uk.gay-lesbian-bi_20050127.0311-E55-12
EM29	uk.gay-lesbian-bi_20050127.0311-E6-13
EM30	uk.gay-lesbian-bi_20050127.0311-E6-14
EM31	uk.gay-lesbian-bi_20050127.0311-E55-15
EM32	uk.gay-lesbian-bi_20050127.0311-E7-16
EM33	uk.gay-lesbian-bi_20050127.0311-E7-17
EM34	uk.gay-lesbian-bi_20050127.0311-E8-18
EM35	uk.gay-lesbian-bi_20050127.0311-E41-19
EM36	uk.gay-lesbian-bi_20050127.0311-E9-20
EM40	uk.gay-lesbian-bi_20050127.0311-E57-21
EM41	uk.gay-lesbian-bi_20050127.0311-E11-22
EM42	uk.gay-lesbian-bi_20050127.0311-E12-23
EM43	uk.gay-lesbian-bi_20050127.0311-E13-24
EM44	uk.gay-lesbian-bi_20050127.0311-E14-25
EM45	uk.gay-lesbian-bi_20050127.0311-E14-26
EM46	uk.gay-lesbian-bi_20050127.0311-E15-27
EM47	uk.gay-lesbian-bi_20050127.0311-E15-28
EM48	uk.gay-lesbian-bi_20050127.0311-E15-29
EM49	uk.gay-lesbian-bi_20050127.0311-E16-30
EM50	uk.gay-lesbian-bi_20050127.0311-E17-31
EM51	uk.gay-lesbian-bi_20050127.0311-E55-32
EM52	uk.gay-lesbian-bi_20050127.0311-E18-33
EM53	uk.gay-lesbian-bi_20050127.0311-E18-34
EM54	uk.gay-lesbian-bi_20050127.0311-E18-35
EM55	uk.gay-lesbian-bi_20050127.0311-E53-36
EM56	uk.gay-lesbian-bi_20050127.0311-E19-37
EM1	uk.gay-lesbian-bi_20050127.0311-E41-38
EM57	uk.gay-lesbian-bi_20050127.0311-E20-39
EM58	uk.gay-lesbian-bi_20050127.0311-E18-40
EM59	uk.gay-lesbian-bi_20050127.0311-E21-41
EM60	uk.gay-lesbian-bi_20050127.0311-E22-42
EM61	uk.gay-lesbian-bi_20050127.0311-E23-43
EM62	uk.gay-lesbian-bi_20050127.0311-E24-44
EM63	uk.gay-lesbian-bi_20050127.0311-E25-45
EM64	uk.gay-lesbian-bi_20050127.0311-E26-46
EM65	uk.gay-lesbian-bi_20050127.0311-E27-47
EM66	uk.gay-lesbian-bi_20050127.0311-E27-48
EM67	uk.gay-lesbian-bi_20050127.0311-E24-49
EM68	uk.gay-lesbian-bi_20050127.0311-E28-50
EM69	uk.gay-lesbian-bi_20050127.0311-E29-51
EM70	uk.gay-lesbian-bi_20050127.0311-E30-52
EM71	uk.gay-lesbian-bi_20050127.0311-E15-53
EM72	uk.gay-lesbian-bi_20050127.0311-E31-54
EM73	uk.gay-lesbian-bi_20050127.0311-E32-55
EM74	uk.gay-lesbian-bi_20050127.0311-E33-56
EM75	uk.gay-lesbian-bi_20050127.0311-E34-57
EM76	uk.gay-lesbian-bi_20050127.0311-E35-58
EM77	uk.gay-lesbian-bi_20050127.0311-E36-59
EM78	uk.gay-lesbian-bi_20050127.0311-E37-60
EM79	uk.gay-lesbian-bi_20050127.0311-E41-61
EM80	uk.gay-lesbian-bi_20050127.0311-E55-62
EM81	uk.gay-lesbian-bi_20050127.0311-E55-63
EM82	uk.gay-lesbian-bi_20050127.0311-E41-64
EM83	uk.gay-lesbian-bi_20050127.0311-E41-65
EM84	uk.gay-lesbian-bi_20050127.0311-E37-66
EM85	uk.gay-lesbian-bi_20050127.0311-E15-67
EM86	uk.gay-lesbian-bi_20050127.0311-E57-68
EM87	uk.gay-lesbian-bi_20050127.0311-E11-69
EM88	uk.gay-lesbian-bi_20050127.0311-E33-70
EM89	uk.gay-lesbian-bi_20050127.0311-E38-71
EM90	uk.gay-lesbian-bi_20050127.0311-E39-72
EM91	uk.gay-lesbian-bi_20050127.0311-E40-73
EM92	uk.gay-lesbian-bi_20050127.0311-E42-74
EM93	uk.gay-lesbian-bi_20050127.0311-E42-75
EM94	uk.gay-lesbian-bi_20050127.0311-E35-76
EM95	uk.gay-lesbian-bi_20050127.0311-E57-77
EM96	uk.gay-lesbian-bi_20050127.0311-E11-78
EM97	uk.gay-lesbian-bi_20050127.0311-E43-79
EM98	uk.gay-lesbian-bi_20050127.0311-E15-80
EM99	uk.gay-lesbian-bi_20050127.0311-E15-81
EM100	uk.gay-lesbian-bi_20050127.0311-E15-82
EM102	uk.gay-lesbian-bi_20050127.0311-E15-83
EM103	uk.gay-lesbian-bi_20050127.0311-E44-84
EM104	uk.gay-lesbian-bi_20050127.0311-E44-85
EM106	uk.gay-lesbian-bi_20050127.0311-E10-86
EM107	uk.gay-lesbian-bi_20050127.0311-E10-87
EM108	uk.gay-lesbian-bi_20050127.0311-E45-88
EM109	uk.gay-lesbian-bi_20050127.0311-E3-89
EM110	uk.gay-lesbian-bi_20050127.0311-E46-90
EM111	uk.gay-lesbian-bi_20050127.0311-E47-91
EM112	uk.gay-lesbian-bi_20050127.0311-E48-92
EM113	uk.gay-lesbian-bi_20050127.0311-E3-93
EM114	uk.gay-lesbian-bi_20050127.0311-E3-94
EM115	uk.gay-lesbian-bi_20050127.0311-E49-95
EM116	uk.gay-lesbian-bi_20050127.0311-E49-96
EM117	uk.gay-lesbian-bi_20050127.0311-E40-97
EM118	uk.gay-lesbian-bi_20050127.0311-E3-98
EM119	uk.gay-lesbian-bi_20050127.0311-E49-99
EM120	uk.gay-lesbian-bi_20050127.0311-E10-100
EM121	uk.gay-lesbian-bi_20050127.0311-E10-101
EM122	uk.gay-lesbian-bi_20050127.0311-E44-102
EM123	uk.gay-lesbian-bi_20050127.0311-E60-103
EM2	uk.gay-lesbian-bi_20050127.0311-E52-104
EM124	uk.gay-lesbian-bi_20050127.0311-E50-105
EM125	uk.gay-lesbian-bi_20050127.0311-E51-106
EM3	uk.gay-lesbian-bi_20050127.0311-E53-107
EM4	uk.gay-lesbian-bi_20050127.0311-E54-108
EM5	uk.gay-lesbian-bi_20050127.0311-E56-109
EM6	uk.gay-lesbian-bi_20050127.0311-E55-110
EM126	uk.gay-lesbian-bi_20050127.0311-E51-111
EM9	uk.gay-lesbian-bi_20050127.0311-E53-112
EM10	uk.gay-lesbian-bi_20050127.0311-E59-113
EM12	uk.gay-lesbian-bi_20050127.0311-E60-114
EM14	uk.gay-lesbian-bi_20050127.0311-E55-115
EM13	uk.gay-lesbian-bi_20050127.0311-E53-116
EM15	uk.gay-lesbian-bi_20050127.0311-E61-117
EM16	uk.gay-lesbian-bi_20050127.0311-E1-118
R2	uk.gay-lesbian-bi_20050127.0311-R1
R3	uk.gay-lesbian-bi_20050127.0311-R2
R4	uk.gay-lesbian-bi_20050127.0311-R3
R5	uk.gay-lesbian-bi_20050127.0311-R4
R6	uk.gay-lesbian-bi_20050127.0311-R5
R7	uk.gay-lesbian-bi_20050127.0311-R6
R8	uk.gay-lesbian-bi_20050127.0311-R7
R9	uk.gay-lesbian-bi_20050127.0311-R8
RM2	uk.gay-lesbian-bi_20050127.0311-R1-1
RM3	uk.gay-lesbian-bi_20050127.0311-R2-1
RM4	uk.gay-lesbian-bi_20050127.0311-R3-1
RM5	uk.gay-lesbian-bi_20050127.0311-R4-1
RM6	uk.gay-lesbian-bi_20050127.0311-R5-1
RM7	uk.gay-lesbian-bi_20050127.0311-R6-1
RM8	uk.gay-lesbian-bi_20050127.0311-R7-1
RM9	uk.gay-lesbian-bi_20050127.0311-R8-1
V3	uk.gay-lesbian-bi_20050127.0311-EV1
V4	uk.gay-lesbian-bi_20050127.0311-EV2
V5	uk.gay-lesbian-bi_20050127.0311-EV3
V7	uk.gay-lesbian-bi_20050127.0311-EV4
V8	uk.gay-lesbian-bi_20050127.0311-EV5
V9	uk.gay-lesbian-bi_20050127.0311-EV6
V10	uk.gay-lesbian-bi_20050127.0311-EV7
V11	uk.gay-lesbian-bi_20050127.0311-EV8
V12	uk.gay-lesbian-bi_20050127.0311-EV9
V13	uk.gay-lesbian-bi_20050127.0311-EV10
V14	uk.gay-lesbian-bi_20050127.0311-EV11
V15	uk.gay-lesbian-bi_20050127.0311-EV12
V16	uk.gay-lesbian-bi_20050127.0311-EV13
V17	uk.gay-lesbian-bi_20050127.0311-EV14
V18	uk.gay-lesbian-bi_20050127.0311-EV15
V19	uk.gay-lesbian-bi_20050127.0311-EV16
V20	uk.gay-lesbian-bi_20050127.0311-EV17
V21	uk.gay-lesbian-bi_20050127.0311-EV18
V22	uk.gay-lesbian-bi_20050127.0311-EV19
V2	uk.gay-lesbian-bi_20050127.0311-EV20
VM4	uk.gay-lesbian-bi_20050127.0311-EV2-1
VM5	uk.gay-lesbian-bi_20050127.0311-EV3-1
VM7	uk.gay-lesbian-bi_20050127.0311-EV4-1
VM8	uk.gay-lesbian-bi_20050127.0311-EV5-1
VM9	uk.gay-lesbian-bi_20050127.0311-EV6-1
VM10	uk.gay-lesbian-bi_20050127.0311-EV7-1
VM11	uk.gay-lesbian-bi_20050127.0311-EV8-1
VM12	uk.gay-lesbian-bi_20050127.0311-EV9-1
VM13	uk.gay-lesbian-bi_20050127.0311-EV10-1
VM14	uk.gay-lesbian-bi_20050127.0311-EV11-1
VM15	uk.gay-lesbian-bi_20050127.0311-EV9-2
VM16	uk.gay-lesbian-bi_20050127.0311-EV12-1
VM17	uk.gay-lesbian-bi_20050127.0311-EV13-1
VM18	uk.gay-lesbian-bi_20050127.0311-EV14-1
VM20	uk.gay-lesbian-bi_20050127.0311-EV15-1
VM21	uk.gay-lesbian-bi_20050127.0311-EV16-1
VM22	uk.gay-lesbian-bi_20050127.0311-EV17-1
VM23	uk.gay-lesbian-bi_20050127.0311-EV18-1
VM24	uk.gay-lesbian-bi_20050127.0311-EV19-1
VM25	uk.gay-lesbian-bi_20050127.0311-EV19-2
VM2	uk.gay-lesbian-bi_20050127.0311-EV20-1
VM3	uk.gay-lesbian-bi_20050127.0311-EV1-1
Q1	uk.gay-lesbian-bi_20050127.0311-T1
Q2	uk.gay-lesbian-bi_20050127.0311-T2
Q3	uk.gay-lesbian-bi_20050127.0311-T3
Q4	uk.gay-lesbian-bi_20050127.0311-T4
Q5	uk.gay-lesbian-bi_20050127.0311-T5
Q6	uk.gay-lesbian-bi_20050127.0311-T6
Q7	uk.gay-lesbian-bi_20050127.0311-T7
Q8	uk.gay-lesbian-bi_20050127.0311-T8
Q9	uk.gay-lesbian-bi_20050127.0311-T9
Q10	uk.gay-lesbian-bi_20050127.0311-T10
Q11	uk.gay-lesbian-bi_20050127.0311-T11
Q12	uk.gay-lesbian-bi_20050127.0311-T12
Q13	uk.gay-lesbian-bi_20050127.0311-T13
Q14	uk.gay-lesbian-bi_20050127.0311-T14
Q15	uk.gay-lesbian-bi_20050127.0311-V1
QM15	uk.gay-lesbian-bi_20050127.0311-V1-1
