CE9	seattle.politics_20050122.2412-CE1
E14	seattle.politics_20050122.2412-E32
EM1	seattle.politics_20050122.2412-E13-1
EM21	seattle.politics_20050122.2412-E1-2
EM22	seattle.politics_20050122.2412-E29-3
EM23	seattle.politics_20050122.2412-E2-4
EM24	seattle.politics_20050122.2412-E3-5
EM25	seattle.politics_20050122.2412-E4-6
EM26	seattle.politics_20050122.2412-E32-7
EM27	seattle.politics_20050122.2412-E29-8
EM28	seattle.politics_20050122.2412-E29-9
EM29	seattle.politics_20050122.2412-E5-10
EM30	seattle.politics_20050122.2412-E2-11
EM31	seattle.politics_20050122.2412-E13-12
EM32	seattle.politics_20050122.2412-E3-13
EM33	seattle.politics_20050122.2412-E13-14
EM34	seattle.politics_20050122.2412-E13-15
EM35	seattle.politics_20050122.2412-E4-16
EM36	seattle.politics_20050122.2412-E1-17
EM37	seattle.politics_20050122.2412-E29-18
EM38	seattle.politics_20050122.2412-E3-19
EM39	seattle.politics_20050122.2412-E28-20
EM40	seattle.politics_20050122.2412-E28-21
EM41	seattle.politics_20050122.2412-E6-22
EM42	seattle.politics_20050122.2412-E28-23
EM43	seattle.politics_20050122.2412-E7-24
EM46	seattle.politics_20050122.2412-E8-25
EM47	seattle.politics_20050122.2412-E2-26
EM48	seattle.politics_20050122.2412-E28-27
EM49	seattle.politics_20050122.2412-E30-28
EM50	seattle.politics_20050122.2412-E30-29
EM51	seattle.politics_20050122.2412-E30-30
EM52	seattle.politics_20050122.2412-E2-31
EM54	seattle.politics_20050122.2412-E9-32
EM55	seattle.politics_20050122.2412-E3-33
EM56	seattle.politics_20050122.2412-E10-34
EM57	seattle.politics_20050122.2412-E10-35
EM58	seattle.politics_20050122.2412-E7-36
EM59	seattle.politics_20050122.2412-E30-37
EM60	seattle.politics_20050122.2412-E11-38
EM61	seattle.politics_20050122.2412-E11-39
EM62	seattle.politics_20050122.2412-E11-40
EM64	seattle.politics_20050122.2412-E30-41
EM65	seattle.politics_20050122.2412-E12-42
EM63	seattle.politics_20050122.2412-E28-43
EM68	seattle.politics_20050122.2412-E30-44
EM66	seattle.politics_20050122.2412-E28-45
EM67	seattle.politics_20050122.2412-E28-46
EM69	seattle.politics_20050122.2412-E28-47
EM70	seattle.politics_20050122.2412-E14-48
EM71	seattle.politics_20050122.2412-E2-49
EM72	seattle.politics_20050122.2412-E15-50
EM73	seattle.politics_20050122.2412-E28-51
EM74	seattle.politics_20050122.2412-E16-52
EM14	seattle.politics_20050122.2412-E28-53
EM75	seattle.politics_20050122.2412-E17-54
EM76	seattle.politics_20050122.2412-E13-55
EM77	seattle.politics_20050122.2412-E18-56
EM78	seattle.politics_20050122.2412-E10-57
EM79	seattle.politics_20050122.2412-E19-58
EM80	seattle.politics_20050122.2412-E20-59
EM81	seattle.politics_20050122.2412-E10-60
EM82	seattle.politics_20050122.2412-E21-61
EM83	seattle.politics_20050122.2412-E28-62
EM84	seattle.politics_20050122.2412-E28-63
EM85	seattle.politics_20050122.2412-E28-64
EM86	seattle.politics_20050122.2412-E28-65
EM87	seattle.politics_20050122.2412-E28-66
EM88	seattle.politics_20050122.2412-E30-67
EM89	seattle.politics_20050122.2412-E30-68
EM90	seattle.politics_20050122.2412-E7-69
EM92	seattle.politics_20050122.2412-E22-70
EM93	seattle.politics_20050122.2412-E28-71
EM95	seattle.politics_20050122.2412-E28-72
EM96	seattle.politics_20050122.2412-E30-73
EM97	seattle.politics_20050122.2412-E28-74
EM98	seattle.politics_20050122.2412-E7-75
EM99	seattle.politics_20050122.2412-E3-76
EM100	seattle.politics_20050122.2412-E10-77
EM101	seattle.politics_20050122.2412-E23-78
EM94	seattle.politics_20050122.2412-E10-79
EM102	seattle.politics_20050122.2412-E24-80
EM103	seattle.politics_20050122.2412-E25-81
EM104	seattle.politics_20050122.2412-E28-82
EM105	seattle.politics_20050122.2412-E28-83
EM107	seattle.politics_20050122.2412-E30-84
EM108	seattle.politics_20050122.2412-E30-85
EM109	seattle.politics_20050122.2412-E28-86
EM110	seattle.politics_20050122.2412-E23-87
EM2	seattle.politics_20050122.2412-E27-88
EM111	seattle.politics_20050122.2412-E30-89
EM112	seattle.politics_20050122.2412-E1-90
EM7	seattle.politics_20050122.2412-E26-91
EM3	seattle.politics_20050122.2412-E28-92
EM4	seattle.politics_20050122.2412-E27-93
EM5	seattle.politics_20050122.2412-E13-94
EM6	seattle.politics_20050122.2412-E13-95
EM8	seattle.politics_20050122.2412-E29-96
EM11	seattle.politics_20050122.2412-E28-97
EM12	seattle.politics_20050122.2412-E31-98
EM13	seattle.politics_20050122.2412-E28-99
EM15	seattle.politics_20050122.2412-E28-100
EM17	seattle.politics_20050122.2412-E30-101
EM18	seattle.politics_20050122.2412-E30-102
EM19	seattle.politics_20050122.2412-E30-103
EM20	seattle.politics_20050122.2412-E32-104
R1	seattle.politics_20050122.2412-R1
R2	seattle.politics_20050122.2412-R2
RM1	seattle.politics_20050122.2412-R1-1
RM2	seattle.politics_20050122.2412-R2-1
V1	seattle.politics_20050122.2412-EV1
V2	seattle.politics_20050122.2412-EV2
VM1	seattle.politics_20050122.2412-EV1-1
VM2	seattle.politics_20050122.2412-EV2-1
Q2	seattle.politics_20050122.2412-T1
Q3	seattle.politics_20050122.2412-T2
Q5	seattle.politics_20050122.2412-T3
Q6	seattle.politics_20050122.2412-T4
Q7	seattle.politics_20050122.2412-T5
Q8	seattle.politics_20050122.2412-T6
Q9	seattle.politics_20050122.2412-T7
Q10	seattle.politics_20050122.2412-T8
Q11	seattle.politics_20050122.2412-T9
Q12	seattle.politics_20050122.2412-T10
Q13	seattle.politics_20050122.2412-T11
