CE14	talk.politics.misc_20050216.1337-CE1
EM27	talk.politics.misc_20050216.1337-E8-13
EM28	talk.politics.misc_20050216.1337-E9-14
EM29	talk.politics.misc_20050216.1337-E27-15
EM30	talk.politics.misc_20050216.1337-E10-16
EM31	talk.politics.misc_20050216.1337-E11-17
EM32	talk.politics.misc_20050216.1337-E11-18
EM33	talk.politics.misc_20050216.1337-E12-19
EM34	talk.politics.misc_20050216.1337-E13-20
EM35	talk.politics.misc_20050216.1337-E12-21
EM36	talk.politics.misc_20050216.1337-E12-22
EM37	talk.politics.misc_20050216.1337-E14-23
EM38	talk.politics.misc_20050216.1337-E15-24
EM39	talk.politics.misc_20050216.1337-E14-25
EM40	talk.politics.misc_20050216.1337-E16-26
EM41	talk.politics.misc_20050216.1337-E27-27
EM42	talk.politics.misc_20050216.1337-E27-28
EM43	talk.politics.misc_20050216.1337-E17-29
EM44	talk.politics.misc_20050216.1337-E27-30
EM45	talk.politics.misc_20050216.1337-E1-31
EM46	talk.politics.misc_20050216.1337-E28-32
EM2	talk.politics.misc_20050216.1337-E19-33
EM3	talk.politics.misc_20050216.1337-E20-34
EM4	talk.politics.misc_20050216.1337-E21-35
EM6	talk.politics.misc_20050216.1337-E22-36
EM7	talk.politics.misc_20050216.1337-E23-37
EM8	talk.politics.misc_20050216.1337-E24-38
EM9	talk.politics.misc_20050216.1337-E25-39
EM10	talk.politics.misc_20050216.1337-E26-40
EM11	talk.politics.misc_20050216.1337-E27-41
EM12	talk.politics.misc_20050216.1337-E29-42
EM13	talk.politics.misc_20050216.1337-E30-43
EM14	talk.politics.misc_20050216.1337-E31-44
EM15	talk.politics.misc_20050216.1337-E28-45
R1	talk.politics.misc_20050216.1337-R1
R2	talk.politics.misc_20050216.1337-R2
R3	talk.politics.misc_20050216.1337-R3
R4	talk.politics.misc_20050216.1337-R4
R5	talk.politics.misc_20050216.1337-R5
R3	talk.politics.misc_20050216.1337-R6
RM1	talk.politics.misc_20050216.1337-R1-1
RM2	talk.politics.misc_20050216.1337-R2-1
RM3	talk.politics.misc_20050216.1337-R3-1
RM4	talk.politics.misc_20050216.1337-R4-1
RM5	talk.politics.misc_20050216.1337-R5-1
RM6	talk.politics.misc_20050216.1337-R3-2
Q1	talk.politics.misc_20050216.1337-T1
Q2	talk.politics.misc_20050216.1337-T2
Q3	talk.politics.misc_20050216.1337-T3
Q4	talk.politics.misc_20050216.1337-T4
Q5	talk.politics.misc_20050216.1337-T5
Q6	talk.politics.misc_20050216.1337-T6
Q7	talk.politics.misc_20050216.1337-T7
Q8	talk.politics.misc_20050216.1337-T8
Q9	talk.politics.misc_20050216.1337-T9
