CE11	rec.travel.usa-canada_20050128.0121-CE1
EM127	rec.travel.usa-canada_20050128.0121-E22-105
EM128	rec.travel.usa-canada_20050128.0121-E22-106
EM129	rec.travel.usa-canada_20050128.0121-E13-107
EM130	rec.travel.usa-canada_20050128.0121-E4-108
EM131	rec.travel.usa-canada_20050128.0121-E22-109
EM132	rec.travel.usa-canada_20050128.0121-E22-110
EM133	rec.travel.usa-canada_20050128.0121-E6-111
EM134	rec.travel.usa-canada_20050128.0121-E23-112
EM135	rec.travel.usa-canada_20050128.0121-E9-113
EM136	rec.travel.usa-canada_20050128.0121-E24-114
EM137	rec.travel.usa-canada_20050128.0121-E25-115
EM140	rec.travel.usa-canada_20050128.0121-E26-116
EM141	rec.travel.usa-canada_20050128.0121-E6-117
EM142	rec.travel.usa-canada_20050128.0121-E9-118
EM143	rec.travel.usa-canada_20050128.0121-E9-119
EM144	rec.travel.usa-canada_20050128.0121-E4-120
EM145	rec.travel.usa-canada_20050128.0121-E27-121
EM146	rec.travel.usa-canada_20050128.0121-E28-122
EM147	rec.travel.usa-canada_20050128.0121-E43-123
EM148	rec.travel.usa-canada_20050128.0121-E9-124
EM149	rec.travel.usa-canada_20050128.0121-E4-125
EM151	rec.travel.usa-canada_20050128.0121-E9-126
EM152	rec.travel.usa-canada_20050128.0121-E29-127
EM153	rec.travel.usa-canada_20050128.0121-E43-128
EM154	rec.travel.usa-canada_20050128.0121-E1-129
EM155	rec.travel.usa-canada_20050128.0121-E43-130
EM156	rec.travel.usa-canada_20050128.0121-E1-131
EM157	rec.travel.usa-canada_20050128.0121-E41-132
EM158	rec.travel.usa-canada_20050128.0121-E41-133
EM160	rec.travel.usa-canada_20050128.0121-E36-134
EM161	rec.travel.usa-canada_20050128.0121-E43-135
EM162	rec.travel.usa-canada_20050128.0121-E2-136
EM163	rec.travel.usa-canada_20050128.0121-E2-137
EM164	rec.travel.usa-canada_20050128.0121-E4-138
EM165	rec.travel.usa-canada_20050128.0121-E2-139
EM166	rec.travel.usa-canada_20050128.0121-E6-140
EM167	rec.travel.usa-canada_20050128.0121-E10-141
EM168	rec.travel.usa-canada_20050128.0121-E10-142
EM169	rec.travel.usa-canada_20050128.0121-E6-143
EM170	rec.travel.usa-canada_20050128.0121-E43-144
EM171	rec.travel.usa-canada_20050128.0121-E9-145
EM172	rec.travel.usa-canada_20050128.0121-E9-146
EM173	rec.travel.usa-canada_20050128.0121-E30-147
EM174	rec.travel.usa-canada_20050128.0121-E32-148
EM175	rec.travel.usa-canada_20050128.0121-E32-149
EM176	rec.travel.usa-canada_20050128.0121-E33-150
EM177	rec.travel.usa-canada_20050128.0121-E27-151
EM178	rec.travel.usa-canada_20050128.0121-E43-152
EM179	rec.travel.usa-canada_20050128.0121-E9-153
EM180	rec.travel.usa-canada_20050128.0121-E36-154
EM181	rec.travel.usa-canada_20050128.0121-E27-155
EM183	rec.travel.usa-canada_20050128.0121-E29-156
EM184	rec.travel.usa-canada_20050128.0121-E4-157
EM186	rec.travel.usa-canada_20050128.0121-E34-158
EM187	rec.travel.usa-canada_20050128.0121-E20-159
EM3	rec.travel.usa-canada_20050128.0121-E35-160
EM189	rec.travel.usa-canada_20050128.0121-E31-161
EM190	rec.travel.usa-canada_20050128.0121-E42-162
EM191	rec.travel.usa-canada_20050128.0121-E36-163
EM192	rec.travel.usa-canada_20050128.0121-E36-164
EM4	rec.travel.usa-canada_20050128.0121-E36-165
EM5	rec.travel.usa-canada_20050128.0121-E37-166
EM6	rec.travel.usa-canada_20050128.0121-E31-167
EM7	rec.travel.usa-canada_20050128.0121-E38-168
EM8	rec.travel.usa-canada_20050128.0121-E39-169
EM9	rec.travel.usa-canada_20050128.0121-E40-170
EM10	rec.travel.usa-canada_20050128.0121-E31-171
EM11	rec.travel.usa-canada_20050128.0121-E41-172
EM12	rec.travel.usa-canada_20050128.0121-E31-173
EM13	rec.travel.usa-canada_20050128.0121-E42-174
EM14	rec.travel.usa-canada_20050128.0121-E31-175
EM15	rec.travel.usa-canada_20050128.0121-E42-176
EM16	rec.travel.usa-canada_20050128.0121-E31-177
EM40	rec.travel.usa-canada_20050128.0121-E7-178
EM18	rec.travel.usa-canada_20050128.0121-E43-179
EM19	rec.travel.usa-canada_20050128.0121-E35-180
EM20	rec.travel.usa-canada_20050128.0121-E36-181
R1	rec.travel.usa-canada_20050128.0121-R1
R2	rec.travel.usa-canada_20050128.0121-R2
R3	rec.travel.usa-canada_20050128.0121-R3
R4	rec.travel.usa-canada_20050128.0121-R4
R5	rec.travel.usa-canada_20050128.0121-R5
R6	rec.travel.usa-canada_20050128.0121-R6
R7	rec.travel.usa-canada_20050128.0121-R7
R8	rec.travel.usa-canada_20050128.0121-R8
R9	rec.travel.usa-canada_20050128.0121-R9
R10	rec.travel.usa-canada_20050128.0121-R10
R11	rec.travel.usa-canada_20050128.0121-R11
R12	rec.travel.usa-canada_20050128.0121-R12
R13	rec.travel.usa-canada_20050128.0121-R13
R14	rec.travel.usa-canada_20050128.0121-R14
R15	rec.travel.usa-canada_20050128.0121-R15
R16	rec.travel.usa-canada_20050128.0121-R16
R17	rec.travel.usa-canada_20050128.0121-R17
R18	rec.travel.usa-canada_20050128.0121-R18
R19	rec.travel.usa-canada_20050128.0121-R19
R20	rec.travel.usa-canada_20050128.0121-R20
R21	rec.travel.usa-canada_20050128.0121-R21
R22	rec.travel.usa-canada_20050128.0121-R22
R23	rec.travel.usa-canada_20050128.0121-R23
R24	rec.travel.usa-canada_20050128.0121-R24
R25	rec.travel.usa-canada_20050128.0121-R25
R26	rec.travel.usa-canada_20050128.0121-R26
R28	rec.travel.usa-canada_20050128.0121-R27
R29	rec.travel.usa-canada_20050128.0121-R28
R30	rec.travel.usa-canada_20050128.0121-R29
R31	rec.travel.usa-canada_20050128.0121-R30
R32	rec.travel.usa-canada_20050128.0121-R31
RM1	rec.travel.usa-canada_20050128.0121-R2-1
RM2	rec.travel.usa-canada_20050128.0121-R3-1
RM3	rec.travel.usa-canada_20050128.0121-R4-1
RM4	rec.travel.usa-canada_20050128.0121-R5-1
RM5	rec.travel.usa-canada_20050128.0121-R6-1
RM6	rec.travel.usa-canada_20050128.0121-R7-1
RM7	rec.travel.usa-canada_20050128.0121-R8-1
RM8	rec.travel.usa-canada_20050128.0121-R9-1
RM9	rec.travel.usa-canada_20050128.0121-R10-1
RM10	rec.travel.usa-canada_20050128.0121-R10-2
RM11	rec.travel.usa-canada_20050128.0121-R12-1
RM12	rec.travel.usa-canada_20050128.0121-R13-1
RM14	rec.travel.usa-canada_20050128.0121-R14-1
RM15	rec.travel.usa-canada_20050128.0121-R8-2
RM16	rec.travel.usa-canada_20050128.0121-R16-1
RM17	rec.travel.usa-canada_20050128.0121-R17-1
RM18	rec.travel.usa-canada_20050128.0121-R18-1
RM19	rec.travel.usa-canada_20050128.0121-R18-2
RM20	rec.travel.usa-canada_20050128.0121-R20-1
RM21	rec.travel.usa-canada_20050128.0121-R21-1
RM22	rec.travel.usa-canada_20050128.0121-R22-1
RM23	rec.travel.usa-canada_20050128.0121-R23-1
RM24	rec.travel.usa-canada_20050128.0121-R24-1
RM25	rec.travel.usa-canada_20050128.0121-R7-2
RM26	rec.travel.usa-canada_20050128.0121-R26-1
RM28	rec.travel.usa-canada_20050128.0121-R27-1
RM29	rec.travel.usa-canada_20050128.0121-R28-1
RM30	rec.travel.usa-canada_20050128.0121-R29-1
RM31	rec.travel.usa-canada_20050128.0121-R23-2
RM32	rec.travel.usa-canada_20050128.0121-R24-2
V1	rec.travel.usa-canada_20050128.0121-EV1
V2	rec.travel.usa-canada_20050128.0121-EV2
V3	rec.travel.usa-canada_20050128.0121-EV3
V4	rec.travel.usa-canada_20050128.0121-EV4
V5	rec.travel.usa-canada_20050128.0121-EV5
V6	rec.travel.usa-canada_20050128.0121-EV6
V7	rec.travel.usa-canada_20050128.0121-EV7
V8	rec.travel.usa-canada_20050128.0121-EV8
V9	rec.travel.usa-canada_20050128.0121-EV9
V10	rec.travel.usa-canada_20050128.0121-EV10
VM1	rec.travel.usa-canada_20050128.0121-EV1-1
VM2	rec.travel.usa-canada_20050128.0121-EV2-1
VM3	rec.travel.usa-canada_20050128.0121-EV3-1
VM4	rec.travel.usa-canada_20050128.0121-EV4-1
VM5	rec.travel.usa-canada_20050128.0121-EV5-1
VM6	rec.travel.usa-canada_20050128.0121-EV6-1
VM7	rec.travel.usa-canada_20050128.0121-EV7-1
VM8	rec.travel.usa-canada_20050128.0121-EV8-1
VM9	rec.travel.usa-canada_20050128.0121-EV4-2
VM11	rec.travel.usa-canada_20050128.0121-EV9-1
VM12	rec.travel.usa-canada_20050128.0121-EV10-1
Q1	rec.travel.usa-canada_20050128.0121-T1
Q2	rec.travel.usa-canada_20050128.0121-T2
Q3	rec.travel.usa-canada_20050128.0121-T3
Q4	rec.travel.usa-canada_20050128.0121-T4
Q5	rec.travel.usa-canada_20050128.0121-T5
Q6	rec.travel.usa-canada_20050128.0121-T6
Q7	rec.travel.usa-canada_20050128.0121-T7
Q8	rec.travel.usa-canada_20050128.0121-T8
Q9	rec.travel.usa-canada_20050128.0121-T9
Q10	rec.travel.usa-canada_20050128.0121-T10
Q11	rec.travel.usa-canada_20050128.0121-T11
Q12	rec.travel.usa-canada_20050128.0121-T12
Q13	rec.travel.usa-canada_20050128.0121-T13
Q14	rec.travel.usa-canada_20050128.0121-T14
Q15	rec.travel.usa-canada_20050128.0121-T15
Q16	rec.travel.usa-canada_20050128.0121-T16
Q17	rec.travel.usa-canada_20050128.0121-T17
Q18	rec.travel.usa-canada_20050128.0121-T18
Q19	rec.travel.usa-canada_20050128.0121-T19
Q20	rec.travel.usa-canada_20050128.0121-V1
Q21	rec.travel.usa-canada_20050128.0121-V2
Q22	rec.travel.usa-canada_20050128.0121-V3
Q23	rec.travel.usa-canada_20050128.0121-T20
Q24	rec.travel.usa-canada_20050128.0121-V4
Q25	rec.travel.usa-canada_20050128.0121-V5
Q26	rec.travel.usa-canada_20050128.0121-V6
Q27	rec.travel.usa-canada_20050128.0121-V7
Q28	rec.travel.usa-canada_20050128.0121-T21
Q29	rec.travel.usa-canada_20050128.0121-T22
Q31	rec.travel.usa-canada_20050128.0121-T23
Q32	rec.travel.usa-canada_20050128.0121-T24
Q33	rec.travel.usa-canada_20050128.0121-T25
Q34	rec.travel.usa-canada_20050128.0121-T26
Q35	rec.travel.usa-canada_20050128.0121-T27
Q36	rec.travel.usa-canada_20050128.0121-V8
Q37	rec.travel.usa-canada_20050128.0121-T28
Q38	rec.travel.usa-canada_20050128.0121-T29
Q39	rec.travel.usa-canada_20050128.0121-T30
Q40	rec.travel.usa-canada_20050128.0121-T31
Q41	rec.travel.usa-canada_20050128.0121-V9
Q42	rec.travel.usa-canada_20050128.0121-V10
Q43	rec.travel.usa-canada_20050128.0121-V11
Q45	rec.travel.usa-canada_20050128.0121-T32
Q46	rec.travel.usa-canada_20050128.0121-V12
Q48	rec.travel.usa-canada_20050128.0121-V13
Q49	rec.travel.usa-canada_20050128.0121-V14
Q50	rec.travel.usa-canada_20050128.0121-V15
Q51	rec.travel.usa-canada_20050128.0121-V16
QM20	rec.travel.usa-canada_20050128.0121-V1-1
QM21	rec.travel.usa-canada_20050128.0121-V2-1
QM22	rec.travel.usa-canada_20050128.0121-V3-1
QM24	rec.travel.usa-canada_20050128.0121-V4-1
QM25	rec.travel.usa-canada_20050128.0121-V5-1
QM26	rec.travel.usa-canada_20050128.0121-V6-1
QM27	rec.travel.usa-canada_20050128.0121-V7-1
QM36	rec.travel.usa-canada_20050128.0121-V8-1
QM41	rec.travel.usa-canada_20050128.0121-V9-1
QM42	rec.travel.usa-canada_20050128.0121-V10-1
QM43	rec.travel.usa-canada_20050128.0121-V11-1
QM46	rec.travel.usa-canada_20050128.0121-V12-1
QM48	rec.travel.usa-canada_20050128.0121-V13-1
QM49	rec.travel.usa-canada_20050128.0121-V14-1
QM50	rec.travel.usa-canada_20050128.0121-V15-1
QM51	rec.travel.usa-canada_20050128.0121-V16-1
