CE10	GETTINGPOLITICAL_20050105.0127.001-CE1
E33	GETTINGPOLITICAL_20050105.0127.001-E22
E34	GETTINGPOLITICAL_20050105.0127.001-E23
E35	GETTINGPOLITICAL_20050105.0127.001-E24
E36	GETTINGPOLITICAL_20050105.0127.001-E25
E37	GETTINGPOLITICAL_20050105.0127.001-E26
E38	GETTINGPOLITICAL_20050105.0127.001-E27
E39	GETTINGPOLITICAL_20050105.0127.001-E28
E40	GETTINGPOLITICAL_20050105.0127.001-E29
E42	GETTINGPOLITICAL_20050105.0127.001-E30
E2	GETTINGPOLITICAL_20050105.0127.001-E31
E3	GETTINGPOLITICAL_20050105.0127.001-E32
E5	GETTINGPOLITICAL_20050105.0127.001-E33
E6	GETTINGPOLITICAL_20050105.0127.001-E34
E7	GETTINGPOLITICAL_20050105.0127.001-E35
E8	GETTINGPOLITICAL_20050105.0127.001-E36
E9	GETTINGPOLITICAL_20050105.0127.001-E37
E10	GETTINGPOLITICAL_20050105.0127.001-E38
E11	GETTINGPOLITICAL_20050105.0127.001-E39
EM1	GETTINGPOLITICAL_20050105.0127.001-E19-1
EM21	GETTINGPOLITICAL_20050105.0127.001-E1-2
EM22	GETTINGPOLITICAL_20050105.0127.001-E19-3
EM23	GETTINGPOLITICAL_20050105.0127.001-E1-4
EM24	GETTINGPOLITICAL_20050105.0127.001-E19-5
EM25	GETTINGPOLITICAL_20050105.0127.001-E19-6
EM26	GETTINGPOLITICAL_20050105.0127.001-E19-7
EM27	GETTINGPOLITICAL_20050105.0127.001-E19-8
EM28	GETTINGPOLITICAL_20050105.0127.001-E19-9
EM29	GETTINGPOLITICAL_20050105.0127.001-E1-10
EM30	GETTINGPOLITICAL_20050105.0127.001-E19-11
EM31	GETTINGPOLITICAL_20050105.0127.001-E2-12
EM32	GETTINGPOLITICAL_20050105.0127.001-E3-13
EM33	GETTINGPOLITICAL_20050105.0127.001-E4-14
EM34	GETTINGPOLITICAL_20050105.0127.001-E4-15
EM35	GETTINGPOLITICAL_20050105.0127.001-E5-16
EM36	GETTINGPOLITICAL_20050105.0127.001-E19-17
EM37	GETTINGPOLITICAL_20050105.0127.001-E6-18
EM38	GETTINGPOLITICAL_20050105.0127.001-E19-19
EM39	GETTINGPOLITICAL_20050105.0127.001-E7-20
EM40	GETTINGPOLITICAL_20050105.0127.001-E19-21
EM41	GETTINGPOLITICAL_20050105.0127.001-E8-22
EM42	GETTINGPOLITICAL_20050105.0127.001-E8-23
EM43	GETTINGPOLITICAL_20050105.0127.001-E33-24
EM44	GETTINGPOLITICAL_20050105.0127.001-E33-25
EM45	GETTINGPOLITICAL_20050105.0127.001-E38-26
EM47	GETTINGPOLITICAL_20050105.0127.001-E38-27
EM48	GETTINGPOLITICAL_20050105.0127.001-E9-28
EM49	GETTINGPOLITICAL_20050105.0127.001-E10-29
EM50	GETTINGPOLITICAL_20050105.0127.001-E11-30
EM52	GETTINGPOLITICAL_20050105.0127.001-E11-31
EM51	GETTINGPOLITICAL_20050105.0127.001-E12-32
EM53	GETTINGPOLITICAL_20050105.0127.001-E13-33
EM54	GETTINGPOLITICAL_20050105.0127.001-E34-34
EM55	GETTINGPOLITICAL_20050105.0127.001-E34-35
EM56	GETTINGPOLITICAL_20050105.0127.001-E14-36
EM57	GETTINGPOLITICAL_20050105.0127.001-E15-37
EM58	GETTINGPOLITICAL_20050105.0127.001-E16-38
EM59	GETTINGPOLITICAL_20050105.0127.001-E17-39
EM60	GETTINGPOLITICAL_20050105.0127.001-E18-40
EM61	GETTINGPOLITICAL_20050105.0127.001-E11-41
EM62	GETTINGPOLITICAL_20050105.0127.001-E20-42
EM63	GETTINGPOLITICAL_20050105.0127.001-E20-43
EM64	GETTINGPOLITICAL_20050105.0127.001-E34-44
EM65	GETTINGPOLITICAL_20050105.0127.001-E21-45
EM66	GETTINGPOLITICAL_20050105.0127.001-E22-46
EM67	GETTINGPOLITICAL_20050105.0127.001-E19-47
EM68	GETTINGPOLITICAL_20050105.0127.001-E9-48
EM69	GETTINGPOLITICAL_20050105.0127.001-E34-49
EM70	GETTINGPOLITICAL_20050105.0127.001-E23-50
EM71	GETTINGPOLITICAL_20050105.0127.001-E19-51
EM72	GETTINGPOLITICAL_20050105.0127.001-E19-52
EM73	GETTINGPOLITICAL_20050105.0127.001-E19-53
EM74	GETTINGPOLITICAL_20050105.0127.001-E24-54
EM75	GETTINGPOLITICAL_20050105.0127.001-E24-55
EM76	GETTINGPOLITICAL_20050105.0127.001-E25-56
EM77	GETTINGPOLITICAL_20050105.0127.001-E25-57
EM78	GETTINGPOLITICAL_20050105.0127.001-E26-58
EM5	GETTINGPOLITICAL_20050105.0127.001-E34-59
EM79	GETTINGPOLITICAL_20050105.0127.001-E27-60
EM80	GETTINGPOLITICAL_20050105.0127.001-E27-61
EM81	GETTINGPOLITICAL_20050105.0127.001-E28-62
EM82	GETTINGPOLITICAL_20050105.0127.001-E11-63
EM83	GETTINGPOLITICAL_20050105.0127.001-E29-64
EM84	GETTINGPOLITICAL_20050105.0127.001-E11-65
EM85	GETTINGPOLITICAL_20050105.0127.001-E29-66
EM87	GETTINGPOLITICAL_20050105.0127.001-E34-67
EM88	GETTINGPOLITICAL_20050105.0127.001-E19-68
EM89	GETTINGPOLITICAL_20050105.0127.001-E19-69
EM90	GETTINGPOLITICAL_20050105.0127.001-E28-70
EM91	GETTINGPOLITICAL_20050105.0127.001-E19-71
EM92	GETTINGPOLITICAL_20050105.0127.001-E11-72
EM93	GETTINGPOLITICAL_20050105.0127.001-E19-73
EM94	GETTINGPOLITICAL_20050105.0127.001-E30-74
EM2	GETTINGPOLITICAL_20050105.0127.001-E19-75
EM3	GETTINGPOLITICAL_20050105.0127.001-E31-76
EM4	GETTINGPOLITICAL_20050105.0127.001-E32-77
EM6	GETTINGPOLITICAL_20050105.0127.001-E33-78
EM7	GETTINGPOLITICAL_20050105.0127.001-E34-79
EM8	GETTINGPOLITICAL_20050105.0127.001-E34-80
EM9	GETTINGPOLITICAL_20050105.0127.001-E35-81
EM10	GETTINGPOLITICAL_20050105.0127.001-E34-82
EM11	GETTINGPOLITICAL_20050105.0127.001-E36-83
EM12	GETTINGPOLITICAL_20050105.0127.001-E37-84
EM13	GETTINGPOLITICAL_20050105.0127.001-E19-85
EM14	GETTINGPOLITICAL_20050105.0127.001-E34-86
EM15	GETTINGPOLITICAL_20050105.0127.001-E34-87
EM16	GETTINGPOLITICAL_20050105.0127.001-E38-88
EM17	GETTINGPOLITICAL_20050105.0127.001-E34-89
EM18	GETTINGPOLITICAL_20050105.0127.001-E39-90
EM19	GETTINGPOLITICAL_20050105.0127.001-E19-91
EM20	GETTINGPOLITICAL_20050105.0127.001-E19-92
R9	GETTINGPOLITICAL_20050105.0127.001-R1
R1	GETTINGPOLITICAL_20050105.0127.001-R2
R2	GETTINGPOLITICAL_20050105.0127.001-R3
R3	GETTINGPOLITICAL_20050105.0127.001-R4
R4	GETTINGPOLITICAL_20050105.0127.001-R5
R6	GETTINGPOLITICAL_20050105.0127.001-R6
R10	GETTINGPOLITICAL_20050105.0127.001-R7
R11	GETTINGPOLITICAL_20050105.0127.001-R8
R12	GETTINGPOLITICAL_20050105.0127.001-R9
R13	GETTINGPOLITICAL_20050105.0127.001-R10
R14	GETTINGPOLITICAL_20050105.0127.001-R11
R15	GETTINGPOLITICAL_20050105.0127.001-R12
R16	GETTINGPOLITICAL_20050105.0127.001-R13
R4	GETTINGPOLITICAL_20050105.0127.001-R14
R17	GETTINGPOLITICAL_20050105.0127.001-R15
R18	GETTINGPOLITICAL_20050105.0127.001-R16
RM9	GETTINGPOLITICAL_20050105.0127.001-R1-1
RM1	GETTINGPOLITICAL_20050105.0127.001-R2-1
RM2	GETTINGPOLITICAL_20050105.0127.001-R3-1
RM3	GETTINGPOLITICAL_20050105.0127.001-R4-1
RM4	GETTINGPOLITICAL_20050105.0127.001-R5-1
RM5	GETTINGPOLITICAL_20050105.0127.001-R14-1
RM10	GETTINGPOLITICAL_20050105.0127.001-R7-1
RM6	GETTINGPOLITICAL_20050105.0127.001-R6-1
RM11	GETTINGPOLITICAL_20050105.0127.001-R8-1
RM12	GETTINGPOLITICAL_20050105.0127.001-R9-1
RM13	GETTINGPOLITICAL_20050105.0127.001-R10-1
RM14	GETTINGPOLITICAL_20050105.0127.001-R11-1
RM15	GETTINGPOLITICAL_20050105.0127.001-R12-1
RM16	GETTINGPOLITICAL_20050105.0127.001-R13-1
RM17	GETTINGPOLITICAL_20050105.0127.001-R15-1
RM18	GETTINGPOLITICAL_20050105.0127.001-R16-1
V1	GETTINGPOLITICAL_20050105.0127.001-EV1
V2	GETTINGPOLITICAL_20050105.0127.001-EV2
V3	GETTINGPOLITICAL_20050105.0127.001-EV3
V4	GETTINGPOLITICAL_20050105.0127.001-EV4
V5	GETTINGPOLITICAL_20050105.0127.001-EV5
V6	GETTINGPOLITICAL_20050105.0127.001-EV6
V7	GETTINGPOLITICAL_20050105.0127.001-EV7
V8	GETTINGPOLITICAL_20050105.0127.001-EV8
VM1	GETTINGPOLITICAL_20050105.0127.001-EV1-1
VM2	GETTINGPOLITICAL_20050105.0127.001-EV2-1
VM3	GETTINGPOLITICAL_20050105.0127.001-EV3-1
VM4	GETTINGPOLITICAL_20050105.0127.001-EV4-1
VM5	GETTINGPOLITICAL_20050105.0127.001-EV5-1
VM6	GETTINGPOLITICAL_20050105.0127.001-EV6-1
VM7	GETTINGPOLITICAL_20050105.0127.001-EV7-1
VM8	GETTINGPOLITICAL_20050105.0127.001-EV8-1
Q5	GETTINGPOLITICAL_20050105.0127.001-T1
Q1	GETTINGPOLITICAL_20050105.0127.001-V1
Q2	GETTINGPOLITICAL_20050105.0127.001-T2
Q3	GETTINGPOLITICAL_20050105.0127.001-T3
Q4	GETTINGPOLITICAL_20050105.0127.001-T4
QM1	GETTINGPOLITICAL_20050105.0127.001-V1-1
