CE10	alt.religion.mormon_20050103.0854-CE1
E17	alt.religion.mormon_20050103.0854-E8
E19	alt.religion.mormon_20050103.0854-E9
E20	alt.religion.mormon_20050103.0854-E10
E35	alt.religion.mormon_20050103.0854-E11
E21	alt.religion.mormon_20050103.0854-E12
E24	alt.religion.mormon_20050103.0854-E13
E25	alt.religion.mormon_20050103.0854-E14
E26	alt.religion.mormon_20050103.0854-E15
E27	alt.religion.mormon_20050103.0854-E16
E39	alt.religion.mormon_20050103.0854-E17
E1	alt.religion.mormon_20050103.0854-E18
E41	alt.religion.mormon_20050103.0854-E19
E42	alt.religion.mormon_20050103.0854-E20
E43	alt.religion.mormon_20050103.0854-E21
E44	alt.religion.mormon_20050103.0854-E22
E45	alt.religion.mormon_20050103.0854-E23
E46	alt.religion.mormon_20050103.0854-E24
E47	alt.religion.mormon_20050103.0854-E25
E48	alt.religion.mormon_20050103.0854-E26
E49	alt.religion.mormon_20050103.0854-E27
E50	alt.religion.mormon_20050103.0854-E28
E51	alt.religion.mormon_20050103.0854-E29
E52	alt.religion.mormon_20050103.0854-E30
E53	alt.religion.mormon_20050103.0854-E31
E55	alt.religion.mormon_20050103.0854-E32
E56	alt.religion.mormon_20050103.0854-E33
E57	alt.religion.mormon_20050103.0854-E34
E58	alt.religion.mormon_20050103.0854-E35
E59	alt.religion.mormon_20050103.0854-E36
E61	alt.religion.mormon_20050103.0854-E37
E62	alt.religion.mormon_20050103.0854-E38
E63	alt.religion.mormon_20050103.0854-E39
E2	alt.religion.mormon_20050103.0854-E40
E68	alt.religion.mormon_20050103.0854-E41
E70	alt.religion.mormon_20050103.0854-E42
E71	alt.religion.mormon_20050103.0854-E43
E72	alt.religion.mormon_20050103.0854-E44
E73	alt.religion.mormon_20050103.0854-E45
E75	alt.religion.mormon_20050103.0854-E46
E3	alt.religion.mormon_20050103.0854-E47
E4	alt.religion.mormon_20050103.0854-E48
E5	alt.religion.mormon_20050103.0854-E49
E64	alt.religion.mormon_20050103.0854-E50
E7	alt.religion.mormon_20050103.0854-E51
E8	alt.religion.mormon_20050103.0854-E52
EM1	alt.religion.mormon_20050103.0854-E18-1
EM22	alt.religion.mormon_20050103.0854-E2-2
EM23	alt.religion.mormon_20050103.0854-E47-3
EM24	alt.religion.mormon_20050103.0854-E52-4
EM25	alt.religion.mormon_20050103.0854-E52-5
EM26	alt.religion.mormon_20050103.0854-E3-6
EM27	alt.religion.mormon_20050103.0854-E47-7
EM28	alt.religion.mormon_20050103.0854-E52-8
EM29	alt.religion.mormon_20050103.0854-E48-9
EM30	alt.religion.mormon_20050103.0854-E52-10
EM31	alt.religion.mormon_20050103.0854-E4-11
EM32	alt.religion.mormon_20050103.0854-E5-12
EM61	alt.religion.mormon_20050103.0854-E6-13
EM33	alt.religion.mormon_20050103.0854-E7-14
EM34	alt.religion.mormon_20050103.0854-E47-15
EM35	alt.religion.mormon_20050103.0854-E47-16
EM36	alt.religion.mormon_20050103.0854-E8-17
EM37	alt.religion.mormon_20050103.0854-E8-18
EM58	alt.religion.mormon_20050103.0854-E11-19
EM38	alt.religion.mormon_20050103.0854-E48-20
EM39	alt.religion.mormon_20050103.0854-E9-21
EM40	alt.religion.mormon_20050103.0854-E48-22
EM41	alt.religion.mormon_20050103.0854-E10-23
EM42	alt.religion.mormon_20050103.0854-E48-24
EM43	alt.religion.mormon_20050103.0854-E12-25
EM44	alt.religion.mormon_20050103.0854-E47-26
EM47	alt.religion.mormon_20050103.0854-E13-27
EM50	alt.religion.mormon_20050103.0854-E14-28
EM51	alt.religion.mormon_20050103.0854-E15-29
EM52	alt.religion.mormon_20050103.0854-E47-30
EM53	alt.religion.mormon_20050103.0854-E16-31
EM62	alt.religion.mormon_20050103.0854-E16-32
EM63	alt.religion.mormon_20050103.0854-E17-33
EM64	alt.religion.mormon_20050103.0854-E17-34
EM65	alt.religion.mormon_20050103.0854-E19-35
EM66	alt.religion.mormon_20050103.0854-E19-36
EM68	alt.religion.mormon_20050103.0854-E17-37
EM70	alt.religion.mormon_20050103.0854-E17-38
EM71	alt.religion.mormon_20050103.0854-E20-39
EM72	alt.religion.mormon_20050103.0854-E20-40
EM73	alt.religion.mormon_20050103.0854-E17-41
EM74	alt.religion.mormon_20050103.0854-E20-42
EM75	alt.religion.mormon_20050103.0854-E20-43
EM76	alt.religion.mormon_20050103.0854-E17-44
EM77	alt.religion.mormon_20050103.0854-E6-45
EM78	alt.religion.mormon_20050103.0854-E21-46
EM79	alt.religion.mormon_20050103.0854-E17-47
EM80	alt.religion.mormon_20050103.0854-E49-48
EM81	alt.religion.mormon_20050103.0854-E17-49
EM82	alt.religion.mormon_20050103.0854-E19-50
EM83	alt.religion.mormon_20050103.0854-E22-51
EM84	alt.religion.mormon_20050103.0854-E22-52
EM85	alt.religion.mormon_20050103.0854-E23-53
EM86	alt.religion.mormon_20050103.0854-E16-54
EM87	alt.religion.mormon_20050103.0854-E16-55
EM88	alt.religion.mormon_20050103.0854-E16-56
EM91	alt.religion.mormon_20050103.0854-E24-57
EM92	alt.religion.mormon_20050103.0854-E24-58
EM93	alt.religion.mormon_20050103.0854-E25-59
EM94	alt.religion.mormon_20050103.0854-E26-60
EM95	alt.religion.mormon_20050103.0854-E26-61
EM97	alt.religion.mormon_20050103.0854-E26-62
EM96	alt.religion.mormon_20050103.0854-E27-63
EM98	alt.religion.mormon_20050103.0854-E28-64
EM99	alt.religion.mormon_20050103.0854-E29-65
EM100	alt.religion.mormon_20050103.0854-E30-66
EM101	alt.religion.mormon_20050103.0854-E31-67
EM102	alt.religion.mormon_20050103.0854-E32-68
EM103	alt.religion.mormon_20050103.0854-E33-69
EM104	alt.religion.mormon_20050103.0854-E28-70
EM105	alt.religion.mormon_20050103.0854-E26-71
EM106	alt.religion.mormon_20050103.0854-E28-72
EM107	alt.religion.mormon_20050103.0854-E28-73
EM108	alt.religion.mormon_20050103.0854-E28-74
EM109	alt.religion.mormon_20050103.0854-E34-75
EM110	alt.religion.mormon_20050103.0854-E26-76
EM111	alt.religion.mormon_20050103.0854-E26-77
EM112	alt.religion.mormon_20050103.0854-E26-78
EM2	alt.religion.mormon_20050103.0854-E40-79
EM113	alt.religion.mormon_20050103.0854-E35-80
EM114	alt.religion.mormon_20050103.0854-E26-81
EM115	alt.religion.mormon_20050103.0854-E28-82
EM116	alt.religion.mormon_20050103.0854-E36-83
EM117	alt.religion.mormon_20050103.0854-E31-84
EM118	alt.religion.mormon_20050103.0854-E28-85
EM120	alt.religion.mormon_20050103.0854-E26-86
EM121	alt.religion.mormon_20050103.0854-E26-87
EM122	alt.religion.mormon_20050103.0854-E28-88
EM123	alt.religion.mormon_20050103.0854-E28-89
EM124	alt.religion.mormon_20050103.0854-E16-90
EM125	alt.religion.mormon_20050103.0854-E37-91
EM126	alt.religion.mormon_20050103.0854-E37-92
EM127	alt.religion.mormon_20050103.0854-E16-93
EM128	alt.religion.mormon_20050103.0854-E38-94
EM129	alt.religion.mormon_20050103.0854-E16-95
EM130	alt.religion.mormon_20050103.0854-E16-96
EM131	alt.religion.mormon_20050103.0854-E38-97
EM132	alt.religion.mormon_20050103.0854-E39-98
EM133	alt.religion.mormon_20050103.0854-E16-99
EM135	alt.religion.mormon_20050103.0854-E38-100
EM136	alt.religion.mormon_20050103.0854-E39-101
EM137	alt.religion.mormon_20050103.0854-E6-102
EM138	alt.religion.mormon_20050103.0854-E38-103
EM13	alt.religion.mormon_20050103.0854-E6-104
EM69	alt.religion.mormon_20050103.0854-E41-105
EM3	alt.religion.mormon_20050103.0854-E47-106
EM90	alt.religion.mormon_20050103.0854-E42-107
EM67	alt.religion.mormon_20050103.0854-E17-108
EM60	alt.religion.mormon_20050103.0854-E43-109
EM59	alt.religion.mormon_20050103.0854-E44-110
EM54	alt.religion.mormon_20050103.0854-E49-111
EM119	alt.religion.mormon_20050103.0854-E49-112
EM134	alt.religion.mormon_20050103.0854-E49-113
EM57	alt.religion.mormon_20050103.0854-E45-114
EM89	alt.religion.mormon_20050103.0854-E24-115
EM49	alt.religion.mormon_20050103.0854-E50-116
EM45	alt.religion.mormon_20050103.0854-E47-117
EM46	alt.religion.mormon_20050103.0854-E47-118
EM55	alt.religion.mormon_20050103.0854-E46-119
EM4	alt.religion.mormon_20050103.0854-E48-120
EM5	alt.religion.mormon_20050103.0854-E18-121
EM6	alt.religion.mormon_20050103.0854-E18-122
EM7	alt.religion.mormon_20050103.0854-E49-123
EM8	alt.religion.mormon_20050103.0854-E18-124
EM9	alt.religion.mormon_20050103.0854-E18-125
EM10	alt.religion.mormon_20050103.0854-E18-126
EM11	alt.religion.mormon_20050103.0854-E18-127
EM12	alt.religion.mormon_20050103.0854-E48-128
EM48	alt.religion.mormon_20050103.0854-E50-129
EM14	alt.religion.mormon_20050103.0854-E47-130
EM15	alt.religion.mormon_20050103.0854-E51-131
EM16	alt.religion.mormon_20050103.0854-E18-132
EM17	alt.religion.mormon_20050103.0854-E47-133
EM18	alt.religion.mormon_20050103.0854-E51-134
EM19	alt.religion.mormon_20050103.0854-E48-135
EM20	alt.religion.mormon_20050103.0854-E48-136
EM21	alt.religion.mormon_20050103.0854-E52-137
EM56	alt.religion.mormon_20050103.0854-E1-138
R2	alt.religion.mormon_20050103.0854-R1
R1	alt.religion.mormon_20050103.0854-R2
R2	alt.religion.mormon_20050103.0854-R3
R3	alt.religion.mormon_20050103.0854-R4
R4	alt.religion.mormon_20050103.0854-R5
R6	alt.religion.mormon_20050103.0854-R6
R7	alt.religion.mormon_20050103.0854-R7
R8	alt.religion.mormon_20050103.0854-R8
R9	alt.religion.mormon_20050103.0854-R9
R11	alt.religion.mormon_20050103.0854-R10
R10	alt.religion.mormon_20050103.0854-R11
R13	alt.religion.mormon_20050103.0854-R12
R14	alt.religion.mormon_20050103.0854-R13
R15	alt.religion.mormon_20050103.0854-R14
R16	alt.religion.mormon_20050103.0854-R15
R17	alt.religion.mormon_20050103.0854-R16
R20	alt.religion.mormon_20050103.0854-R17
R21	alt.religion.mormon_20050103.0854-R18
R18	alt.religion.mormon_20050103.0854-R19
R5	alt.religion.mormon_20050103.0854-R20
R19	alt.religion.mormon_20050103.0854-R21
R12	alt.religion.mormon_20050103.0854-R22
RM1	alt.religion.mormon_20050103.0854-R2-1
RM2	alt.religion.mormon_20050103.0854-R3-1
RM4	alt.religion.mormon_20050103.0854-R3-2
RM3	alt.religion.mormon_20050103.0854-R4-1
RM5	alt.religion.mormon_20050103.0854-R5-1
RM7	alt.religion.mormon_20050103.0854-R6-1
RM8	alt.religion.mormon_20050103.0854-R7-1
RM9	alt.religion.mormon_20050103.0854-R8-1
RM10	alt.religion.mormon_20050103.0854-R9-1
RM12	alt.religion.mormon_20050103.0854-R10-1
RM11	alt.religion.mormon_20050103.0854-R11-1
RM14	alt.religion.mormon_20050103.0854-R12-1
RM15	alt.religion.mormon_20050103.0854-R13-1
RM16	alt.religion.mormon_20050103.0854-R14-1
RM17	alt.religion.mormon_20050103.0854-R15-1
RM18	alt.religion.mormon_20050103.0854-R16-1
RM21	alt.religion.mormon_20050103.0854-R17-1
RM22	alt.religion.mormon_20050103.0854-R18-1
RM19	alt.religion.mormon_20050103.0854-R19-1
RM6	alt.religion.mormon_20050103.0854-R20-1
RM20	alt.religion.mormon_20050103.0854-R21-1
RM13	alt.religion.mormon_20050103.0854-R22-1
V1	alt.religion.mormon_20050103.0854-EV1
V3	alt.religion.mormon_20050103.0854-EV2
V5	alt.religion.mormon_20050103.0854-EV3
V7	alt.religion.mormon_20050103.0854-EV4
V9	alt.religion.mormon_20050103.0854-EV5
V10	alt.religion.mormon_20050103.0854-EV6
V2	alt.religion.mormon_20050103.0854-EV7
V4	alt.religion.mormon_20050103.0854-EV8
V6	alt.religion.mormon_20050103.0854-EV9
V8	alt.religion.mormon_20050103.0854-EV10
VM1	alt.religion.mormon_20050103.0854-EV1-1
VM2	alt.religion.mormon_20050103.0854-EV1-2
VM4	alt.religion.mormon_20050103.0854-EV1-3
VM5	alt.religion.mormon_20050103.0854-EV2-1
VM7	alt.religion.mormon_20050103.0854-EV3-1
VM8	alt.religion.mormon_20050103.0854-EV3-2
VM10	alt.religion.mormon_20050103.0854-EV4-1
VM11	alt.religion.mormon_20050103.0854-EV4-2
VM12	alt.religion.mormon_20050103.0854-EV4-3
VM14	alt.religion.mormon_20050103.0854-EV5-1
VM15	alt.religion.mormon_20050103.0854-EV6-1
VM3	alt.religion.mormon_20050103.0854-EV7-1
VM6	alt.religion.mormon_20050103.0854-EV8-1
VM9	alt.religion.mormon_20050103.0854-EV9-1
VM13	alt.religion.mormon_20050103.0854-EV10-1
Q1	alt.religion.mormon_20050103.0854-T1
Q2	alt.religion.mormon_20050103.0854-T2
Q3	alt.religion.mormon_20050103.0854-T3
Q5	alt.religion.mormon_20050103.0854-T4
Q8	alt.religion.mormon_20050103.0854-T5
Q9	alt.religion.mormon_20050103.0854-T6
Q10	alt.religion.mormon_20050103.0854-T7
Q11	alt.religion.mormon_20050103.0854-T8
Q12	alt.religion.mormon_20050103.0854-T9
Q13	alt.religion.mormon_20050103.0854-T10
Q14	alt.religion.mormon_20050103.0854-T11
Q15	alt.religion.mormon_20050103.0854-T12
Q4	alt.religion.mormon_20050103.0854-T13
Q7	alt.religion.mormon_20050103.0854-T14
Q6	alt.religion.mormon_20050103.0854-T15
